world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
europe/channelislands/alderney,Alderney,Alderney,6,9,see,Fort Clonque,0.66,candidate,has coordinates; high-value type; strong travel term,49.7138,-2.233,Fort Tourgis,europe/channelislands/alderney/fort_tourgis,0.583,1.147,2.87,needs_external_source,,https://en.wikivoyage.org/wiki/Alderney
europe/spain/canaryislands/lanzarote/puertodelcarmen,Puerto del Carmen,Puerto del Carmen,9,33,see,Old Town Harbour,0.66,candidate,has coordinates; high-value type; strong travel term,28.9213,-13.6725,Varadero Old Harbour,europe/spain/canaryislands/lanzarote/puertodelcarmen/varadero_harbour,0.611,2.322,2.124,needs_external_source,,https://en.wikivoyage.org/wiki/Puerto_del_Carmen
asia/turkey/marmaris,Marmaris,Marmaris,8,18,see,Sedir Island,0.66,candidate,has coordinates; high-value type; strong travel term,36.992,28.203,Cleopatra's Island (Sedir),asia/turkey/marmaris/cleopatras_island,0.6,7.257,16.781,needs_external_source,,https://en.wikivoyage.org/wiki/Marmaris
europe/russia/suzdal,Suzdal,Suzdal,7,42,see,Cathedral of the Intercession,0.66,candidate,has coordinates; high-value type; strong travel term,56.42901,40.43698,Cathedral of the Nativity,europe/russia/suzdal/cathedral_of_the_nativity,0.696,1.41,1.293,needs_external_source,,https://en.wikivoyage.org/wiki/Suzdal
asia/philippines/zambales,Zambales,Zambales,7,5,see,Magalawa Island,0.66,candidate,has coordinates; high-value type; strong travel term,15.495049424191857,119.89477532534556,Capones Island,asia/philippines/zambales/capones_island,0.552,66.026,8.083,needs_external_source,,https://en.wikivoyage.org/wiki/Zambales
asia/china/jiangsu_province/zhenjiang,Zhenjiang,Zhenjiang,6,13,see,Maoshan Mountain,0.64,candidate,has coordinates; has description; high-value type; has external URL,31.902861,119.229927,Jiaoshan Island,asia/china/jiangsu_province/zhenjiang/jiaoshan_island,0.581,44.047,36.618,has_external_url; day_trip_review,https://www.maoshanchina.com.cn/ms/html/webpc/index,https://en.wikivoyage.org/wiki/Zhenjiang
northamerica/unitedstates/florida/northeastflorida/jacksonville,Jacksonville,Jacksonville,47,108,do,The Players Championship,0.64,candidate,has coordinates; has description; high-value type; has external URL,30.19886,-81.39491,TPC Sawgrass and Golf,northamerica/unitedstates/florida/northeastflorida/jacksonville/jacksonville_golf,0.665,0.335,28.959,has_external_url; day_trip_review,https://www.visitjacksonville.com/events/the-players-championship/,https://en.wikivoyage.org/wiki/Jacksonville
northamerica/unitedstates/alaska/anchorage,Anchorage,Anchorage,23,84,see,Alaska Wildlife Conservation Center,0.64,candidate,has coordinates; has description; high-value type; has external URL,60.83289,-149.06789,Alaska Native Heritage Center,northamerica/unitedstates/alaska/anchorage/alaska_native_heritage_center,0.562,56.119,61.661,has_external_url; day_trip_review,http://www.alaskawildlife.org,https://en.wikivoyage.org/wiki/Anchorage
asia/thailand/chiang_dao,Chiang Dao,Chiang Dao,11,17,do,Pong Arng Hot Spring (บ่อน้ำร้อนโป่งอาง),0.64,candidate,has coordinates; has description; high-value type; has external URL,19.59678,98.94428,Yang Phu To Hot Springs,asia/thailand/chiang_dao/yang_phu_to_hot_springs,0.651,20.68,25.361,has_external_url; day_trip_review,http://park.dnp.go.th/visitor/scenicshow.php?id=451,https://en.wikivoyage.org/wiki/Chiang_Dao
northamerica/unitedstates/indiana/indianapolis,Indianapolis,Indianapolis,42,225,see,Indiana Basketball Hall of Fame,0.64,candidate,has coordinates; has description; high-value type; has external URL,39.91012,-85.38134,Indiana Medical History Museum,northamerica/unitedstates/indiana/indianapolis/medical_history_museum,0.557,71.15,68.194,has_external_url; day_trip_review,https://hoopshall.com/,https://en.wikivoyage.org/wiki/Indianapolis
australiaandpacific/newzealand/chathamislands,Chatham Islands,Chatham Islands,6,37,do,Nikau Bush Conservation Area,0.64,candidate,has coordinates; has description; high-value type; has external URL,-43.7636,-176.5696,Awatotara Conservation Covenant,australiaandpacific/newzealand/chathamislands/awatotara_reserve,0.576,20.786,35.119,has_external_url; day_trip_review,http://www.doc.govt.nz/parks-and-recreation/places-to-go/chatham-islands/places/nikau-bush-conservation-area/,https://en.wikivoyage.org/wiki/Chatham_Islands
asia/china/shaanxi/shenmu,Shenmu,Shenmu,2,5,see,Hongjiannao Lake,0.64,candidate,has coordinates; has description; high-value type; has external URL,39.087578,110.938873,Lake Hongjiannao,asia/china/shaanxi/shenmu/lake_hongjiannao,0.688,91.106,47.681,has_external_url; day_trip_review,http://www.hjnly.com/,https://en.wikivoyage.org/wiki/Shenmu
asia/indonesia/rajaampat,Raja Ampat,Raja Ampat,5,15,see,Wayag,0.64,candidate,has coordinates; has description; high-value type; has external URL,0.166127,130.039401,Wayag Islands,asia/indonesia/rajaampat/wayag,0.556,2.767,68.458,has_external_url; day_trip_review,http://www.wayag.travel,https://en.wikivoyage.org/wiki/Raja_Ampat
australiaandpacific/palau/koror,Koror,Koror,7,28,do,Palau Dive Adventures,0.64,candidate,has coordinates; has description; high-value type; has external URL,7.33973,134.47582,Belau National Museum,australiaandpacific/palau/koror/belau_national_museum,0.628,0.372,40.059,has_external_url; day_trip_review,https://palaudiveadventures.com/,https://en.wikivoyage.org/wiki/Koror
northamerica/unitedstates/montana/helena,Helena,Helena (Montana),15,34,do,Great Divide Snow Sports,0.64,candidate,has coordinates; has description; high-value type; has external URL,46.75307,-112.64049,Great Divide Ski Area,northamerica/unitedstates/montana/helena/great_divide_ski_area,0.711,45.847,49.427,has_external_url; day_trip_review,https://www.skigd.com/,https://en.wikivoyage.org/wiki/Helena_%28Montana%29
southamerica/chile/puntaarenas,Punta Arenas,Punta Arenas,28,58,do,Reserva Natural Laguna Parrillar,0.64,candidate,has coordinates; has description; high-value type; has external URL,-53.4071,-71.2627,Reserva Nacional Magallanes,southamerica/chile/puntaarenas/reserva_nacional_magallanes,0.644,32.506,35.998,has_external_url; day_trip_review,http://www.conaf.cl/parques/reserva-nacional-laguna-parrillar/,https://en.wikivoyage.org/wiki/Punta_Arenas
