world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
northamerica/unitedstates/arizona/mesa,Mesa,Mesa,7,53,do,Jesus the Christ,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Mesa Arts Center,northamerica/unitedstates/arizona/mesa/mesa_arts_center,0.429,,,missing_coordinates; has_external_url,https://mesatemple.org/easter/,https://en.wikivoyage.org/wiki/Mesa
northamerica/unitedstates/newjersey/longbeachisland,Long Beach Island,Long Beach Island,0,68,see,Surf Buggy,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,,,0.0,,,missing_coordinates; has_external_url,http://www.surfbuggylbi.com,https://en.wikivoyage.org/wiki/Long_Beach_Island
australiaandpacific/australia/queensland/magnetic_island,Magnetic Island,Magnetic Island,6,32,do,Magnetic Island Sea Kayaks,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Arcadia Beach,australiaandpacific/australia/queensland/magnetic_island/arcadia_beach,0.359,,,missing_coordinates; has_external_url,http://www.seakayak.com.au,https://en.wikivoyage.org/wiki/Magnetic_Island
northamerica/unitedstates/oklahoma/claremore,Claremore,Claremore,3,5,see,Claremore Museum of History,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Claremore Auto Dealership,northamerica/unitedstates/oklahoma/claremore/claremore_auto_dealership,0.538,,,missing_coordinates; has_external_url,https://claremoremoh.org/,https://en.wikivoyage.org/wiki/Claremore
northamerica/unitedstates/missouri/rolla,Rolla,Rolla (Missouri),4,17,see,Ozark Actors Theatre,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Fort Dette,northamerica/unitedstates/missouri/rolla/fort_dette,0.4,,,missing_coordinates; has_external_url,http://www.ozarkactorstheatre.org,https://en.wikivoyage.org/wiki/Rolla_%28Missouri%29
northamerica/unitedstates/massachusetts/springfield,Springfield,Springfield (Massachusetts),5,25,do,Six Flags New England,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Springfield Museums (Museum Quadrangle),northamerica/unitedstates/massachusetts/springfield/springfield_museums,0.3,,,missing_coordinates; has_external_url,https://www.sixflags.com/newengland,https://en.wikivoyage.org/wiki/Springfield_%28Massachusetts%29
europe/serbia/kosovoprovince/prizren,Prizren,Prizren,7,50,see,Sharr National Park,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Sinan Pasha Mosque,europe/serbia/kosovoprovince/prizren/sinan_pasha_mosque,0.378,,,missing_coordinates; has_external_url,https://www.openstreetmap.org/relation/7708534,https://en.wikivoyage.org/wiki/Prizren
northamerica/unitedstates/mississippi/hattiesburg,Hattiesburg,Hattiesburg,8,16,do,Longleaf Trace,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,World Trade Center Memorial,northamerica/unitedstates/mississippi/hattiesburg/world_trade_center_memorial,0.39,,,missing_coordinates; has_external_url,https://www.longleaftrace.org/,https://en.wikivoyage.org/wiki/Hattiesburg
southamerica/chile/puntaarenas,Punta Arenas,Punta Arenas,28,58,see,Parque Marino Francisco Coloane,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Museo Maggiorino Borgatello,southamerica/chile/puntaarenas/museo_maggiorino_borgatello,0.448,,,missing_coordinates; has_external_url,http://www.chileestuyo.cl/regiones/region-de-magallanes/estrecho-de-magallanes/lugar/parque-marino-francisco-coloane.html,https://en.wikivoyage.org/wiki/Punta_Arenas
northamerica/unitedstates/washington/mtrainiernp,Mt. Rainier National Park,Mount Rainier National Park,0,61,do,Windy Gap Trail to Lake James,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,,,0.0,,,missing_coordinates; has_external_url,https://www.nps.gov/mora/planyourvisit/lake-james.htm,https://en.wikivoyage.org/wiki/Mount_Rainier_National_Park
europe/germany/badenwrttemberg/karlsruhe,Karlsruhe,Karlsruhe,12,41,do,Das Fest,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Badisches Staatstheater,europe/germany/badenwrttemberg/karlsruhe/staatstheater,0.323,,,missing_coordinates; has_external_url,http://www.dasfest-karlsruhe.de/,https://en.wikivoyage.org/wiki/Karlsruhe
