world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
northamerica/canada/britishcolumbia/newwestminster,New Westminster,New Westminster,6,38,see,TransLink,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Queen's Park,northamerica/canada/britishcolumbia/newwestminster/queens_park,0.286,,,missing_coordinates; has_external_url,https://www.translink.ca/,https://en.wikivoyage.org/wiki/New_Westminster
europe/germany/northrhinewestphalia/bochum,Bochum,Bochum,12,93,see,Situation Kunst,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Union Bochum,europe/germany/northrhinewestphalia/bochum/union_bochum,0.444,,,missing_coordinates; has_external_url,http://www.situation-kunst.de,https://en.wikivoyage.org/wiki/Bochum
northamerica/thecaribbean/puertorico/bayamon,Bayamón,Bayamón,11,40,do,Julio Enrique Monagas Park,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Invención de la Santa Cruz Parish,northamerica/thecaribbean/puertorico/bayamon/iglesia_santa_cruz,0.415,,,missing_coordinates; has_external_url,https://www.discoverpuertorico.com/profile/julio-enrique-monagas-national-park/9253,https://en.wikivoyage.org/wiki/Bayam%C3%B3n
europe/germany/northrhinewestphalia/bochum,Bochum,Bochum,12,93,see,Municipal Park Wattenscheid,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Stadtpark Bochum,europe/germany/northrhinewestphalia/bochum/stadtpark_bochum,0.372,,,missing_coordinates; has_external_url,http://www.bochum-tourismus.de/de/entdecken/kunst/index.php?we_objectID=317,https://en.wikivoyage.org/wiki/Bochum
northamerica/canada/britishcolumbia/langley,Langley,Langley (British Columbia),4,33,see,Mountain Man Mike's Bus Service,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Fort Langley National Historic Site,northamerica/canada/britishcolumbia/langley/fort_langley_national_historic_site,0.394,,,missing_coordinates; has_external_url,https://mountainmanmikes.ca/,https://en.wikivoyage.org/wiki/Langley_%28British_Columbia%29
northamerica/unitedstates/arkansas/fortsmith,Fort Smith,Fort Smith,6,28,see,Trolley Museum,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,United States Marshals Museum,northamerica/unitedstates/arkansas/fortsmith/us_marshals_museum,0.419,,,missing_coordinates; has_external_url,http://www.fstm.org,https://en.wikivoyage.org/wiki/Fort_Smith
europe/italy/umbria/assisi,Assisi,Assisi,25,23,see,Assisi Diocesan Museum,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Basilica di San Francesco,europe/italy/umbria/assisi/basilica_di_san_francesco,0.511,,,missing_coordinates; has_external_url,http://www.museiecclesiastici.it/sanrufino/,https://en.wikivoyage.org/wiki/Assisi
northamerica/unitedstates/florida/daytona_beach,Daytona Beach,Daytona Beach,17,102,do,Bike Week,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Brownie the Town Dog's Grave,northamerica/unitedstates/florida/daytona_beach/brownie_the_town_dog_grave,0.364,,,missing_coordinates; has_external_url,http://www.daytonachamber.com/bwhome.html,https://en.wikivoyage.org/wiki/Daytona_Beach
europe/bosniaandherzegovina/sarajevo,Sarajevo,Sarajevo,42,173,see,Bosnian Historical Museum,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,The War Childhood Museum,europe/bosniaandherzegovina/sarajevo/war_childhood_museum,0.533,,,missing_coordinates; has_external_url,http://www.muzej.ba,https://en.wikivoyage.org/wiki/Sarajevo
northamerica/canada/alberta/lake_louise,Lake Louise,Lake Louise,11,22,do,Great Divide Nature Interpretation,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Nature Alberta,northamerica/canada/alberta/naturealberta,0.458,,,missing_coordinates; has_external_url,https://www.greatdivide.ca/,https://en.wikivoyage.org/wiki/Lake_Louise
europe/unitedkingdom/england/south_east/eastbourne,Eastbourne,Eastbourne,9,40,do,Drusilla's Zoo,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Belle Tout Lighthouse,europe/unitedkingdom/england/south_east/eastbourne/belle_tout_lighthouse,0.286,,,missing_coordinates; has_external_url,http://www.drusillas.co.uk/,https://en.wikivoyage.org/wiki/Eastbourne
