world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
northamerica/unitedstates/georgia/valdosta,Valdosta,Valdosta,8,27,see,'Dosta Playhouse,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Campus Bar near Valdosta State,northamerica/unitedstates/georgia/valdosta/campus_bar,0.356,,,missing_coordinates; has_external_url,http://www.theatreguildvaldosta.com/,https://en.wikivoyage.org/wiki/Valdosta
europe/france/aquitaine/bordeaux,Bordeaux,Bordeaux,50,52,see,Muséum de Bordeaux - sciences et nature,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Musée du Vin et du Négoce,europe/france/aquitaine/bordeaux/musee_du_vin_et_du_negoce,0.528,,,missing_coordinates; has_external_url,https://www.museum-bordeaux.fr/,https://en.wikivoyage.org/wiki/Bordeaux
europe/spain/galicia/vigo,Vigo,Vigo,15,32,see,Santa María de Castrelos,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Parque do Castro,europe/spain/galicia/vigo/parque_do_castro,0.514,,,missing_coordinates; has_external_url,https://hoxe.vigo.org/movemonos/ig_castrelos.php,https://en.wikivoyage.org/wiki/Vigo
asia/china/shaanxi/baoji,Baoji,Baoji,7,8,do,Mount Taibai National Forest Park,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Mount Taibai,asia/china/shaanxi/baoji/mount_taibai,0.533,,,missing_coordinates; has_external_url,http://www.tbpark.com/html/e/,https://en.wikivoyage.org/wiki/Baoji
northamerica/unitedstates/washington/mtrainiernp,Mt. Rainier National Park,Mount Rainier National Park,0,61,do,Owyhigh Lakes Trail,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,,,0.0,,,missing_coordinates; has_external_url,https://www.nps.gov/mora/planyourvisit/owyhigh-lakes.htm,https://en.wikivoyage.org/wiki/Mount_Rainier_National_Park
europe/poland/poznan,Poznan,Poznań,12,96,do,Namesday of St. Martin street,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,National Museum,europe/poland/poznan/national_museum,0.372,,,missing_coordinates; has_external_url,https://www.poznan.pl/swmarcin/,https://en.wikivoyage.org/wiki/Pozna%C5%84
northamerica/unitedstates/florida/northeastflorida/staugustine,St. Augustine,St. Augustine,11,75,do,Celtic Music & Heritage Festival,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Columbia Restaurant,northamerica/unitedstates/florida/northeastflorida/staugustine/columbia_restaurant,0.415,,,missing_coordinates; has_external_url,http://www.celticstaugustine.com/,https://en.wikivoyage.org/wiki/St._Augustine
northamerica/canada/britishcolumbia/vancouver/coquitlam,Coquitlam,Coquitlam,9,30,see,TransLink,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Burke Mountain,northamerica/canada/britishcolumbia/vancouver/coquitlam/burke_mountain,0.348,,,missing_coordinates; has_external_url,https://www.translink.ca/,https://en.wikivoyage.org/wiki/Coquitlam
europe/germany/saxony/grlitz,Görlitz,Görlitz,10,8,see,Silesian Museum,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Senckenberg Museum of Natural History,europe/germany/saxony/grlitz/senckenberg_museum,0.385,,,missing_coordinates; has_external_url,https://www.schlesisches-museum.de/,https://en.wikivoyage.org/wiki/G%C3%B6rlitz
northamerica/canada/britishcolumbia/nelson,Nelson,Nelson (British Columbia),13,43,see,BC Transit (West Kootenay Transit System),0.63,candidate,has description; high-value type; has external URL; strong travel term,,,The Library,northamerica/canada/britishcolumbia/nelson/the_library,0.353,,,missing_coordinates; has_external_url,https://bctransit.com/west-kootenay/home,https://en.wikivoyage.org/wiki/Nelson_%28British_Columbia%29
northamerica/unitedstates/arkansas/fortsmith,Fort Smith,Fort Smith,6,28,do,Spring Levitt Amp Music Series,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,United States Marshals Museum,northamerica/unitedstates/arkansas/fortsmith/us_marshals_museum,0.373,,,missing_coordinates; has_external_url,https://www.646downtown.com/levitt-amp-music-series,https://en.wikivoyage.org/wiki/Fort_Smith
australiaandpacific/australia/queensland/sunshinecoast,Sunshine Coast,Sunshine Coast,7,112,see,Kenilworth Visitor Information Centre,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Noosa National Park,australiaandpacific/australia/queensland/sunshinecoast/noosa_national_park,0.429,,,missing_coordinates; has_external_url,http://www.kenilworthinfocentre.org.au/,https://en.wikivoyage.org/wiki/Sunshine_Coast
northamerica/unitedstates/utah/moab,Moab,Moab,9,17,do,Skydive Moab,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Delicate Arch,northamerica/unitedstates/utah/moab/delicate_arch,0.4,,,missing_coordinates; has_external_url,https://www.skydivemoab.com/,https://en.wikivoyage.org/wiki/Moab
europe/finland/tampere,Tampere,Tampere,61,207,do,Circus Ruska Festival,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Tampere Film Festival,europe/finland/tampere/tampere_film_festiv,0.476,,,missing_coordinates; has_external_url,http://circusruska.com/festival/en/,https://en.wikivoyage.org/wiki/Tampere
europe/germany/thuringia/weimar,Weimar,Weimar,19,40,do,Zwiebelmarkt,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,In Weimar Early,europe/germany/thuringia/weimar/in_weimar_early,0.37,,,missing_coordinates; has_external_url,http://www.weimar.de/de/tourismus/startseite/kultur-freizeit/maerkte-und-feste/details/zwiebelmarkt-2009/,https://en.wikivoyage.org/wiki/Weimar
europe/belgium/aalst,Aalst,Aalst,11,33,do,Park Concerts,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Dirk Martens Statue,europe/belgium/aalst/dirk_martens_statue,0.375,,,missing_coordinates; has_external_url,http://www.parkies.net,https://en.wikivoyage.org/wiki/Aalst
northamerica/nicaragua/sanjuandelsur,San Juan del Sur,San Juan del Sur,10,19,do,SanJuanSurf,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Playa Remanso,northamerica/nicaragua/sanjuandelsur/playa_remanso,0.333,,,missing_coordinates; has_external_url,http://www.sanjuansurf.com,https://en.wikivoyage.org/wiki/San_Juan_del_Sur
northamerica/unitedstates/washington/mtrainiernp,Mt. Rainier National Park,Mount Rainier National Park,0,61,do,Skyline Trail,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,,,0.0,,,missing_coordinates; has_external_url,https://home.nps.gov/mora/planyourvisit/skyline-trail.htm,https://en.wikivoyage.org/wiki/Mount_Rainier_National_Park
europe/italy/emiliaromagna/modena,Modena,Modena,12,47,do,Modena World of Motors,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,San Cataldo Cemetery,europe/italy/emiliaromagna/modena/san_cataldo_cemetery,0.429,,,missing_coordinates; has_external_url,http://www.modenaterradimotori.com,https://en.wikivoyage.org/wiki/Modena
northamerica/unitedstates/missouri/stlouis,St. Louis,St. Louis,59,106,do,Whitaker Music Festival,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Soldiers Memorial,northamerica/unitedstates/missouri/stlouis/soldiers_memorial,0.45,,,missing_coordinates; has_external_url,http://www.mobot.org/events/Whitaker/default.asp,https://en.wikivoyage.org/wiki/St._Louis
northamerica/unitedstates/massachusetts/plymouth,Plymouth,Plymouth (Massachusetts),6,68,do,Pilgrim Belle History Cruise,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Plimoth Patuxent,northamerica/unitedstates/massachusetts/plymouth/plimoth_patuxent,0.364,,,missing_coordinates; has_external_url,https://www.captjohn.com/pilgrim-belle/,https://en.wikivoyage.org/wiki/Plymouth_%28Massachusetts%29
australiaandpacific/australia/newsouthwales/wollongong,Wollongong,Wollongong,8,68,do,Cockatoo Run,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Sea Cliff Bridge,australiaandpacific/australia/newsouthwales/wollongong/sea_cliff_bridge,0.214,,,missing_coordinates; has_external_url,https://eastcoastheritagerail.com.au/cockatoorun/,https://en.wikivoyage.org/wiki/Wollongong
northamerica/unitedstates/newmexico/magdalena,Magdalena,Magdalena,5,9,see,Bear Mountain Coffee House and Gallery,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Santa Fe Depot,northamerica/unitedstates/newmexico/magdalena/santa_fe_depot,0.385,,,missing_coordinates; has_external_url,http://www.bearmountaincoffeehouse.com/,https://en.wikivoyage.org/wiki/Magdalena
northamerica/unitedstates/california/orangecounty/irvine,Irvine,Irvine,9,52,do,Musical Theatre Village,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,UC Irvine Campus,northamerica/unitedstates/california/orangecounty/irvine/uci_campus,0.359,,,missing_coordinates; has_external_url,https://musicaltheatrevillage.net/,https://en.wikivoyage.org/wiki/Irvine
southamerica/colombia/cartagena,Cartagena,Cartagena (Colombia),36,81,do,Festival lnternacional de Música,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Fuerte de San Fernando,southamerica/colombia/cartagena/sanfernando,0.417,,,missing_coordinates; has_external_url,http://www.cartagenamusicfestival.com,https://en.wikivoyage.org/wiki/Cartagena_%28Colombia%29
northamerica/canada/alberta/calgary,Calgary,Calgary,38,59,do,Calgary Folk Music Festival,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Calgary by Air,northamerica/canada/alberta/calgary/calgary_by_air,0.488,,,missing_coordinates; has_external_url,https://www.calgaryfolkfest.com/,https://en.wikivoyage.org/wiki/Calgary
europe/germany/northrhinewestphalia/bochum,Bochum,Bochum,12,93,do,Extraschicht,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Schauspielhaus Bochum,europe/germany/northrhinewestphalia/bochum/schauspielhaus_bochum,0.364,,,missing_coordinates; has_external_url,http://www.extraschicht.de,https://en.wikivoyage.org/wiki/Bochum
northamerica/canada/quebec/montreal,Montreal,Montreal,50,59,do,Parc Maisonneuve and Jardin Botanique de Montreal,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Musée des Beaux-Arts de Montréal,northamerica/canada/quebec/montreal/musee_des_beaux_arts,0.479,,,missing_coordinates; has_external_url,http://www2.ville.montreal.qc.ca/jardin/jardin.htm,https://en.wikivoyage.org/wiki/Montreal
northamerica/unitedstates/florida/daytona_beach,Daytona Beach,Daytona Beach,17,102,see,Sun Splash County Park,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Basilica of St. Paul,northamerica/unitedstates/florida/daytona_beach/basilica_of_st_paul,0.39,,,missing_coordinates; has_external_url,https://www.volusia.org/services/public-works/coastal-division/coastal-parks/sun-splash-park.stml,https://en.wikivoyage.org/wiki/Daytona_Beach
europe/germany/northrhinewestphalia/bochum,Bochum,Bochum,12,93,do,Emscher-Trail,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Deutsches Bergbaumuseum,europe/germany/northrhinewestphalia/bochum/deutsches_bergbaumuseum,0.444,,,missing_coordinates; has_external_url,http://www.rvr-online.de/publikationen/geodaten/epr.php,https://en.wikivoyage.org/wiki/Bochum
europe/unitedkingdom/england/gloucestershire/tewkesbury,Tewkesbury,Tewkesbury,8,40,see,John Moore Countryside Museum,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Tewkesbury Museum,europe/unitedkingdom/england/gloucestershire/tewkesbury/tewkesbury_museum,0.435,,,missing_coordinates; has_external_url,https://www.johnmooremuseum.org/,https://en.wikivoyage.org/wiki/Tewkesbury
northamerica/canada/ontario/niagara_on_the_lake,Niagara-on-the-Lake,Niagara-on-the-Lake,6,58,do,Hike or bike the Greater Niagara Circle Route,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Niagara Apothecary,northamerica/canada/ontario/niagara_on_the_lake/niagara_apothecary,0.373,,,missing_coordinates; has_external_url,https://www.niagararegion.ca/transportation/cycling-walking/pdf/map-greater-niagara-circle-route.pdf,https://en.wikivoyage.org/wiki/Niagara-on-the-Lake
northamerica/unitedstates/virginia/roanoke,Roanoke,Roanoke,16,22,see,Center in the Square,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Roanoke Star,northamerica/unitedstates/virginia/roanoke/roanoke_star,0.429,,,missing_coordinates; has_external_url,http://www.centerinthesquare.org/,https://en.wikivoyage.org/wiki/Roanoke
northamerica/unitedstates/california/napa,Napa,Napa,19,34,see,Quent Cordair Fine Art,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Petrified Forest,northamerica/unitedstates/california/napa/petrified_forest,0.526,,,missing_coordinates; has_external_url,http://www.cordair.com,https://en.wikivoyage.org/wiki/Napa
australiaandpacific/australia/newsouthwales/wollongong,Wollongong,Wollongong,8,68,see,Premier Coaches,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Five Islands Brewing Company,australiaandpacific/australia/newsouthwales/wollongong/five_islands_brewing,0.326,,,missing_coordinates; has_external_url,http://premiercharters.com.au/,https://en.wikivoyage.org/wiki/Wollongong
asia/israel/nazareth,Nazareth,Nazareth,10,20,do,Hike the Nativity Trail,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Diana Restaurant,asia/israel/nazareth/diana_restaurant,0.4,,,missing_coordinates; has_external_url,http://www.visitpalestine.ps/index.php?lang=en&page=1231670435454,https://en.wikivoyage.org/wiki/Nazareth
