world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
europe/portugal/lagos,Lagos,Lagos (Portugal),0,22,do,Zoo de Lagos,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,,,0.0,,,missing_coordinates; has_external_url,https://zoolagos.com/en/,https://en.wikivoyage.org/wiki/Lagos_%28Portugal%29
northamerica/unitedstates/arkansas/fortsmith,Fort Smith,Fort Smith,6,28,do,Fall Levitt Amp Music Series,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Belle Grove Historic District,northamerica/unitedstates/arkansas/fortsmith/belle_grove_historic_district,0.421,,,missing_coordinates; has_external_url,https://www.646downtown.com/levitt-amp-music-series,https://en.wikivoyage.org/wiki/Fort_Smith
europe/portugal/sintra,Sintra,Sintra,7,17,do,Ericeira Bike,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Queijada de Sintra,europe/portugal/sintra/queijada_de_sintra,0.357,,,missing_coordinates; has_external_url,https://www.ericeirabike.com/,https://en.wikivoyage.org/wiki/Sintra
northamerica/unitedstates/northcarolina/charlotte,Charlotte,Charlotte,13,24,do,Southern Spring Home and Garden Show,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Blumenthal Performing Arts Center,northamerica/unitedstates/northcarolina/charlotte/blumenthal_performing_arts,0.406,,,missing_coordinates; has_external_url,http://www.southernshows.com/sss/,https://en.wikivoyage.org/wiki/Charlotte
northamerica/unitedstates/minnesota/grand_marais,Grand Marais,Grand Marais,8,21,do,Sawtooth Mountain Stables,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Eagle Mountain,northamerica/unitedstates/minnesota/grand_marais/eagle_mountain,0.513,,,missing_coordinates; has_external_url,http://www.sawtoothmountainstables.com,https://en.wikivoyage.org/wiki/Grand_Marais
europe/spain/andalucia/jerezdelafrontera,Jerez de la Frontera,Jerez de la Frontera,6,74,see,Atalaya Museums,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,González Byass (Tío Pepe),europe/spain/andalucia/jerezdelafrontera/gonzalez_byass,0.345,,,missing_coordinates; has_external_url,https://www.museosdelaatalaya.com/en,https://en.wikivoyage.org/wiki/Jerez_de_la_Frontera
northamerica/honduras/bayislands/roatan,Roatán,Roatán,20,40,do,Bahia Watersports,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Gumbalimba Park,northamerica/honduras/bayislands/roatan/gumbalimba_park,0.438,,,missing_coordinates; has_external_url,http://www.bahiawatersports.com,https://en.wikivoyage.org/wiki/Roat%C3%A1n
northamerica/unitedstates/rhodeisland/newport,Newport,Newport (Rhode Island),10,111,do,St. Patrick’s Day Parade,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,International Tennis Hall of Fame,northamerica/unitedstates/rhodeisland/newport/tennis_hall_of_fame,0.393,,,missing_coordinates; has_external_url,https://www.newportirish.com/,https://en.wikivoyage.org/wiki/Newport_%28Rhode_Island%29
europe/spain/galicia/lacoruna,La Coruña,A Coruña,14,37,see,Emilia Pardo Bazán Museum,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Monte de San Pedro,europe/spain/galicia/lacoruna/monte_de_san_pedro,0.35,,,missing_coordinates; has_external_url,https://casamuseoemiliapardobazan.gal/,https://en.wikivoyage.org/wiki/A_Coru%C3%B1a
asia/israel/telaviv,Tel Aviv,Tel Aviv,57,55,see,Night Flea,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Jaffa Flea Market,asia/israel/telaviv/jaffa_flea_market,0.37,,,missing_coordinates; has_external_url,http://en.shuktlv.co.il/category/jaffa-flea-market,https://en.wikivoyage.org/wiki/Tel_Aviv
northamerica/unitedstates/pennsylvania/reading,Reading,Reading (Pennsylvania),7,17,see,Boyertown Museum of Historic Vehicles,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Mid-Atlantic Air Museum,northamerica/unitedstates/pennsylvania/reading/mid_atlantic_air_museum,0.3,,,missing_coordinates; has_external_url,http://www.boyertownmuseum.org,https://en.wikivoyage.org/wiki/Reading_%28Pennsylvania%29
europe/netherlands/leiden,Leiden,Leiden,36,62,do,Leidsche lakenfeesten,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Museum De Lakenhal,europe/netherlands/leiden/museum_de_lakenhal,0.444,,,missing_coordinates; has_external_url,http://www.lakenfeesten.nl/,https://en.wikivoyage.org/wiki/Leiden
asia/china/hubei/jingzhou,Jingzhou,Jingzhou,5,39,do,Jingzhou Chu Culture Festival,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Jingzhou City Walls,asia/china/hubei/jingzhou/jingzhou_city_walls,0.542,,,missing_coordinates; has_external_url,https://m.thepaper.cn/baijiahao_32089554,https://en.wikivoyage.org/wiki/Jingzhou
southamerica/brazil/campinas,Campinas,Campinas,8,95,see,Antigo Externato São João,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Instituto Agronômico de Campinas (IAC),southamerica/brazil/campinas/instituto_agronomico,0.37,,,missing_coordinates; has_external_url,http://www.ossjb.org.br/,https://en.wikivoyage.org/wiki/Campinas
northamerica/unitedstates/california/inlandempire/riverside,Riverside,Riverside,7,24,see,UCR Culver Center for the Arts,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Riverside Art Museum,northamerica/unitedstates/california/inlandempire/riverside/riverside_art_museum,0.435,,,missing_coordinates; has_external_url,https://ucrarts.ucr.edu/,https://en.wikivoyage.org/wiki/Riverside
northamerica/unitedstates/southcarolina/greenville,Greenville,Greenville (South Carolina),10,71,do,Devils Fork State Park,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Shoeless Joe Jackson Museum,northamerica/unitedstates/southcarolina/greenville/shoeless_joe_jackson_museum,0.367,,,missing_coordinates; has_external_url,https://southcarolinaparks.com/devils-fork,https://en.wikivoyage.org/wiki/Greenville_%28South_Carolina%29
europe/sweden/vnersborg,Vänersborg,Vänersborg,10,8,see,Kungajaktsmuseet Älgens berg,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Nabbensberg,europe/sweden/vnersborg/nabbensberg,0.474,,,missing_coordinates; has_external_url,http://www.algensberg.com,https://en.wikivoyage.org/wiki/V%C3%A4nersborg
europe/switzerland/grindelwald,Grindelwald,Grindelwald,7,10,see,Heimatmuseum,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Bahnhof Eismeer (Eismeer Station),europe/switzerland/grindelwald/bahnhof_eismeer,0.37,,,missing_coordinates; has_external_url,http://www.grindelwald-museum.ch/,https://en.wikivoyage.org/wiki/Grindelwald
europe/switzerland/solothurn,Solothurn,Solothurn,4,75,do,Advent im Kloster,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Verena Gorge Hermitage,europe/switzerland/solothurn/verena_gorge,0.359,,,missing_coordinates; has_external_url,https://www.adventimkloster.ch/,https://en.wikivoyage.org/wiki/Solothurn
northamerica/unitedstates/arizona/cave_creek,Cave Creek,Cave Creek,0,31,see,Tonto National Forest,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,,,0.0,,,missing_coordinates; has_external_url,http://www.fs.fed.us/r3/tonto/home.shtml,https://en.wikivoyage.org/wiki/Cave_Creek
northamerica/unitedstates/texas/austin,Austin,Austin,45,55,do,Austin Gay Pride,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Rainey Street,northamerica/unitedstates/texas/austin/rainey_street,0.483,,,missing_coordinates; has_external_url,http://www.austinpride.org,https://en.wikivoyage.org/wiki/Austin
northamerica/unitedstates/maine/doverfoxcroft,Dover-Foxcroft,Dover-Foxcroft,7,7,do,Peaks-Kenny State Park,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Blacksmith Shop Gallery,northamerica/unitedstates/maine/doverfoxcroft/blacksmith_shop_gallery,0.356,,,missing_coordinates; has_external_url,https://apps.web.maine.gov/cgi-bin/online/doc/parksearch/details.pl?park_id=20,https://en.wikivoyage.org/wiki/Dover-Foxcroft
northamerica/unitedstates/southdakota/siouxfalls,Sioux Falls,Sioux Falls,9,54,do,Great Bear Recreation Park,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Falls Park,northamerica/unitedstates/southdakota/siouxfalls/falls_park,0.333,,,missing_coordinates; has_external_url,http://www.greatbearpark.com,https://en.wikivoyage.org/wiki/Sioux_Falls
northamerica/unitedstates/newmexico/clovis,Clovis,Clovis (New Mexico),10,6,see,Ned Houk Park,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Lyceum Theater,northamerica/unitedstates/newmexico/clovis/lyceum_theater,0.37,,,missing_coordinates; has_external_url,https://www.cityofclovis.org/write/departments/parks-and-recreation/,https://en.wikivoyage.org/wiki/Clovis_%28New_Mexico%29
