world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
europe/finland/helsinki,Helsinki,Helsinki,56,99,do,World Village Festival,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Oodi Central Library,europe/finland/helsinki/oodi_library,0.381,,,missing_coordinates; has_external_url,http://www.maailmakylassa.fi/english/home,https://en.wikivoyage.org/wiki/Helsinki
asia/india/rajasthan/udaipur,Udaipur,Udaipur,47,77,do,Art of Bicycle Trips,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Ahar Cenotaphs,asia/india/rajasthan/udaipur/raas_devra,0.471,,,missing_coordinates; has_external_url,https://artofbicycletrips.com/destinations/udaipur/,https://en.wikivoyage.org/wiki/Udaipur
northamerica/unitedstates/florida/daytona_beach,Daytona Beach,Daytona Beach,17,102,do,City Island Tennis Complex,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Daytona International Speedway,northamerica/unitedstates/florida/daytona_beach/daytona_international_speedway,0.393,,,missing_coordinates; has_external_url,http://www.codb.us/facilities.aspx?search=1&CID=3&RID=47&Page=detail,https://en.wikivoyage.org/wiki/Daytona_Beach
northamerica/unitedstates/california/sanjose,San Jose,San Jose (California),6,114,do,Obon Festival,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Trine's Cafe #3,northamerica/unitedstates/california/sanjose/trines_cafe_3,0.296,,,missing_coordinates; has_external_url,http://www.sjbetsuin.org,https://en.wikivoyage.org/wiki/San_Jose_%28California%29
europe/unitedkingdom/scotland/edinburgh,Edinburgh,Edinburgh,99,58,do,St Andrew's Day,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,The Scran & Scallie,europe/unitedkingdom/scotland/edinburgh/scran_and_scallie,0.5,,,missing_coordinates; has_external_url,http://www.scotland.org/whats-on/st-andrews-day/,https://en.wikivoyage.org/wiki/Edinburgh
australiaandpacific/newzealand/kerikeri,Kerikeri,Kerikeri,5,31,see,Rewa's Village,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Rainbow Falls,australiaandpacific/newzealand/kerikeri/rainbow_falls,0.37,,,missing_coordinates; has_external_url,https://www.facebook.com/rewasvillage/,https://en.wikivoyage.org/wiki/Kerikeri
europe/france/normandybrittany/dieppe,Dieppe,Dieppe,5,22,see,ESTRAN Cité de la Mer,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Dieppe Canadian War Cemetery,europe/france/normandybrittany/dieppe/dieppe_canadian_war_cemetery,0.381,,,missing_coordinates; has_external_url,http://www.estrancitedelamer.fr/english/,https://en.wikivoyage.org/wiki/Dieppe
northamerica/unitedstates/california/salinas,Salinas,Salinas,5,25,do,The Western Stage,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,John Steinbeck House,northamerica/unitedstates/california/salinas/steinbeck_house,0.303,,,missing_coordinates; has_external_url,http://www.westernstage.com/,https://en.wikivoyage.org/wiki/Salinas
northamerica/unitedstates/northcarolina/chapelhill,Chapel Hill,Chapel Hill,11,65,see,GoTriangle,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Old Well,northamerica/unitedstates/northcarolina/chapelhill/old_well,0.333,,,missing_coordinates; has_external_url,https://gotriangle.org/,https://en.wikivoyage.org/wiki/Chapel_Hill
northamerica/unitedstates/delaware/rehobothbeach,Rehoboth Beach,Rehoboth Beach,9,43,see,Jolly Trolley,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Tanger Outlets,northamerica/unitedstates/delaware/rehobothbeach/tanger_outlets,0.37,,,missing_coordinates; has_external_url,http://www.jollytrolley.com/,https://en.wikivoyage.org/wiki/Rehoboth_Beach
asia/turkey/adana,Adana,Adana,12,23,see,Grand Mosque,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Sabancı Central Mosque,asia/turkey/adana/sabanci_merkez_mosque,0.545,,,missing_coordinates; has_external_url,https://www.kulturportali.gov.tr/turkiye/adana/gezilecekyer/ulu-camii891960,https://en.wikivoyage.org/wiki/Adana
europe/norway/spitsbergen/longyearbyen,Longyearbyen,Longyearbyen,9,32,do,Year round activities with Spitsbergen Travel,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Svalbard Global Seed Vault,europe/norway/spitsbergen/longyearbyen/svalbard_global_seed_vault,0.338,,,missing_coordinates; has_external_url,http://www.spitsbergentravel.com,https://en.wikivoyage.org/wiki/Longyearbyen
northamerica/unitedstates/newyorkstate/rochester,Rochester,Rochester (New York),13,238,do,Zoo Brew,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Dogtown,northamerica/unitedstates/newyorkstate/rochester/dogtown,0.4,,,missing_coordinates; has_external_url,http://senecaparkzoo.org/event/zoobrew/,https://en.wikivoyage.org/wiki/Rochester_%28New_York%29
