world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
europe/croatia/umag,Umag,Umag,5,5,see,Campsite Park Umag,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Istrian Olive Oil and Wine,europe/croatia/umag/istrian_olive_oil_and_wine,0.273,,,missing_coordinates; has_external_url,http://www.istracamping.com/en/camping/park-umag/overview,https://en.wikivoyage.org/wiki/Umag
europe/denmark/roskilde,Roskilde,Roskilde,20,59,see,Galleri NB,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Maglekilde Spring,europe/denmark/roskilde/maglekilde_spring,0.444,,,missing_coordinates; has_external_url,http://roskilde.gallerinb.com/,https://en.wikivoyage.org/wiki/Roskilde
asia/turkey/gaziantep,Gaziantep,Gaziantep,4,15,see,Archaeology Museum,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Zeugma Mosaic Museum,asia/turkey/gaziantep/zeugma_mosaic_museum,0.474,,,missing_coordinates; has_external_url,https://muze.gov.tr/muze-detay?sectionId=GZA01&distId=MRK,https://en.wikivoyage.org/wiki/Gaziantep
northamerica/unitedstates/washington/olympicnationalpark,Olympic National Park,Olympic National Park,10,49,do,Flapjack Lakes Trail,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Lake Crescent,northamerica/unitedstates/washington/olympicnationalpark/lake_crescent,0.364,,,missing_coordinates; has_external_url,https://www.nps.gov/olym/planyourvisit/flapjack-lakes-trail.htm,https://en.wikivoyage.org/wiki/Olympic_National_Park
northamerica/unitedstates/utah/torrey,Torrey,Torrey,6,15,do,Heritage Starfest,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Hickman Bridge,northamerica/unitedstates/utah/torrey/hickman_bridge,0.323,,,missing_coordinates; has_external_url,http://www.heritagestarfest.com/,https://en.wikivoyage.org/wiki/Torrey
northamerica/unitedstates/arizona/cave_creek,Cave Creek,Cave Creek,0,31,do,Spur Cross Cycles,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,,,0.0,,,missing_coordinates; has_external_url,http://spurcrosscycles.com/,https://en.wikivoyage.org/wiki/Cave_Creek
australiaandpacific/newzealand/south_island/otago/wanaka,Wanaka,Wanaka,8,27,see,World of Deer,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Puzzling World,australiaandpacific/newzealand/south_island/otago/wanaka/puzzling_world,0.37,,,missing_coordinates; has_external_url,https://worldofdeer.com,https://en.wikivoyage.org/wiki/Wanaka
northamerica/unitedstates/california/northcoast/petaluma,Petaluma,Petaluma,8,38,do,Sonoma Horse Park,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Shollenberger Park,northamerica/unitedstates/california/northcoast/petaluma/shollenberger_park,0.514,,,missing_coordinates; has_external_url,https://www.sonomahorsepark.com/,https://en.wikivoyage.org/wiki/Petaluma
northamerica/unitedstates/california/longbeach,Long Beach,Long Beach,10,97,do,Long Beach International Marathon,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Museum of Latin American Art,northamerica/unitedstates/california/longbeach/museum_of_latin_american_art,0.361,,,missing_coordinates; has_external_url,http://www.runlongbeach.com,https://en.wikivoyage.org/wiki/Long_Beach
northamerica/unitedstates/arizona/mesa,Mesa,Mesa,7,53,do,Chicago Cubs Spring Training,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Usery Mountain Regional Park,northamerica/unitedstates/arizona/mesa/usery_mountain_regional_park,0.321,,,missing_coordinates; has_external_url,https://www.mlb.com/cubs/sloan-park,https://en.wikivoyage.org/wiki/Mesa
europe/germany/northrhinewestphalia/cologne,Cologne,Cologne,17,152,do,Stadtgarten,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Altstadt (Old Town),europe/germany/northrhinewestphalia/cologne/altstadt,0.526,,,missing_coordinates; has_external_url,https://www.stadtgarten.de/,https://en.wikivoyage.org/wiki/Cologne
