world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
europe/czechrepublic/ostrava,Ostrava,Ostrava,14,28,do,Spectaculo Interesse,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Stodolní Street,europe/czechrepublic/ostrava/stodolni_street,0.471,,,missing_coordinates; has_external_url,http://www.dlo-ostrava.cz,https://en.wikivoyage.org/wiki/Ostrava
northamerica/unitedstates/texas/fort_worth,Fort Worth,Fort Worth,24,85,do,Main St. Fort Worth Arts Festival,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Fort Worth Water Gardens,northamerica/unitedstates/texas/fort_worth/fort_worth_water_gardens,0.536,,,missing_coordinates; has_external_url,http://www.MainStreetArtsFest.org,https://en.wikivoyage.org/wiki/Fort_Worth
asia/turkey/adana,Adana,Adana,12,23,see,Kuruköprü Monumental Church,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Saint Paul Catholic Church,asia/turkey/adana/saint_paul_church,0.423,,,missing_coordinates; has_external_url,https://www.kulturportali.gov.tr/turkiye/adana/gezilecekyer/adana-etnografya-muzesi,https://en.wikivoyage.org/wiki/Adana
australiaandpacific/australia/newsouthwales/goulburn,Goulburn,Goulburn,7,28,see,Wombeyan Caves,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Goulburn Court House,australiaandpacific/australia/newsouthwales/goulburn/goulburn_courthouse,0.353,,,missing_coordinates; has_external_url,http://www.environment.nsw.gov.au/NationalParks/parkHome.aspx?id=N0352,https://en.wikivoyage.org/wiki/Goulburn
europe/italy/friuliveneziagiulia/udine,Udine,Udine,18,9,see,Ethnographic Museum,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Oratorio della Purità,europe/italy/friuliveneziagiulia/udine/oratorio_della_purita,0.359,,,missing_coordinates; has_external_url,http://www.udinecultura.it/opencms/opencms/release/ComuneUdine/cittavicina/cultura/en/musei/etnografico/index.html,https://en.wikivoyage.org/wiki/Udine
northamerica/jamaica/montegobay,Montego Bay,Montego Bay,13,22,do,Rockland Bird Sanctuary,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Greenwood Great House,northamerica/jamaica/montegobay/greenwood_great_house,0.364,,,missing_coordinates; has_external_url,http://rocklandsbirdsanctuary.info/,https://en.wikivoyage.org/wiki/Montego_Bay
australiaandpacific/australia/queensland/sunshinecoast,Sunshine Coast,Sunshine Coast,7,112,see,David Hart Galleries,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Noosa National Park,australiaandpacific/australia/queensland/sunshinecoast/noosa_national_park,0.359,,,missing_coordinates; has_external_url,http://www.davidhartgalleries.com.au/,https://en.wikivoyage.org/wiki/Sunshine_Coast
northamerica/unitedstates/georgia/macon,Macon,Macon (Georgia),6,41,do,Cherry Blossom Festival,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Capricorn Sound Studio,northamerica/unitedstates/georgia/macon/capricorn_studios,0.4,,,missing_coordinates; has_external_url,http://www.nationalcherryblossomfestival.org/cms/index.php?id=390,https://en.wikivoyage.org/wiki/Macon_%28Georgia%29
europe/finland/vaasa,Vaasa,Vaasa,12,80,do,Night of the Arts,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Centre Bars,europe/finland/vaasa/pub_old_town,0.5,,,missing_coordinates; has_external_url,http://www1.vaasa.fi/taiteidenyo/,https://en.wikivoyage.org/wiki/Vaasa
southamerica/brazil/recife,Recife,Recife,34,154,see,Museum of the State of Pernambuco,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Basilica Nossa Senhora de Penha,southamerica/brazil/recife/basilica_nossa_senhora_de_penha,0.421,,,missing_coordinates; has_external_url,https://www.museudoestadope.com.br/,https://en.wikivoyage.org/wiki/Recife
asia/malaysia/tamannegara,Taman Negara,Taman Negara,7,19,see,HAN Travel Coach,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Canopy Walkway,asia/malaysia/tamannegara/canopy_walkway,0.267,,,missing_coordinates; has_external_url,http://www.han-travel.com/,https://en.wikivoyage.org/wiki/Taman_Negara
southamerica/brazil/fernando_de_noronha,Fernando de Noronha,Fernando de Noronha,7,14,see,Abreu,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Diving and Snorkelling,southamerica/brazil/fernando_de_noronha/diving,0.222,,,missing_coordinates; has_external_url,https://www.parnanoronha.com.br/abreu,https://en.wikivoyage.org/wiki/Fernando_de_Noronha
europe/finland/vaasa,Vaasa,Vaasa,12,80,do,Korsholm Music Festival,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Harbour Restaurants,europe/finland/vaasa/harbour_restaurants,0.381,,,missing_coordinates; has_external_url,http://www.korsholmmusicfestival.fi,https://en.wikivoyage.org/wiki/Vaasa
northamerica/unitedstates/california/longbeach,Long Beach,Long Beach,10,97,do,Long Beach Grand Prix,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Astronaut Islands,northamerica/unitedstates/california/longbeach/astronaut_islands,0.368,,,missing_coordinates; has_external_url,http://www.gplb.com/,https://en.wikivoyage.org/wiki/Long_Beach
northamerica/unitedstates/rhodeisland/providence,Providence,Providence,15,19,see,RIPTA,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Rhode Island State House,northamerica/unitedstates/rhodeisland/providence/rhode_island_state_house,0.276,,,missing_coordinates; has_external_url,http://www.ripta.com,https://en.wikivoyage.org/wiki/Providence
northamerica/costarica/heredia,Heredia,Heredia,7,59,do,Centro Panamericano de Idiomas,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Coffee Plantation Tours,northamerica/costarica/heredia/coffee_plantations,0.4,,,missing_coordinates; has_external_url,https://www.cpi-edu.com/spanish-on-site/,https://en.wikivoyage.org/wiki/Heredia
northamerica/unitedstates/wisconsin/milwaukee,Milwaukee,Milwaukee,10,127,do,Lakefront Kite Festivals,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Milwaukee Riverwalk,northamerica/unitedstates/wisconsin/milwaukee/milwaukee_riverwalk,0.465,,,missing_coordinates; has_external_url,https://www.visitmilwaukee.org/event/gift-of-wings-cool-fool-kite-festival/2884/,https://en.wikivoyage.org/wiki/Milwaukee
europe/portugal/arcos_de_valdevez,Arcos de Valdevez,Arcos de Valdevez,3,8,see,Paço da Giela,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Gateway to Peneda-Gerês National Park,europe/portugal/arcos_de_valdevez/peneda_geres_access,0.4,,,missing_coordinates; has_external_url,https://pacodegiela.cmav.pt/,https://en.wikivoyage.org/wiki/Arcos_de_Valdevez
asia/india/uttaranchal/nainital,Nainital,Nainital,5,22,do,Cave Garden,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Naina Devi Temple,asia/india/uttaranchal/nainital/naina_devi_temple,0.286,,,missing_coordinates; has_external_url,http://www.nainitaltourism.com/cave_garden.html,https://en.wikivoyage.org/wiki/Nainital
northamerica/unitedstates/tennessee/chattanooga,Chattanooga,Chattanooga,20,86,do,Enjoy Lake Winnepesaukah Amusement Park,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Sculpture Fields at Montague Park,northamerica/unitedstates/tennessee/chattanooga/sculpture_fields,0.444,,,missing_coordinates; has_external_url,http://lakewinnie.com/,https://en.wikivoyage.org/wiki/Chattanooga
northamerica/canada/saskatchewan/saskatoon,Saskatoon,Saskatoon,6,72,do,Saskatoon Exhibition,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Wanuskewin Heritage Park,northamerica/canada/saskatchewan/saskatoon/wanuskewin_heritage_park,0.364,,,missing_coordinates; has_external_url,http://www.saskatoonexhibition.ca,https://en.wikivoyage.org/wiki/Saskatoon
europe/spain/catalonia/banyoles,Banyoles,Banyoles,5,14,see,Museu Arqueològic Comarcal de Banyoles,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Archaeological Museum of Banyoles,europe/spain/catalonia/banyoles/archaeological_museum,0.441,,,missing_coordinates; has_external_url,https://www.museusdebanyoles.cat/VISITANS/Museu-Arqueol%C3%B2gic-de-Banyoles/Horaris,https://en.wikivoyage.org/wiki/Banyoles
europe/germany/bavaria/erlangen,Erlangen,Erlangen,6,167,do,Tag des offenen Denkmals,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Botanical Garden Erlangen,europe/germany/bavaria/erlangen/botanical_garden_erlangen,0.356,,,missing_coordinates; has_external_url,https://maps.tag-des-offenen-denkmals.de,https://en.wikivoyage.org/wiki/Erlangen
europe/germany/saxonyanhalt/quedlinburg,Quedlinburg,Quedlinburg,14,26,see,Stiftskirche St Servatii und Domschatz,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Collegiate Church of St. Servatius,europe/germany/saxonyanhalt/quedlinburg/collegiate_church_of_st_servatius,0.507,,,missing_coordinates; has_external_url,http://www.domschatzquedlinburg.de,https://en.wikivoyage.org/wiki/Quedlinburg
europe/ireland/sligo,Sligo,Sligo,17,38,do,County Sligo Heritage and Genealogy Centre,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Sligo Town Hall,europe/ireland/sligo/sligo_town_hall,0.386,,,missing_coordinates; has_external_url,https://www.sligoroots.com,https://en.wikivoyage.org/wiki/Sligo
australiaandpacific/australia/queensland/brisbane,Brisbane,Brisbane,21,164,do,Explore Brisbane's Moreton Bay and Islands,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Brisbane City Hall,australiaandpacific/australia/queensland/brisbane/brisbane_city_hall,0.467,,,missing_coordinates; has_external_url,http://www.visitbrisbane.com.au/Travel/Destination-Maps/Moreton-Bay-Islands.aspx,https://en.wikivoyage.org/wiki/Brisbane
northamerica/unitedstates/florida/st_augustine,St. Augustine,St. Augustine,15,75,do,Blessing of the Fleet,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,St. George Street,northamerica/unitedstates/florida/st_augustine/st_george_street,0.424,,,missing_coordinates; has_external_url,https://www.visitstaugustine.com/event/blessing-fleet,https://en.wikivoyage.org/wiki/St._Augustine
northamerica/thecaribbean/saintmartin,Saint-Martin,Saint Martin,12,9,do,SXM Padel,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Pic du Paradis,northamerica/thecaribbean/saintmartin/pic_du_paradis,0.4,,,missing_coordinates; has_external_url,https://www.stmaarten-activities.com/,https://en.wikivoyage.org/wiki/Saint_Martin
europe/italy/trentinoaltoadige/bolzano,Bolzano,Bolzano,10,55,do,Cristallo Theatre,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Piazza Walther,europe/italy/trentinoaltoadige/bolzano/piazza_walther,0.452,,,missing_coordinates; has_external_url,http://www.teatrocristallo.it,https://en.wikivoyage.org/wiki/Bolzano
northamerica/unitedstates/massachusetts/nantucket,Nantucket,Nantucket,14,51,see,Museum of African American History,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Jethro Coffin House,northamerica/unitedstates/massachusetts/nantucket/jethro_coffin_house,0.377,,,missing_coordinates; has_external_url,https://www.maah.org/,https://en.wikivoyage.org/wiki/Nantucket
europe/germany/northrhinewestphalia/bochum,Bochum,Bochum,12,93,see,Zeche Hannover,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Café Zoe,europe/germany/northrhinewestphalia/bochum/cafe_zOe,0.381,,,missing_coordinates; has_external_url,http://www.lwl.org/industriemuseum/standorte/zeche-hannover/english,https://en.wikivoyage.org/wiki/Bochum
northamerica/unitedstates/indiana/bloomington,Bloomington,Bloomington (Indiana),13,70,do,Gallery Walk,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Lilly Library,northamerica/unitedstates/indiana/bloomington/lilly_library,0.4,,,missing_coordinates; has_external_url,https://www.gallerywalkbloomington.com/,https://en.wikivoyage.org/wiki/Bloomington_%28Indiana%29
