world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
northamerica/unitedstates/iowa/dubuque,Dubuque,Dubuque,4,50,see,Park Farm Winery,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Dubuque Shot Tower,northamerica/unitedstates/iowa/dubuque/dubuque_shot_tower,0.294,,,missing_coordinates; has_external_url,http://www.parkfarmwinery.com/,https://en.wikivoyage.org/wiki/Dubuque
northamerica/unitedstates/iowa/iowacity,Iowa City,Iowa City,16,48,see,Johnson County Historical Society Museum,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Stanley Museum of Art,northamerica/unitedstates/iowa/iowacity/museum_of_art,0.426,,,missing_coordinates; has_external_url,https://johnsoncountyhistory.org/,https://en.wikivoyage.org/wiki/Iowa_City
northamerica/unitedstates/georgia/helen,Helen,Helen,9,29,see,Sautee Store,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Hardman Farm State Historic Site,northamerica/unitedstates/georgia/helen/hardman_farm,0.409,,,missing_coordinates; has_external_url,http://www.sauteestore.com/,https://en.wikivoyage.org/wiki/Helen
northamerica/unitedstates/rhodeisland/coventry,Coventry,Coventry (Rhode Island),2,22,do,Audubon George Parker Woodland Wildlife Refuge,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Nathanael Greene Homestead,northamerica/unitedstates/rhodeisland/coventry/nathanael_greene_homestead,0.25,,,missing_coordinates; has_external_url,https://asri.org/hike/wildliferefuges/george-b-parker-woodland-wildlife-refuge.html,https://en.wikivoyage.org/wiki/Coventry_%28Rhode_Island%29
europe/italy/emiliaromagna/modena,Modena,Modena,12,47,see,Stanguellini Vintage Car Museum,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,San Cataldo Cemetery,europe/italy/emiliaromagna/modena/san_cataldo_cemetery,0.353,,,missing_coordinates; has_external_url,http://www.stanguellini.it,https://en.wikivoyage.org/wiki/Modena
europe/switzerland/lugano,Lugano,Lugano,7,47,do,Swimming,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Lakeside Dining,europe/switzerland/lugano/lakeside_dining,0.435,,,missing_coordinates; has_external_url,http://www.luganoturismo.ch/en/see-do/lidos-and-swimming-pools/detail/id/3432/lido-di-lugano,https://en.wikivoyage.org/wiki/Lugano
northamerica/unitedstates/delaware/dewey_beach,Dewey Beach,Dewey Beach,3,30,do,Dewey Beach Parasail,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Delaware Seashore State Park,northamerica/unitedstates/delaware/dewey_beach/delaware_seashore_state_park,0.5,,,missing_coordinates; has_external_url,https://www.flydewey.com/,https://en.wikivoyage.org/wiki/Dewey_Beach
asia/turkey/ankara,Ankara,Ankara,13,116,see,PTT Post Museum,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Ethnography Museum,asia/turkey/ankara/ethnography_museum,0.545,,,missing_coordinates; has_external_url,http://www.pttpulmuzesi.org.tr/,https://en.wikivoyage.org/wiki/Ankara
europe/unitedkingdom/england/manchester_liverpool_and_north_west/warrington,Warrington,Warrington,4,18,do,North West Face,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Parish Church of St Elphin,europe/unitedkingdom/england/manchester_liverpool_and_north_west/warrington/st_elphin,0.341,,,missing_coordinates; has_external_url,https://www.northwestface.com/,https://en.wikivoyage.org/wiki/Warrington
europe/poland/bielsko,Bielsko-Biała,Bielsko-Biała,10,15,do,Teatr Polski,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Cathedral of St. Nicholas,europe/poland/bielsko/cathedral_st_nicholas,0.389,,,missing_coordinates; has_external_url,https://www.teatr.bielsko.pl/,https://en.wikivoyage.org/wiki/Bielsko-Bia%C5%82a
southamerica/ecuador/galapagosislands/theislands,The Galápagos Islands,Galapagos Islands,1,30,see,Explorers' Corner,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Wildlife Scuba Diving,southamerica/ecuador/galapagosislands/wildlife_scuba_div,0.27,,,missing_coordinates; has_external_url,http://www.explorerscorner.com,https://en.wikivoyage.org/wiki/Galapagos_Islands
northamerica/unitedstates/arizona/prescott,Prescott,Prescott,12,23,do,Mile-High Trail System,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Granite Dells,northamerica/unitedstates/arizona/prescott/granite_dells,0.343,,,missing_coordinates; has_external_url,https://www.visit-prescott.com/place/mile-high-trail-system/,https://en.wikivoyage.org/wiki/Prescott
europe/ukraine/donetsk,Donetsk,Donetsk,12,124,do,Donetsk minizoo,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Donbas Arena,europe/ukraine/donetsk/donbas_arena,0.444,,,missing_coordinates; has_external_url,http://www.minizoo.donetsk.ua,https://en.wikivoyage.org/wiki/Donetsk
europe/unitedkingdom/england/bristol_plymouth_and_the_south_west/cornwall/st_ives,St Ives,St Ives,8,13,do,New Year's Eve Fancy Dress and Fireworks,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Barbara Hepworth Sculpture Garden,europe/unitedkingdom/england/bristol_plymouth_and_the_south_west/cornwall/st_ives/barbara_hepworth_museum,0.301,,,missing_coordinates; has_external_url,http://www.stivesindecember.co.uk/St-Ives-in-December-Events/new-years-eve-fancy-dress-and-fireworks/,https://en.wikivoyage.org/wiki/St_Ives
europe/germany/northrhinewestphalia/bochum,Bochum,Bochum,12,93,see,Museum of historic medical tools,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Bermuda3Eck Street Food,europe/germany/northrhinewestphalia/bochum/bermuda3eck_market_food,0.4,,,missing_coordinates; has_external_url,http://www.rub.de/malakow,https://en.wikivoyage.org/wiki/Bochum
northamerica/guatemala/flores,Flores,Flores (Guatemala),17,36,see,ARCAS (Asociaciòn de Rescate y Conservaciòn de Vida Silvestre),0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Raices,northamerica/guatemala/flores/raices,0.545,,,missing_coordinates; has_external_url,http://www.arcasguatemala.com,https://en.wikivoyage.org/wiki/Flores_%28Guatemala%29
europe/germany/saxonyanhalt/quedlinburg,Quedlinburg,Quedlinburg,14,26,do,NordHarzer Stadtebundtheater,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Finkenherd Quarter,europe/germany/saxonyanhalt/quedlinburg/finkenherd_quarter,0.391,,,missing_coordinates; has_external_url,http://www.harztheater.de,https://en.wikivoyage.org/wiki/Quedlinburg
northamerica/unitedstates/vermont/burlington,Burlington,Burlington (Vermont),8,85,do,The Bern Gallery,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Vermont Pub and Brewery,northamerica/unitedstates/vermont/burlington/vermont_pub_brewery,0.457,,,missing_coordinates; has_external_url,https://berngallery.com/,https://en.wikivoyage.org/wiki/Burlington_%28Vermont%29
europe/poland/warsaw,Warsaw,Warsaw,56,70,see,Collegium Civitas,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Copernicus Science Centre,europe/poland/warsaw/centre_science_copernicus,0.429,,,missing_coordinates; has_external_url,http://www.collegium.edu.pl,https://en.wikivoyage.org/wiki/Warsaw
australiaandpacific/australia/newsouthwales/sydney,Sydney,Sydney,47,43,see,Vivid Sydney,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,SEA LIFE Sydney Aquarium,australiaandpacific/australia/newsouthwales/sydney/sydneyaquarium,0.444,,,missing_coordinates; has_external_url,http://www.vividsydney.com,https://en.wikivoyage.org/wiki/Sydney
northamerica/unitedstates/california/sanjose,San Jose,San Jose (California),6,114,see,Japantown,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Eating Out,northamerica/unitedstates/california/sanjose/eating_out,0.316,,,missing_coordinates; has_external_url,http://www.japantownsanjose.org/,https://en.wikivoyage.org/wiki/San_Jose_%28California%29
australiaandpacific/australia/newsouthwales/newcastle,Newcastle,Newcastle (New South Wales),16,75,do,Mattara Festival,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Blackbutt Reserve,australiaandpacific/australia/newsouthwales/newcastle/blackbutt_reserve,0.424,,,missing_coordinates; has_external_url,https://www.facebook.com/MattaraFestivalNewcastle/,https://en.wikivoyage.org/wiki/Newcastle_%28New_South_Wales%29
northamerica/unitedstates/hawaii/kailuakona,Kailua-Kona,Kailua-Kona,12,40,do,Hawaii Forest & Trail,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Alii Drive,northamerica/unitedstates/hawaii/kailuakona/alii_drive,0.424,,,missing_coordinates; has_external_url,http://www.hawaii-forest.com,https://en.wikivoyage.org/wiki/Kailua-Kona
europe/switzerland/solothurn,Solothurn,Solothurn,4,75,do,Kofmehl,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Kunstmuseum Solothurn,europe/switzerland/solothurn/kunstmuseum,0.286,,,missing_coordinates; has_external_url,https://kofmehl.net/,https://en.wikivoyage.org/wiki/Solothurn
africa/tunisia/kairouan,Kairouan,Kairouan,10,10,see,Raqqada National Museum of Islamic art,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Great Mosque of Kairouan (Mosque of Uqba),africa/tunisia/kairouan/great_mosque,0.452,,,missing_coordinates; has_external_url,http://www.patrimoinedetunisie.com.tn/eng/musees/raqqada.php#,https://en.wikivoyage.org/wiki/Kairouan
europe/ukraine/kharkiv,Kharkiv,Kharkiv,13,157,see,AS art gallery,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Kharkiv Art Museum,europe/ukraine/kharkiv/kharkiv_art_museum,0.438,,,missing_coordinates; has_external_url,http://art-cg.com.ua,https://en.wikivoyage.org/wiki/Kharkiv
northamerica/unitedstates/california/orangecounty/irvine,Irvine,Irvine,9,52,see,Woodbridge Community Park,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Concordia University Irvine,northamerica/unitedstates/california/orangecounty/irvine/concordia_university,0.346,,,missing_coordinates; has_external_url,https://www.cityofirvine.org/parks-facilities,https://en.wikivoyage.org/wiki/Irvine
europe/spain/galicia/vigo_city,Vigo,Vigo,14,32,see,Santa María de Castrelos,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Santa María Collegiate Church,europe/spain/galicia/vigo_city/santa_maria_collegiate,0.522,,,missing_coordinates; has_external_url,https://hoxe.vigo.org/movemonos/ig_castrelos.php,https://en.wikivoyage.org/wiki/Vigo
australiaandpacific/newzealand/north_island/northland/paihia,Paihia,Paihia,6,14,do,Discover the Bay - 'Hole in the Rock' and dolphin viewing cruise,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Hole in the Rock Cruise,australiaandpacific/newzealand/north_island/northland/paihia/hole_in_the_rock,0.535,,,missing_coordinates; has_external_url,http://www.exploregroup.co.nz,https://en.wikivoyage.org/wiki/Paihia
