world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
asia/thailand/surin_province/surin,Surin,Surin,6,21,see,Wat Burapharam,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Prasat Sikhoraphum,asia/thailand/surin_province/surin/prasat_sikhoraphum,0.5,,,missing_coordinates; has_external_url,https://www.tourismthailand.org/Attraction/wat-buraparam,https://en.wikivoyage.org/wiki/Surin
asia/bhutan/jakar,Jakar,Jakar,10,20,see,Ugyen Choling Palace,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Bumthang Valley,asia/bhutan/jakar/bumthang_valley,0.457,,,missing_coordinates; has_external_url,https://www.oling.bt/,https://en.wikivoyage.org/wiki/Jakar
europe/russia/vladimir,Vladimir,Vladimir,4,75,see,Military museum,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Cathedral of Saint Demetrius,europe/russia/vladimir/cathedral_saint_demetrius,0.279,,,missing_coordinates; has_external_url,http://www.museum.vladimir.ru/eng/exhibition/vladimir/war_histori_e?menu=vladimir_exhibition,https://en.wikivoyage.org/wiki/Vladimir
asia/cyprus/larnaca,Larnaca,Larnaca,12,26,do,Aquadream Scuba Diving Academy,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Larnaca District Archaeological Museum,asia/cyprus/larnaca/larnaca_archaeological_museum,0.412,,,missing_coordinates; has_external_url,https://www.facebook.com/aquadream.scubaacademy/,https://en.wikivoyage.org/wiki/Larnaca
northamerica/unitedstates/arizona/cave_creek,Cave Creek,Cave Creek,0,31,see,Bartlet Lake,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,,,0.0,,,missing_coordinates; has_external_url,https://www.fs.usda.gov/recarea/tonto/recarea/?recid=35333,https://en.wikivoyage.org/wiki/Cave_Creek
europe/unitedkingdom/england/bristol_plymouth_and_the_south_west/swindon,Swindon,Swindon,6,27,do,Swindon & Cricklade Railway,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Swindon Mechanics' Institute,europe/unitedkingdom/england/bristol_plymouth_and_the_south_west/swindon/swindon_mechanics_institute,0.5,,,missing_coordinates; has_external_url,http://www.swindon-cricklade-railway.org/,https://en.wikivoyage.org/wiki/Swindon
northamerica/unitedstates/california/sanmateo,San Mateo,San Mateo (California),6,29,see,Veil Parasol Temple,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,San Mateo Central Park,northamerica/unitedstates/california/sanmateo/central_park,0.293,,,missing_coordinates; has_external_url,https://veilparasol.org/,https://en.wikivoyage.org/wiki/San_Mateo_%28California%29
northamerica/canada/newbrunswick/fredericton,Fredericton,Fredericton,6,71,do,Odell Park,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Boyce Farmers Market,northamerica/canada/newbrunswick/fredericton/boyce_farmers_market,0.4,,,missing_coordinates; has_external_url,http://www.tourismfredericton.ca/en/experience/odell-park-odell-arboretum,https://en.wikivoyage.org/wiki/Fredericton
europe/france/centre/auvergne/vichy,Vichy,Vichy,14,77,see,Museum of African and Asian Arts,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Lac d'Allier and the River Parks,europe/france/centre/auvergne/vichy/lac_d_allier,0.467,,,missing_coordinates; has_external_url,http://musee-aaa.com/,https://en.wikivoyage.org/wiki/Vichy
northamerica/unitedstates/arizona/sedona,Sedona,Sedona,11,44,do,Desert Canyon Loop Scenic Drive,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Devil's Kitchen Sinkhole,northamerica/unitedstates/arizona/sedona/devil_s_kitchen_sinkhole,0.4,,,missing_coordinates; has_external_url,http://www.fs.usda.gov/recarea/coconino/recreation/scenicdrivinginfo/recarea/?recid=74379&actid=105,https://en.wikivoyage.org/wiki/Sedona
africa/southafrica/krugernationalpark,Kruger National Park,Kruger National Park,7,74,do,Olifants River Back Pack Trail,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Olifants Rest Camp,africa/southafrica/krugernationalpark/olifants_camp,0.542,,,missing_coordinates; has_external_url,http://www.sanparks.org/parks/kruger/tourism/activities/olifants.php,https://en.wikivoyage.org/wiki/Kruger_National_Park
northamerica/unitedstates/georgia/valdosta,Valdosta,Valdosta,8,27,do,Theatre Guild Valdosta,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Campus Bar near Valdosta State,northamerica/unitedstates/georgia/valdosta/campus_bar,0.462,,,missing_coordinates; has_external_url,http://www.theatreguildvaldosta.com/,https://en.wikivoyage.org/wiki/Valdosta
europe/switzerland/solothurn,Solothurn,Solothurn,4,75,do,Explore the Bucheggberg,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Solothurn Cathedral,europe/switzerland/solothurn/solothurn_cathedral,0.368,,,missing_coordinates; has_external_url,https://www.kantonsolothurntourismus.ch/regionen/solothurn-stadt-und-region/bucheggberg/,https://en.wikivoyage.org/wiki/Solothurn
northamerica/unitedstates/texas/austin,Austin,Austin,45,55,do,ABC Kite Festival,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Lake Travis,northamerica/unitedstates/texas/austin/lake_travis,0.429,,,missing_coordinates; has_external_url,https://www.abckitefestival.org/,https://en.wikivoyage.org/wiki/Austin
asia/turkey/kayseri,Kayseri,Kayseri,5,10,see,National Struggle Museum,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Kayseri Archaeology Museum,asia/turkey/kayseri/kayseri_archaeology_museum,0.4,,,missing_coordinates; has_external_url,http://www.kayseri.gov.tr/milli-mucadele-muzesi,https://en.wikivoyage.org/wiki/Kayseri
northamerica/unitedstates/newyorkstate/hudson,Hudson,Hudson (New York),10,13,see,St. Mary's Church,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,The Maker Hotel Restaurant,northamerica/unitedstates/newyorkstate/hudson/the_maker_hotel_restaurant,0.368,,,missing_coordinates; has_external_url,https://holytrinityhudson.org/,https://en.wikivoyage.org/wiki/Hudson_%28New_York%29
northamerica/unitedstates/georgia/valdosta,Valdosta,Valdosta,8,27,see,The Crescent at Valdosta Garden Center,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Campus Bar near Valdosta State,northamerica/unitedstates/georgia/valdosta/campus_bar,0.469,,,missing_coordinates; has_external_url,https://www.thecrescentvaldosta.com/,https://en.wikivoyage.org/wiki/Valdosta
northamerica/unitedstates/pennsylvania/harrisburg,Harrisburg,Harrisburg,6,44,do,Arts Festival,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Broad Street Market,northamerica/unitedstates/pennsylvania/harrisburg/broad_street_market,0.312,,,missing_coordinates; has_external_url,https://harrisburgpa.gov/events/artsfest.php,https://en.wikivoyage.org/wiki/Harrisburg
europe/greece/larissa,Larissa,Larissa,11,21,see,Ancient Greek Theater,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,First Ancient Theatre of Larissa,europe/greece/larissa/first_ancient_theatre,0.528,,,missing_coordinates; has_external_url,http://www.tourismlarissa.gr/index.php?option=com_content&view=article&id=176&Itemid=397&lang=en,https://en.wikivoyage.org/wiki/Larissa
europe/hungary/satoraljaujhely,Sátoraljaújhely,Sátoraljaújhely,4,94,do,Castle of Füzér Days,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Tokaj-Hegyalja Wine Country,europe/hungary/satoraljaujhely/tokaj_wine_route,0.298,,,missing_coordinates; has_external_url,https://fuzervara.hu/vargondnoksag/rendezvenyeink/,https://en.wikivoyage.org/wiki/S%C3%A1toralja%C3%BAjhely
northamerica/unitedstates/california/sandiego,San Diego,San Diego,58,25,see,Amtrak,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Del Mar Racetrack,northamerica/unitedstates/california/sandiego/del_mar_racetrack,0.526,,,missing_coordinates; has_external_url,http://www.amtrak.com/pacific-surfliner-train,https://en.wikivoyage.org/wiki/San_Diego
northamerica/unitedstates/washington/bellingham,Bellingham,Bellingham (Washington),17,65,do,Ski to Sea Race,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Tony's Coffee,northamerica/unitedstates/washington/bellingham/tonys_coffee,0.5,,,missing_coordinates; has_external_url,https://skitosea.com/,https://en.wikivoyage.org/wiki/Bellingham_%28Washington%29
northamerica/unitedstates/iowa/dubuque,Dubuque,Dubuque,4,50,do,Heritage Trail,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Fenelon Place Elevator,northamerica/unitedstates/iowa/dubuque/fenelon_place_elevator,0.278,,,missing_coordinates; has_external_url,https://www.mycountyparks.com/county/dubuque/Park/Heritage-Trail.aspx,https://en.wikivoyage.org/wiki/Dubuque
northamerica/unitedstates/newmexico/tucumcari,Tucumcari,Tucumcari,8,22,see,New Mexico Route 66 Museum,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Mesalands Dinosaur Museum,northamerica/unitedstates/newmexico/tucumcari/mesalands_dinosaur_museum,0.471,,,missing_coordinates; has_external_url,http://www.nmrt66museum.org,https://en.wikivoyage.org/wiki/Tucumcari
northamerica/turksandcaicosislands/providenciales,Providenciales,Providenciales,7,49,do,Conch Festival,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Cheshire Hall Plantation,northamerica/turksandcaicosislands/providenciales/cheshire_hall,0.368,,,missing_coordinates; has_external_url,http://www.conchfestival.com/,https://en.wikivoyage.org/wiki/Providenciales
northamerica/unitedstates/newjersey/trenton,Trenton,Trenton,11,34,do,Trenton Punk Rock Flea Market,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Trenton Makes Bridge Sign,northamerica/unitedstates/newjersey/trenton/trenton_makes_bridge,0.444,,,missing_coordinates; has_external_url,http://www.trentonpunkrockfleamarket.com/,https://en.wikivoyage.org/wiki/Trenton
europe/germany/schleswigholstein/lubeck,Lübeck,Lübeck,32,58,see,Synagogue,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,St Jakobikirche,europe/germany/schleswigholstein/lubeck/st_jakobi,0.333,,,missing_coordinates; has_external_url,http://www.jg-luebeck.de/,https://en.wikivoyage.org/wiki/L%C3%BCbeck
asia/turkey/kayseri,Kayseri,Kayseri,5,10,see,Seljuk Civilisation Museum,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Kayseri Archaeology Museum,asia/turkey/kayseri/kayseri_archaeology_museum,0.462,,,missing_coordinates; has_external_url,http://www.selcuklumuzesi.com/,https://en.wikivoyage.org/wiki/Kayseri
asia/thailand/kohphiphi,Koh Phi Phi,Ko Phi Phi,8,70,do,Sea Bees Diving,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Tonsai Village,asia/thailand/kohphiphi/tonsai_village,0.414,,,missing_coordinates; has_external_url,http://www.sea-bees.com/,https://en.wikivoyage.org/wiki/Ko_Phi_Phi
europe/germany/northrhinewestphalia/bochum,Bochum,Bochum,12,93,do,FIDENA,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Deutsches Bergbaumuseum,europe/germany/northrhinewestphalia/bochum/deutsches_bergbaumuseum,0.207,,,missing_coordinates; has_external_url,http://www.fidena.de/,https://en.wikivoyage.org/wiki/Bochum
northamerica/unitedstates/idaho/boise,Boise,Boise,14,73,do,First Thursday,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Boise Foothills,northamerica/unitedstates/idaho/boise/boise_foothills,0.414,,,missing_coordinates; has_external_url,http://www.downtownboise.org/index.cfm/events/dba_events/first_thursday,https://en.wikivoyage.org/wiki/Boise
asia/india/rajasthan/udaipur,Udaipur,Udaipur,47,77,do,Princess Trails,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Pala Ganesh Temple,asia/india/rajasthan/udaipur/pala_ganesh_temple,0.424,,,missing_coordinates; has_external_url,http://www.princesstrails.com/,https://en.wikivoyage.org/wiki/Udaipur
northamerica/unitedstates/california/pasadena,Pasadena,Pasadena,14,46,do,Rose Parade,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Old Town Pasadena,northamerica/unitedstates/california/pasadena/oldtownpasadena,0.5,,,missing_coordinates; has_external_url,http://www.tournamentofroses.com,https://en.wikivoyage.org/wiki/Pasadena
northamerica/unitedstates/rhodeisland/newport,Newport,Newport (Rhode Island),10,111,do,Taste of Rhode Island,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Thames Street and the Waterfront,northamerica/unitedstates/rhodeisland/newport/thames_street,0.408,,,missing_coordinates; has_external_url,http://www.newportwaterfrontevents.com,https://en.wikivoyage.org/wiki/Newport_%28Rhode_Island%29
