world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
europe/germany/lowersaxony/goslar,Goslar,Goslar,13,36,see,Haus am Steinberg,0.59,candidate,has description; high-value type; has external URL,,,Mönchehaus Museum,europe/germany/lowersaxony/goslar/moenchehaus_museum,0.471,,,missing_coordinates; has_external_url,http://www.hausamsteinberg.de,https://en.wikivoyage.org/wiki/Goslar
northamerica/mexico/guadalajara,Guadalajara,Guadalajara,43,110,see,El Salvador,0.59,candidate,has description; high-value type; has external URL,,,Estadio Akron (Chivas),northamerica/mexico/guadalajara/estadio_akron,0.476,,,missing_coordinates; has_external_url,https://rree.gob.sv/servicios-consulares/,https://en.wikivoyage.org/wiki/Guadalajara
northamerica/unitedstates/newjersey/lambertville,Lambertville,Lambertville,4,9,do,Riverside Symphonia,0.59,candidate,has description; high-value type; has external URL,,,Lambertville Historical Society,northamerica/unitedstates/newjersey/lambertville/lambertville_historical_society,0.32,,,missing_coordinates; has_external_url,http://www.riversidesymphonia.org,https://en.wikivoyage.org/wiki/Lambertville
australiaandpacific/newzealand/south_island/otago/dunedin,Dunedin,Dunedin,15,102,see,Orbus,0.59,candidate,has description; high-value type; has external URL,,,Otago Museum,australiaandpacific/newzealand/south_island/otago/dunedin/otago_museum,0.353,,,missing_coordinates; has_external_url,https://www.orc.govt.nz/public-transport/dunedin-buses/check-your-timetables/1-palmerston-city,https://en.wikivoyage.org/wiki/Dunedin
australiaandpacific/newzealand/palmerstonnorth,Palmerston North,Palmerston North,13,32,do,Ruahine AFC,0.59,candidate,has description; high-value type; has external URL,,,The Square,australiaandpacific/newzealand/palmerstonnorth/the_square,0.353,,,missing_coordinates; has_external_url,http://ruahineafc.co.nz,https://en.wikivoyage.org/wiki/Palmerston_North
northamerica/canada/britishcolumbia/osoyoos,Osoyoos,Osoyoos,7,30,do,Annual Cherry Fiesta,0.59,candidate,has description; high-value type; has external URL,,,Nk'Mip Desert Cultural Centre,northamerica/canada/britishcolumbia/osoyoos/nkmip_desert_cultural_centre,0.327,,,missing_coordinates; has_external_url,https://osoyoosfestivalsociety.ca/,https://en.wikivoyage.org/wiki/Osoyoos
northamerica/canada/ontario/toronto,Toronto,Toronto,48,131,see,GO Transit,0.59,candidate,has description; high-value type; has external URL,,,The Toronto Transit Commission,northamerica/canada/ontario/toronto/the_toronto_transi,0.5,,,missing_coordinates; has_external_url,https://www.gotransit.com/,https://en.wikivoyage.org/wiki/Toronto
europe/hungary/szeged,Szeged,Szeged,7,61,do,Anna Bath,0.59,candidate,has description; high-value type; has external URL,,,Dóm Square,europe/hungary/szeged/dom_square,0.211,,,missing_coordinates; has_external_url,http://www.szegedifurdok.hu/furdok/index.php?spgmGal=Anna_Furdo&option=com_mambospgm&Itemid=85,https://en.wikivoyage.org/wiki/Szeged
europe/switzerland/rapperswil,Rapperswil,Rapperswil,4,20,do,Boat trip,0.59,candidate,has description; high-value type; has external URL,,,Holzbrücke,europe/switzerland/rapperswil/holzbrucke,0.211,,,missing_coordinates; has_external_url,http://www.zsg.ch,https://en.wikivoyage.org/wiki/Rapperswil
asia/thailand/kanchanaburi,Kanchanaburi,Kanchanaburi,7,41,do,Animal Safari,0.59,candidate,has description; high-value type; has external URL,,,Thailand–Burma Railway Centre,asia/thailand/kanchanaburi/thailand_burma_railway_centre,0.333,,,missing_coordinates; has_external_url,https://m.facebook.com/safariparkkanchanaburi/,https://en.wikivoyage.org/wiki/Kanchanaburi
northamerica/canada/ontario/kenora,Kenora,Kenora,11,16,see,Kasper Bus,0.59,candidate,has description; high-value type; has external URL,,,Kenora Harbourfront,northamerica/canada/ontario/kenora/harbourfront,0.414,,,missing_coordinates; has_external_url,https://gokasper.com,https://en.wikivoyage.org/wiki/Kenora
