world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
europe/germany/northrhinewestphalia/dortmund,Dortmund,Dortmund,16,98,see,Czech Republic,0.59,candidate,has description; high-value type; has external URL,,,Zeche Zollern,europe/germany/northrhinewestphalia/dortmund/zeche_zollern,0.444,,,missing_coordinates; has_external_url,https://www.suedafrika.org/en/embassy/honorary-consuls.html,https://en.wikivoyage.org/wiki/Dortmund
northamerica/canada/quebec/granby,Granby,Granby (Quebec),3,39,do,Festival de la chanson de Granby,0.59,candidate,has description; high-value type; has external URL,,,Musée d'art de Granby,northamerica/canada/quebec/granby/musee_dart_de_granby,0.488,,,missing_coordinates; has_external_url,https://ficg.qc.ca/,https://en.wikivoyage.org/wiki/Granby_%28Quebec%29
europe/finland/helsinki,Helsinki,Helsinki,56,99,do,Slush,0.59,candidate,has description; high-value type; has external URL,,,Sibelius Monument,europe/finland/helsinki/sibelius_monument,0.364,,,missing_coordinates; has_external_url,http://www.slush.org,https://en.wikivoyage.org/wiki/Helsinki
northamerica/unitedstates/southdakota/deadwood,Deadwood,Deadwood,12,47,see,Black Hills Pioneer,0.59,candidate,has description; high-value type; has external URL,,,Bullock Hotel,northamerica/unitedstates/southdakota/deadwood/bullock_hotel,0.5,,,missing_coordinates; has_external_url,http://www.bhpioneer.com/,https://en.wikivoyage.org/wiki/Deadwood
northamerica/unitedstates/colorado/vail,Vail,Vail,12,77,do,Venture Sports,0.59,candidate,has description; high-value type; has external URL,,,Vail Ski Resort,northamerica/unitedstates/colorado/vail/vail_ski_resort,0.414,,,missing_coordinates; has_external_url,http://www.avonventuresports.com,https://en.wikivoyage.org/wiki/Vail
northamerica/nicaragua/sanjuandelsur,San Juan del Sur,San Juan del Sur,10,19,do,Airbag Freestyle Drop,0.59,candidate,has description; high-value type; has external URL,,,Playa Remanso,northamerica/nicaragua/sanjuandelsur/playa_remanso,0.412,,,missing_coordinates; has_external_url,http://www.surfranchnicaragua.com/airpaddrop.html,https://en.wikivoyage.org/wiki/San_Juan_del_Sur
europe/armenia/yerevan,Yerevan,Yerevan,53,133,do,ReAnimania,0.59,candidate,has description; high-value type; has external URL,,,Yerevan Brandy Company (Ararat),europe/armenia/yerevan/yerevan_brandy,0.438,,,missing_coordinates; has_external_url,http://reanimania.com/,https://en.wikivoyage.org/wiki/Yerevan
europe/germany/bavaria/erlangen,Erlangen,Erlangen,6,167,do,Lange Nacht der Wissenschaften,0.59,candidate,has description; high-value type; has external URL,,,Neustädter Kirche,europe/germany/bavaria/erlangen/neustaedter_kirche,0.511,,,missing_coordinates; has_external_url,http://www.nacht-der-wissenschaften.de,https://en.wikivoyage.org/wiki/Erlangen
northamerica/unitedstates/northcarolina/charlotte,Charlotte,Charlotte,13,24,do,Charlotte International Auto Show,0.59,candidate,has description; high-value type; has external URL,,,Historic Latta Plantation,northamerica/unitedstates/northcarolina/charlotte/historic_latta_plantation,0.414,,,missing_coordinates; has_external_url,http://www.charlotteautoshow.com,https://en.wikivoyage.org/wiki/Charlotte
europe/switzerland/solothurn,Solothurn,Solothurn,4,75,do,Slow Up,0.59,candidate,has description; high-value type; has external URL,,,Solothurn Cathedral,europe/switzerland/solothurn/solothurn_cathedral,0.308,,,missing_coordinates; has_external_url,https://www.slowup.ch/solothurn-buechibaerg/de.html,https://en.wikivoyage.org/wiki/Solothurn
asia/japan/shikoku/matsuyama,Matsuyama,Matsuyama,12,59,see,Ehime Prefectural Information Center (EPIC),0.59,candidate,has description; high-value type; has external URL,,,Shinonome-jinja,asia/japan/shikoku/matsuyama/shinonome_jinja,0.314,,,missing_coordinates; has_external_url,http://www.epic.or.jp/english/,https://en.wikivoyage.org/wiki/Matsuyama
