world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
europe/italy/sicily/messina,Messina,Messina,6,32,see,Caronte & Tourist,0.59,candidate,has description; high-value type; has external URL,,,Messina Cathedral and Astronomical Clock,europe/italy/sicily/messina/messina_cathedral,0.373,,,missing_coordinates; has_external_url,http://www.carontetourist.it/,https://en.wikivoyage.org/wiki/Messina
europe/switzerland/basel,Basel,Basel,16,80,do,Hinterhof,0.59,candidate,has description; high-value type; has external URL,,,Rhine Current Ferries,europe/switzerland/basel/rhine_ferry,0.4,,,missing_coordinates; has_external_url,http://hinterhof.ch/,https://en.wikivoyage.org/wiki/Basel
northamerica/unitedstates/oregon/ashland,Ashland,Ashland (Oregon),5,45,do,First Friday Artwalk,0.59,candidate,has description; high-value type; has external URL,,,Lithia Park,northamerica/unitedstates/oregon/ashland/lithia_park,0.516,,,missing_coordinates; has_external_url,http://www.ashlandgalleries.com/events/first-friday-artwalk/,https://en.wikivoyage.org/wiki/Ashland_%28Oregon%29
northamerica/unitedstates/florida/st_augustine,St. Augustine,St. Augustine,15,75,do,Holiday Regatta of Lights,0.59,candidate,has description; high-value type; has external URL,,,St. Augustine Lighthouse,northamerica/unitedstates/florida/st_augustine/st_augustine_lighthouse,0.375,,,missing_coordinates; has_external_url,https://www.visitstaugustine.com/event/regatta-lights,https://en.wikivoyage.org/wiki/St._Augustine
northamerica/unitedstates/massachusetts/boston,Boston,Boston,64,72,see,Bay State Banner,0.59,candidate,has description; high-value type; has external URL,,,Old State House,northamerica/unitedstates/massachusetts/boston/old_state_house,0.516,,,missing_coordinates; has_external_url,https://digboston.com/,https://en.wikivoyage.org/wiki/Boston
asia/kazakhstan/almaty,Almaty,Almaty,20,51,see,Uzbekistan,0.59,candidate,has description; high-value type; has external URL,,,Navat Restaurant,asia/kazakhstan/almaty/navat_restaurant,0.385,,,missing_coordinates; has_external_url,https://almaty.mfa.uz/,https://en.wikivoyage.org/wiki/Almaty
northamerica/unitedstates/washington/seattle,Seattle,Seattle,19,70,see,ILS USA,0.59,candidate,has description; high-value type; has external URL,,,Pioneer Square,northamerica/unitedstates/washington/seattle/pioneer_square,0.381,,,missing_coordinates; has_external_url,https://ils-usa.com/news/175?domain=5&language=10,https://en.wikivoyage.org/wiki/Seattle
southamerica/ecuador/galapagosislands/theislands,The Galápagos Islands,Galapagos Islands,1,30,see,M/V Galapagos Explorer II,0.59,candidate,has description; high-value type; has external URL,,,Wildlife Scuba Diving,southamerica/ecuador/galapagosislands/wildlife_scuba_div,0.087,,,missing_coordinates; has_external_url,https://www.galapagosexploreryacht.com/,https://en.wikivoyage.org/wiki/Galapagos_Islands
europe/unitedkingdom/england/manchester_liverpool_and_north_west/bury,Bury St Edmunds,Bury St Edmunds,4,33,do,The Evidence Room,0.59,candidate,has description; high-value type; has external URL,,,The Nutshell,europe/unitedkingdom/england/manchester_liverpool_and_north_west/bury/the_nutshell,0.19,,,missing_coordinates; has_external_url,http://www.evidenceroom.co.uk,https://en.wikivoyage.org/wiki/Bury_St_Edmunds
northamerica/unitedstates/westvirginia/huntington,Huntington,Huntington (West Virginia),8,82,do,West Virginia Hot Dog Festival,0.59,candidate,has description; high-value type; has external URL,,,Heritage Station,northamerica/unitedstates/westvirginia/huntington/heritage_station,0.261,,,missing_coordinates; has_external_url,http://www.wvhotdogfestival.com/,https://en.wikivoyage.org/wiki/Huntington_%28West_Virginia%29
europe/switzerland/nyon,Nyon,Nyon,8,19,do,Paléo,0.59,candidate,has description; high-value type; has external URL,,,Sailing to Yvoire,europe/switzerland/nyon/sailing_to_yvoire,0.364,,,missing_coordinates; has_external_url,http://www.paleo.ch,https://en.wikivoyage.org/wiki/Nyon
europe/slovakia/kosice,Košice,Košice,7,153,do,Košice Peace Marathon,0.59,candidate,has description; high-value type; has external URL,,,St. Elisabeth Cathedral,europe/slovakia/kosice/st_elisabeth_cathedral,0.372,,,missing_coordinates; has_external_url,https://www.kosicemarathon.com/?lang=en/,https://en.wikivoyage.org/wiki/Ko%C5%A1ice
asia/india/sikkim/pelling,Pelling,Pelling,6,12,see,Darap Village,0.59,candidate,has description; high-value type; has external URL,,,Khecheopalri Lake,asia/india/sikkim/pelling/khecheopalri_lake,0.333,,,missing_coordinates; has_external_url,http://www.cherryvillagehomestayresort.com/,https://en.wikivoyage.org/wiki/Pelling
europe/slovakia/bratislava,Bratislava,Bratislava,51,87,do,International Film Festival Bratislava,0.59,candidate,has description; high-value type; has external URL,,,Slovak National Museum – Natural History,europe/slovakia/bratislava/natural_history_museum,0.447,,,missing_coordinates; has_external_url,http://www.iffbratislava.sk/,https://en.wikivoyage.org/wiki/Bratislava
northamerica/unitedstates/washington/seattle,Seattle,Seattle,19,70,do,Fremont Fair,0.59,candidate,has description; high-value type; has external URL,,,Blue Moon Tavern,northamerica/unitedstates/washington/seattle/blue_moon_tavern,0.5,,,missing_coordinates; has_external_url,https://fremontfair.com/,https://en.wikivoyage.org/wiki/Seattle
europe/russia/khabarovsk,Khabarovsk,Khabarovsk,9,58,see,Skylink,0.59,candidate,has description; high-value type; has external URL,,,Khabarovsk Regional Museum (Grodekov Museum),europe/russia/khabarovsk/regional_museum,0.242,,,missing_coordinates; has_external_url,http://skylink.ru/habarovsk/main/,https://en.wikivoyage.org/wiki/Khabarovsk
northamerica/unitedstates/illinois/collinsville,Collinsville,Collinsville (Illinois),9,10,do,Horseradish Festival,0.59,candidate,has description; high-value type; has external URL,,,World's Largest Catsup Bottle,northamerica/unitedstates/illinois/collinsville/worlds_largest_catsup_bottle,0.367,,,missing_coordinates; has_external_url,https://internationalhorseradishfestival.com/,https://en.wikivoyage.org/wiki/Collinsville_%28Illinois%29
northamerica/unitedstates/maine/bar_harbor,Bar Harbor,Bar Harbor,17,78,see,Bay Ferries,0.59,candidate,has description; high-value type; has external URL,,,Bar Island,northamerica/unitedstates/maine/bar_harbor/bar_island,0.476,,,missing_coordinates; has_external_url,https://www.ferries.ca/thecat/overview/,https://en.wikivoyage.org/wiki/Bar_Harbor
europe/croatia/umag,Umag,Umag,5,5,see,Kanegra FKK,0.59,candidate,has description; high-value type; has external URL,,,Church of Saints Hermagoras and Fortunatus,europe/croatia/umag/church_of_saints_hermagoras_and_fortunatus,0.302,,,missing_coordinates; has_external_url,http://www.istracamping.com/en/camping/kanegra/overview,https://en.wikivoyage.org/wiki/Umag
northamerica/unitedstates/westvirginia/bluefield_wv,Bluefield,Bluefield (West Virginia),6,17,do,The Granada Theater,0.59,candidate,has description; high-value type; has external URL,,,Pinnacle Rock State Park,northamerica/unitedstates/westvirginia/bluefield_wv/pinnacle_rock_state_park,0.359,,,missing_coordinates; has_external_url,https://www.bluefieldgranada.com,https://en.wikivoyage.org/wiki/Bluefield_%28West_Virginia%29
europe/italy/lazio/rome,Rome,Rome,144,65,do,Estate Romana Festival,0.59,candidate,has description; high-value type; has external URL,,,Osteria La Gensola,europe/italy/lazio/rome/osteria_la_gensola,0.486,,,missing_coordinates; has_external_url,http://www.estateromana.comune.roma.it/,https://en.wikivoyage.org/wiki/Rome
northamerica/unitedstates/minnesota/bloomington,Bloomington,Bloomington (Minnesota),7,22,do,Pinnacle Rock Climbing Tower located in REI,0.59,candidate,has description; high-value type; has external URL,,,Nickelodeon Universe,northamerica/unitedstates/minnesota/bloomington/nickelodeon_universe,0.317,,,missing_coordinates; has_external_url,http://www.rei.com/stores/bloomington/pinnacle.html,https://en.wikivoyage.org/wiki/Bloomington_%28Minnesota%29
