world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
northamerica/unitedstates/newyorkstate/albany,Albany,Albany (New York),6,88,see,Chinatown bus (multiple operators),0.59,candidate,has description; high-value type; has external URL,,,New York State Museum,northamerica/unitedstates/newyorkstate/albany/new_york_state_museum,0.353,,,missing_coordinates; has_external_url,http://www.gotobus.com,https://en.wikivoyage.org/wiki/Albany_%28New_York%29
europe/france/east/lorraine/nancy,Nancy,Nancy,15,78,do,Greater Nancy swimming pools,0.59,candidate,has description; high-value type; has external URL,,,Marché Couvert de Nancy,europe/france/east/lorraine/nancy/covered_market,0.383,,,missing_coordinates; has_external_url,http://www.grand-nancy.org/sport-loisirs-culture/piscines.html,https://en.wikivoyage.org/wiki/Nancy
northamerica/canada/ontario/mississauga,Mississauga,Mississauga,19,58,see,VIA Rail Canada,0.59,candidate,has description; high-value type; has external URL,,,Saravana Bhavan,northamerica/canada/ontario/mississauga/saravana_bavan,0.467,,,missing_coordinates; has_external_url,https://www.viarail.ca/,https://en.wikivoyage.org/wiki/Mississauga
northamerica/thecaribbean/puertorico/sanjuan,San Juan,San Juan,52,38,see,CyberNet Cafe,0.59,candidate,has description; high-value type; has external URL,,,La Taberna Lúpulo,northamerica/thecaribbean/puertorico/sanjuan/la_taberna_lupulo,0.37,,,missing_coordinates; has_external_url,http://www.cybernetcafepr.com,https://en.wikivoyage.org/wiki/San_Juan
northamerica/unitedstates/wisconsin/lacrosse,La Crosse,La Crosse,9,16,do,City Brewery,0.59,candidate,has description; high-value type; has external URL,,,La Crosse Oktoberfest,northamerica/unitedstates/wisconsin/lacrosse/la_crosse_oktoberfest,0.333,,,missing_coordinates; has_external_url,http://www.citybrewery.com,https://en.wikivoyage.org/wiki/La_Crosse
northamerica/unitedstates/minnesota/minneapolis,Minneapolis,Minneapolis,49,18,see,Metro Transit,0.59,candidate,has description; high-value type; has external URL,,,Uptown Theatre,northamerica/unitedstates/minnesota/minneapolis/uptown_theater,0.444,,,missing_coordinates; has_external_url,http://www.metrotransit.org,https://en.wikivoyage.org/wiki/Minneapolis
europe/germany/northrhinewestphalia/essen,Essen,Essen,11,74,do,Zeche Carl,0.59,candidate,has description; high-value type; has external URL,,,Essen Minster (Essener Dom),europe/germany/northrhinewestphalia/essen/essen_minster,0.348,,,missing_coordinates; has_external_url,http://www.zechecarl.de/,https://en.wikivoyage.org/wiki/Essen
australiaandpacific/newzealand/north_island/northland/paihia,Paihia,Paihia,6,14,do,Carino Sailing & Dolphin Adventures,0.59,candidate,has description; high-value type; has external URL,,,Waitangi Treaty Grounds,australiaandpacific/newzealand/north_island/northland/paihia/waitangi_treaty_grounds,0.333,,,missing_coordinates; has_external_url,http://www.sailingdolphins.co.nz/,https://en.wikivoyage.org/wiki/Paihia
europe/sweden/stersund,Östersund,Östersund,6,22,see,Länstrafiken i Västerbotten,0.59,candidate,has description; high-value type; has external URL,,,Storsjöodjuret — the Lake Monster,europe/sweden/stersund/storsjoodjuret,0.407,,,missing_coordinates; has_external_url,http://www.tabussen.nu/lanstrafiken/english/,https://en.wikivoyage.org/wiki/%C3%96stersund
northamerica/unitedstates/massachusetts/provincetown,Provincetown,Provincetown,1,89,do,Bear Week Provincetown,0.59,candidate,has description; high-value type; has external URL,,,Lobster Pot,northamerica/unitedstates/massachusetts/provincetown/lobster_pot,0.424,,,missing_coordinates; has_external_url,https://ptowntourism.com/events/bear-week-2/,https://en.wikivoyage.org/wiki/Provincetown
northamerica/unitedstates/mississippi/biloxi,Biloxi,Biloxi,8,27,see,Greyhound,0.59,candidate,has description; high-value type; has external URL,,,Biloxi Lighthouse,northamerica/unitedstates/mississippi/biloxi/biloxi_lighthouse,0.308,,,missing_coordinates; has_external_url,http://www.greyhound.com,https://en.wikivoyage.org/wiki/Biloxi
