world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
northamerica/unitedstates/utah/saltlakecity,Salt Lake City,Salt Lake City,62,174,do,Utah Royals,0.59,candidate,has description; high-value type; has external URL,,,Utah Olympic Park,northamerica/unitedstates/utah/saltlakecity/lavell_edwards_stadium,0.5,,,missing_coordinates; has_external_url,https://www.rsl.com/utahroyals,https://en.wikivoyage.org/wiki/Salt_Lake_City
northamerica/unitedstates/arizona/phoenix,Phoenix,Phoenix,54,145,see,The Arizona Republic,0.59,candidate,has description; high-value type; has external URL,,,Arizona Cardinals,northamerica/unitedstates/arizona/phoenix/arizona_cardinals,0.545,,,missing_coordinates; has_external_url,http://www.azcentral.com,https://en.wikivoyage.org/wiki/Phoenix
europe/germany/northrhinewestphalia/essen,Essen,Essen,11,74,do,Enjoy Essen,0.59,candidate,has description; high-value type; has external URL,,,Baldeneysee,europe/germany/northrhinewestphalia/essen/baldeneysee,0.455,,,missing_coordinates; has_external_url,http://www.essen-geniessen.de/,https://en.wikivoyage.org/wiki/Essen
europe/sweden/stockholm,Stockholm,Stockholm,56,118,see,Tvättomaten,0.59,candidate,has description; high-value type; has external URL,,,Kaknäs TV-Tower,europe/sweden/stockholm/kaknstvtower,0.462,,,missing_coordinates; has_external_url,http://www.tvattomaten.se,https://en.wikivoyage.org/wiki/Stockholm
europe/france/centre/auvergne/vichy,Vichy,Vichy,14,77,see,Le 68,0.59,candidate,has description; high-value type; has external URL,,,,,0.0,,,missing_coordinates; has_external_url,https://restaurantle68.fr/,https://en.wikivoyage.org/wiki/Vichy
northamerica/unitedstates/minnesota/grand_marais,Grand Marais,Grand Marais,8,21,do,Walk,0.59,candidate,has description; high-value type; has external URL,,,Eagle Mountain,northamerica/unitedstates/minnesota/grand_marais/eagle_mountain,0.222,,,missing_coordinates; has_external_url,http://www.harborfriends.org/details/index.php,https://en.wikivoyage.org/wiki/Grand_Marais
europe/austria/vienna,Vienna,Vienna,67,134,see,WESTbus,0.59,candidate,has description; high-value type; has external URL,,,Rathaus,europe/austria/vienna/rathaus,0.429,,,missing_coordinates; has_external_url,http://www.westbus.at/,https://en.wikivoyage.org/wiki/Vienna
northamerica/canada/alberta/calgary,Calgary,Calgary,38,59,see,Cold Shot,0.59,candidate,has description; high-value type; has external URL,,,Owl's Nest,northamerica/canada/alberta/calgary/owlsnest,0.526,,,missing_coordinates; has_external_url,https://www.coldshot.ca/,https://en.wikivoyage.org/wiki/Calgary
europe/germany/rhinelandpalatinate/speyer,Speyer,Speyer,8,16,see,Judenbad,0.59,candidate,has description; high-value type; has external URL,,,The Speyer Wine Bottle (Römerwein),europe/germany/rhinelandpalatinate/speyer/speyer_wine_bottle,0.231,,,missing_coordinates; has_external_url,https://www.speyer.de/en/culture/shum-a-unesco-world-heritage-site/jewish-cultural-sites-worth-a-visit/#accordion-1-3,https://en.wikivoyage.org/wiki/Speyer
europe/latvia/riga,Riga,Riga,15,33,do,Playground,0.59,candidate,has description; high-value type; has external URL,,,Art Nouveau District,europe/latvia/riga/art_nouveau_district,0.333,,,missing_coordinates; has_external_url,http://www.playgroundfestival.eu/,https://en.wikivoyage.org/wiki/Riga
northamerica/canada/ontario/ottawa,Ottawa,Ottawa,23,271,do,Yoga on the Hill,0.59,candidate,has description; high-value type; has external URL,,,Parliament Hill,northamerica/canada/ontario/ottawa/parliament_hill,0.519,,,missing_coordinates; has_external_url,https://ottawatourism.ca/en/see-and-do/yoga-parliament-hill,https://en.wikivoyage.org/wiki/Ottawa
europe/italy/trentinoaltoadige/bolzano,Bolzano,Bolzano,10,55,do,Cineplexx Bolzano Bozen,0.59,candidate,has description; high-value type; has external URL,,,Bolzano Cathedral (Duomo),europe/italy/trentinoaltoadige/bolzano/duomo,0.45,,,missing_coordinates; has_external_url,http://www.cineplexx.bz.it,https://en.wikivoyage.org/wiki/Bolzano
northamerica/unitedstates/washington/spokane,Spokane,Spokane,11,51,do,Bloomsday,0.59,candidate,has description; high-value type; has external URL,,,Bing Crosby Theater,northamerica/unitedstates/washington/spokane/bing_crosby_theater,0.286,,,missing_coordinates; has_external_url,https://www.bloomsdayrun.org/,https://en.wikivoyage.org/wiki/Spokane
europe/hungary/nyiregyhaza,Nyíregyháza,Nyíregyháza,7,35,see,Lake Tisza,0.59,candidate,has description; high-value type; has external URL,,,Sóstó Village Museum,europe/hungary/nyiregyhaza/sosto_village_museum,0.345,,,missing_coordinates; has_external_url,http://www.tiszato.hu/,https://en.wikivoyage.org/wiki/Ny%C3%ADregyh%C3%A1za
africa/tanzania/daressalaam,Dar es Salaam,Dar es Salaam,38,48,see,Precision Air,0.59,candidate,has description; high-value type; has external URL,,,Garden Bistro,africa/tanzania/daressalaam/garden_bistro,0.462,,,missing_coordinates; has_external_url,http://www.precisionairtz.com,https://en.wikivoyage.org/wiki/Dar_es_Salaam
europe/netherlands/friesland/hindeloopen,Hindeloopen,Hindeloopen,3,13,do,Kiting and Surfing,0.59,candidate,has description; high-value type; has external URL,,,Hidde Nijland Museum,europe/netherlands/friesland/hindeloopen/hidde_nijland_museum,0.368,,,missing_coordinates; has_external_url,http://www.touristinfohindeloopen.nl/zien-doen-beleven/sport/kiten-surfen/?lang=en,https://en.wikivoyage.org/wiki/Hindeloopen
northamerica/unitedstates/newyorkstate/syracuse,Syracuse,Syracuse (New York),11,70,do,Juneteenth Celebration,0.59,candidate,has description; high-value type; has external URL,,,Green Lakes State Park,northamerica/unitedstates/newyorkstate/syracuse/green_lakes,0.364,,,missing_coordinates; has_external_url,https://syracusejuneteenth.org/,https://en.wikivoyage.org/wiki/Syracuse_%28New_York%29
asia/japan/hokkaido/hakodate,Hakodate,Hakodate,7,31,see,Ooyamazumi shrine,0.59,candidate,has description; high-value type; has external URL,,,Motomachi,asia/japan/hokkaido/hakodate/motomachi,0.462,,,missing_coordinates; has_external_url,https://hokkaidojinjacho.jp/%E5%A4%A7%E5%B1%B1%E7%A5%87%E7%A5%9E%E7%A4%BE/,https://en.wikivoyage.org/wiki/Hakodate
northamerica/unitedstates/texas/austin,Austin,Austin,45,55,do,Austin Food + Wine Festival,0.59,candidate,has description; high-value type; has external URL,,,Museum of the Weird,northamerica/unitedstates/texas/austin/museum_of_the_weird,0.4,,,missing_coordinates; has_external_url,https://www.austinfoodandwinefestival.com/,https://en.wikivoyage.org/wiki/Austin
northamerica/unitedstates/rhodeisland/narragansett,Narragansett,Narragansett,12,86,do,Peace Dale Shooting Preserve,0.59,candidate,has description; high-value type; has external URL,,,Whitehall Ruins,northamerica/unitedstates/rhodeisland/narragansett/whitehall,0.326,,,missing_coordinates; has_external_url,https://www.pdshootingpreserve.com/,https://en.wikivoyage.org/wiki/Narragansett
europe/austria/vienna,Vienna,Vienna,67,134,see,Dr. Richard,0.59,candidate,has description; high-value type; has external URL,,,Loos American Bar,europe/austria/vienna/loos_american_bar,0.444,,,missing_coordinates; has_external_url,http://www.richard.at/,https://en.wikivoyage.org/wiki/Vienna
europe/sweden/falun,Falun,Falun,5,35,do,Runns Sjöbod,0.59,candidate,has description; high-value type; has external URL,,,Dalarnas Museum,europe/sweden/falun/dalarnas_museum,0.37,,,missing_coordinates; has_external_url,http://www.runnssjobod.com,https://en.wikivoyage.org/wiki/Falun
southamerica/colombia/bogota,Bogota,Bogotá,58,52,see,Mexico,0.59,candidate,has description; high-value type; has external URL,,,Ciclovía,southamerica/colombia/bogota/ciclovia,0.5,,,missing_coordinates; has_external_url,https://embamex.sre.gob.mx/colombia/,https://en.wikivoyage.org/wiki/Bogot%C3%A1
europe/italy/puglia/bari,Bari,Bari,7,45,see,AMTAB,0.59,candidate,has description; high-value type; has external URL,,,Mungivacca,europe/italy/puglia/bari/mungivacca,0.267,,,missing_coordinates; has_external_url,https://amtab.it,https://en.wikivoyage.org/wiki/Bari
