world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
northamerica/unitedstates/connecticut/newhaven,New Haven,New Haven,17,42,see,Devil's Gear Bike Shop,0.59,candidate,has description; high-value type; has external URL,,,West Rock Ridge State Park,northamerica/unitedstates/connecticut/newhaven/west_rock_ridge_state_park,0.375,,,missing_coordinates; has_external_url,http://www.thedevilsgear.com/,https://en.wikivoyage.org/wiki/New_Haven
northamerica/canada/ontario/niagrafalls,Niagara Falls,Niagara Falls (Ontario),10,83,see,Onex Bus,0.59,candidate,has description; high-value type; has external URL,,,Journey Behind the Falls,northamerica/canada/ontario/niagrafalls/journey_behind_falls,0.429,,,missing_coordinates; has_external_url,https://onexbus.com/routes,https://en.wikivoyage.org/wiki/Niagara_Falls_%28Ontario%29
europe/russia/vladimir,Vladimir,Vladimir,4,75,do,Russia,0.59,candidate,has description; high-value type; has external URL,,,Assumption Cathedral (Uspensky Sobor),europe/russia/vladimir/assumption_cathedral,0.308,,,missing_coordinates; has_external_url,http://www.ruskino33.ru/,https://en.wikivoyage.org/wiki/Vladimir
asia/india/uttaranchal/dehradun,Dehradun,Dehradun,13,50,see,Travelodesk,0.59,candidate,has description; high-value type; has external URL,,,Ellora's Bakery,asia/india/uttaranchal/dehradun/ellora_bakery,0.385,,,missing_coordinates; has_external_url,https://travelodesk.com/,https://en.wikivoyage.org/wiki/Dehradun
northamerica/canada/britishcolumbia/sidney,Sidney,Sidney (British Columbia),3,63,see,Air Canada & Air Canada Express,0.59,candidate,has description; high-value type; has external URL,,,Shaw Ocean Discovery Centre,northamerica/canada/britishcolumbia/sidney/shaw_ocean_discovery_centre,0.467,,,missing_coordinates; has_external_url,https://www.aircanada.com/,https://en.wikivoyage.org/wiki/Sidney_%28British_Columbia%29
northamerica/unitedstates/indiana/indianapolis,Indianapolis,Indianapolis,42,225,see,Circle City Classic,0.59,candidate,has description; high-value type; has external URL,,,Broad Ripple Village,northamerica/unitedstates/indiana/indianapolis/broad_ripple_village,0.359,,,missing_coordinates; has_external_url,http://www.circlecityclassic.com/,https://en.wikivoyage.org/wiki/Indianapolis
europe/italy/trentinoaltoadige/bolzano,Bolzano,Bolzano,10,55,do,Transart,0.59,candidate,has description; high-value type; has external URL,,,Bolzano Cathedral (Duomo),europe/italy/trentinoaltoadige/bolzano/duomo,0.32,,,missing_coordinates; has_external_url,http://www.transart.it/,https://en.wikivoyage.org/wiki/Bolzano
europe/unitedkingdom/england/south_east/winchester,Winchester,Winchester (England),10,36,see,Bluestar,0.59,candidate,has description; high-value type; has external URL,,,Westgate Museum,europe/unitedkingdom/england/south_east/winchester/westgate_museum,0.348,,,missing_coordinates; has_external_url,http://www.bluestarbus.co.uk/,https://en.wikivoyage.org/wiki/Winchester_%28England%29
southamerica/brazil/ouropreto,Ouro Preto,Ouro Preto,15,48,see,OPM Empreendimentos Ltd,0.59,candidate,has description; high-value type; has external URL,,,Praça Tiradentes,southamerica/brazil/ouropreto/praca_tiradentes,0.378,,,missing_coordinates; has_external_url,http://www.minasdapassagem.com.br,https://en.wikivoyage.org/wiki/Ouro_Preto
northamerica/unitedstates/washington/bellingham,Bellingham,Bellingham (Washington),17,65,see,Amtrak,0.59,candidate,has description; high-value type; has external URL,,,Fairhaven,northamerica/unitedstates/washington/bellingham/fairhaven,0.4,,,missing_coordinates; has_external_url,https://www.amtrak.com/,https://en.wikivoyage.org/wiki/Bellingham_%28Washington%29
northamerica/unitedstates/minnesota/minneapolis,Minneapolis,Minneapolis,49,18,see,Greyhound,0.59,candidate,has description; high-value type; has external URL,,,Warehouse District,northamerica/unitedstates/minnesota/minneapolis/warehouse_district,0.444,,,missing_coordinates; has_external_url,http://www.greyhound.com,https://en.wikivoyage.org/wiki/Minneapolis
