world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
europe/germany/berlin,Berlin,Berlin,161,123,do,MaerzMusik,0.59,candidate,has description; high-value type; has external URL,,,Atemlos,europe/germany/berlin/atemlos,0.471,,,missing_coordinates; has_external_url,https://www.berlinerfestspiele.de/en/maerzmusik/besuch/tickets,https://en.wikivoyage.org/wiki/Berlin
europe/germany/bavaria/passau,Passau,Passau,7,37,do,Ilztalbahn,0.59,candidate,has description; high-value type; has external URL,,,Glasscherbenhaus (Broken Glass Villa),europe/germany/bavaria/passau/glasscherbenhaus,0.308,,,missing_coordinates; has_external_url,https://ilztalbahn.eu/,https://en.wikivoyage.org/wiki/Passau
northamerica/unitedstates/texas/austin,Austin,Austin,45,55,do,Eeyore's Birthday Party,0.59,candidate,has description; high-value type; has external URL,,,Lady Bird Lake,northamerica/unitedstates/texas/austin/lady_bird_lake,0.432,,,missing_coordinates; has_external_url,http://www.eeyores.com/,https://en.wikivoyage.org/wiki/Austin
northamerica/britishvirginislands/virgingorda,Virgin Gorda,Virgin Gorda,11,56,see,Smith's Ferry Service,0.59,candidate,has description; high-value type; has external URL,,,Bitter End Yacht Club,northamerica/britishvirginislands/virgingorda/bitter_end_yacht_club,0.333,,,missing_coordinates; has_external_url,http://www.bviferryservices.com/,https://en.wikivoyage.org/wiki/Virgin_Gorda
asia/cambodia/siemreap,Siem Reap,Siem Reap,56,78,see,Siem Reap Transport Service,0.59,candidate,has description; high-value type; has external URL,,,Wat Preah Inkosei,asia/cambodia/siemreap/wat_preah_inkosei,0.455,,,missing_coordinates; has_external_url,http://siemreaptransportservice.com,https://en.wikivoyage.org/wiki/Siem_Reap
australiaandpacific/australia/queensland/brisbane,Brisbane,Brisbane,21,164,do,The Ekka,0.59,candidate,has description; high-value type; has external URL,,,New Farm,australiaandpacific/australia/queensland/brisbane/new_farm,0.333,,,missing_coordinates; has_external_url,http://www.ekka.com.au/,https://en.wikivoyage.org/wiki/Brisbane
northamerica/canada/britishcolumbia/princegeorge,Prince George,Prince George,5,41,see,BC Transit (Prince George Transit System),0.59,candidate,has description; high-value type; has external URL,,,Central BC Railway and Forestry Museum,northamerica/canada/britishcolumbia/princegeorge/railway_forestry_museum,0.25,,,missing_coordinates; has_external_url,https://www.bctransit.com/prince-george/home,https://en.wikivoyage.org/wiki/Prince_George
europe/unitedkingdom/england/bristol_plymouth_and_the_south_west/bristol,Bristol,Bristol,31,168,see,Street Art,0.59,candidate,has description; high-value type; has external URL,,,Stokes Croft,europe/unitedkingdom/england/bristol_plymouth_and_the_south_west/bristol/stokes_croft,0.545,,,missing_coordinates; has_external_url,http://www.bristol-street-art.co.uk/map-of-bristol-street-art,https://en.wikivoyage.org/wiki/Bristol
europe/switzerland/geneva,Geneva,Geneva,44,99,do,Association Genevoise des Amis du Salève,0.59,candidate,has description; high-value type; has external URL,,,Auditoire Calvin,europe/switzerland/geneva/auditoirecalvin,0.408,,,missing_coordinates; has_external_url,http://www.rando-saleve.net,https://en.wikivoyage.org/wiki/Geneva
northamerica/unitedstates/florida/miami,Miami,Miami,57,70,see,El Nuevo Herald,0.59,candidate,has description; high-value type; has external URL,,,Versailles,northamerica/unitedstates/florida/miami/versailles,0.455,,,missing_coordinates; has_external_url,http://www.elnuevoherald.com/,https://en.wikivoyage.org/wiki/Miami
northamerica/unitedstates/newmexico/magdalena,Magdalena,Magdalena,5,9,see,The Marketplace,0.59,candidate,has description; high-value type; has external URL,,,Santa Fe Depot,northamerica/unitedstates/newmexico/magdalena/santa_fe_depot,0.32,,,missing_coordinates; has_external_url,http://www.ranchomagdalena.com,https://en.wikivoyage.org/wiki/Magdalena
northamerica/unitedstates/vermont/burlington,Burlington,Burlington (Vermont),8,85,do,Spirit of Ethan Allen III,0.59,candidate,has description; high-value type; has external URL,,,Radio Bean,northamerica/unitedstates/vermont/burlington/radio_bean,0.4,,,missing_coordinates; has_external_url,http://www.soea.com/,https://en.wikivoyage.org/wiki/Burlington_%28Vermont%29
northamerica/unitedstates/maine/ellsworth,Ellsworth,Ellsworth (Maine),6,39,do,D'Amanda's,0.59,candidate,has description; high-value type; has external URL,,,The Grand,northamerica/unitedstates/maine/ellsworth/the_grand,0.4,,,missing_coordinates; has_external_url,https://www.damandas.com/,https://en.wikivoyage.org/wiki/Ellsworth_%28Maine%29
northamerica/unitedstates/maine/bangor,Bangor,Bangor (Maine),12,26,do,Kenduskeag Stream Canoe Race,0.59,candidate,has description; high-value type; has external URL,,,Stephen King's House,northamerica/unitedstates/maine/bangor/stephen_kings_house,0.375,,,missing_coordinates; has_external_url,http://www.kenduskeagstreamcanoerace.com/,https://en.wikivoyage.org/wiki/Bangor_%28Maine%29
northamerica/unitedstates/texas/southpadreisland,South Padre Island,South Padre Island,0,39,do,Air Padre Kiteboarding,0.59,candidate,has description; high-value type; has external URL,,,,,0.0,,,missing_coordinates; has_external_url,http://www.airpadre.com,https://en.wikivoyage.org/wiki/South_Padre_Island
northamerica/unitedstates/texas/austin,Austin,Austin,45,55,do,Old Pecan Street Festival,0.59,candidate,has description; high-value type; has external URL,,,Rainey Street,northamerica/unitedstates/texas/austin/rainey_street,0.474,,,missing_coordinates; has_external_url,http://www.oldpecanstreetfestival.com/,https://en.wikivoyage.org/wiki/Austin
northamerica/unitedstates/tennessee/chattanooga,Chattanooga,Chattanooga,20,86,see,Enigma,0.59,candidate,has description; high-value type; has external URL,,,Tennessee Riverwalk,northamerica/unitedstates/tennessee/chattanooga/tennessee_riverwalk,0.32,,,missing_coordinates; has_external_url,http://www.enigmaonline.com,https://en.wikivoyage.org/wiki/Chattanooga
europe/netherlands/breda,Breda,Breda,16,35,do,Carnaval,0.59,candidate,has description; high-value type; has external URL,,,Café De Beyerd,europe/netherlands/breda/cafe_de_beyerd,0.333,,,missing_coordinates; has_external_url,https://web.kielegat.nl/,https://en.wikivoyage.org/wiki/Breda
europe/norway/spitsbergen/longyearbyen,Longyearbyen,Longyearbyen,9,32,do,Polarjazz,0.59,candidate,has description; high-value type; has external URL,,,Svalbard Museum,europe/norway/spitsbergen/longyearbyen/svalbard_museum,0.25,,,missing_coordinates; has_external_url,https://www.polarjazz.no/,https://en.wikivoyage.org/wiki/Longyearbyen
northamerica/canada/ontario/sarnia,Sarnia,Sarnia,7,24,see,Intercity Bus,0.59,candidate,has description; high-value type; has external URL,,,Centennial Park,northamerica/canada/ontario/sarnia/centennial_park,0.357,,,missing_coordinates; has_external_url,https://www.intercitybus.ca/routes/,https://en.wikivoyage.org/wiki/Sarnia
northamerica/unitedstates/massachusetts/newburyport,Newburyport,Newburyport,12,33,do,Coastal Discoveries,0.59,candidate,has description; high-value type; has external URL,,,Custom House Maritime Museum,northamerica/unitedstates/massachusetts/newburyport/custom_house_maritime_museum,0.383,,,missing_coordinates; has_external_url,http://www.coastaldiscoveries.com,https://en.wikivoyage.org/wiki/Newburyport
