world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
northamerica/unitedstates/california/oakland,Oakland,Oakland,16,181,see,BART,0.59,candidate,has description; high-value type; has external URL,,,Lake Merritt,northamerica/unitedstates/california/oakland/lakemerrittandgardens,0.375,,,missing_coordinates; has_external_url,https://www.bart.gov,https://en.wikivoyage.org/wiki/Oakland
europe/germany/rhinelandpalatinate/mosel/cochem,Cochem,Cochem,5,39,see,Frankfurt Hahn,0.59,candidate,has description; high-value type; has external URL,,,Marktplatz,europe/germany/rhinelandpalatinate/mosel/cochem/marktplatz_cochem,0.333,,,missing_coordinates; has_external_url,http://www.hahn-airport.de,https://en.wikivoyage.org/wiki/Cochem
northamerica/unitedstates/colorado/grandjunction,Grand Junction,Grand Junction,4,56,do,Dominguez Canyon,0.59,candidate,has description; high-value type; has external URL,,,Palisade Wine Country,northamerica/unitedstates/colorado/grandjunction/palisade_wine_country,0.432,,,missing_coordinates; has_external_url,https://www.uncovercolorado.com/activities/dominguez-canyon-wilderness/,https://en.wikivoyage.org/wiki/Grand_Junction
northamerica/unitedstates/michigan/detroit,Detroit,Detroit,74,35,see,Indian Trails,0.59,candidate,has description; high-value type; has external URL,,,Michigan Central Station,northamerica/unitedstates/michigan/detroit/michigan_central_station,0.541,,,missing_coordinates; has_external_url,https://www.indiantrails.com/,https://en.wikivoyage.org/wiki/Detroit
asia/lebanon/beirut,Beirut,Beirut,52,43,see,Beirut International Jazz Festival,0.59,candidate,has description; high-value type; has external URL,,,Beirut Hippodrome,asia/lebanon/beirut/beirut_hippodrome,0.392,,,missing_coordinates; has_external_url,http://www.bijf.radioonev5.com/index.php/,https://en.wikivoyage.org/wiki/Beirut
europe/belgium/antwerp,Antwerp,Antwerp,47,64,see,De Lijn,0.59,candidate,has description; high-value type; has external URL,,,Kulminator,europe/belgium/antwerp/kulminator,0.429,,,missing_coordinates; has_external_url,https://www.delijn.be/en/,https://en.wikivoyage.org/wiki/Antwerp
southamerica/ecuador/cuenca,Cuenca,Cuenca (Ecuador),7,23,see,CIDAP (Centro Interamericano de Artesanías y Artes Populares),0.59,candidate,has description; high-value type; has external URL,,,Calle Larga,southamerica/ecuador/cuenca/calle_larga,0.25,,,missing_coordinates; has_external_url,http://www.cidap.gob.ec,https://en.wikivoyage.org/wiki/Cuenca_%28Ecuador%29
europe/germany/berlin,Berlin,Berlin,161,123,do,Ticket B,0.59,candidate,has description; high-value type; has external URL,,,Privat Club,europe/germany/berlin/privatclub,0.421,,,missing_coordinates; has_external_url,http://www.ticket-b.de,https://en.wikivoyage.org/wiki/Berlin
northamerica/unitedstates/newyorkstate/utica,Utica,Utica,6,46,see,Adirondack Trailways,0.59,candidate,has description; high-value type; has external URL,,,Fountain Elms,northamerica/unitedstates/newyorkstate/utica/fountain_elms,0.424,,,missing_coordinates; has_external_url,http://www.trailwaysny.com,https://en.wikivoyage.org/wiki/Utica
northamerica/canada/northwestterritories/fort_smith,Fort Smith,Fort Smith (Northwest Territories),4,19,do,The South Slave Friendship Festival,0.59,candidate,has description; high-value type; has external URL,,,Slave River Rapids,northamerica/canada/northwestterritories/fort_smith/slave_river_rapids,0.449,,,missing_coordinates; has_external_url,https://m.facebook.com/pg/South-Slave-Friendship-Festival-137198393023944/about/,https://en.wikivoyage.org/wiki/Fort_Smith_%28Northwest_Territories%29
europe/sweden/kalmar,Kalmar,Kalmar,5,20,see,FlixBus,0.59,candidate,has description; high-value type; has external URL,,,Ölandsbron,europe/sweden/kalmar/olandsbron,0.25,,,missing_coordinates; has_external_url,https://www.flixbus.se/,https://en.wikivoyage.org/wiki/Kalmar
