world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
australiaandpacific/australia/newsouthwales/sydney,Sydney,Sydney,47,43,see,United Kingdom of Great Britain & Northern Ireland,0.59,candidate,has description; high-value type; has external URL,,,Chinese Garden of Friendship,australiaandpacific/australia/newsouthwales/sydney/chinesegarden,0.35,,,missing_coordinates; has_external_url,https://www.gov.uk/world/organisations/british-consulate-general-sydney,https://en.wikivoyage.org/wiki/Sydney
europe/czechrepublic/prague,Prague,Prague,58,35,see,TICK TACK,0.59,candidate,has description; high-value type; has external URL,,,Letná Park,europe/czechrepublic/prague/letna_park,0.444,,,missing_coordinates; has_external_url,http://www.ticktack.cz/en,https://en.wikivoyage.org/wiki/Prague
europe/unitedkingdom/england/leeds_sheffield_and_yorkshire/harrogate,Harrogate,Harrogate,13,20,see,RHS Harlow Carr Gardens,0.59,candidate,has description; high-value type; has external URL,,,Valley Gardens,europe/unitedkingdom/england/leeds_sheffield_and_yorkshire/harrogate/valley_gardens,0.541,,,missing_coordinates; has_external_url,https://www.rhs.org.uk/gardens/harlow-carr,https://en.wikivoyage.org/wiki/Harrogate
europe/france/midi/cotedazur/nice,Nice,Nice,42,76,see,Chateâu de Bellet,0.59,candidate,has description; high-value type; has external URL,,,La Cave de la Tour,europe/france/midi/cotedazur/nice/cave_bianchi,0.435,,,missing_coordinates; has_external_url,https://www.chateaudebellet.com/en/wine-tourism/visit/,https://en.wikivoyage.org/wiki/Nice
northamerica/unitedstates/hawaii/kailua,Kailua-Kona,Kailua-Kona,17,40,do,Kona Mike's Surf Adventures,0.59,candidate,has description; high-value type; has external URL,,,Cinnamon's Restaurant,northamerica/unitedstates/hawaii/kailua/cinnamons_restaurant,0.375,,,missing_coordinates; has_external_url,https://www.konamikes.com/,https://en.wikivoyage.org/wiki/Kailua-Kona
northamerica/unitedstates/arizona/grandcanyon,Grand Canyon,Grand Canyon,6,52,do,Holiday Expeditions,0.59,candidate,has description; high-value type; has external URL,,,Kolb Studio,northamerica/unitedstates/arizona/grandcanyon/kolb_studio,0.4,,,missing_coordinates; has_external_url,http://www.bikeraft.com,https://en.wikivoyage.org/wiki/Grand_Canyon
northamerica/unitedstates/hawaii/kauai,Kaua'i,Kauai,12,48,see,Kilohana,0.59,candidate,has description; high-value type; has external URL,,,Hanalei Bay,northamerica/unitedstates/hawaii/kauai/hanalei_bay,0.421,,,missing_coordinates; has_external_url,https://www.kilohanakauai.com,https://en.wikivoyage.org/wiki/Kauai
northamerica/unitedstates/delaware/dewey_beach,Dewey Beach,Dewey Beach,3,30,see,BestBus,0.59,candidate,has description; high-value type; has external URL,,,The Starboard,northamerica/unitedstates/delaware/dewey_beach/starboard,0.375,,,missing_coordinates; has_external_url,http://www.bestbus.com,https://en.wikivoyage.org/wiki/Dewey_Beach
europe/greece/thassos_island,Thassos,Thasos,14,112,do,Jeep Safaris,0.59,candidate,has description; high-value type; has external URL,,,Paradise Beach,europe/greece/thassos_island/paradise_beach,0.385,,,missing_coordinates; has_external_url,http://www.thassosoffroad.gr/en/,https://en.wikivoyage.org/wiki/Thasos
northamerica/mexico/len,León,León (Mexico),5,35,see,Omnibus de Mexico,0.59,candidate,has description; high-value type; has external URL,,,Zoo León,northamerica/mexico/len/zoo_leon,0.211,,,missing_coordinates; has_external_url,https://www.odm.com.mx/,https://en.wikivoyage.org/wiki/Le%C3%B3n_%28Mexico%29
europe/ireland/dublin,Dublin,Dublin,132,173,see,Israel,0.59,candidate,has description; high-value type; has external URL,,,City Hall,europe/ireland/dublin/city_hall_dublin,0.4,,,missing_coordinates; has_external_url,https://embassies.gov.il/dublin/,https://en.wikivoyage.org/wiki/Dublin
