world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
northamerica/canada/britishcolumbia/kelowna,Kelowna,Kelowna,7,69,see,Red Arrow,0.59,candidate,has description; high-value type; has external URL,,,Tree Brewing Beer Institute,northamerica/canada/britishcolumbia/kelowna/tree_brewing,0.278,,,missing_coordinates; has_external_url,https://www.redarrow.ca/,https://en.wikivoyage.org/wiki/Kelowna
europe/norway/tromso,Tromsø,Tromsø,8,63,see,The Carmel Monastery,0.59,candidate,has description; high-value type; has external URL,,,Tromsø Museum,europe/norway/tromso/tromso_museum,0.429,,,missing_coordinates; has_external_url,http://karmel.katolsk.no/,https://en.wikivoyage.org/wiki/Troms%C3%B8
asia/india/bihar/bodhgaya,Bodh Gaya,Bodh Gaya,9,26,do,Siddhartha Festival and Khyentse Monlam,0.59,candidate,has description; high-value type; has external URL,,,Archaeological Museum of Bodh Gaya,asia/india/bihar/bodhgaya/archaeological_museum,0.384,,,missing_coordinates; has_external_url,https://siddharthasintent.in/siddhartha-festival/,https://en.wikivoyage.org/wiki/Bodh_Gaya
australiaandpacific/newzealand/south_island/otago/queenstown,Queenstown,Queenstown (New Zealand),53,57,do,Glenorchy Air,0.59,candidate,has description; high-value type; has external URL,,,The World Bar,australiaandpacific/newzealand/south_island/otago/queenstown/the_world_bar,0.455,,,missing_coordinates; has_external_url,https://www.glenorchyair.co.nz/,https://en.wikivoyage.org/wiki/Queenstown_%28New_Zealand%29
europe/switzerland/solothurn,Solothurn,Solothurn,4,75,do,Weissenstein Schwinget,0.59,candidate,has description; high-value type; has external URL,,,Kunstmuseum Solothurn,europe/switzerland/solothurn/kunstmuseum,0.326,,,missing_coordinates; has_external_url,https://www.weissenstein-schwinget.ch/,https://en.wikivoyage.org/wiki/Solothurn
europe/unitedkingdom/wales/swansea,Swansea,Swansea,33,323,see,Rainbow Sailing,0.59,candidate,has description; high-value type; has external URL,,,Sail Bridge,europe/unitedkingdom/wales/swansea/sail_bridge,0.462,,,missing_coordinates; has_external_url,http://www.rainbowsailingschool.com/,https://en.wikivoyage.org/wiki/Swansea
northamerica/unitedstates/alabama/birmingham,Birmingham,Birmingham (Alabama),59,74,do,Magic City Classic,0.59,candidate,has description; high-value type; has external URL,,,McWane Science Center,northamerica/unitedstates/alabama/birmingham/mcwane_science_center,0.359,,,missing_coordinates; has_external_url,https://magiccityclassic.com/,https://en.wikivoyage.org/wiki/Birmingham_%28Alabama%29
europe/germany/northrhinewestphalia/bochum,Bochum,Bochum,12,93,see,Geological Garten,0.59,candidate,has description; high-value type; has external URL,,,Café Zoe,europe/germany/northrhinewestphalia/bochum/cafe_zOe,0.333,,,missing_coordinates; has_external_url,http://www.bochum.de/C125708500379A31/vwContentByKey/W275QB44990BOLDDE?open&MCL=78FEXS450BOLD,https://en.wikivoyage.org/wiki/Bochum
northamerica/unitedstates/california/northcoast/santarosa,Santa Rosa,Santa Rosa (California),10,37,do,Poppy Bank Epicenter,0.59,candidate,has description; high-value type; has external URL,,,Snoopy's Home Ice,northamerica/unitedstates/california/northcoast/santarosa/snoopys_home_ice,0.486,,,missing_coordinates; has_external_url,https://visitepicenter.com/,https://en.wikivoyage.org/wiki/Santa_Rosa_%28California%29
europe/croatia/split,Split,Split,24,49,see,Silver Sail Yacht Charter,0.59,candidate,has description; high-value type; has external URL,,,Diocletian's Palace,europe/croatia/split/diocletians_palace,0.409,,,missing_coordinates; has_external_url,https://www.silversail.hr/,https://en.wikivoyage.org/wiki/Split
northamerica/unitedstates/newyorkstate/chautauqua,Chautauqua,Chautauqua,5,6,see,Miller Bell Tower,0.59,candidate,has description; high-value type; has external URL,,,The Amphitheater,northamerica/unitedstates/newyorkstate/chautauqua/amphitheater,0.276,,,missing_coordinates; has_external_url,https://www.chq.org/about/miller-bell-tower/,https://en.wikivoyage.org/wiki/Chautauqua
northamerica/canada/quebec/hull,Gatineau (Hull),Gatineau,4,33,see,Autobus Maheux,0.59,candidate,has description; high-value type; has external URL,,,Casino du Lac-Leamy,northamerica/canada/quebec/hull/casino_du_lac_leamy,0.333,,,missing_coordinates; has_external_url,https://autobusmaheux.com,https://en.wikivoyage.org/wiki/Gatineau
northamerica/unitedstates/michigan/flint,Flint,Flint,14,27,do,Buckham Alley Fest,0.59,candidate,has description; high-value type; has external URL,,,Applewood Estate,northamerica/unitedstates/michigan/flint/applewood_estate,0.412,,,missing_coordinates; has_external_url,https://m.facebook.com/events/buckham-alley/alley-fest-2024/854003469789887/,https://en.wikivoyage.org/wiki/Flint
europe/norway/oslo,Oslo,Oslo,26,88,do,Oslo Jazz Festival,0.59,candidate,has description; high-value type; has external URL,,,Nordmarka Forest Trails,europe/norway/oslo/nordmarka,0.439,,,missing_coordinates; has_external_url,http://www.oslojazz.no,https://en.wikivoyage.org/wiki/Oslo
northamerica/unitedstates/newyorkstate/lakeplacid,Lake Placid,Lake Placid,9,36,see,Adirondack Trailways Service,0.59,candidate,has description; high-value type; has external URL,,,John Brown Farm State Historic Site,northamerica/unitedstates/newyorkstate/lakeplacid/john_brown_farm,0.349,,,missing_coordinates; has_external_url,https://trailwaysny.com/,https://en.wikivoyage.org/wiki/Lake_Placid
southamerica/ecuador/galapagosislands/theislands,The Galápagos Islands,Galapagos Islands,1,30,see,Galasam Cruises,0.59,candidate,has description; high-value type; has external URL,,,Wildlife Scuba Diving,southamerica/ecuador/galapagosislands/wildlife_scuba_div,0.167,,,missing_coordinates; has_external_url,http://www.galasam.com.ec/,https://en.wikivoyage.org/wiki/Galapagos_Islands
asia/india/kerala/munnar,Munnar,Munnar,5,54,do,Yoga @Kaivalyam Retreat,0.59,candidate,has description; high-value type; has external URL,,,Kolukkumalai Tea Estate,asia/india/kerala/munnar/kolukkumalai_tea_estate,0.4,,,missing_coordinates; has_external_url,http://www.kaivalyamretreat.com/,https://en.wikivoyage.org/wiki/Munnar
