world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
asia/japan/hokkaido/hakodate,Hakodate,Hakodate,7,31,do,Kameo Agriculture Village,0.59,candidate,has description; high-value type; has external URL,,,Former British Consulate of Hakodate,asia/japan/hokkaido/hakodate/former_british_consulate,0.426,,,missing_coordinates; has_external_url,http://www.kameo-fureainosato.com/,https://en.wikivoyage.org/wiki/Hakodate
australiaandpacific/newzealand/north_island/waikato/hamilton,Hamilton,Hamilton (New Zealand),13,18,do,New Zealand Sevens,0.59,candidate,has description; high-value type; has external URL,,,Claudelands,australiaandpacific/newzealand/north_island/waikato/hamilton/claudelands,0.414,,,missing_coordinates; has_external_url,http://www.sevens.co.nz/,https://en.wikivoyage.org/wiki/Hamilton_%28New_Zealand%29
northamerica/elsalvador/sansalvador,San Salvador,San Salvador,8,55,see,Cinemark,0.59,candidate,has description; high-value type; has external URL,,,Zona Rosa,northamerica/elsalvador/sansalvador/zona_rosa,0.353,,,missing_coordinates; has_external_url,https://www.cinemarkca.com/el-salvador/cine,https://en.wikivoyage.org/wiki/San_Salvador
europe/russia/vladimir,Vladimir,Vladimir,4,75,do,Kinomax-Burevestnik,0.59,candidate,has description; high-value type; has external URL,,,Assumption Cathedral (Uspensky Sobor),europe/russia/vladimir/assumption_cathedral,0.205,,,missing_coordinates; has_external_url,http://www.kinomax.ru/vladimir/schedule.htm,https://en.wikivoyage.org/wiki/Vladimir
northamerica/unitedstates/hawaii/kailuakona,Kailua-Kona,Kailua-Kona,12,40,do,Kona Mike's Surf Adventures,0.59,candidate,has description; high-value type; has external URL,,,Kona Coffee Belt,northamerica/unitedstates/hawaii/kailuakona/kona_coffee_belt,0.419,,,missing_coordinates; has_external_url,https://www.konamikes.com/,https://en.wikivoyage.org/wiki/Kailua-Kona
europe/germany/northrhinewestphalia/cologne,Cologne,Cologne,17,152,do,Saunas in public swimming pools,0.59,candidate,has description; high-value type; has external URL,,,Romano-Germanic Museum,europe/germany/northrhinewestphalia/cologne/romano_germanic_museum,0.34,,,missing_coordinates; has_external_url,http://www.koelnbaeder.de,https://en.wikivoyage.org/wiki/Cologne
europe/spain/catalonia/girona,Girona,Girona,7,51,see,Museu d'Història de Girona,0.59,candidate,has description; high-value type; has external URL,,,Sant Pere de Galligants,europe/spain/catalonia/girona/sant_pere_de_galligants,0.326,,,missing_coordinates; has_external_url,https://web2.girona.cat/museuhistoria/eng/index.php,https://en.wikivoyage.org/wiki/Girona
australiaandpacific/australia/newsouthwales/newcastle,Newcastle,Newcastle (New South Wales),16,75,see,Busways,0.59,candidate,has description; high-value type; has external URL,,,Queens Wharf,australiaandpacific/australia/newsouthwales/newcastle/queens_wharf,0.421,,,missing_coordinates; has_external_url,http://www.busways.com.au,https://en.wikivoyage.org/wiki/Newcastle_%28New_South_Wales%29
africa/southafrica/durban,Durban,Durban,55,54,see,BAC Helicopters,0.59,candidate,has description; high-value type; has external URL,,,Britannia Hotel,africa/southafrica/durban/cafe_1,0.467,,,missing_coordinates; has_external_url,http://www.bachelicopters.com,https://en.wikivoyage.org/wiki/Durban
northamerica/canada/britishcolumbia/victoria,Victoria,Victoria (British Columbia),12,87,see,IslandLink Bus,0.59,candidate,has description; high-value type; has external URL,,,Fisgard Lighthouse,northamerica/canada/britishcolumbia/victoria/fisgard_lighthouse,0.5,,,missing_coordinates; has_external_url,https://www.islandlinkbus.com/,https://en.wikivoyage.org/wiki/Victoria_%28British_Columbia%29
asia/india/gujarat/ahmedabad,Ahmedabad,Ahmedabad,50,18,see,Vodafone Idea,0.59,candidate,has description; high-value type; has external URL,,,Cafe Nirvana,asia/india/gujarat/ahmedabad/cafe_nirvana,0.48,,,missing_coordinates; has_external_url,http://www.vodafone.in,https://en.wikivoyage.org/wiki/Ahmedabad
northamerica/unitedstates/virginia/alexandria,Alexandria,Alexandria (Virginia),7,64,see,Amtrak,0.59,candidate,has description; high-value type; has external URL,,,Mount Vernon Estate,northamerica/unitedstates/virginia/alexandria/mount_vernon,0.32,,,missing_coordinates; has_external_url,https://www.amtrak.com/,https://en.wikivoyage.org/wiki/Alexandria_%28Virginia%29
northamerica/unitedstates/louisiana/shreveport,Shreveport,Shreveport,21,43,do,CORK,0.59,candidate,has description; high-value type; has external URL,,,Herby-K's,northamerica/unitedstates/louisiana/shreveport/herby_ks,0.308,,,missing_coordinates; has_external_url,http://www.corkwinefestival.com/,https://en.wikivoyage.org/wiki/Shreveport
europe/norway/oslo,Oslo,Oslo,26,88,do,Oslo Pride,0.59,candidate,has description; high-value type; has external URL,,,Oslo City Museum,europe/norway/oslo/oslocitymuseum,0.538,,,missing_coordinates; has_external_url,https://www.skeivedager.no,https://en.wikivoyage.org/wiki/Oslo
australiaandpacific/newzealand/south_island/otago/milford_sound,Milford Sound,Milford Sound,0,8,do,Cruise Milford NZ,0.59,candidate,has description; high-value type; has external URL,,,,,0.0,,,missing_coordinates; has_external_url,http://www.cruisemilfordnz.com,https://en.wikivoyage.org/wiki/Milford_Sound
southamerica/peru/ollantaytambo,Ollantaytambo,Ollantaytambo,3,18,do,KB Tambo,0.59,candidate,has description; high-value type; has external URL,,,Ollantaytambo Fortress,southamerica/peru/ollantaytambo/ollantaytambo_ruins,0.333,,,missing_coordinates; has_external_url,http://www.kbperu.com/,https://en.wikivoyage.org/wiki/Ollantaytambo
europe/belgium/aalst,Aalst,Aalst,11,33,do,Pikkeling,0.59,candidate,has description; high-value type; has external URL,,,Aalst Beguinage,europe/belgium/aalst/aalst_beguinage,0.333,,,missing_coordinates; has_external_url,http://www.faluintjes-pikkeling.be,https://en.wikivoyage.org/wiki/Aalst
northamerica/unitedstates/newjersey/trenton,Trenton,Trenton,11,34,do,Patriots Week,0.59,candidate,has description; high-value type; has external URL,,,Roebling Wire Works,northamerica/unitedstates/newjersey/trenton/roebling_wire_works,0.375,,,missing_coordinates; has_external_url,https://patriotsweek.com/,https://en.wikivoyage.org/wiki/Trenton
europe/germany/northrhinewestphalia/essen,Essen,Essen,11,74,do,Kunst-Raum,0.59,candidate,has description; high-value type; has external URL,,,Slab for the Ruhr (Richard Serra),europe/germany/northrhinewestphalia/essen/slab_for_the_ruhr,0.348,,,missing_coordinates; has_external_url,http://www.kunst-raum.net/,https://en.wikivoyage.org/wiki/Essen
europe/denmark/fredericia,Fredericia,Fredericia,9,20,do,Sail the Fjord,0.59,candidate,has description; high-value type; has external URL,,,Lillebælt Bridges,europe/denmark/fredericia/lillebaelt_bridges,0.37,,,missing_coordinates; has_external_url,http://www.visitfredericia.dk,https://en.wikivoyage.org/wiki/Fredericia
europe/lithuania/druskininkai,Druskininkai,Druskininkai,11,19,see,Druskininkai Tourism and Business Information Centre,0.59,candidate,has description; high-value type; has external URL,,,Druskininkai Aqua Park,europe/lithuania/druskininkai/druskininkai_aquapark,0.486,,,missing_coordinates; has_external_url,https://druskininkai.lt/,https://en.wikivoyage.org/wiki/Druskininkai
asia/india/karnataka/mysore,Mysore,Mysore,14,82,see,Osho Sannidhi,0.59,candidate,has description; high-value type; has external URL,,,Hotel Siddharta,asia/india/karnataka/mysore/siddharta_hotel,0.5,,,missing_coordinates; has_external_url,http://www.oshosannidhi.org/home,https://en.wikivoyage.org/wiki/Mysore
northamerica/unitedstates/delaware/dover,Dover,Dover (Delaware),9,52,do,Firefly Music Festival,0.59,candidate,has description; high-value type; has external URL,,,Air Mobility Command Museum,northamerica/unitedstates/delaware/dover/air_mobility_command_museum,0.367,,,missing_coordinates; has_external_url,http://www.fireflyfestival.com,https://en.wikivoyage.org/wiki/Dover_%28Delaware%29
europe/netherlands/eindhoven,Eindhoven,Eindhoven,15,91,do,Glow Eindhoven,0.59,candidate,has description; high-value type; has external URL,,,Hovenring,europe/netherlands/eindhoven/hovenring,0.435,,,missing_coordinates; has_external_url,http://www.gloweindhoven.nl/en,https://en.wikivoyage.org/wiki/Eindhoven
europe/germany/badenwrttemberg/konstanz,Konstanz,Konstanz,9,55,do,Oktoberfest,0.59,candidate,has description; high-value type; has external URL,,,Harbour Waterfront Cafes,europe/germany/badenwrttemberg/konstanz/harbour_cafe,0.343,,,missing_coordinates; has_external_url,http://www.oktoberfest-konstanz.com,https://en.wikivoyage.org/wiki/Konstanz
europe/germany/saarland/saarbrucken,Saarbrücken,Saarbrücken,7,39,do,Max Ophüls Preis,0.59,candidate,has description; high-value type; has external URL,,,Platz des Unsichtbaren Mahnmals,europe/germany/saarland/saarbrucken/platz_des_unsichtbaren_mahnmals,0.279,,,missing_coordinates; has_external_url,https://ffmop.de/en,https://en.wikivoyage.org/wiki/Saarbr%C3%BCcken
