world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
europe/czechrepublic/brno,Brno,Brno,15,89,see,Regiojet,0.59,candidate,has description; high-value type; has external URL,,,Špilberk Castle,europe/czechrepublic/brno/spilberk_castle,0.273,,,missing_coordinates; has_external_url,https://regiojet.com/,https://en.wikivoyage.org/wiki/Brno
northamerica/costarica/liberia,Liberia,Liberia (Costa Rica),2,27,do,Water Slide at Buena Vista Del Rincon,0.59,candidate,has description; high-value type; has external URL,,,Hacienda Guachipelín,northamerica/costarica/liberia/hacienda_guachipel,0.34,,,missing_coordinates; has_external_url,https://www.buenavistadelrincon.com/guanacaste-costa-rica-adventure-tours/#slide,https://en.wikivoyage.org/wiki/Liberia_%28Costa_Rica%29
europe/sweden/stockholm,Stockholm,Stockholm,56,118,see,BikeSweden AB,0.59,candidate,has description; high-value type; has external URL,,,Millesgården,europe/sweden/stockholm/millesgrden,0.48,,,missing_coordinates; has_external_url,http://www.bikesweden.se,https://en.wikivoyage.org/wiki/Stockholm
northamerica/mexico/juarez,Juarez,Juarez,4,23,see,Grupo Senda,0.59,candidate,has description; high-value type; has external URL,,,Avenida Juárez,northamerica/mexico/juarez/avenida_juarez,0.32,,,missing_coordinates; has_external_url,http://ticket.gruposenda.com,https://en.wikivoyage.org/wiki/Juarez
northamerica/guatemala/quezaltenango,Quetzaltenango (Xela),Quetzaltenango,3,13,do,Entremundos,0.59,candidate,has description; high-value type; has external URL,,,Parque Centro América,northamerica/guatemala/quezaltenango/parque_centro_america,0.312,,,missing_coordinates; has_external_url,http://www.entremundos.org,https://en.wikivoyage.org/wiki/Quetzaltenango
europe/france/aquitaine/saintes,Saintes,Saintes,6,93,do,New Year's cavalcade,0.59,candidate,has description; high-value type; has external URL,,,Abbaye aux Dames,europe/france/aquitaine/saintes/abbaye_aux_dames,0.333,,,missing_coordinates; has_external_url,http://carnaval-st-sylvestre.e-monsite.com/,https://en.wikivoyage.org/wiki/Saintes
northamerica/unitedstates/vermont/rutland,Rutland,Rutland (Vermont),4,17,do,Hathaway Farm & Corn Maze,0.59,candidate,has description; high-value type; has external URL,,,Chaffee Art Center,northamerica/unitedstates/vermont/rutland/chaffee_art_center,0.356,,,missing_coordinates; has_external_url,http://www.hathawayfarm.com/,https://en.wikivoyage.org/wiki/Rutland_%28Vermont%29
europe/croatia/rijeka,Rijeka,Rijeka,6,40,do,Parks and promenades,0.59,candidate,has description; high-value type; has external URL,,,PEEK&POKE Computer Museum,europe/croatia/rijeka/peek_and_poke,0.49,,,missing_coordinates; has_external_url,http://www.tz-rijeka.hr/en/Home.aspx?PageID=234,https://en.wikivoyage.org/wiki/Rijeka
europe/belgium/brussels,Brussels,Brussels,14,68,see,TGV,0.59,candidate,has description; high-value type; has external URL,,,Atomium,europe/belgium/brussels/atomium,0.2,,,missing_coordinates; has_external_url,http://www.tgv-europe.com/,https://en.wikivoyage.org/wiki/Brussels
europe/netherlands/thehague,The Hague,The Hague,16,165,do,TodaysArt Festival,0.59,candidate,has description; high-value type; has external URL,,,Van Kleef Distillery,europe/netherlands/thehague/van_kleef,0.368,,,missing_coordinates; has_external_url,http://www.todaysart.nl,https://en.wikivoyage.org/wiki/The_Hague
northamerica/mexico/sanmigueldeallende,San Miguel de Allende,San Miguel de Allende,6,87,do,San Miguel Chamber Music Festival,0.59,candidate,has description; high-value type; has external URL,,,Parroquia de San Miguel Arcángel,northamerica/mexico/sanmigueldeallende/parroquia_san_miguel,0.548,,,missing_coordinates; has_external_url,http://www.festivalsanmiguel.com/,https://en.wikivoyage.org/wiki/San_Miguel_de_Allende
northamerica/unitedstates/california/santa_barbara,Santa Barbara,Santa Barbara,17,107,see,Amtrak,0.59,candidate,has description; high-value type; has external URL,,,East Beach,northamerica/unitedstates/california/santa_barbara/east_beach,0.375,,,missing_coordinates; has_external_url,https://www.amtrak.com/,https://en.wikivoyage.org/wiki/Santa_Barbara
northamerica/unitedstates/massachusetts/boston,Boston,Boston,64,72,see,The RIDE,0.59,candidate,has description; high-value type; has external URL,,,Mildred's,northamerica/unitedstates/massachusetts/boston/mildreds,0.462,,,missing_coordinates; has_external_url,http://www.mbta.com/riding_the_t/accessible_services/default.asp?id=7108,https://en.wikivoyage.org/wiki/Boston
