world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
europe/hungary/godollo,Gödöllő,Gödöllő,3,60,see,Horthy Bunker,0.59,candidate,has description; high-value type; strong travel term,,,Queen Elisabeth Park,europe/hungary/godollo/queen_elisabeth_park,0.242,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/G%C3%B6d%C3%B6ll%C5%91
northamerica/unitedstates/arizona/grandcanyon,Grand Canyon,Grand Canyon,6,52,do,Bicycling,0.59,candidate,has description; high-value type; strong travel term,,,Bright Angel Trail,northamerica/unitedstates/arizona/grandcanyon/bright_angel_trail,0.296,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Grand_Canyon
asia/malaysia/tamannegara,Taman Negara,Taman Negara,7,19,do,Swimming,0.59,candidate,has description; high-value type; strong travel term,,,Tembeling River,asia/malaysia/tamannegara/tembeling_river,0.348,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Taman_Negara
europe/greece/kalamata,Kalamata,Kalamata,9,13,see,Saint Apostles,0.59,candidate,has description; high-value type; strong travel term,,,Church of Agioi Apostoloi,europe/greece/kalamata/church_agioi_apostoloi,0.462,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Kalamata
australiaandpacific/frenchpolynesia/moorea,Moorea,Moorea,13,21,do,Horseback riding,0.59,candidate,has description; high-value type; strong travel term,,,Haapiti,australiaandpacific/frenchpolynesia/moorea/haapiti,0.348,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Moorea
southamerica/brazil/mariana,Mariana,Mariana,3,33,see,Rua Direita,0.59,candidate,has description; high-value type; strong travel term,,,Praça Minas Gerais,southamerica/brazil/mariana/praca_minas_gerais,0.37,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Mariana
asia/india/kerala/payyanur,Payyanur,Payyanur,3,40,do,Island Walk,0.59,candidate,has description; high-value type; strong travel term,,,Ezhimala,asia/india/kerala/payyanur/ezhimala,0.316,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Payyanur
northamerica/unitedstates/nebraska/northplatte,North Platte,North Platte,5,42,do,Heritage Festival,0.59,candidate,has description; high-value type; strong travel term,,,North Platte Canteen Memorial,northamerica/unitedstates/nebraska/northplatte/north_platte_canteen,0.391,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/North_Platte
europe/germany/hessen/frankfurt,Frankfurt,Frankfurt,53,24,do,River cruises along the Main River,0.59,candidate,has description; high-value type; strong travel term,,,Deutsches Architekturmuseum,europe/germany/hessen/frankfurt/deutsches_architekturmuseum,0.386,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Frankfurt
northamerica/unitedstates/kansas/lawrence,Lawrence,Lawrence (Kansas),8,39,see,Wells Overlook Park,0.59,candidate,has description; high-value type; strong travel term,,,Spencer Museum of Art,northamerica/unitedstates/kansas/lawrence/spencer_museum_of_art,0.3,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Lawrence_%28Kansas%29
europe/croatia/krka_national_park_1,Krka National Park,Krka National Park,0,24,see,Lozovac,0.59,candidate,has description; high-value type; strong travel term,,,,,0.0,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Krka_National_Park
southamerica/brazil/ribeiraopreto,Ribeirão Preto,Ribeirão Preto,4,18,see,Fábio Barreto Municipal Forest,0.59,candidate,has description; high-value type; strong travel term,,,Bosque Municipal Fábio Barreto,southamerica/brazil/ribeiraopreto/bosque_municipal,0.433,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Ribeir%C3%A3o_Preto
europe/slovakia/b_a_n_s_k,Banská Stiavnica,Banská Štiavnica,6,35,do,Salamander Days 2010,0.59,candidate,has description; high-value type; strong travel term,,,St. Catherine's Church,europe/slovakia/b_a_n_s_k/st_catherines_church,0.341,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Bansk%C3%A1_%C5%A0tiavnica
northamerica/canada/quebec/montreal,Montreal,Montreal,50,59,do,Parc de l'Ile-de-la-Visitation,0.59,candidate,has description; high-value type; strong travel term,,,Marché Jean-Talon,northamerica/canada/quebec/montreal/marche_jean_talon,0.541,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Montreal
northamerica/unitedstates/georgia/macon,Macon,Macon (Georgia),6,41,see,Heritage Trail along the Ocmulgee River,0.59,candidate,has description; high-value type; strong travel term,,,Rose Hill Cemetery,northamerica/unitedstates/georgia/macon/rose_hill_cemetery,0.453,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Macon_%28Georgia%29
europe/luxembourg/vianden,Vianden,Vianden,5,22,see,City ramparts,0.59,candidate,has description; high-value type; strong travel term,,,Vianden Chairlift,europe/luxembourg/vianden/chairlift,0.333,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Vianden
asia/cambodia/stung_treng,Stung Treng,Stung Treng,4,7,do,Acleda Bank,0.59,candidate,has description; high-value type; strong travel term,,,Flooded Forest and Wetlands,asia/cambodia/stung_treng/flooded_forest,0.316,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Stung_Treng
europe/germany/lowersaxony/luneburg,Lüneburg,Lüneburg,14,47,see,Senkungsgebiet,0.59,candidate,has description; high-value type; strong travel term,,,Museum Lüneburg,europe/germany/lowersaxony/luneburg/museum_lüneburg,0.414,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/L%C3%BCneburg
asia/china/xinjiangprovince/cherchen,Cherchen,Cherchen,3,11,see,Ancient Ruins,0.59,candidate,has description; high-value type; strong travel term,,,Toghraklek Manor Museum,asia/china/xinjiangprovince/cherchen/toghraklek_manor,0.278,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Cherchen
australiaandpacific/frenchpolynesia/moorea,Moorea,Moorea,13,21,see,The Tropical Garden,0.59,candidate,has description; high-value type; strong travel term,,,Opunohu Valley Marae,australiaandpacific/frenchpolynesia/moorea/opunohu_marae,0.457,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Moorea
northamerica/unitedstates/newhampshire/manchester,Manchester,Manchester (New Hampshire),4,26,do,Livingston Park,0.59,candidate,has description; high-value type; strong travel term,,,Currier Museum of Art,northamerica/unitedstates/newhampshire/manchester/currier_museum_of_art,0.222,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Manchester_%28New_Hampshire%29
australiaandpacific/solomonislands/guadalcanal,Guadalcanal,Guadalcanal,4,8,see,Tenaru Falls,0.59,candidate,has description; high-value type; strong travel term,,,Henderson Field,australiaandpacific/solomonislands/guadalcanal/henderson_field,0.444,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Guadalcanal
europe/georgia/zugdidi,Zugdidi,Zugdidi,2,10,see,Tsaishi,0.59,candidate,has description; high-value type; strong travel term,,,Dadiani Palace Museum,europe/georgia/zugdidi/dadiani_palace,0.214,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Zugdidi
australiaandpacific/australia/queensland/gladstone,Gladstone,Gladstone (Queensland),3,13,do,Swim,0.59,candidate,has description; high-value type; strong travel term,,,Gladstone Regional Art Gallery and Museum,australiaandpacific/australia/queensland/gladstone/gladstone_art_gallery,0.133,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Gladstone_%28Queensland%29
europe/norway/flor,Florø,Florø,5,5,see,Kystmuseet,0.59,candidate,has description; high-value type; strong travel term,,,The Rock Carvings in Ausevik,europe/norway/flor/rock_carvings,0.294,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Flor%C3%B8
asia/israel/eliat,Eilat,Eilat,1,35,do,Snorkeling,0.59,candidate,has description; high-value type; strong travel term,,,The Red Sea Star,asia/israel/eliat/the_red_sea_star,0.182,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Eilat
australiaandpacific/australia/queensland/magnetic_island,Magnetic Island,Magnetic Island,6,32,do,Picnic Bay to West Point,0.59,candidate,has description; high-value type; strong travel term,,,Geoffrey Bay Snorkel Trail,australiaandpacific/australia/queensland/magnetic_island/geoffrey_bay_snorkel_trail,0.32,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Magnetic_Island
asia/india/karnataka/shimoga,Shimoga,Shimoga,9,19,see,Kudli Hoysala Rameshwara Temple,0.59,candidate,has description; high-value type; strong travel term,,,Kodachadri,asia/india/karnataka/shimoga/kodachadri,0.293,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Shimoga
northamerica/mexico/len,León,León (Mexico),5,35,see,Botanic Gardens,0.59,candidate,has description; high-value type; strong travel term,,,Zoo León,northamerica/mexico/len/zoo_leon,0.3,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Le%C3%B3n_%28Mexico%29
northamerica/unitedstates/utah/kanab,Kanab,Kanab,7,30,see,Lewis Jepson Home,0.59,candidate,has description; high-value type; strong travel term,,,Parry Lodge,northamerica/unitedstates/utah/kanab/parry_lodge,0.286,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Kanab
northamerica/unitedstates/california/northcoast/sonoma,Sonoma,Sonoma,6,57,do,Sonoma's Tuesday Night Market,0.59,candidate,has description; high-value type; strong travel term,,,Sonoma Valley Wineries,northamerica/unitedstates/california/northcoast/sonoma/sonoma_valley_wineries,0.471,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Sonoma
southamerica/argentina/mendoza,Mendoza,Mendoza,16,22,see,Central Park,0.59,candidate,has description; high-value type; strong travel term,,,Puente del Inca,southamerica/argentina/mendoza/puente_del_inca,0.435,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Mendoza
europe/france/midi/languedoc/albi,Albi,Albi,4,19,see,Albi Cathedral,0.59,candidate,has description; high-value type; strong travel term,,,Cathédrale Sainte-Cécile,europe/france/midi/languedoc/albi/cathedrale_sainte_cecile,0.421,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Albi
europe/germany/lowersaxony/hameln,Hameln,Hamelin,7,25,see,St. Boniface Minster Church,0.59,candidate,has description; high-value type; strong travel term,,,Leisthaus and Stiftsherrenhaus,europe/germany/lowersaxony/hameln/leisthaus,0.393,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Hamelin
asia/turkmenistan/ashgabat,Ashgabat,Ashgabat,7,59,do,Magtymguly Theatre,0.59,candidate,has description; high-value type; strong travel term,,,Altyn Asyr Bazaar (Tolkuchka),asia/turkmenistan/ashgabat/altyn_asyr_bazaar,0.343,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Ashgabat
northamerica/unitedstates/california/orangecounty/irvine,Irvine,Irvine,9,52,do,Park Place,0.59,candidate,has description; high-value type; strong travel term,,,Pao Fa Temple,northamerica/unitedstates/california/orangecounty/irvine/pao_fa_temple,0.522,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Irvine
australiaandpacific/australia/queensland/townsville,Townsville,Townsville,7,65,see,Toomulla Beach,0.59,candidate,has description; high-value type; strong travel term,,,Queensland Museum Tropics,australiaandpacific/australia/queensland/townsville/queensland_museum_tropics,0.308,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Townsville
asia/thailand/kohphiphi,Koh Phi Phi,Ko Phi Phi,8,70,see,Ao Lo Sa Ma,0.59,candidate,has description; high-value type; strong travel term,,,Bamboo Island (Ko Pai),asia/thailand/kohphiphi/bamboo_island,0.417,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Ko_Phi_Phi
asia/china/yunnanprovince/kunming,Kunming,Kunming,50,81,see,Earth Forest,0.59,candidate,has description; high-value type; strong travel term,,,Shilin Stone Forest,asia/china/yunnanprovince/kunming/stoneforest,0.516,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Kunming
