world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
northamerica/unitedstates/ohio/oxford,Oxford,Oxford (Ohio),6,70,see,Lorenzo Langstroth Cottage,0.59,candidate,has description; high-value type; strong travel term,,,Karl E. Limper Geology Museum,northamerica/unitedstates/ohio/oxford/karl_limper_geology_museum,0.296,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Oxford_%28Ohio%29
europe/spain/canaryislands/elhierro,El Hierro,El Hierro,5,67,see,Restinga,0.59,candidate,has description; high-value type; strong travel term,,,El Sabinar,europe/spain/canaryislands/elhierro/el_sabinar,0.533,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/El_Hierro
europe/macedonia/skopje,Skopje,Skopje,11,58,see,Remains of Skupi,0.59,candidate,has description; high-value type; strong travel term,,,Memorial House of Mother Teresa,europe/macedonia/skopje/memorial_house_of_mother_teresa,0.383,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Skopje
northamerica/unitedstates/missouri/stlouis,St. Louis,St. Louis,59,106,see,Fourth of July Fireworks Celebration,0.59,candidate,has description; high-value type; strong travel term,,,Museum of Transportation,northamerica/unitedstates/missouri/stlouis/transportation_museum,0.433,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/St._Louis
northamerica/mexico/chichenitza,Chichen Itza,Chichen Itza,0,27,see,Old Chichen,0.59,candidate,has description; high-value type; strong travel term,,,,,0.0,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Chichen_Itza
northamerica/guatemala/tikal,Tikal,Tikal,6,16,do,Uaxactun,0.59,candidate,has description; high-value type; strong travel term,,,The Great Plaza,northamerica/guatemala/tikal/the_great_plaza,0.211,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Tikal
asia/iraq/baghdad,Baghdad,Baghdad,7,78,see,Uzbek Mosque,0.59,candidate,has description; high-value type; strong travel term,,,Al-Kadhimiya Mosque,asia/iraq/baghdad/al_kadhimiya_mosque,0.516,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Baghdad
asia/china/xinjiangprovince/cherchen,Cherchen,Cherchen,3,11,see,Hunting Park,0.59,candidate,has description; high-value type; strong travel term,,,Zaghunluq Cemetery,asia/china/xinjiangprovince/cherchen/zaghunluq_cemetery,0.333,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Cherchen
europe/spain/andalucia/estepona,Estepona,Estepona,5,6,see,Castillo de San Luis,0.59,candidate,has description; high-value type; strong travel term,,,Castle Ruins of Estepona,europe/spain/andalucia/estepona/castle_ruins,0.439,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Estepona
asia/philippines/makati,Makati,Makati,9,59,see,Nuestra Señora de Gracia Church,0.59,candidate,has description; high-value type; strong travel term,,,Poblacion Bar Scene,asia/philippines/makati/poblacion_bar_scene,0.298,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Makati
europe/denmark/sonderborg,Sønderborg,Sønderborg,11,19,see,St. Mary's Church,0.59,candidate,has description; high-value type; strong travel term,,,Sankt Marie Kirke,europe/denmark/sonderborg/sankt_marie_kirke,0.485,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/S%C3%B8nderborg
