world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
europe/slovenia/bled,Bled,Bled,10,30,see,Bled Island,0.59,candidate,has description; high-value type; strong travel term,,,Bled Castle,europe/slovenia/bled/bled_castle,0.545,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Bled
europe/germany/badenwrttemberg/stuttgart,Stuttgart,Stuttgart,27,176,do,Biking,0.59,candidate,has description; high-value type; strong travel term,,,Stiftskirche,europe/germany/badenwrttemberg/stuttgart/stiftskirche,0.333,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Stuttgart
northamerica/canada/ontario/sarnia,Sarnia,Sarnia,7,24,do,Lake Huron,0.59,candidate,has description; high-value type; strong travel term,,,Blue Water Bridge,northamerica/canada/ontario/sarnia/blue_water_bridge,0.296,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Sarnia
europe/italy/tuscany/cortona,Cortona,Cortona,18,30,see,Farneta Abbey,0.59,candidate,has description; high-value type; strong travel term,,,Cortona Cathedral,europe/italy/tuscany/cortona/cortona_cathedral,0.4,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Cortona
asia/vietnam/dalat,Dalat,Da Lat,13,41,see,Nha Tho Domaine de Marie,0.59,candidate,has description; high-value type; strong travel term,,,Da Lat Train Station,asia/vietnam/dalat/dalat_train_station,0.488,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Da_Lat
europe/russia/ural/south_ural/chelyabinsk,Chelyabinsk,Chelyabinsk,8,13,do,Outdoor Skating,0.59,candidate,has description; high-value type; strong travel term,,,Soviet Canteen-Style Dining,europe/russia/ural/south_ural/chelyabinsk/stolovaya_no5,0.381,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Chelyabinsk
europe/germany/badenwrttemberg/ulm,Ulm,Ulm,12,35,do,Schwörmontag,0.59,candidate,has description; high-value type; strong travel term,,,Schwoerhaus,europe/germany/badenwrttemberg/ulm/schwoerhaus,0.522,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Ulm
asia/philippines/vigan,Vigan,Vigan,7,42,see,Semana Santa,0.59,candidate,has description; high-value type; strong travel term,,,Syquia Mansion,asia/philippines/vigan/syquia_mansion,0.462,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Vigan
northamerica/unitedstates/florida/lakeland,Lakeland,Lakeland,7,37,see,All Saints' Episcopal Church,0.59,candidate,has description; high-value type; strong travel term,,,Florida Southern College — Child of the Sun,northamerica/unitedstates/florida/lakeland/florida_southern_college,0.375,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Lakeland
europe/france/midi/languedoc/narbonne,Narbonne,Narbonne,7,12,see,Museum of Art and History of Narbonne,0.59,candidate,has description; high-value type; strong travel term,,,Canal de la Robine,europe/france/midi/languedoc/narbonne/canal_de_la_robine,0.286,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Narbonne
europe/ukraine/dnepropetrovsk,Dnipro,Dnipro,8,48,see,Prospekt Dmytra Yavornytskoho,0.59,candidate,has description; high-value type; strong travel term,,,Dnipro Opera and Ballet Theatre,europe/ukraine/dnepropetrovsk/opera_and_ballet_theatre,0.4,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Dnipro
