world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
europe/romania/deva,Deva,Deva,8,33,see,Bejan Forest,0.59,candidate,has description; high-value type; strong travel term,,,Simeria Arboretum,europe/romania/deva/simeria_arboretum,0.483,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Deva
northamerica/unitedstates/northcarolina/charlotte,Charlotte,Charlotte,13,24,do,EclecFest,0.59,candidate,has description; high-value type; strong travel term,,,Bechtler Museum of Modern Art,northamerica/unitedstates/northcarolina/charlotte/bechtler_museum,0.316,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Charlotte
asia/china/liaoning/anshan,Anshan,Anshan,4,37,see,Xiao Temple,0.59,candidate,has description; high-value type; strong travel term,,,Jade Buddha Palace,asia/china/liaoning/anshan/jade_buddha_palace,0.345,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Anshan
asia/india/tamilnadu/rameshwaram,Rameshwaram,Rameswaram,11,21,see,Nambu Nayagiamman Temple,0.59,candidate,has description; high-value type; strong travel term,,,Five-Faced Hanuman Temple,asia/india/tamilnadu/rameshwaram/five_faced_hanuman_temple,0.49,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Rameswaram
europe/spain/galicia/ourense,Ourense,Ourense,7,17,see,Santa Eufemia,0.59,candidate,has description; high-value type; strong travel term,,,Praza Maior,europe/spain/galicia/ourense/praza_maior,0.417,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Ourense
europe/switzerland/fribourg,Fribourg,Fribourg,12,22,do,Climb the 368 steps of St. Nicolas' Cathedral,0.59,candidate,has description; high-value type; strong travel term,,,Fribourg Cathedral (Cathédrale Saint-Nicolas),europe/switzerland/fribourg/fribourg_cathedral,0.456,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Fribourg
asia/thailand/kohphiphi,Koh Phi Phi,Ko Phi Phi,8,70,see,Tsunami Memorial Garden,0.59,candidate,has description; high-value type; strong travel term,,,Tonsai Village,asia/thailand/kohphiphi/tonsai_village,0.486,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Ko_Phi_Phi
europe/belgium/aalst,Aalst,Aalst,11,33,see,Valerius De Saedeleer Statue,0.59,candidate,has description; high-value type; strong travel term,,,Dirk Martens Statue,europe/belgium/aalst/dirk_martens_statue,0.409,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Aalst
northamerica/mexico/mexicocity,Mexico City,Mexico City,52,141,see,Papalote Children's Museum,0.59,candidate,has description; high-value type; strong travel term,,,Plaza of Three Cultures (Tlatelolco),northamerica/mexico/mexicocity/tlatelolco,0.449,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Mexico_City
africa/kenya/nairobi,Nairobi,Nairobi,30,113,see,Khoja Mosque,0.59,candidate,has description; high-value type; strong travel term,,,Java House,africa/kenya/nairobi/java_house,0.545,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Nairobi
europe/spain/catalonia/mataro,Mataró,Mataró,6,61,do,Sant Simó Beach,0.59,candidate,has description; high-value type; strong travel term,,,Can Marfà Knitwear Museum,europe/spain/catalonia/mataro/can_marfa_knitwear_museum,0.368,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Matar%C3%B3
