world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
africa/tunisia/hammamet,Hammamet,Hammamet,5,8,see,Harbor Castle,0.59,candidate,has description; high-value type; strong travel term,,,Dar Sebastian,africa/tunisia/hammamet/dar_sebastian,0.462,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Hammamet
northamerica/thecaribbean/martinique/fortdefrance,Fort-de-France,Fort-de-France,7,13,see,Jardin de Balata,0.59,candidate,has description; high-value type; strong travel term,,,Fort Saint-Louis,northamerica/thecaribbean/martinique/fortdefrance/fort_saint_louis,0.276,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Fort-de-France
northamerica/mexico/mexicocity,Mexico City,Mexico City,52,141,see,José Luis Cuevas Museum,0.59,candidate,has description; high-value type; strong travel term,,,Casa Luis Barragán,northamerica/mexico/mexicocity/casa_luis_barragan,0.45,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Mexico_City
northamerica/jamaica/montegobay,Montego Bay,Montego Bay,13,22,see,The Centerstage Theatre,0.59,candidate,has description; high-value type; strong travel term,,,Doctor's Cave Beach,northamerica/jamaica/montegobay/doctors_cave_beach,0.474,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Montego_Bay
northamerica/unitedstates/minnesota/duluth,Duluth,Duluth,8,55,do,Top Hat Carriage Service,0.59,candidate,has description; high-value type; strong travel term,,,Fitger's Brewery Complex,northamerica/unitedstates/minnesota/duluth/fitger_s_brewery,0.375,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Duluth
northamerica/mexico/cuernavaca,Cuernavaca,Cuernavaca,11,35,see,El Castillito,0.59,candidate,has description; high-value type; strong travel term,,,Zócalo (Plaza de Armas),northamerica/mexico/cuernavaca/zocalo,0.5,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Cuernavaca
europe/bulgaria/varna,Varna,Varna,14,24,see,Pobiti Kamani,0.59,candidate,has description; high-value type; strong travel term,,,Morski Sviat,europe/bulgaria/varna/morski_sviat,0.32,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Varna
asia/turkey/ephesus,Ephesus,Ephesus,11,15,see,Commercial Market,0.59,candidate,has description; high-value type; strong travel term,,,Church of Mary (Double Church),asia/turkey/ephesus/church_of_mary,0.452,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Ephesus
asia/india/himachalpradesh/joginder_nagar,Joginder Nagar,Jogindernagar,4,21,see,Lakshminarayana Temple,0.59,candidate,has description; high-value type; strong travel term,,,Shanan Power House,asia/india/himachalpradesh/joginder_nagar/shanan_power_house,0.4,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Jogindernagar
europe/italy/campania/calitri,Calitri,Calitri,4,21,see,St Canion Church,0.59,candidate,has description; high-value type; strong travel term,,,Calitrian Ceramics,europe/italy/campania/calitri/ceramics,0.471,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Calitri
europe/austria/graz,Graz,Graz,14,117,do,Augartenfest,0.59,candidate,has description; high-value type; strong travel term,,,Murinsel,europe/austria/graz/murinsel,0.4,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Graz
northamerica/unitedstates/vermont/rutland,Rutland,Rutland (Vermont),4,17,see,Mead's Falls,0.59,candidate,has description; high-value type; strong travel term,,,Vermont State Fairgrounds,northamerica/unitedstates/vermont/rutland/vermont_state_fair,0.378,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Rutland_%28Vermont%29
europe/azerbaijan/nagornokarabakh/stepanakert,Khankendi (Stepanakert),Khankendi,3,18,see,Art Gallery,0.59,candidate,has description; high-value type; strong travel term,,,Artsakh State Museum,europe/azerbaijan/nagornokarabakh/stepanakert/artsakh_state_museum,0.323,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Khankendi
northamerica/thecaribbean/cuba/trinidad,Trinidad,Trinidad (Cuba),9,19,do,Old Colonial Center,0.59,candidate,has description; high-value type; strong travel term,,,Topes de Collantes,northamerica/thecaribbean/cuba/trinidad/topes_de_collantes,0.529,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Trinidad_%28Cuba%29
northamerica/mexico/mexicali,Mexicali,Mexicali,10,68,see,Vallecitos,0.59,candidate,has description; high-value type; strong travel term,,,La Chinesca,northamerica/mexico/mexicali/la_chinesca,0.333,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Mexicali
europe/netherlands/hoorn,Hoorn,Hoorn,4,9,see,Statencollege,0.59,candidate,has description; high-value type; strong travel term,,,Rode Steen Square,europe/netherlands/hoorn/roode_steen,0.333,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Hoorn
asia/israel/eilat,Eilat,Eilat,13,35,do,Snorkeling,0.59,candidate,has description; high-value type; strong travel term,,,Ginger,asia/israel/eilat/ginger,0.375,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Eilat
northamerica/unitedstates/idaho/boise,Boise,Boise,14,73,do,Floating the Boise River,0.59,candidate,has description; high-value type; strong travel term,,,Boise River Greenbelt,northamerica/unitedstates/idaho/boise/boise_river_greenbelt,0.537,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Boise
australiaandpacific/australia/newsouthwales/wollongong,Wollongong,Wollongong,8,68,see,Windang,0.59,candidate,has description; high-value type; strong travel term,,,Five Islands Brewing Company,australiaandpacific/australia/newsouthwales/wollongong/five_islands_brewing,0.286,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Wollongong
asia/turkey/kusadasi,Kuşadası,Kuşadası,9,15,see,Micro Miniature Museum,0.59,candidate,has description; high-value type; strong travel term,,,Kale Mosque (Öküz Mehmet Pasha Mosque),asia/turkey/kusadasi/kale_mosque,0.364,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Ku%C5%9Fadas%C4%B1
europe/poland/torun,Toruń,Toruń,6,59,see,Stare Miasto (Old Quarter),0.59,candidate,has description; high-value type; strong travel term,,,Teutonic Knights Castle,europe/poland/torun/teutonic_castle,0.343,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Toru%C5%84
asia/india/madhyapradesh/ujjain,Ujjain,Ujjain,8,25,see,Durgadas Ki Chhatri,0.59,candidate,has description; high-value type; strong travel term,,,Ram Ghat,asia/india/madhyapradesh/ujjain/ram_ghat,0.444,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Ujjain
northamerica/canada/britishcolumbia/whistler,Whistler,Whistler,12,43,do,Bear Watching,0.59,candidate,has description; high-value type; strong travel term,,,Araxi,northamerica/canada/britishcolumbia/whistler/araxi,0.444,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Whistler
southamerica/brazil/diamantina,Diamantina,Diamantina,9,12,see,Igreja das Mercês,0.59,candidate,has description; high-value type; strong travel term,,,Igreja Nossa Senhora do Carmo,southamerica/brazil/diamantina/igreja_nosso_senhor_bonfim,0.435,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Diamantina
europe/unitedkingdom/england/leeds_sheffield_and_yorkshire/leeds,Leeds,Leeds,12,24,do,Party in the Park,0.59,candidate,has description; high-value type; strong travel term,,,Roundhay Park,europe/unitedkingdom/england/leeds_sheffield_and_yorkshire/leeds/roundhay_park,0.538,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Leeds
europe/ukraine/kamianetstpodilskyi,Kamianets-Podilskyi,Kamianets-Podilskyi,6,32,see,Church of Saint Heart of Jesus Christ,0.59,candidate,has description; high-value type; strong travel term,,,Kamianets-Podilskyi Castle,europe/ukraine/kamianetstpodilskyi/kamianetstpodilskyi_castle,0.286,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Kamianets-Podilskyi
europe/ukraine/kirovograd,Kropyvnytskyi,Kropyvnytskyi,5,42,do,State Dramatic and Musical Theatre,0.59,candidate,has description; high-value type; strong travel term,,,Kropyvnytskyi Academic Drama Theatre,europe/ukraine/kirovograd/kropyvnytskyi_drama_theatre,0.486,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Kropyvnytskyi
europe/ukraine/kharkiv,Kharkiv,Kharkiv,13,157,do,Zhuravlovskyi hydropark Beach,0.59,candidate,has description; high-value type; strong travel term,,,Gorky Park (Maxim Gorky Central Park),europe/ukraine/kharkiv/gorky_park,0.41,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Kharkiv
europe/norway/molde,Molde,Molde,5,48,see,Molde Cathedral,0.59,candidate,has description; high-value type; strong travel term,,,Moldejazz Festival,europe/norway/molde/moldejazz_festival,0.545,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Molde
northamerica/unitedstates/florida/northeastflorida/staugustine,St. Augustine,St. Augustine,11,75,see,Trinity Parish,0.59,candidate,has description; high-value type; strong travel term,,,Castillo de San Marcos,northamerica/unitedstates/florida/northeastflorida/staugustine/castillo_de_san_marcos,0.364,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/St._Augustine
asia/iraq/baghdad,Baghdad,Baghdad,7,78,see,Save Iraqi culture monument,0.59,candidate,has description; high-value type; strong travel term,,,Al-Shaheed Monument (Martyr's Monument),asia/iraq/baghdad/al_shaheed_monument,0.522,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Baghdad
europe/ukraine/dnepropetrovsk,Dnipro,Dnipro,8,48,see,Church of Icon of Our Lady Ivers'ka,0.59,candidate,has description; high-value type; strong travel term,,,Monastyrsky Island,europe/ukraine/dnepropetrovsk/monastyrsky_island,0.302,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Dnipro
northamerica/unitedstates/maine/bar_harbor,Bar Harbor,Bar Harbor,17,78,do,South Ridge Trail,0.59,candidate,has description; high-value type; strong travel term,,,Side Street Cafe,northamerica/unitedstates/maine/bar_harbor/sides_pier,0.485,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Bar_Harbor
northamerica/unitedstates/california/highsierra/mammothlakes,Mammoth Lakes,Mammoth Lakes,8,18,do,Backcountry Camping,0.59,candidate,has description; high-value type; strong travel term,,,Mammoth Mountain,northamerica/unitedstates/california/highsierra/mammothlakes/mammoth_mountain,0.457,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Mammoth_Lakes
northamerica/elsalvador/sansalvador,San Salvador,San Salvador,8,55,see,Monument of Memory and Truth,0.59,candidate,has description; high-value type; strong travel term,,,MUNA - National Museum of Anthropology,northamerica/elsalvador/sansalvador/muna,0.406,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/San_Salvador
southamerica/colombia/valledupar,Valledupar,Valledupar,4,7,see,Callejón De La Purrututú,0.59,candidate,has description; high-value type; strong travel term,,,Balneario Hurtado,southamerica/colombia/valledupar/balneario_hurtado,0.412,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Valledupar
europe/greece/samos,Samos,Samos,17,56,do,Kerkis summit (1.444),0.59,candidate,has description; high-value type; strong travel term,,,Mount Kerkis,europe/greece/samos/mount_kerkis,0.48,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Samos
northamerica/unitedstates/florida/palatka,Palatka,Palatka,4,20,see,Palatka Historic Union Depot,0.59,candidate,has description; high-value type; strong travel term,,,Ocala National Forest Springs,northamerica/unitedstates/florida/palatka/ocala_springs,0.386,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Palatka
asia/china/henan_province/zhengzhou,Zhengzhou,Zhengzhou,4,39,do,Zhengzhou Fonte Happy World,0.59,candidate,has description; high-value type; strong travel term,,,Henan Provincial Museum,asia/china/henan_province/zhengzhou/henan_museum,0.28,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Zhengzhou
africa/morocco/meknes,Meknes,Meknes,11,31,see,Al masjid AlAdam,0.59,candidate,has description; high-value type; strong travel term,,,Bassin de l'Agdal,africa/morocco/meknes/bassin_de_lagdal,0.467,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Meknes
asia/indonesia/lombok/mataram,Mataram,Mataram,4,24,see,RS Harapan Keluarga,0.59,candidate,has description; high-value type; strong travel term,,,Mayura Water Palace,asia/indonesia/lombok/mataram/mayura_water_palace,0.368,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Mataram
europe/unitedkingdom/wales/tenby,Tenby,Tenby,14,27,do,Boat trips,0.59,candidate,has description; high-value type; strong travel term,,,The Coach and Horses,europe/unitedkingdom/wales/tenby/coach_and_horses,0.385,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Tenby
asia/iraq/baghdad,Baghdad,Baghdad,7,78,see,Dur-Kurigalzu,0.59,candidate,has description; high-value type; strong travel term,,,Khan Murjan,asia/iraq/baghdad/khan_murjan,0.25,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Baghdad
