world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
europe/france/centre/limousin/limoges,Limoges,Limoges,5,11,see,Limoges Cathedral,0.59,candidate,has description; high-value type; strong travel term,,,Église Saint-Michel-des-Lions,europe/france/centre/limousin/limoges/eglise_saint_michel,0.439,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Limoges
asia/china/liaoning/anshan,Anshan,Anshan,4,37,see,219 Park,0.59,candidate,has description; high-value type; strong travel term,,,Qianshan National Park,asia/china/liaoning/anshan/qianshan_national_park,0.333,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Anshan
europe/france/east/burgundy/dijon,Dijon,Dijon,21,29,see,Musée d'Histoire Naturelle,0.59,candidate,has description; high-value type; strong travel term,,,Musée Rude,europe/france/east/burgundy/dijon/musee_rude,0.5,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Dijon
europe/macedonia/skopje,Skopje,Skopje,11,58,do,May Opera Evenings,0.59,candidate,has description; high-value type; strong travel term,,,Porta Macedonia,europe/macedonia/skopje/porta_macedonia,0.424,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Skopje
africa/egypt/portsaid,Port Said,Port Said,12,24,see,War memorial,0.59,candidate,has description; high-value type; strong travel term,,,Lake Manzala,africa/egypt/portsaid/lake_manzala,0.417,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Port_Said
europe/netherlands/roermond,Roermond,Roermond,0,12,see,St Christoffelkathedraal,0.59,candidate,has description; high-value type; strong travel term,,,,,0.0,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Roermond
northamerica/unitedstates/texas/midland,Midland,Midland (Texas),4,33,do,Golf at Hogan Park,0.59,candidate,has description; high-value type; strong travel term,,,George W. Bush Childhood Home,northamerica/unitedstates/texas/midland/george_w_bush_childhood_home,0.261,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Midland_%28Texas%29
europe/italy/lazio/viterbo,Viterbo,Viterbo,11,13,see,Piazza Commune,0.59,candidate,has description; high-value type; strong travel term,,,Palazzo dei Papi,europe/italy/lazio/viterbo/palazzo_dei_papi,0.4,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Viterbo
europe/norway/bergen,Bergen,Bergen,26,125,see,The North Sea Traffic Museum,0.59,candidate,has description; high-value type; strong travel term,,,Buekorps Museum,europe/norway/bergen/buekorps_museum,0.513,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Bergen
northamerica/unitedstates/california/napa,Napa,Napa,19,34,see,Labyrinth at the Methodist Church,0.59,candidate,has description; high-value type; strong travel term,,,Old Faithful Geyser of California,northamerica/unitedstates/california/napa/old_faithful_geyser,0.355,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Napa
europe/slovakia/banskabystrica,Banská Bystrica,Banská Bystrica,5,32,see,Králická tiesňava,0.59,candidate,has description; high-value type; strong travel term,,,Námestie SNP (Slovak National Uprising Square),europe/slovakia/banskabystrica/namestie_snp,0.357,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Bansk%C3%A1_Bystrica
