world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
europe/norway/harstad,Harstad,Harstad,9,21,do,Vågsfjord,0.59,candidate,has description; high-value type; strong travel term,,,Trondenes Fort and Adolf Gun,europe/norway/harstad/trondenes_fort,0.27,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Harstad
asia/china/ningxia/yinchuan,Yinchuan,Yinchuan,8,29,do,Hiking,0.59,candidate,has description; high-value type; strong travel term,,,Helan Mountain Rock Carvings,asia/china/ningxia/yinchuan/helan_mountain_rock_carvings,0.353,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Yinchuan
southamerica/brazil/guratuba,Guaratuba,Guaratuba,7,14,see,Brejatuba Beach,0.59,candidate,has description; high-value type; strong travel term,,,Praia Central,southamerica/brazil/guratuba/central_beach,0.357,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Guaratuba
northamerica/unitedstates/northcarolina/asheville,Asheville,Asheville,20,153,do,Food Lion Skate Park,0.59,candidate,has description; high-value type; strong travel term,,,Basilica of Saint Lawrence,northamerica/unitedstates/northcarolina/asheville/basilica_of_saint_lawrence,0.435,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Asheville
europe/hungary/szombathely,Szombathely,Szombathely,8,42,see,Northern Waterworks of Szombathely,0.59,candidate,has description; high-value type; strong travel term,,,Szombathely Gallery,europe/hungary/szombathely/szombathely_gallery,0.415,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Szombathely
africa/egypt/aswan,Aswan,Aswan,15,35,see,Dedwen,0.59,candidate,has description; high-value type; strong travel term,,,Gerf Hussein,africa/egypt/aswan/gerf_hussein,0.333,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Aswan
asia/philippines/marikina,Marikina,Marikina,7,21,see,Our Lady of Abandoned Parish,0.59,candidate,has description; high-value type; strong travel term,,,Immaculate Conception Parish Church (Marikina Church),asia/philippines/marikina/marikina_church,0.444,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Marikina
asia/india/tamilnadu/thanjavur,Thanjavur,Thanjavur,19,31,see,FCI Food Museum,0.59,candidate,has description; high-value type; strong travel term,,,Brihadisvara Temple,asia/india/tamilnadu/thanjavur/brihadisvara_temple,0.294,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Thanjavur
europe/italy/piemonte/asti,Asti,Asti,7,50,see,Synagogue and Jewish museum,0.59,candidate,has description; high-value type; strong travel term,,,Collegiata di San Secondo,europe/italy/piemonte/asti/san_secondo,0.308,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Asti
africa/egypt/aswan,Aswan,Aswan,15,35,see,Trajan's Kiosk,0.59,candidate,has description; high-value type; strong travel term,,,Aswan Souq,africa/egypt/aswan/aswan_souq,0.5,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Aswan
northamerica/mexico/campeche,Campeche,Campeche,4,22,see,Baluarte de La Soledad,0.59,candidate,has description; high-value type; strong travel term,,,Fuerte de San Miguel,northamerica/mexico/campeche/fuerte_de_san_miguel,0.424,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Campeche
europe/russia/vladimir,Vladimir,Vladimir,4,75,see,Monument of the 850th anniversary,0.59,candidate,has description; high-value type; strong travel term,,,Assumption Cathedral (Uspensky Sobor),europe/russia/vladimir/assumption_cathedral,0.408,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Vladimir
southamerica/brazil/campinas,Campinas,Campinas,8,95,see,Beethoven Amphitheater,0.59,candidate,has description; high-value type; strong travel term,,,Mercadão de Campinas,southamerica/brazil/campinas/mercadao_campinas,0.359,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Campinas
europe/germany/thuringia/gera,Gera,Gera,4,25,see,St. Mary's Church,0.59,candidate,has description; high-value type; strong travel term,,,Otto-Dix-Haus,europe/germany/thuringia/gera/otto_dix_haus,0.345,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Gera
asia/china/fujianprovince/quanzhou,Quanzhou,Quanzhou,13,35,see,Islamic Culture Exhibition,0.59,candidate,has description; high-value type; strong travel term,,,Lingshan Islamic Cemetery,asia/china/fujianprovince/quanzhou/lingshan_islamic_cemetery,0.471,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Quanzhou
