world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
southamerica/chile/concepcion,Concepción,Concepción,13,33,do,Nonguén National Park,0.59,candidate,has description; high-value type; strong travel term,,,Laguna Redonda,southamerica/chile/concepcion/laguna_redonda,0.4,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Concepci%C3%B3n
europe/czechrepublic/ostrava,Ostrava,Ostrava,14,28,see,Poruba district,0.59,candidate,has description; high-value type; strong travel term,,,Stodolní Street,europe/czechrepublic/ostrava/stodolni_street,0.414,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Ostrava
europe/germany/thuringia/gera,Gera,Gera,4,25,see,Museum für Naturkunde,0.59,candidate,has description; high-value type; strong travel term,,,Kunstmuseum Gera,europe/germany/thuringia/gera/kunstmuseum_gera,0.432,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Gera
northamerica/unitedstates/colorado/manitousprings,Manitou Springs,Manitou Springs,6,30,see,Iron Springs Melodrama Dinner Theatre,0.59,candidate,has description; high-value type; strong travel term,,,Manitou Penny Arcade,northamerica/unitedstates/colorado/manitousprings/penny_arcade,0.316,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Manitou_Springs
asia/india/maharashtra/mahabaleshwar,Mahabaleshwar,Mahabaleshwar,7,30,see,Krishna Temple,0.59,candidate,has description; high-value type; strong travel term,,,Old Mahabaleshwar Temple,asia/india/maharashtra/mahabaleshwar/mahabaleshwar_temple,0.526,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Mahabaleshwar
europe/norway/kristiansund,Kristiansund,Kristiansund,17,12,do,Vanndamman,0.59,candidate,has description; high-value type; strong travel term,,,Café Innlandet,europe/norway/kristiansund/cafe_innlandet,0.435,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Kristiansund
europe/france/nord/lille,Lille,Lille,22,79,do,Christmas Market,0.59,candidate,has description; high-value type; strong travel term,,,Parc Henri Matisse,europe/france/nord/lille/parc_matisse,0.471,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Lille
northamerica/unitedstates/utah/moab,Moab,Moab,9,17,see,Jeep trail,0.59,candidate,has description; high-value type; strong travel term,,,Slickrock Bike Trail,northamerica/unitedstates/utah/moab/slickrock_trail,0.467,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Moab
asia/iraq/baghdad,Baghdad,Baghdad,7,78,see,Great Synagogue of Baghdad,0.59,candidate,has description; high-value type; strong travel term,,,Iraq Museum,asia/iraq/baghdad/iraq_museum,0.27,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Baghdad
asia/china/sichuanprovince/chengdu,Chengdu,Chengdu,44,95,do,Chengdu City Concert Hall,0.59,candidate,has description; high-value type; strong travel term,,,Chengdu Art Museum,asia/china/sichuanprovince/chengdu/chengdu_art_museum,0.512,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Chengdu
europe/italy/friuliveneziagiulia/udine,Udine,Udine,18,9,see,Castello di Udine,0.59,candidate,has description; high-value type; strong travel term,,,Stadio Friuli,europe/italy/friuliveneziagiulia/udine/stadio_friuli,0.4,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Udine
