world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
northamerica/mexico/cuernavaca,Cuernavaca,Cuernavaca,11,35,see,Borda Garden,0.59,candidate,has description; high-value type; strong travel term,,,Jardín Borda,northamerica/mexico/cuernavaca/jardin_borda,0.417,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Cuernavaca
asia/philippines/marikina,Marikina,Marikina,7,21,see,Philippine Science Centrum,0.59,candidate,has description; high-value type; strong travel term,,,Marikina Shoe Museum,asia/philippines/marikina/marikina_shoe_museum,0.435,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Marikina
europe/france/midi/cotedazur/cannes,Cannes,Cannes,10,19,do,Notre-Dame d'Esperance,0.59,candidate,has description; high-value type; strong travel term,,,Île Sainte-Marguerite,europe/france/midi/cotedazur/cannes/ile_sainte_marguerite,0.41,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Cannes
asia/philippines/puerto_princesa,Puerto Princesa,Puerto Princesa,6,31,do,Plaza Cuartel,0.59,candidate,has description; high-value type; strong travel term,,,Palawan Wildlife Rescue and Conservation Center,asia/philippines/puerto_princesa/palawan_wildlife_center,0.367,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Puerto_Princesa
northamerica/thecaribbean/cuba/vinales,Viñales,Viñales,11,39,see,Museo Municipal,0.59,candidate,has description; high-value type; strong travel term,,,Cueva de Santo Tomás,northamerica/thecaribbean/cuba/vinales/cueva_de_san_tomas,0.312,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Vi%C3%B1ales
asia/india/kerala/silent_valley_national_park,Silent Valley National Park,Silent Valley National Park,0,9,do,Village visit: Pakkulam,0.59,candidate,has description; high-value type; strong travel term,,,,,0.0,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Silent_Valley_National_Park
northamerica/unitedstates/california/sanrafael,San Rafael,San Rafael,6,25,do,Hiking,0.59,candidate,has description; high-value type; strong travel term,,,Museum of International Propaganda,northamerica/unitedstates/california/sanrafael/museum_of_international_propaganda,0.15,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/San_Rafael
asia/saudiarabia/dammam,Dammam,Dammam,6,16,see,Abu Loza's Bath,0.59,candidate,has description; high-value type; strong travel term,,,Half Moon Bay,asia/saudiarabia/dammam/half_moon_bay,0.429,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Dammam
europe/italy/campania/capri,Capri,Capri,9,12,see,Church of San Michele Arcangelo,0.59,candidate,has description; high-value type; strong travel term,,,Villa San Michele,europe/italy/campania/capri/villa_san_michele,0.5,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Capri
northamerica/unitedstates/hawaii/kailuakona,Kailua-Kona,Kailua-Kona,12,40,see,Hawaii Volcanoes National Park,0.59,candidate,has description; high-value type; strong travel term,,,Kaloko-Honokohau National Historical Park,northamerica/unitedstates/hawaii/kailuakona/kaloko_honokohau,0.507,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Kailua-Kona
asia/syria/aleppo,Aleppo,Aleppo,5,29,see,Cathedral of Our Lady of the Assumption,0.59,candidate,has description; high-value type; strong travel term,,,Covered Souks of Aleppo,asia/syria/aleppo/covered_souks,0.448,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Aleppo
europe/ukraine/kamianetstpodilskyi,Kamianets-Podilskyi,Kamianets-Podilskyi,6,32,see,Archeological Museum,0.59,candidate,has description; high-value type; strong travel term,,,Polish Gate,europe/ukraine/kamianetstpodilskyi/polish_gate,0.323,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Kamianets-Podilskyi
asia/india/andhrapradesh/vijayawada,Vijayawada,Vijayawada,14,28,see,Krishnaveni Mandapam,0.59,candidate,has description; high-value type; strong travel term,,,Bhavani Island,asia/india/andhrapradesh/vijayawada/bhavani_island,0.529,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Vijayawada
northamerica/mexico/mexicocity,Mexico City,Mexico City,52,141,see,Plaza de la Constitución,0.59,candidate,has description; high-value type; strong travel term,,,Plaza of Three Cultures (Tlatelolco),northamerica/mexico/mexicocity/tlatelolco,0.488,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Mexico_City
europe/germany/rhinelandpalatinate/koblenz,Koblenz,Koblenz,21,18,do,Rheinburgenweg,0.59,candidate,has description; high-value type; strong travel term,,,Einstein,europe/germany/rhinelandpalatinate/koblenz/weinstube_einstein,0.455,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Koblenz
