world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
europe/denmark/fredericia,Fredericia,Fredericia,9,20,see,Cykelservice,0.51,candidate,high-value type; has external URL,,,Fredericia Museum,europe/denmark/fredericia/fredericia_museum,0.414,,,missing_coordinates; has_external_url,http://www.cykelservice.dk,https://en.wikivoyage.org/wiki/Fredericia
europe/norway/oslo,Oslo,Oslo,26,88,see,Police,0.51,candidate,high-value type; has external URL,,,Royal Palace,europe/norway/oslo/royalpalace,0.444,,,missing_coordinates; has_external_url,https://www.politiet.no/en/om/organisasjonen/police-districts/oslo-politidistrikt/,https://en.wikivoyage.org/wiki/Oslo
europe/ukraine/vinnista,Vinnytsia,Vinnytsia,7,92,see,nextbike,0.51,candidate,high-value type; has external URL,,,Werwolf Bunker (Strizhavka),europe/ukraine/vinnista/werwolf_bunker,0.364,,,missing_coordinates; has_external_url,https://www.nextbike.ua/en/,https://en.wikivoyage.org/wiki/Vinnytsia
europe/unitedkingdom/england/south_east/guildford,Guildford,Guildford,17,84,see,Quarks Internet Cafe,0.51,candidate,high-value type; has external URL,,,Watts Cemetery Chapel,europe/unitedkingdom/england/south_east/guildford/watts_chapel,0.488,,,missing_coordinates; has_external_url,http://www.quarks.co.uk,https://en.wikivoyage.org/wiki/Guildford
northamerica/unitedstates/california/shastacascade/quincy,Quincy,Quincy (California),5,36,do,Town Hall Theater,0.51,candidate,high-value type; has external URL,,,Morning Thunder Cafe,northamerica/unitedstates/california/shastacascade/quincy/morning_thunder,0.378,,,missing_coordinates; has_external_url,http://www.quincytownhall.com/,https://en.wikivoyage.org/wiki/Quincy_%28California%29
africa/senegal/dakar,Dakar,Dakar,26,53,see,Nigeria,0.51,candidate,high-value type; has external URL,,,Île de N'Gor,africa/senegal/dakar/ngor_island,0.5,,,missing_coordinates; has_external_url,https://dakar.foreignaffairs.gov.ng/,https://en.wikivoyage.org/wiki/Dakar
africa/southafrica/capetown,Cape Town,Cape Town,95,187,do,African Experience,0.51,candidate,high-value type; has external URL,,,South African Jewish Museum,africa/southafrica/capetown/sa_jewish_museum,0.489,,,missing_coordinates; has_external_url,http://www.africanexperience.com/,https://en.wikivoyage.org/wiki/Cape_Town
europe/finland/helsinki,Helsinki,Helsinki,56,99,see,Slovakia,0.51,candidate,high-value type; has external URL,,,Lonna Island,europe/finland/helsinki/lonna_island,0.5,,,missing_coordinates; has_external_url,http://www.mzv.sk/helsinki,https://en.wikivoyage.org/wiki/Helsinki
africa/congobrazzaville/brazzaville,Brazzaville,Brazzaville,7,24,see,Russia,0.51,candidate,high-value type; has external URL,,,Musée National du Congo,africa/congobrazzaville/brazzaville/musee_national,0.231,,,missing_coordinates; has_external_url,https://congo.mid.ru/,https://en.wikivoyage.org/wiki/Brazzaville
northamerica/unitedstates/ohio/mentor,Mentor,Mentor,4,14,do,AMPed Music Festivals,0.51,candidate,high-value type; has external URL,,,James A. Garfield National Historic Site,northamerica/unitedstates/ohio/mentor/garfield_national_historic_site,0.379,,,missing_coordinates; has_external_url,http://cityofmentor.com/departments/parks-recreation/events/amped/,https://en.wikivoyage.org/wiki/Mentor
europe/netherlands/thehague,The Hague,The Hague,16,165,see,Morocco,0.51,candidate,high-value type; has external URL,,,Madurodam,europe/netherlands/thehague/madurodam,0.375,,,missing_coordinates; has_external_url,https://www.facebook.com/Embassy-of-Morocco-to-The-Netherlands-594865583868099/,https://en.wikivoyage.org/wiki/The_Hague
europe/unitedkingdom/wales/swansea,Swansea,Swansea,33,323,do,SKIDZ Karting,0.51,candidate,high-value type; has external URL,,,Swansea Arena,europe/unitedkingdom/wales/swansea/swansea_arena,0.385,,,missing_coordinates; has_external_url,http://www.skidzkarting.co.uk/,https://en.wikivoyage.org/wiki/Swansea
