world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
europe/unitedkingdom/northernireland/belfast,Belfast,Belfast,25,97,see,Belfast Castle,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Belfast City Hall,europe/unitedkingdom/northernireland/belfast/belfast_city_hall,0.71,,,missing_coordinates; has_external_url,https://www.belfastcity.gov.uk/belfastcastle,https://en.wikivoyage.org/wiki/Belfast
europe/switzerland/solothurn,Solothurn,Solothurn,4,75,do,Solothurner Weihnachtsreise,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Solothurn Cathedral,europe/switzerland/solothurn/solothurn_cathedral,0.565,,,missing_coordinates; has_external_url,https://www.solothurn-city.ch/en/events/main-events/living-nativity.6952.html,https://en.wikivoyage.org/wiki/Solothurn
europe/spain/basque_country_euskadi/vitoria,Vitoria-Gasteiz,Vitoria-Gasteiz,51,24,see,Archeological Museum,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Artium Museum,europe/spain/basque_country_euskadi/vitoria/artium_museum,0.606,,,missing_coordinates; has_external_url,https://arkeologiamuseoabibat.eus/,https://en.wikivoyage.org/wiki/Vitoria-Gasteiz
northamerica/unitedstates/delaware/rehobothbeach,Rehoboth Beach,Rehoboth Beach,9,43,see,Rehoboth Beach Historical Society Museum,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Rehoboth Beach Boardwalk,northamerica/unitedstates/delaware/rehobothbeach/boardwalk,0.594,,,missing_coordinates; has_external_url,http://www.rehobothbeachmuseum.org,https://en.wikivoyage.org/wiki/Rehoboth_Beach
northamerica/unitedstates/maine/rockland_maine,Rockland,Rockland (Maine),8,17,see,Maine State Ferry Service,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Maine Lobster Festival,northamerica/unitedstates/maine/rockland_maine/maine_lobster_festival,0.596,,,missing_coordinates; has_external_url,https://www.maine.gov/mdot/ferry/rockland/,https://en.wikivoyage.org/wiki/Rockland_%28Maine%29
northamerica/unitedstates/arizona/sedona,Sedona,Sedona,11,44,do,Oak Creek Canyon Scenic Drive,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Oak Creek Canyon,northamerica/unitedstates/arizona/sedona/oak_creek_canyon,0.711,,,missing_coordinates; has_external_url,http://www.fs.usda.gov/recarea/coconino/recreation/scenicdrivinginfo/recarea/?recid=74380&actid=105,https://en.wikivoyage.org/wiki/Sedona
europe/croatia/zagreb,Zagreb,Zagreb,42,133,see,National Museum of Modern Art,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Croatian Museum of Naïve Art,europe/croatia/zagreb/museum_of_naive_art,0.702,,,missing_coordinates; has_external_url,https://nmmu.hr/en/home-english/,https://en.wikivoyage.org/wiki/Zagreb
europe/denmark/randers,Randers,Randers,14,48,see,Randers Tropical Zoo,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Randers Old Town,europe/denmark/randers/randers_old_town,0.667,,,missing_coordinates; has_external_url,http://www.regnskoven.dk/en/,https://en.wikivoyage.org/wiki/Randers
northamerica/canada/alberta/banff,Banff,Banff,45,93,do,Banff Legacy Trail,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Banff Centre,northamerica/canada/alberta/banff/banffcentre,0.6,,,missing_coordinates; has_external_url,https://parks.canada.ca/pn-np/ab/banff/activ/cyclisme-biking/cyclismeroute-roadcycling/Heritage-Legacy,https://en.wikivoyage.org/wiki/Banff
europe/france/cannes,Cannes,Cannes,20,19,do,Festival de Cannes,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Palais des Festivals et des Congrès,europe/france/cannes/palais_des_festivals,0.571,,,missing_coordinates; has_external_url,http://www.festival-cannes.com/en.html,https://en.wikivoyage.org/wiki/Cannes
europe/italy/friuliveneziagiulia/udine,Udine,Udine,18,9,see,Museo Diocesano e Gallerie del Tiepolo,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Palazzo Arcivescovile and Gallerie del Tiepolo,europe/italy/friuliveneziagiulia/udine/palazzo_arcivescovile,0.632,,,missing_coordinates; has_external_url,http://www.musdioc-tiepolo.it/musdioc/index.php?folder_id=1&lang_id=2,https://en.wikivoyage.org/wiki/Udine
