world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
northamerica/unitedstates/alaska/seward,Seward,Seward,6,35,see,Kenai Fjords Glacier Lodge,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Kenai Fjords National Park Cruise,northamerica/unitedstates/alaska/seward/kenai_fjords_cruise,0.576,,,missing_coordinates; has_external_url,http://www.kenaifjordsglacierlodge.com/,https://en.wikivoyage.org/wiki/Seward
europe/germany/northrhinewestphalia/dortmund,Dortmund,Dortmund,16,98,see,Ostwall Museum,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Steinwache Memorial Museum,europe/germany/northrhinewestphalia/dortmund/steinwache,0.6,,,missing_coordinates; has_external_url,http://www.dortmunder-u.de/en/u,https://en.wikivoyage.org/wiki/Dortmund
australiaandpacific/newzealand/whangarei,Whangarei,Whangarei,11,21,do,AE Fun Park,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Mount Parihaka,australiaandpacific/newzealand/whangarei/parihaka_summit,0.56,,,missing_coordinates; has_external_url,http://www.aefun.co.nz,https://en.wikivoyage.org/wiki/Whangarei
northamerica/unitedstates/newmexico/santafe,Santa Fe,Santa Fe (New Mexico),34,136,do,Santa Fe Wine and Chile Fiesta,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Santa Fe Railyard,northamerica/unitedstates/newmexico/santafe/santa_fe_railyard,0.553,,,missing_coordinates; has_external_url,http://www.santafewineandchile.org,https://en.wikivoyage.org/wiki/Santa_Fe_%28New_Mexico%29
europe/germany/badenwrttemberg/karlsruhe,Karlsruhe,Karlsruhe,12,41,see,Badisches Landesmuseum,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Karlsruher Schloss and Badisches Landesmuseum,europe/germany/badenwrttemberg/karlsruhe/ducal_palace,0.657,,,missing_coordinates; has_external_url,http://www.landesmuseum.de/website/English.htm,https://en.wikivoyage.org/wiki/Karlsruhe
europe/lithuania/nemunas_river_regi/nida_curonian_spit,Nida,Nida,7,18,see,Thomas Mann Culture Centre,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Thomas Mann House,europe/lithuania/nemunas_river_regi/nida_curonian_spit/thomas_mann_house,0.651,,,missing_coordinates; has_external_url,https://www.neringosmuziejai.lt/en/thomas-mann-museum/,https://en.wikivoyage.org/wiki/Nida
northamerica/unitedstates/hawaii/kailua,Kailua-Kona,Kailua-Kona,17,40,do,Hawaii Forest & Trail,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Maunawili Falls Trail,northamerica/unitedstates/hawaii/kailua/maunawili_falls,0.591,,,missing_coordinates; has_external_url,http://www.hawaii-forest.com,https://en.wikivoyage.org/wiki/Kailua-Kona
northamerica/unitedstates/indiana/south_bend,South Bend,South Bend,9,77,do,Raclin Murphy Museum of Art,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,South Bend Museum of Art,northamerica/unitedstates/indiana/south_bend/south_bend_museum_of_art,0.627,,,missing_coordinates; has_external_url,https://raclinmurphymuseum.nd.edu/,https://en.wikivoyage.org/wiki/South_Bend
northamerica/unitedstates/pennsylvania/philadelphia,Philadelphia,Philadelphia,44,26,do,Philadelphia Phillies,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Philadelphia Museum of Art,northamerica/unitedstates/pennsylvania/philadelphia/philadelphia_museum_of_art,0.596,,,missing_coordinates; has_external_url,https://www.mlb.com/phillies,https://en.wikivoyage.org/wiki/Philadelphia
europe/unitedkingdom/scotland/linlithgow,Linlithgow,Linlithgow,5,10,see,Linlithgow Museum,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Linlithgow Palace,europe/unitedkingdom/scotland/linlithgow/linlithgow_palace,0.706,,,missing_coordinates; has_external_url,https://www.linlithgowmuseum.org/,https://en.wikivoyage.org/wiki/Linlithgow
northamerica/unitedstates/colorado/manitousprings,Manitou Springs,Manitou Springs,6,30,do,Manitou Springs Heritage Center,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Manitou Incline,northamerica/unitedstates/colorado/manitousprings/manitou_incline,0.565,,,missing_coordinates; has_external_url,http://www.manitouspringsheritagecenter.org,https://en.wikivoyage.org/wiki/Manitou_Springs
