world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
europe/portugal/setubal,Setúbal,Setúbal,13,47,see,Moinho de Maré da Mourisca,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,38.5283,-8.80318,Arrábida Natural Park,europe/portugal/setubal/arrabida_natural_park,0.419,16.453,7.847,has_external_url,https://visitsetubal.com/en/one-world/natureza_en/estuario-do-sado_en/moinho-de-mare-da-mourisca_en/,https://en.wikivoyage.org/wiki/Set%C3%BAbal
northamerica/thecaribbean/guadeloupe/grandeterre,Grande-Terre,Grande-Terre,11,19,see,Musé Edgar Clerc,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,16.33962,-61.37715,Le Moule Surf Beaches,northamerica/thecaribbean/guadeloupe/grandeterre/le_moule_surf,0.364,2.998,11.027,has_external_url,https://terres-de-guadeloupe.com/musee-edgar-clerc-au-moule/,https://en.wikivoyage.org/wiki/Grande-Terre
asia/china/zhejiang/hangzhou,Hangzhou,Hangzhou,21,79,see,Zhejiang Museum of Natural History,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,30.278754,120.160202,Zhejiang Provincial Museum,asia/china/zhejiang/hangzhou/zhejiang_provincial_museum,0.5,3.491,5.448,has_external_url,http://english.zmnh.cn/,https://en.wikivoyage.org/wiki/Hangzhou
europe/hungary/pecs,Pécs,Pécs,9,63,do,Third Theatre of Pécs,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,46.06457,18.19026,Mosque of Pasha Qasim,europe/hungary/pecs/mosque_of_pasha_qasim,0.333,3.221,3.237,has_external_url,http://www.pecsiharmadikszinhaz.hu,https://en.wikivoyage.org/wiki/P%C3%A9cs
australiaandpacific/australia/queensland/sunshinecoast,Sunshine Coast,Sunshine Coast,7,112,see,Coolum Art Picture Framing and Gallery,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,-26.521609,153.055729,Noosa National Park,australiaandpacific/australia/queensland/sunshinecoast/noosa_national_park,0.351,16.281,15.236,has_external_url,https://coolartgallery.com.au/,https://en.wikivoyage.org/wiki/Sunshine_Coast
europe/finland/rovaniemi,Rovaniemi,Rovaniemi,8,183,do,KesäRafla summer restaurant and sauna,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,66.51116,25.78885,Santa Claus Village,europe/finland/rovaniemi/santa_claus_village,0.321,4.418,2.762,has_external_url,https://www.laplandhotels.com/EN/hotels-in-lapland/rovaniemi/lapland-hotels-ounasvaara-chalets/summer-restaurant-sauna.html,https://en.wikivoyage.org/wiki/Rovaniemi
northamerica/unitedstates/newyorkstate/saratoga,Saratoga Springs,Saratoga Springs,10,63,see,Frances Young Tang Teaching Museum and Art Gallery,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,43.095,-73.7861,National Museum of Racing and Hall of Fame,northamerica/unitedstates/newyorkstate/saratoga/national_museum_of_racing,0.457,2.321,1.302,has_external_url,https://tang.skidmore.edu,https://en.wikivoyage.org/wiki/Saratoga_Springs
europe/hungary/miskolc,Miskolc,Miskolc,8,82,see,Lutheran parish church in Miskolc,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,48.1044,20.7769,National Theatre of Miskolc,europe/hungary/miskolc/national_theatre,0.5,1.2,0.983,has_external_url,http://miskolc.lutheran.hu/,https://en.wikivoyage.org/wiki/Miskolc
europe/germany/badenwrttemberg/stuttgart,Stuttgart,Stuttgart,27,176,see,Villa Reitzenstein,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,48.771368,9.192453,Weissenhof Estate,europe/germany/badenwrttemberg/stuttgart/weissenhof_estate,0.4,3.456,1.205,has_external_url,https://www.stuttgart-tourist.de/en/a-villa-reitzenstein,https://en.wikivoyage.org/wiki/Stuttgart
northamerica/unitedstates/kentucky/louisville,Louisville,Louisville,12,140,see,Jefferson Memorial Forest,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,38.0642,-85.8064,Louisville Slugger Museum & Factory,northamerica/unitedstates/kentucky/louisville/louisville_slugger_museum,0.387,21.784,21.523,has_external_url,https://louisvilleky.gov/government/jefferson-memorial-forest,https://en.wikivoyage.org/wiki/Louisville
europe/ireland/cork,Cork,Cork,26,66,see,Blackrock Castle Observatory,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,51.8999,-8.4029,Blarney Castle (Day Trip),europe/ireland/cork/blarney_castle,0.524,11.971,4.788,has_external_url,https://www.bco.ie/,https://en.wikivoyage.org/wiki/Cork
asia/china/liaoning/shenyang,Shenyang,Shenyang,6,59,see,Shenyang World War II Allied Prisoners Camp Site Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,41.807079,123.485438,Shenyang Imperial Palace (Mukden Palace),asia/china/liaoning/shenyang/shenyang_imperial_palace,0.38,4.026,4.795,has_external_url,http://www.918museum.org.cn/index.php/article/listarticle/pid/222/rel/tabs/sidebar/sidebar#tab1,https://en.wikivoyage.org/wiki/Shenyang
europe/russia/nizhnynovgorod,Nizhny Novgorod,Nizhny Novgorod,11,65,see,Museum-flat of Andrey Sakharov,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,56.232495,43.950816,Shukhov Rotunda,europe/russia/nizhnynovgorod/shukhov_rotunda,0.267,11.613,10.989,has_external_url,http://www.museum.ru/M650,https://en.wikivoyage.org/wiki/Nizhny_Novgorod
northamerica/canada/ontario/niagrafalls,Niagara Falls,Niagara Falls (Ontario),10,83,see,Chippawa Battlefield Park,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,43.052146,-79.02448,Niagara Parks Power Station,northamerica/canada/ontario/niagrafalls/niagara_parks_power_station,0.346,5.424,6.846,has_external_url,https://www.niagarafallstourism.com/play/historic-sites/chippawa-battlefield-park/,https://en.wikivoyage.org/wiki/Niagara_Falls_%28Ontario%29
northamerica/unitedstates/florida/orlando,Orlando,Orlando,24,96,do,Fun Spot America - Orlando,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,28.465354,-81.455699,Universal Orlando Resort,northamerica/unitedstates/florida/orlando/universal_orlando,0.542,1.968,11.357,has_external_url,http://fun-spot.com/,https://en.wikivoyage.org/wiki/Orlando
northamerica/unitedstates/florida/daytona_beach,Daytona Beach,Daytona Beach,17,102,see,Mary McLeod Bethune Performing Arts Center and Visual Arts Gallery,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,29.2081,-81.0305,Mary McLeod Bethune Home,northamerica/unitedstates/florida/daytona_beach/mary_mcleod_bethune_home,0.511,0.503,0.805,has_external_url,https://www.cookman.edu/general-services-technology/pac/index.html,https://en.wikivoyage.org/wiki/Daytona_Beach
asia/malaysia/langkawi,Langkawi,Langkawi,4,57,do,Panorama Langkawi: SkyCab Cable Car Ride & Sky Bridge,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,6.386442,99.662406,Langkawi Sky Bridge,asia/malaysia/langkawi/sky_bridge,0.521,0.73,14.531,has_external_url,https://panoramalangkawi.com/skybridge/,https://en.wikivoyage.org/wiki/Langkawi
europe/unitedkingdom/england/south_east/guildford,Guildford,Guildford,17,84,see,RHS Garden Wisley,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,51.313,-0.4742,Guildford Castle,europe/unitedkingdom/england/south_east/guildford/guildford_castle,0.424,11.102,11.022,has_external_url,https://www.rhs.org.uk/gardens/wisley,https://en.wikivoyage.org/wiki/Guildford
northamerica/unitedstates/newyorkstate/rochester,Rochester,Rochester (New York),13,238,see,Turning Point Park,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,43.231,-77.617,Highland Park,northamerica/unitedstates/newyorkstate/rochester/highland_park,0.516,11.297,8.3,has_external_url,https://www.cityofrochester.gov/turningpoint/,https://en.wikivoyage.org/wiki/Rochester_%28New_York%29
southamerica/colombia/pereira,Pereira,Pereira,15,19,do,Bioparque Ukumari,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,4.8004,-75.811,Parque Lago Uribe Uribe,southamerica/colombia/pereira/parque_lago_uribe,0.5,12.652,12.812,has_external_url,https://www.facebook.com/BioparqueUkumariPereira/,https://en.wikivoyage.org/wiki/Pereira
asia/china/heilongjiang/harbin,Harbin,Harbin,7,108,see,Northeast China Revolutionary Martyrs’ Memorial Hall,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,45.763862,126.636537,Songhua River Embankment,asia/china/heilongjiang/harbin/songhua_river,0.293,2.153,0.854,has_external_url,http://www.jn1948.cn/,https://en.wikivoyage.org/wiki/Harbin
europe/switzerland/lausanne,Lausanne,Lausanne,14,82,see,Fondation de l'Hermitage,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,46.52814,6.63723,Château Saint-Maire,europe/switzerland/lausanne/chateau_saint_maire,0.444,0.556,0.786,has_external_url,https://www.fondation-hermitage.ch/,https://en.wikivoyage.org/wiki/Lausanne
northamerica/unitedstates/hawaii/kailua,Kailua-Kona,Kailua-Kona,17,40,do,Kahalu'u Beach Surf & Sea,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,19.58114,-155.9665,Kailua Beach,northamerica/unitedstates/hawaii/kailua/kailua_beach,0.513,272.206,7.278,has_external_url,https://learntosurfkona.com/,https://en.wikivoyage.org/wiki/Kailua-Kona
southamerica/brazil/iguacufalls,Iguaçu Falls,Iguaçu Falls,1,14,see,Parque das Aves,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,-25.614,-54.4826,Itaipu Dam,southamerica/brazil/iguacufalls/itaipu_dam,0.4,22.699,10.013,has_external_url,http://www.parquedasaves.com.br/en,https://en.wikivoyage.org/wiki/Igua%C3%A7u_Falls
europe/finland/vantaa,Vantaa,Vantaa,4,103,do,Kuusijärvi recreation ground,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,60.3121,25.1096,Finnish Aviation Museum,europe/finland/vantaa/finnish_aviation_museum,0.431,8.076,4.208,has_external_url,https://www.vantaa.fi/vapaa-aika/luonto_ja_ulkoilu/retkeily/kuusijarven_ulkoilualue,https://en.wikivoyage.org/wiki/Vantaa
europe/spain/castellon/peniscola,Peñíscola,Peñiscola,5,19,see,Centre d'Interpretació,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,40.39211,0.37628,Castle of Peñíscola,europe/spain/castellon/peniscola/castle,0.41,4.549,4.637,has_external_url,http://www.parquesnaturales.gva.es/web/pn-serra-d-irta/centro-de-visitantes,https://en.wikivoyage.org/wiki/Pe%C3%B1iscola
europe/switzerland/solothurn,Solothurn,Solothurn,4,75,see,Schloss Waldegg,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,47.22335,7.54842,Solothurn Cathedral,europe/switzerland/solothurn/solothurn_cathedral,0.353,1.807,1.992,has_external_url,https://schloss-waldegg.so.ch/de/startseite/,https://en.wikivoyage.org/wiki/Solothurn
northamerica/unitedstates/massachusetts/yarmouth,Yarmouth,Yarmouth (Massachusetts),6,24,see,Judah Baker Windmill,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,41.65474,-70.19657,Whydah Pirate Museum,northamerica/unitedstates/massachusetts/yarmouth/whydah_pirate_museum,0.3,1.7,6.28,has_external_url,https://yarmouth.ma.us/windmill,https://en.wikivoyage.org/wiki/Yarmouth_%28Massachusetts%29
northamerica/unitedstates/missouri/springfield,Springfield,Springfield (Missouri),8,48,do,Springfield Conservation Nature Center,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,37.12793,-93.23979,Springfield Art Museum,northamerica/unitedstates/missouri/springfield/springfield_art_museum,0.5,,11.008,has_external_url,https://mdc.mo.gov/discover-nature/places/springfield-conservation-nature-center,https://en.wikivoyage.org/wiki/Springfield_%28Missouri%29
northamerica/unitedstates/florida/leesburg,Leesburg,Leesburg (Florida),4,12,do,Bourlay Historic Nature Park,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,28.8211,-81.8728,Lake Griffin State Park,northamerica/unitedstates/florida/leesburg/lake_griffin_state_park,0.549,5.247,1.247,has_external_url,https://www.visitlakefl.com/pdfs/brochures/biking_trails.pdf,https://en.wikivoyage.org/wiki/Leesburg_%28Florida%29
asia/china/shandong_province/zaozhuang,Zaozhuang,Zaozhuang,2,29,see,Zaozhuang Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,34.84374,117.5597481,Lu Ban Memorial Hall,asia/china/shandong_province/zaozhuang/luban_memorial,0.389,21.135,21.135,has_external_url,http://www.zzsbwg.com/,https://en.wikivoyage.org/wiki/Zaozhuang
northamerica/canada/ontario/niagrafalls,Niagara Falls,Niagara Falls (Ontario),10,83,see,Niagara Military Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,43.101192,-79.073572,Niagara-on-the-Lake,northamerica/canada/ontario/niagrafalls/niagara_on_the_lake,0.526,17.114,0.986,has_external_url,https://niagaramilitarymuseum.ca/,https://en.wikivoyage.org/wiki/Niagara_Falls_%28Ontario%29
northamerica/unitedstates/florida/lake_wales,Lake Wales,Lake Wales,4,40,see,Florida's Natural Grove House,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,27.908348,-81.602334,Bok Tower Gardens,northamerica/unitedstates/florida/lake_wales/bok_tower_gardens,0.391,3.865,1.789,has_external_url,http://floridasnatural.com/who-we-are/visitors-center.php,https://en.wikivoyage.org/wiki/Lake_Wales
europe/finland/vantaa,Vantaa,Vantaa,4,103,see,Suomen Ilmailumuseo,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,60.304,24.9611,Finnish Aviation Museum,europe/finland/vantaa/finnish_aviation_museum,0.381,1.729,4.711,has_external_url,http://www.ilmailumuseo.fi/,https://en.wikivoyage.org/wiki/Vantaa
europe/germany/bavaria/bayreuth,Bayreuth,Bayreuth,8,76,see,Franz-Liszt-Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,49.94063,11.58267,Kunstmuseum Bayreuth,europe/germany/bavaria/bayreuth/kunstmuseum_bayreuth,0.474,0.682,0.738,has_external_url,http://www.bayreuth.de/tourismus-kultur-freizeit/sehen-und-erleben/museen/franz-liszt-museum-bayreuth/,https://en.wikivoyage.org/wiki/Bayreuth
europe/spain/northernspain/lacorua,La Coruña,A Coruña,8,37,see,Casa das Ciencias,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,43.3621,-8.4125,Plaza de María Pita,europe/spain/northernspain/lacorua/placa_de_maria_pita,0.452,1.628,1.663,has_external_url,https://www.coruna.gal/mc2/es/casa-de-las-ciencias,https://en.wikivoyage.org/wiki/A_Coru%C3%B1a
europe/hungary/gyor,Győr,Győr,13,201,see,Saint Emeric Roman Catholic Church,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,47.6723,17.6447,Carmelite Monastery and Church,europe/hungary/gyor/karmelita_kolostor,0.344,1.681,1.469,has_external_url,http://szentimregyor.hu/jdoc4/index.php,https://en.wikivoyage.org/wiki/Gy%C5%91r
