world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url,reject_reason
europe/spain/spanishcostas/denia,Dénia,Dénia,3,33,see,Tourist Info Dénia,0.89,candidate,has coordinates; has description; high-value type; has external URL,38.84035,0.11265,Dénia Castle,europe/spain/spanishcostas/denia/denia_castle,0.385,0.615,0.569,has_external_url,http://en.denia.net/en,https://en.wikivoyage.org/wiki/D%C3%A9nia,Tourist information office rather than a travel-worthy see/do POI.
europe/germany/saxony/leipzig,Leipzig,Leipzig,16,133,do,Sightseeing by tram,0.89,candidate,has coordinates; has description; high-value type; has external URL,51.346,12.379,Museum der bildenden Künste,europe/germany/saxony/leipzig/museum_der_bildenden_kuenste,0.516,0.484,0.666,has_external_url,https://shop.lvb.de/ticket-abo.html,https://en.wikivoyage.org/wiki/Leipzig,Transit ticket/activity lead rather than a specific stable POI.
europe/ukraine/kyiv,Kyiv,Kyiv,52,205,see,Romania,0.89,candidate,has coordinates; has description; high-value type; has external URL,50.44655,30.50313,Kanapa,europe/ukraine/kyiv/kanapa,0.462,1.725,1.534,has_external_url,http://kiev.mae.ro/en,https://en.wikivoyage.org/wiki/Kyiv,Embassy listing and not a visitor attraction for Kyiv.
europe/hungary/sopron,Sopron,Sopron,9,234,do,Aréna Sopron,0.89,candidate,has coordinates; has description; high-value type; has external URL,47.6926,16.5831,Taródi Castle,europe/hungary/sopron/tarodi_castle,0.4,2.029,1.781,has_external_url,http://www.mkbarenasopron.hu/,https://en.wikivoyage.org/wiki/Sopron,Sports arena with limited standalone travel draw below the 6.0 threshold for Sopron.
europe/ireland/cashel,Cashel,Cashel,4,13,do,Tipperary Raceway,0.89,candidate,has coordinates; has description; high-value type; has external URL,52.4676,-7.7932,Brú Ború Cultural Centre,europe/ireland/cashel/bru_boru,0.308,8.391,8.603,has_external_url,http://www.tipperaryracewaysora.com/,https://en.wikivoyage.org/wiki/Cashel,Local motorsport venue outside Cashel with weak visitor value below threshold.
northamerica/unitedstates/missouri/kansascity,Kansas City,Kansas City,56,127,do,Ameristar Casino,0.89,candidate,has coordinates; has description; high-value type; has external URL,39.15013,-94.48455,American Jazz Museum,northamerica/unitedstates/missouri/kansascity/american_jazz_museum,0.444,8.786,9.809,has_external_url,https://www.ameristarkansascity.com/,https://en.wikivoyage.org/wiki/Kansas_City,Casino resort listing with limited cultural or destination value for Kansas City.
europe/finland/espoo,Espoo,Espoo,9,82,do,Länsiväyläjuoksu,0.89,candidate,has coordinates; has description; high-value type; has external URL,60.1857,24.8349,Aalto University Otaniemi Campus,europe/finland/espoo/aalto_university,0.359,0.641,10.118,has_external_url,http://www.lansivaylajuoksu.fi,https://en.wikivoyage.org/wiki/Espoo,Annual running event rather than a durable POI.
southamerica/venezuela/cumana,Cumaná,Cumaná,9,18,see,Naviarca,0.89,candidate,has coordinates; has description; high-value type; has external URL,10.46903,-64.19025,Río Manzanares,southamerica/venezuela/cumana/manzanares_river,0.273,3.333,4.154,has_external_url,http://www.grancacique.com.ve/,https://en.wikivoyage.org/wiki/Cuman%C3%A1,Transport operator/ferry service rather than a see/do attraction.
southamerica/bolivia/sucre,Sucre,Sucre,67,51,do,Realidades,0.89,candidate,has coordinates; has description; high-value type; has external URL,-19.04056,-65.24175,La Recoleta,southamerica/bolivia/sucre/la_recoleta,0.444,2.236,2.022,has_external_url,http://www.realidadesbolivia.org,https://en.wikivoyage.org/wiki/Sucre,Tour/volunteer organization lead rather than a stable public POI.
northamerica/unitedstates/colorado/canon_city,Cañon City,Cañon City,10,20,do,Lost Paddle Rafting,0.89,candidate,has coordinates; has description; high-value type; has external URL,38.445459,-105.227603,Royal Gorge Bridge,northamerica/unitedstates/colorado/canon_city/royal_gorge_bridge,0.432,9.258,0.727,has_external_url,http://www.lostpaddlerafting.com/,https://en.wikivoyage.org/wiki/Ca%C3%B1on_City,Commercial rafting operator and duplicative of existing Arkansas River rafting coverage.
europe/unitedkingdom/england/norfolk/the_norfolk_broads,The Norfolk Broads,Norfolk Broads,0,34,do,Barnes Brinkcraft,0.89,candidate,has coordinates; has description; high-value type; has external URL,52.7098,1.40954,,,0.0,,12.925,has_external_url,http://www.barnesbrinkcraft.co.uk,https://en.wikivoyage.org/wiki/Norfolk_Broads,Boat-hire company rather than a destination POI for the Norfolk Broads.
