world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url,reject_reason
europe/germany/brandenburg/cottbus,Cottbus,Cottbus,6,43,see,Triebwagen 24,0.89,candidate,has coordinates; has description; high-value type; has external URL,51.750411,14.325829,Spremberger Turm,europe/germany/brandenburg/cottbus/spremberger_turm,0.414,0.697,0.98,has_external_url,https://www.cottbusverkehr.de/fahrzeugvermietung/,https://en.wikivoyage.org/wiki/Cottbus,Historic tram rental is a vehicle/service listing rather than a durable public POI.
asia/qatar/doha,Doha,Doha,50,160,see,Abu-Bakr Al-Sidiq Health Center,0.89,candidate,has coordinates; has description; high-value type; has external URL,25.23815,51.430123,Al Zubarah Archaeological Site,asia/qatar/doha/al_zubarah,0.426,91.378,11.27,has_external_url,http://phcc.qa/portal/index/,https://en.wikivoyage.org/wiki/Doha,Health center is a practical service and below Doha travel POI threshold.
europe/austria/melk,Melk,Melk,5,24,see,Gugler Forum Melk,0.89,candidate,has coordinates; has description; high-value type; has external URL,48.225759,15.37047,Stift Melk (Melk Abbey),europe/austria/melk/stift_melk,0.444,2.722,2.485,has_external_url,http://www.gugler.at/,https://en.wikivoyage.org/wiki/Melk,Company forum and event space has weak visitor signal compared with Melk abbey and Wachau sights.
northamerica/unitedstates/minnesota/duluth,Duluth,Duluth,8,55,do,Duluth Huskies Baseball,0.89,candidate,has coordinates; has description; high-value type; has external URL,46.754461,-92.143826,Glensheen Historic Estate,northamerica/unitedstates/minnesota/duluth/glensheen_mansion,0.375,9.735,4.388,has_external_url,https://northwoodsleague.com/duluth-huskies/,https://en.wikivoyage.org/wiki/Duluth,Seasonal minor-league team does not clear Duluth 6.0 threshold as a standalone travel POI.
asia/israel/telaviv,Tel Aviv,Tel Aviv,57,55,see,Afeka,0.89,candidate,has coordinates; has description; high-value type; has external URL,32.11484,34.81736,Caesarea,asia/israel/telaviv/caesarea,0.462,43.453,4.691,has_external_url,http://english.afeka.ac.il/Afeka_College_of_Engineering_en.aspx,https://en.wikivoyage.org/wiki/Tel_Aviv,College campus is not a visitor attraction and is weak against Tel Aviv's existing POI set.
northamerica/unitedstates/indiana/indianapolis,Indianapolis,Indianapolis,42,225,do,Picnic at James Whitcomb Riley's grave,0.89,candidate,has coordinates; has description; high-value type; has external URL,39.8198286,-86.1799611,Indiana Medical History Museum,northamerica/unitedstates/indiana/indianapolis/medical_history_museum,0.5,4.218,6.019,has_external_url,https://lostindiana.net/james-whitcolm-riley-d-1916/,https://en.wikivoyage.org/wiki/Indianapolis,Activity is already covered by existing Crown Hill Cemetery context and is too narrow as a separate POI.
europe/unitedkingdom/wales/llangollen,Llangollen,Llangollen,5,16,do,ProAdventure,0.89,candidate,has coordinates; has description; high-value type; has external URL,52.97043,-3.1709,Plas Newydd,europe/unitedkingdom/wales/llangollen/plas_newydd,0.487,0.513,0.05,has_external_url,http://www.proadventure.org/,https://en.wikivoyage.org/wiki/Llangollen,Commercial activity operator rather than a stable destination POI.
asia/kyrgyzstan/bishkek,Bishkek,Bishkek,52,50,see,ololoFreelander Hostel & Coworking,0.89,candidate,has coordinates; has description; high-value type; has external URL,42.867834,74.572341,Togolok Moldo Park,asia/kyrgyzstan/bishkek/togolok_moldo_park,0.37,2.826,2.715,has_external_url,https://www.instagram.com/ololofreelander/,https://en.wikivoyage.org/wiki/Bishkek,Hostel and coworking space is accommodation-adjacent and excluded from POI production.
europe/finland/turku,Turku,Turku,5,262,do,Uittamon paviljonki,0.89,candidate,has coordinates; has description; high-value type; has external URL,60.4206,22.2528,Forum Marinum,europe/finland/turku/forum_marinum,0.312,2.144,3.533,has_external_url,https://uittamo.fi/tanssit/,https://en.wikivoyage.org/wiki/Turku,Dance pavilion and event venue is too local and schedule-dependent for Turku's 6.0 POI threshold.
europe/unitedkingdom/england/birmingham_and_west_midlands/birmingham,Birmingham,Birmingham,16,180,see,The Old Crown,0.89,candidate,has coordinates; has description; high-value type; has external URL,52.4748,-1.88344,Moseley Bog,europe/unitedkingdom/england/birmingham_and_west_midlands/birmingham/moseley_bog,0.4,4.068,1.414,has_external_url,https://theoldcrown.co.uk/,https://en.wikivoyage.org/wiki/Birmingham,Historic pub is primarily food and drink and does not clear the see/do threshold as a standalone POI.
northamerica/canada/ontario/ottawa,Ottawa,Ottawa,23,271,see,Ottawa Senators,0.89,candidate,has coordinates; has description; high-value type; has external URL,45.296944,-75.927222,Canadian Museum of Nature,northamerica/canada/ontario/ottawa/canadian_museum_of_nature,0.45,23.014,22.69,has_external_url,http://www.nhl.com/senators,https://en.wikivoyage.org/wiki/Ottawa,Professional sports team and arena are far from central Ottawa and below travel POI threshold.
