world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url,reject_reason
northamerica/unitedstates/newjersey/toms_river,Toms River,Toms River,14,31,do,Winding River Skating Center,0.89,candidate,has coordinates; has description; high-value type; has external URL,39.9889,-74.2162,Island Beach State Park,northamerica/unitedstates/newjersey/toms_river/island_beach_state_park,0.431,23.052,4.339,has_external_url,https://tomsrivertownship.com/213/Winding-River-Rink,https://en.wikivoyage.org/wiki/Toms_River,Local skating rink is below the travel-worthy threshold.
europe/portugal/theazores/so_miguel/ponta_delgada,Ponta Delgada,Ponta Delgada,13,28,do,CD Santa Clara,0.89,candidate,has coordinates; has description; high-value type; has external URL,37.7637,-25.6226,Café Central,europe/portugal/theazores/so_miguel/ponta_delgada/cafe_central,0.48,4.946,4.893,has_external_url,https://cdsantaclara.com/,https://en.wikivoyage.org/wiki/Ponta_Delgada,Football club listing is event-dependent and not a standalone Ponta Delgada POI.
europe/sweden/stockholm,Stockholm,Stockholm,56,118,see,Colombia,0.89,candidate,has coordinates; has description; high-value type; has external URL,59.34224,18.07476,Stockholm City Hall,europe/sweden/stockholm/stadshuset,0.444,2.035,1.915,has_external_url,http://suecia.embajada.gov.co/,https://en.wikivoyage.org/wiki/Stockholm,Embassy listing is not a travel POI.
northamerica/mexico/guadalajara,Guadalajara,Guadalajara,43,110,see,Parroquia de Santiago Apostol/Capilla de la Cruz Blanca,0.89,candidate,has coordinates; has description; high-value type; has external URL,20.62416,-103.24259,Templo Expiatorio del Santísimo Sacramento,northamerica/mexico/guadalajara/templo_expiatorio,0.429,13.292,11.816,has_external_url,https://www.facebook.com/Parroquia-Santiago-Ap%C3%B3stol-Tonal%C3%A1-255442698506992/,https://en.wikivoyage.org/wiki/Guadalajara,Church is far from central Guadalajara and too minor relative to existing Tonalá coverage.
northamerica/unitedstates/newmexico/farmington,Farmington,Farmington (New Mexico),7,16,do,Northern Edge Casino,0.89,candidate,has coordinates; has description; high-value type; has external URL,36.7199,-108.2385,Angel Peak Scenic Area,northamerica/unitedstates/newmexico/farmington/angel_peak_scenic_area,0.333,35.82,1.986,has_external_url,https://www.northernedgecasino.com/,https://en.wikivoyage.org/wiki/Farmington_%28New_Mexico%29,Casino is a weak travel signal and below Farmington threshold.
asia/malaysia/johorbahru,Johor Bahru,Johor Bahru,8,205,do,Tebrau Sports & Recreation Centre,0.89,candidate,has coordinates; has description; high-value type; has external URL,1.581122,103.80228,De Bieres Pub and Cafe,asia/malaysia/johorbahru/debirespubc,0.444,13.029,14.286,has_external_url,https://www.facebook.com/Tebrau-Sports-Recreation-Center-379773972178755/,https://en.wikivoyage.org/wiki/Johor_Bahru,Sports and recreation centre is a local facility below travel threshold.
europe/hungary/gyor,Győr,Győr,13,201,see,Roman Catholic chapel,0.89,candidate,has coordinates; has description; high-value type; has external URL,47.6492,17.6557,Győr Cathedral,europe/hungary/gyor/gyor_cathedral,0.457,4.715,4.137,has_external_url,http://muemlekem.hu/muemlek?id=4420,https://en.wikivoyage.org/wiki/Gy%C5%91r,Vague minor chapel listing is below Győr threshold as a standalone POI.
northamerica/canada/ontario/niagrafalls,Niagara Falls,Niagara Falls (Ontario),10,83,see,Ontario Tourism Information Centre,0.89,candidate,has coordinates; has description; high-value type; has external URL,43.096758,-79.086392,Niagara Parks Power Station,northamerica/canada/ontario/niagrafalls/niagara_parks_power_station,0.459,1.685,2.126,has_external_url,https://www.niagarafallstourism.com/services/information-centres/ontario-travel/,https://en.wikivoyage.org/wiki/Niagara_Falls_%28Ontario%29,"Tourism information centre is visitor infrastructure, not a POI."
europe/germany/schleswigholstein/kiel,Kiel,Kiel,8,68,do,Minigolf am Norder,0.89,candidate,has coordinates; has description; high-value type; has external URL,54.337226,10.110961,Kieler Förde,europe/germany/schleswigholstein/kiel/kieler_foerde,0.467,4.835,2.267,has_external_url,https://www.minigolf-am-norder.de/,https://en.wikivoyage.org/wiki/Kiel,Mini-golf venue is local recreation and below Kiel threshold.
asia/cambodia/siemreap,Siem Reap,Siem Reap,56,78,do,Sabai Motorbike and Jeep Adventures,0.89,candidate,has coordinates; has description; high-value type; has external URL,13.37301,103.86587,Terrace of the Elephants,asia/cambodia/siemreap/terrace_of_the_elephants,0.436,8.118,1.454,has_external_url,http://www.sabaiadventurescambodia.com,https://en.wikivoyage.org/wiki/Siem_Reap,Motorbike and jeep adventure company is a commercial operator rather than a stable POI.
northamerica/unitedstates/california/long_beach,Long Beach,Long Beach,13,97,do,Grecian Festival,0.89,candidate,has coordinates; has description; high-value type; has external URL,33.77,-118.1187,Rancho Los Cerritos Historic Site,northamerica/unitedstates/california/long_beach/rancho_los_cerritos,0.356,5.083,6.739,has_external_url,https://www.lbgreekfest.org/,https://en.wikivoyage.org/wiki/Long_Beach,Festival is event-only and not a stable Long Beach POI.
europe/slovakia/kosice,Košice,Košice,7,153,see,Atinet,0.89,candidate,has coordinates; has description; high-value type; has external URL,48.70807,21.23729,Executioner's Bastion,europe/slovakia/kosice/executioners_bastion,0.37,2.381,2.05,has_external_url,http://www.atinet.sk,https://en.wikivoyage.org/wiki/Ko%C5%A1ice,Unclear listing appears to be a business rather than a travel POI.
europe/italy/molise/termoli,Termoli,Termoli,7,23,do,Lido La Lampara,0.89,candidate,has coordinates; has description; high-value type; has external URL,42.00508,14.99003,Termoli Cathedral,europe/italy/molise/termoli/termoli_cathedral,0.414,0.618,0.817,has_external_url,http://www.lidolalampara-termoli.it,https://en.wikivoyage.org/wiki/Termoli,Private beach/lido business is below the Termoli threshold as a standalone POI.
europe/luxembourg/grevenmacher,Grevenmacher,Grevenmacher,5,16,see,Jardin des Papillons,0.89,candidate,has coordinates; has description; high-value type; has external URL,49.6841,6.4496,Butterfly Garden (Jardin des Papillons),europe/luxembourg/grevenmacher/butterfly_garden,0.51,0.49,0.709,has_external_url,http://www.papillons.lu,https://en.wikivoyage.org/wiki/Grevenmacher,Duplicate of existing Butterfly Garden (Jardin des Papillons) POI under the same parent.
europe/hungary/sopron,Sopron,Sopron,9,234,do,Krasznai Ferenc Sports-court,0.89,candidate,has coordinates; has description; high-value type; has external URL,47.6824,16.5769,Roman Remains of Scarbantia,europe/hungary/sopron/roman_remains,0.436,0.683,1.622,has_external_url,https://hu-hu.facebook.com/pages/Krasznai-Ferenc-Sportcsarnok-Sopron/389228061090910,https://en.wikivoyage.org/wiki/Sopron,Sports court is a local facility below Sopron threshold.
europe/germany/bavaria/passau,Passau,Passau,7,37,do,Beer festival,0.89,candidate,has coordinates; has description; high-value type; has external URL,48.558,13.4128,Neue Residenz (Episcopal Palace),europe/germany/bavaria/passau/neue_residenz,0.462,3.825,4.008,has_external_url,http://www.passauer-dult.de/,https://en.wikivoyage.org/wiki/Passau,Beer festival is event-only and not a stable Passau POI.
