world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url,reject_reason
asia/tajikistan/dushanbe,Dushanbe,Dushanbe,50,46,do,Parasty Theatre,0.89,candidate,has coordinates; has description; high-value type; strong travel term,38.58418,68.78796,Ayni Opera and Ballet Theatre,asia/tajikistan/dushanbe/ayni_opera_ballet,0.545,1.829,0.898,needs_external_source,,https://en.wikivoyage.org/wiki/Dushanbe,"Rejected as duplicate/weak gap: Dushanbe already has stronger theatre coverage, including Ayni Opera and Ballet Theatre and Mayakovsky Russian Drama Theatre."
asia/malaysia/kuala_terengganu,Kuala Terengganu,Kuala Terengganu,14,13,see,Seberang Takir,0.89,candidate,has coordinates; has description; high-value type; strong travel term,5.3462,103.1357,Terengganu State Museum,asia/malaysia/kuala_terengganu/terengganu_state_museum,0.378,3.712,1.868,needs_external_source,,https://en.wikivoyage.org/wiki/Kuala_Terengganu,Rejected as neighbourhood/settlement lead rather than a distinct POI; Seberang Takir is across the river and does not clear a see/do attraction score for Kuala Terengganu.
northamerica/unitedstates/newmexico/gallup,Gallup,Gallup,7,8,do,Gallup Flea Market,0.89,candidate,has coordinates; has description; high-value type; strong travel term,35.546317,-108.755862,El Rancho Hotel & Motel,northamerica/unitedstates/newmexico/gallup/el_rancho_hotel,0.35,3.125,2.267,needs_external_source,,https://en.wikivoyage.org/wiki/Gallup,Rejected as market/local shopping lead; useful locally but not a distinct things-to-do POI above score 6.0 for Gallup.
europe/ukraine/ivanofrankivsk,Ivano-Frankivsk,Ivano-Frankivsk,9,103,see,Monument to Stepan Bandera,0.89,candidate,has coordinates; has description; high-value type; strong travel term,48.90552,24.71354,Potocki Palace,europe/ukraine/ivanofrankivsk/potocki_palace,0.4,2.099,1.933,needs_external_source,,https://en.wikivoyage.org/wiki/Ivano-Frankivsk,Rejected as narrow political monument; not a strong enough travel POI compared with existing Ivano-Frankivsk civic and architectural sights.
asia/bangladesh/chittagong,Chittagong,Chittagong,15,149,see,Khejurtala Sea Beach,0.89,candidate,has coordinates; has description; high-value type; strong travel term,22.2552404,91.7731279,Patenga Beach,asia/bangladesh/chittagong/patenga_beach,0.545,2.786,10.773,needs_external_source,,https://en.wikivoyage.org/wiki/Chittagong,Rejected as weak beach lead and likely overlaps Patenga/Khejurtala coastal area; not distinct enough for a new Chittagong POI.
asia/southkorea/suwon,Suwon,Suwon,6,131,see,Adams memorial hall,0.89,candidate,has coordinates; has description; high-value type; strong travel term,37.1703,127.0108,Hwaseong Haenggung,asia/southkorea/suwon/hwaseong_haenggung,0.378,12.315,11.959,needs_external_source,,https://en.wikivoyage.org/wiki/Suwon,Rejected as institutional/local building; Adams Memorial Hall does not clear the travel-worthy threshold for Suwon.
asia/philippines/vigan,Vigan,Vigan,7,42,see,Our Lady of Hope Parish Church,0.89,candidate,has coordinates; has description; high-value type; strong travel term,17.546567,120.382864,Ground Zero Café,asia/philippines/vigan/ground_zero,0.356,,3.251,needs_external_source,,https://en.wikivoyage.org/wiki/Vigan,Rejected as local parish church; does not clear score 6.0 beside Vigan/Bantay heritage church coverage.
northamerica/dominicanrepublic/santodomingo,Santo Domingo,Santo Domingo,24,55,see,Wax Museum Juan Pablo Duarte,0.89,candidate,has coordinates; has description; high-value type; strong travel term,18.47774,-69.88434,Museo de las Casas Reales,northamerica/dominicanrepublic/santodomingo/museo_de_las_casas_reales,0.486,0.514,5.029,needs_external_source,,https://en.wikivoyage.org/wiki/Santo_Domingo,Rejected as duplicate/overlap with existing Juan Pablo Duarte and Zona Colonial history coverage; not strong enough as separate wax museum POI.
europe/greece/samos,Samos,Samos,17,56,do,Poseidonion,0.89,candidate,has coordinates; has description; high-value type; strong travel term,37.7134953,27.0571358,Pythagoreio,europe/greece/samos/pythagoreio,0.455,10.328,8.47,needs_external_source,,https://en.wikivoyage.org/wiki/Samos,Rejected as settlement/village lead on Samos rather than a distinct POI under the island page.
asia/china/guizhou/libo,Libo County,Libo County,4,27,see,Tianzhong Cave,0.89,candidate,has coordinates; has description; high-value type; strong travel term,25.410653,107.886442,Daqikong Scenic Area,asia/china/guizhou/libo/daqikong_scenic_area,0.412,6.738,5.645,needs_external_source,,https://en.wikivoyage.org/wiki/Libo_County,Rejected due insufficient corroboration and likely sub-feature within an existing Libo scenic area rather than a distinct high-confidence POI.
africa/mali/bamako,Bamako,Bamako,10,36,see,Monument de la Paix,0.89,candidate,has coordinates; has description; high-value type; strong travel term,12.631473,-8.010796,Pont des Martyrs,africa/mali/bamako/martyrs_bridge,0.4,2.054,2.286,needs_external_source,,https://en.wikivoyage.org/wiki/Bamako,Rejected as minor monument; does not clear score 6.0 against Bamako existing sights.
asia/china/shandong_province/taian,Tai'an,Tai'an,14,35,see,Qin Great Wall in Tai’an,0.89,candidate,has coordinates; has description; high-value type; strong travel term,36.2027,117.0709,Mount Tai,asia/china/shandong_province/taian/mount_tai,0.4,6.756,0.939,needs_external_source,,https://en.wikivoyage.org/wiki/Tai%27an,Rejected as unverified/ambiguous wall segment near Tai’an; insufficient confidence for placement as a flat city POI.
europe/poland/poznan,Poznan,Poznań,12,96,do,Rusałka Lake,0.89,candidate,has coordinates; has description; high-value type; strong travel term,52.42936,16.87577,Raczynski Library,europe/poland/poznan/raczynski_library,0.414,4.263,4.214,needs_external_source,,https://en.wikivoyage.org/wiki/Pozna%C5%84,Rejected as local recreation lake; pleasant but below the distinct travel-worthy threshold for Poznan.
europe/georgia/tbilisi,Tbilisi,Tbilisi,60,147,see,City Hall,0.89,candidate,has coordinates; has description; high-value type; strong travel term,41.725917,44.775194,Sioni cathedral,europe/georgia/tbilisi/sionicathedral,0.417,4.691,4.216,needs_external_source,,https://en.wikivoyage.org/wiki/Tbilisi,Rejected as generic civic building; Tbilisi City Hall is not a strong standalone visitor POI in this context.
northamerica/elsalvador/santaana,Santa Ana,Santa Ana (El Salvador),10,110,see,Parque Ecologico San Lorenzo,0.89,candidate,has coordinates; has description; high-value type; strong travel term,14.0116,-89.5461,Parque Libertad,northamerica/elsalvador/santaana/parque_libertad,0.465,2.162,2.428,needs_external_source,,https://en.wikivoyage.org/wiki/Santa_Ana_%28El_Salvador%29,Rejected as weak/local park lead with insufficient corroboration for a Santa Ana things-to-do POI.
asia/china/hubei/enshi,Enshi,Enshi,4,42,do,Phoenix Mountain Amusement Park,0.89,candidate,has coordinates; has description; high-value type; strong travel term,30.279814,109.487118,Enshi Yulu Tea,asia/china/hubei/enshi/enshi_yulu_tea,0.222,0.854,0.854,needs_external_source,,https://en.wikivoyage.org/wiki/Enshi,Rejected as local amusement park; does not meet the production focus on durable see/do attractions.
asia/china/shaanxi/baoji,Baoji,Baoji,7,8,see,Jintai Taoist Temple,0.89,candidate,has coordinates; has description; high-value type; strong travel term,34.379106,107.14771,Famen Temple,asia/china/shaanxi/baoji/famen_temple,0.5,69.249,3.228,needs_external_source,,https://en.wikivoyage.org/wiki/Baoji,Rejected as local temple lead with insufficient evidence that it clears score 6.0 for Baoji.
asia/indonesia/kalimantan/banjamarsin,Banjamarsin,Banjarmasin,10,10,see,Museum Waja Sampai Ka Puting,0.89,candidate,has coordinates; has description; high-value type; strong travel term,-3.30386,114.60908,Loksado Bamboo Rafting,asia/indonesia/kalimantan/banjamarsin/loksado,0.36,113.847,2.311,needs_external_source,,https://en.wikivoyage.org/wiki/Banjarmasin,Rejected due insufficient corroboration and unclear museum identity; cannot confidently add under Banjarmasin.
europe/hungary/szeged,Szeged,Szeged,7,61,see,Alsóvárosi Church and Monastery,0.89,candidate,has coordinates; has description; high-value type; strong travel term,46.2407,20.13709,Votive Church,europe/hungary/szeged/votive_church,0.455,1.298,1.784,needs_external_source,,https://en.wikivoyage.org/wiki/Szeged,Rejected as lower-tier church/monastery lead; Szeged already has stronger architectural sights.
asia/china/zhejiang/wenzhou,Wenzhou,Wenzhou,8,76,see,Jiushan Park,0.89,candidate,has coordinates; has description; high-value type; strong travel term,28.0129899609,120.6468364163,Jiangxin Island,asia/china/zhejiang/wenzhou/jiangxin_island,0.444,3.688,5.108,needs_external_source,,https://en.wikivoyage.org/wiki/Wenzhou,Rejected as ordinary urban park; below threshold for Wenzhou compared with existing island/scenic coverage.
