world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url,reject_reason
northamerica/unitedstates/ohio/akron,Akron,Akron,16,72,see,Fairlawn-West United Church of Christ,0.85,candidate,has coordinates; high-value type; has external URL; strong travel term,41.1159,-81.5824,Goodyear World of Rubber,northamerica/unitedstates/ohio/akron/goodyear_world_of_rubber,0.328,10.984,6.482,has_external_url,https://www.fairlawnwest.org/,https://en.wikivoyage.org/wiki/Akron,minor local church below Akron travel bar
northamerica/unitedstates/ohio/toledo,Toledo,Toledo (Ohio),13,91,see,Hindu Temple of Toledo,0.85,candidate,has coordinates; high-value type; has external URL; strong travel term,41.69355,-83.72171,Rudy's Hot Dog,northamerica/unitedstates/ohio/toledo/rudys_hot_dog,0.389,10.169,15.928,has_external_url,https://www.hindutempleoftoledo.org/,https://en.wikivoyage.org/wiki/Toledo_%28Ohio%29,minor local temple far from Toledo core with weak general visitor value
northamerica/canada/ontario/kingston,Kingston,Kingston (Ontario),8,106,see,Treasure Island Marina,0.85,candidate,has coordinates; high-value type; has external URL; strong travel term,44.264,-76.378,Thousand Islands,northamerica/canada/ontario/kingston/thousand_islands,0.474,24.099,9.344,has_external_url,http://www.treasureislandmarina.com,https://en.wikivoyage.org/wiki/Kingston_%28Ontario%29,marina/boating service rather than a general travel POI
northamerica/unitedstates/montana/kalispell,Kalispell,Kalispell,5,23,do,Woodland Water Park,0.85,candidate,has coordinates; high-value type; has external URL; strong travel term,48.2024,-114.2996,Flathead Lake,northamerica/unitedstates/montana/kalispell/flathead_lake,0.375,26.88,1.165,has_external_url,https://www.kalispell.com/248/Woodland-Water-Park,https://en.wikivoyage.org/wiki/Kalispell,local municipal water park below Kalispell travel bar
europe/hungary/debrecen,Debrecen,Debrecen,17,130,see,Bible Society of Debrecen Baptist Church,0.85,candidate,has coordinates; high-value type; has external URL; strong travel term,47.52944,21.6453,Reformed College of Debrecen,europe/hungary/debrecen/reformed_college,0.441,1.514,1.465,has_external_url,http://www.biblia-baptista.hu/hu/,https://en.wikivoyage.org/wiki/Debrecen,minor local church/religious organization below Debrecen travel bar
northamerica/unitedstates/texas/galveston,Galveston,Galveston,12,39,see,African-American Museum,0.85,candidate,has coordinates; high-value type; has external URL; strong travel term,29.2973,-94.8059,Galveston Railroad Museum,northamerica/unitedstates/texas/galveston/galveston_railroad_museum,0.5,1.353,0.906,has_external_url,https://www.visitgalveston.com/blog/african-american-history-on-galveston-island/,https://en.wikivoyage.org/wiki/Galveston,vague African-American history lead without a clearly named permanent POI in the row
europe/unitedkingdom/england/bristol_plymouth_and_the_south_west/devon/barnstaple,Barnstaple,Barnstaple,6,18,do,Pilton Park,0.85,candidate,has coordinates; high-value type; has external URL; strong travel term,51.0845135,-4.0643925,Pannier Market and Butchers Row,europe/unitedkingdom/england/bristol_plymouth_and_the_south_west/devon/barnstaple/pannier_market,0.444,0.556,0.481,has_external_url,https://www.northdevon.gov.uk/leisure-and-lifestyle/public-toilets/pilton-park-barnstaple/,https://en.wikivoyage.org/wiki/Barnstaple,local park below Barnstaple travel bar
europe/croatia/krka_national_park_1,Krka National Park,Krka National Park,0,24,see,Nacionalni park Krka,0.85,candidate,has coordinates; high-value type; has external URL; strong travel term,43.817053,15.923336,,,0.0,,12.16,has_external_url,http://www.np-krka.hr/en/,https://en.wikivoyage.org/wiki/Krka_National_Park,duplicates the Krka National Park destination rather than identifying a distinct flat POI
europe/spain/catalonia/platjadaro,Platja d'Aro,Platja d'Aro,5,21,do,PP’s park,0.85,candidate,has coordinates; high-value type; has external URL; strong travel term,41.81173,3.06066,Castell d'Aro,europe/spain/catalonia/platjadaro/castell_daro,0.364,2.494,1.008,has_external_url,https://www.ppspark.com/,https://en.wikivoyage.org/wiki/Platja_d%27Aro,commercial amusement park below Platja d'Aro travel bar
europe/netherlands/friesland/hindeloopen,Hindeloopen,Hindeloopen,3,13,do,Museum Hindeloopen,0.85,candidate,has coordinates; high-value type; has external URL; strong travel term,52.943289,5.398617,Hidde Nijland Museum,europe/netherlands/friesland/hindeloopen/hidde_nijland_museum,0.316,0.752,0.146,has_external_url,http://www.museumhindeloopen.nl/node/30,https://en.wikivoyage.org/wiki/Hindeloopen,appears to duplicate existing Hidde Nijland Museum/Museum Hindeloopen coverage
europe/unitedkingdom/england/birmingham_and_west_midlands/birmingham,Birmingham,Birmingham,16,180,see,Kanzul Huda Mosque,0.85,candidate,has coordinates; high-value type; has external URL; strong travel term,52.484841,-1.8653972,Victoria Square,europe/unitedkingdom/england/birmingham_and_west_midlands/birmingham/victoria_square,0.364,2.615,2.59,has_external_url,https://www.kanzulhuda.com/,https://en.wikivoyage.org/wiki/Birmingham,minor local mosque below Birmingham travel bar
