world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url,reject_reason
europe/finland/porvoo,Porvoo,Porvoo,11,41,see,Home of J.L. Runeberg,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,60.39,25.664,J.L. Runeberg's Home,europe/finland/porvoo/runeberg_home,0.615,0.519,0.505,has_external_url,https://www.visitporvoo.fi/jl-runebergs-home,https://en.wikivoyage.org/wiki/Porvoo,duplicate/alias of existing J.L. Runeberg Home POI
asia/turkey/demre,Demre (Myra),Demre,2,9,see,Myra,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,36.2587,29.9855,Myra Rock Tombs and Theatre,asia/turkey/demre/myra_tombs,0.577,0.423,1.227,has_external_url,https://muze.gov.tr/muze-detay?sectionId=MYR01&distId=MYR,https://en.wikivoyage.org/wiki/Demre,duplicate/alias of existing Myra Rock Tombs and Theatre POI
northamerica/unitedstates/newmexico/albuquerque,Albuquerque,Albuquerque,15,137,do,Aux Dog Theatre,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,35.08187,-106.61138,KiMo Theatre,northamerica/unitedstates/newmexico/albuquerque/kimo_theatre,0.667,3.758,3.614,has_external_url,https://www.groundworksnm.org/nonprofit-directory/nonprofit/9669,https://en.wikivoyage.org/wiki/Albuquerque,weak/unclear current visitor value as a durable POI
australiaandpacific/newzealand/nelson,Nelson,Nelson (New Zealand),18,40,see,Queens Gardens,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,-41.273615,173.290362,Suter Art Gallery,australiaandpacific/newzealand/nelson/suter_art_gallery,0.674,0.326,0.626,has_external_url,http://www.nelson.govt.nz/recreation/recreation/parks-and-reserves/queens-garden/,https://en.wikivoyage.org/wiki/Nelson_%28New_Zealand%29,duplicate/alias of existing Queens Gardens and Albion Square POI
europe/belgium/zottegem,Zottegem,Zottegem,9,14,see,Archaeological museum 'Archeocentrum Velzeke (AVE)' and Paddestraat,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,50.880278,3.771944,Archaeological Museum of Velzeke,europe/belgium/zottegem/archaeological_museum_velzeke,0.681,0.66,3.231,has_external_url,http://www.pam-ov.be/velzeke,https://en.wikivoyage.org/wiki/Zottegem,duplicate/alias of existing Archaeological Museum of Velzeke POI
northamerica/elsalvador/santaana,Santa Ana,Santa Ana (El Salvador),10,110,see,Museo AJA,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,13.99725,-89.56026,Mercado Central,northamerica/elsalvador/santaana/mercado_central,0.656,0.344,0.344,has_external_url,https://www.facebook.com/Museo-AJA-458009504268967/,https://en.wikivoyage.org/wiki/Santa_Ana_%28El_Salvador%29,weak/local-only museum with limited corroborated visitor value
europe/unitedkingdom/england/birmingham_and_west_midlands/warwick,Warwick,Warwick (England),11,13,see,St. Giles Church,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,52.22118,-1.4788,St Mary's Church,europe/unitedkingdom/england/birmingham_and_west_midlands/warwick/st_marys_church,0.71,9.819,9.688,has_external_url,http://www.midfosse.co.uk/chesterton/,https://en.wikivoyage.org/wiki/Warwick_%28England%29,far from Warwick parent and not appropriate as a Warwick POI
northamerica/unitedstates/arkansas/hotsprings,Hot Springs,Hot Springs (Arkansas),21,23,do,Magic Springs and Crystal Falls,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,34.5194,-93.0169,Magic Springs Theme and Water Park,northamerica/unitedstates/arkansas/hotsprings/magic_springs,0.646,2.345,3.92,has_external_url,http://www.magicsprings.com,https://en.wikivoyage.org/wiki/Hot_Springs_%28Arkansas%29,duplicate/alias of existing Magic Springs Theme and Water Park POI
asia/bangladesh/chittagong,Chittagong,Chittagong,15,149,do,Foy's Lake Concord,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,22.365901,91.796943,Foy's Lake,asia/bangladesh/chittagong/foys_lake,0.714,0.699,5.256,has_external_url,https://foyslake.com/,https://en.wikivoyage.org/wiki/Chittagong,duplicate/commercial attraction already covered by existing Foys Lake POI
europe/germany/hessen/kassel,Kassel,Kassel,19,95,see,Kasseler Bademuseum – Kurbad Jungborn,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,51.31264,9.50471,Orangerie and Karlsaue,europe/germany/hessen/kassel/orangerie,0.624,0.376,0.591,has_external_url,http://www.kurbad-jungborn.de/,https://en.wikivoyage.org/wiki/Kassel,below score 6.0 travel-worthiness threshold for parent destination or weak/local-only fit
europe/unitedkingdom/england/bristol_plymouth_and_the_south_west/bristol,Bristol,Bristol,31,168,see,Quakers Burial Ground,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,51.44867,-2.59082,Redcliffe Caves,europe/unitedkingdom/england/bristol_plymouth_and_the_south_west/bristol/redcliffe_caves,0.635,0.365,0.726,has_external_url,http://discoveringbristol.org.uk/browse/slavery/historic-site-quakers-burial-ground/,https://en.wikivoyage.org/wiki/Bristol,minor/local historic site below travel-worthiness threshold for Bristol
asia/srilanka/unawatuna,Unawatuna,Unawatuna,8,14,do,Sea Horse Divers,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,6.01,80.24932,Rumassala Hill,asia/srilanka/unawatuna/rumassala_hill,0.681,0.319,1.152,has_external_url,http://www.seahorsedivinglanka.com,https://en.wikivoyage.org/wiki/Unawatuna,ordinary commercial dive operator rather than durable POI
asia/japan/honshu/nagahama,Nagahama,Nagahama,9,20,see,Hikiyama Museum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,35.381331,136.268948,Nagahama Hikiyama Festival Museum,asia/japan/honshu/nagahama/nagahama_hikiyama_museum,0.625,0.953,0.868,has_external_url,https://nagahama-hikiyama.or.jp/,https://en.wikivoyage.org/wiki/Nagahama,duplicate/alias of existing Nagahama Hikiyama Festival Museum POI
asia/laos/vangvieng,Vang Vieng,Vang Vieng,15,27,do,Sae Lao Organic Garden & Restaurant,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,18.9224,102.39563,Organic Farm Restaurant,asia/laos/vangvieng/organic_farm_restaurant,0.7,5.572,7.287,has_external_url,http://saelaoproject.com/organic-farm-restaurant/,https://en.wikivoyage.org/wiki/Vang_Vieng,duplicate/alias of existing Organic Farm Restaurant POI
europe/hungary/sopron,Sopron,Sopron,9,234,see,St. John the Baptist Church,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,47.69545,16.58381,Goat Church (Kecske-templom),europe/hungary/sopron/goat_church,0.606,1.2,2.005,has_external_url,http://www.muemlekem.hu/muemlek?id=4744,https://en.wikivoyage.org/wiki/Sopron,minor/local church below travel-worthiness threshold for Sopron
europe/armenia/yerevan,Yerevan,Yerevan,53,133,see,Martiros Saryan House-Museum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,40.186886,44.509214,Saryan Museum,europe/armenia/yerevan/saryanmuseum,0.634,0.77,1.061,has_external_url,http://www.sarian.am/,https://en.wikivoyage.org/wiki/Yerevan,duplicate/alias of existing Saryan Museum POI
northamerica/unitedstates/massachusetts/worcester,Worcester,Worcester (Massachusetts),20,108,see,Hadwen Park,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,42.233889,-71.841111,Elm Park,northamerica/unitedstates/massachusetts/worcester/elm_park,0.632,5.014,4.537,has_external_url,https://www.worcesterma.gov/city-parks/hadwen-park,https://en.wikivoyage.org/wiki/Worcester_%28Massachusetts%29,local park below travel-worthiness threshold for Worcester
africa/kenya/thecoast/mombasa,Mombasa,Mombasa,20,137,see,Bamburi Forest Trails,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,-3.98889,39.7343,Tamarind Restaurant,africa/kenya/thecoast/mombasa/tamarind_restaurant,0.55,8.312,10.12,has_external_url,https://www.lafarge.co.ke/bamburi-forest-trails,https://en.wikivoyage.org/wiki/Mombasa,duplicate/alias of existing Haller Park/Bamburi nature trail coverage
northamerica/unitedstates/newyorkstate/albany,Albany,Albany (New York),6,88,do,Capital Repertory Theatre,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,42.652623,-73.750461,Albany City Hall,northamerica/unitedstates/newyorkstate/albany/albany_city_hall,0.662,0.338,0.404,has_external_url,http://www.capitalrep.org/,https://en.wikivoyage.org/wiki/Albany_%28New_York%29,event venue with weak general travel value as a durable POI
asia/india/uttarpradesh/agra,Agra,Agra,28,60,see,Dayal Bagh Temple,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,27.222,78.0028,Dayalbagh Soami Bagh,asia/india/uttarpradesh/agra/dayalbagh,0.595,1.067,5.244,has_external_url,https://www.dayalbagh.org.in/,https://en.wikivoyage.org/wiki/Agra,duplicate/alias of existing Dayalbagh Soami Bagh POI
