world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url,reject_reason
asia/iran/yazd,Yazd,Yazd,9,25,see,Kharānaq,0.75,candidate,has coordinates; has description; high-value type,32.345493,54.669743,Khan Bazaar,asia/iran/yazd/khan_bazaar,0.526,43.03,33.903,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Yazd,separate day-trip village rather than flat city POI
asia/china/guangdong/zhuhai,Zhuhai,Zhuhai,6,68,see,Zhuhai's many islands,0.75,candidate,has coordinates; has description; high-value type,22.0459,113.9221,Hong Kong-Zhuhai-Macau Bridge,asia/china/guangdong/zhuhai/hk_zhuhai_macau_bridge,0.44,40.769,45.086,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Zhuhai,vague non-specific island group
asia/china/henan_province/luoyang,Luoyang,Luoyang,11,25,see,Du Fu's Tomb,0.75,candidate,has coordinates; has description; high-value type,34.7335,112.7399,Luoyang Old Town,asia/china/henan_province/luoyang/luoyang_old_town,0.4,28.899,29.565,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Luoyang,needs external corroboration and weak fit against stronger Luoyang sights
europe/azerbaijan/qax,Qax,Qax,5,10,do,Mount Ulubash,0.75,candidate,has coordinates; has description; high-value type,41.4618,46.9653,St George's Church,europe/azerbaijan/qax/st_georges_church,0.258,4.423,26.657,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Qax,vague mountain lead with insufficient verifiable visitor POI detail
asia/qatar/doha,Doha,Doha,50,160,see,Al Zaman Exchange,0.74,candidate,has coordinates; has description; high-value type; has external URL,25.286,51.53598,Souq Waqif,asia/qatar/doha/souq_waqif,0.673,0.327,3.932,has_external_url,http://alzamanexchange.com/branches.php,https://en.wikivoyage.org/wiki/Doha,ordinary commercial service
europe/germany/badenwrttemberg/stuttgart,Stuttgart,Stuttgart,27,176,see,Stuttgart-Marienplatz,0.74,candidate,has coordinates; has description; high-value type; has external URL,48.76442,9.1685,Stuttgart TV Tower (Fernsehturm),europe/germany/badenwrttemberg/stuttgart/stuttgart_tv_tower,0.564,2.942,1.774,has_external_url,https://www.stuttgart-tourist.de/en/a-cogwheel-train-stuttgart-zacke,https://en.wikivoyage.org/wiki/Stuttgart,local square and transit area below POI threshold
europe/armenia/aragatsotn_marz/ashtarak,Ashtarak,Ashtarak,8,17,see,Ashtarak Bus Station,0.74,candidate,has coordinates; has description; high-value type; has external URL,40.2912,44.3648,Kasagh River Gorge,europe/armenia/aragatsotn_marz/ashtarak/kasagh_gorge,0.593,0.407,0.407,has_external_url,https://t-armenia.com/en/yerevan-to-ashtarak,https://en.wikivoyage.org/wiki/Ashtarak,transport-only
europe/germany/northrhinewestphalia/essen,Essen,Essen,11,74,do,Grugahalle,0.74,candidate,has coordinates; has description; high-value type; has external URL,51.431,6.99767,Grugapark,europe/germany/northrhinewestphalia/essen/grugapark,0.632,0.811,3.278,has_external_url,http://www.grugahalle.de/,https://en.wikivoyage.org/wiki/Essen,event venue below POI threshold for Essen
northamerica/canada/newfoundland/cornerbrook,Corner Brook,Corner Brook,7,44,do,Blow-Me-Down,0.74,candidate,has coordinates; has description; high-value type; has external URL,48.9261344,-58.0070584,Blow-Me-Down Provincial Park,northamerica/canada/newfoundland/cornerbrook/blow_me_down_park,0.6,4.968,5.295,has_external_url,http://blowmedown.ca/,https://en.wikivoyage.org/wiki/Corner_Brook,duplicate or alias of existing Blow-Me-Down Provincial Park
europe/hungary/miskolc,Miskolc,Miskolc,8,82,see,Town Hall,0.74,candidate,has coordinates; has description; high-value type; has external URL,48.10396,20.77791,Herman Ottó Museum,europe/hungary/miskolc/otto_herman_museum,0.589,0.411,0.903,has_external_url,http://www.miskolc.hu/,https://en.wikivoyage.org/wiki/Miskolc,ordinary civic building below POI threshold
europe/unitedkingdom/england/eastern_england/cambridge,Cambridge,Cambridge,54,165,do,Strawberry Fair,0.74,candidate,has coordinates; has description; high-value type; has external URL,52.2102,0.1295,Jesus College,europe/unitedkingdom/england/eastern_england/cambridge/jesus_college,0.559,0.441,0.903,has_external_url,http://strawberry-fair.org.uk/,https://en.wikivoyage.org/wiki/Cambridge,event-only
