world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url,reject_reason
europe/spain/catalonia/roses,Roses,Roses,12,17,do,karting roses,0.74,candidate,has coordinates; has description; high-value type; has external URL,42.27798,3.15852,Port de Roses,europe/spain/catalonia/roses/port_de_roses,0.696,2.371,2.159,has_external_url,https://kartingroses.com,https://en.wikivoyage.org/wiki/Roses,ordinary commercial activity operator
europe/germany/badenwrttemberg/stuttgart,Stuttgart,Stuttgart,27,176,do,Black light Stuttgart,0.74,candidate,has coordinates; has description; high-value type; has external URL,48.836736,9.159647,Kunstmuseum Stuttgart,europe/germany/badenwrttemberg/stuttgart/kunstmuseum_stuttgart,0.571,6.629,6.651,has_external_url,https://www.blacklight-stuttgart.de/,https://en.wikivoyage.org/wiki/Stuttgart,ordinary commercial activity operator
northamerica/unitedstates/massachusetts/concord,Concord,Concord (Massachusetts),7,55,do,FOPAC,0.74,candidate,has coordinates; has description; high-value type; has external URL,42.4589,-71.3491,Ralph Waldo Emerson House,northamerica/unitedstates/massachusetts/concord/emerson_house,0.569,0.431,0.168,has_external_url,http://www.51walden.org,https://en.wikivoyage.org/wiki/Concord_%28Massachusetts%29,local venue below POI threshold
northamerica/unitedstates/arizona/prescott,Prescott,Prescott,12,23,do,Prescott Highland Games,0.74,candidate,has coordinates; has description; high-value type; has external URL,34.591577,-112.421589,Prescott National Forest,northamerica/unitedstates/arizona/prescott/prescott_national_forest,0.553,10.828,7.184,has_external_url,http://www.prescotthighlandgames.com/,https://en.wikivoyage.org/wiki/Prescott,event-only
asia/philippines/cebu/cebucity,Cebu City,Cebu City,11,73,do,Sky Experience Adventure,0.74,candidate,has coordinates; has description; high-value type; has external URL,10.307884,123.894117,Fuente Osmeña Park,asia/philippines/cebu/cebucity/fuenteosmeapark,0.622,0.378,1.29,has_external_url,http://www.skyexperienceadventure.com/page/sky-walk-extreme,https://en.wikivoyage.org/wiki/Cebu_City,commercial attraction below POI threshold
northamerica/unitedstates/tennessee/memphis,Memphis,Memphis,49,101,do,Ghost River Brewing,0.74,candidate,has coordinates; has description; high-value type; has external URL,35.12508,-90.05958,Wiseacre Brewing,northamerica/unitedstates/tennessee/memphis/wiseacre_brewing,0.629,2.2,2.435,has_external_url,http://www.ghostriverbrewing.com,https://en.wikivoyage.org/wiki/Memphis,ordinary commercial brewery lead
northamerica/britishvirginislands/virgingorda,Virgin Gorda,Virgin Gorda,11,56,see,BVI Tourist Board – Virgin Gorda,0.74,candidate,has coordinates; has description; high-value type; has external URL,18.44941,-64.43591,St. Ursula's Church,northamerica/britishvirginislands/virgingorda/st_ursulas_church,0.649,0.351,4.426,has_external_url,http://www.bvitourism.com/virgin-gorda,https://en.wikivoyage.org/wiki/Virgin_Gorda,tourist information office
asia/southkorea/dae_gu,Daegu,Daegu,7,73,see,Daegu International Musical Festival,0.74,candidate,has coordinates; has description; high-value type; has external URL,35.883882,128.59416,Daegu National Museum,asia/southkorea/dae_gu/daegu_national_museum,0.667,5.158,1.534,has_external_url,http://www.dimf.or.kr/,https://en.wikivoyage.org/wiki/Daegu,event-only
australiaandpacific/newzealand/south_island/otago/dunedin,Dunedin,Dunedin,15,102,see,Dunedin eBike Hire,0.74,candidate,has coordinates; has description; high-value type; has external URL,-45.87271,170.51162,Dunedin Public Art Gallery,australiaandpacific/newzealand/south_island/otago/dunedin/dunedin_public_art_gallery,0.591,0.711,0.642,has_external_url,https://dunedinebike.co.nz/,https://en.wikivoyage.org/wiki/Dunedin,ordinary commercial rental operator
europe/norway/harstad,Harstad,Harstad,9,21,see,The Adolf gun,0.74,candidate,has coordinates; has description; high-value type; has external URL,68.8344,16.5844,Trondenes Fort and Adolf Gun,europe/norway/harstad/trondenes_fort,0.561,0.439,4.161,has_external_url,https://booking.visitharstad.com/en/adventure/1691-the-adolf-gun-sightseeing?page,https://en.wikivoyage.org/wiki/Harstad,duplicate or alias of existing Trondenes Fort and Adolf Gun
europe/finland/helsinki,Helsinki,Helsinki,56,99,see,Yliopiston Apteekki pharmacy,0.74,candidate,has coordinates; has description; high-value type; has external URL,60.188,24.9183,Café Regatta,europe/finland/helsinki/regatta_kahvila,0.578,0.422,2.757,has_external_url,http://www.yliopistonapteekki.fi/fi/apteekkipalvelut/Pages/Default.aspx,https://en.wikivoyage.org/wiki/Helsinki,ordinary commercial service
europe/unitedkingdom/england/south_east/watford,Watford,Watford,7,25,do,Watford Topgolf,0.74,candidate,has coordinates; has description; high-value type; has external URL,51.6717382,-0.3794561,The Watford Hornet,europe/unitedkingdom/england/south_east/watford/watford_hornet,0.621,2.041,2.137,has_external_url,https://topgolf.com/uk/watford/,https://en.wikivoyage.org/wiki/Watford,ordinary commercial activity operator
asia/maldives/ari_atoll/rasdhoo,Rasdhoo,Rasdhoo,5,12,do,Rasdhoo Dive Centre,0.74,candidate,has coordinates; has description; high-value type; has external URL,4.26352,72.99122,Bikini Beach,asia/maldives/ari_atoll/rasdhoo/bikini_beach,0.694,0.306,0.083,has_external_url,http://rasdhoo.com,https://en.wikivoyage.org/wiki/Rasdhoo,ordinary commercial dive operator
northamerica/unitedstates/california/oakland,Oakland,Oakland,16,181,see,The Piedmont Tobacconist,0.74,candidate,has coordinates; has description; high-value type; has external URL,37.82573,-122.25272,Chapel of the Chimes,northamerica/unitedstates/california/oakland/chapel_of_the_chimes,0.613,0.387,2.877,has_external_url,http://thepiedmonttobacconist.com,https://en.wikivoyage.org/wiki/Oakland,ordinary commercial shop
northamerica/unitedstates/nevada/lasvegas,Las Vegas,Las Vegas,110,27,do,Vegas Golden Knights (NHL),0.74,candidate,has coordinates; has description; high-value type; has external URL,36.102778,-115.178333,New York-New York Hotel and Casino,northamerica/unitedstates/nevada/lasvegas/new_york_new_york,0.654,0.346,7.674,has_external_url,https://www.nhl.com/goldenknights,https://en.wikivoyage.org/wiki/Las_Vegas,sports team rather than stable POI
europe/unitedkingdom/england/eastern_england/cambridge,Cambridge,Cambridge,54,165,do,Cambridge Folk Festival,0.74,candidate,has coordinates; has description; high-value type; has external URL,52.1857,0.165,Cambridge Chop House,europe/unitedkingdom/england/eastern_england/cambridge/cambridge_chop_house,0.605,3.846,3.852,has_external_url,https://www.cambridgelivetrust.co.uk/folk-festival/,https://en.wikivoyage.org/wiki/Cambridge,event-only
europe/norway/bodo,Bodø,Bodø,17,26,do,Saltstraumen,0.74,candidate,has coordinates; has description; high-value type; has external URL,67.23,14.609722,Saltstraumen Maelstrom,europe/norway/bodo/saltstraumen,0.706,0.577,11.515,has_external_url,https://www.visitnorway.com/places-to-go/northern-norway/bodo/,https://en.wikivoyage.org/wiki/Bod%C3%B8,duplicate or alias of existing Saltstraumen Maelstrom
northamerica/unitedstates/colorado/canon_city,Cañon City,Cañon City,10,20,do,River Runners Royal Gorge Rafting Center,0.74,candidate,has coordinates; has description; high-value type; has external URL,38.496709,-105.329032,Royal Gorge Bridge,northamerica/unitedstates/colorado/canon_city/royal_gorge_bridge,0.552,3.957,10.191,has_external_url,http://www.whitewater.net,https://en.wikivoyage.org/wiki/Ca%C3%B1on_City,ordinary commercial rafting operator
asia/southkorea/dae_gu,Daegu,Daegu,7,73,see,Powerful Daegu Festival,0.74,candidate,has coordinates; has description; high-value type; has external URL,35.870071,128.587253,Seomun Market,asia/southkorea/dae_gu/seomun_market,0.639,0.361,1.283,has_external_url,http://www.cdf.or.kr,https://en.wikivoyage.org/wiki/Daegu,event-only
asia/indonesia/bali/ubud,Ubud,Ubud,21,95,do,Payuk Bali Home Cooking Class,0.74,candidate,has coordinates; has description; high-value type; has external URL,-8.50357,115.277567,Balinese Cooking Classes,asia/indonesia/bali/ubud/cooking_class,0.717,1.951,1.78,has_external_url,http://www.payukbali.com/,https://en.wikivoyage.org/wiki/Ubud,ordinary commercial class and overlaps existing cooking class POI
australiaandpacific/australia/tasmania/hobart,Hobart,Hobart,57,83,do,Moorilla,0.74,candidate,has coordinates; has description; high-value type; has external URL,-42.8116,147.2567,MONA — Museum of Old and New Art,australiaandpacific/australia/tasmania/hobart/mona,0.617,0.383,9.72,has_external_url,http://moorilla.com.au/,https://en.wikivoyage.org/wiki/Hobart,overlaps existing MONA precinct POI
northamerica/dominicanrepublic/punta_cana,Punta Cana,Punta Cana,10,17,see,Centro Medico Punta Cana,0.74,candidate,has coordinates; has description; high-value type; has external URL,18.6865,-68.44902,Bávaro Beach,northamerica/dominicanrepublic/punta_cana/bavaro_beach,0.63,0.37,12.492,has_external_url,https://www.centromedicopuntacana.com/,https://en.wikivoyage.org/wiki/Punta_Cana,medical service not travel POI
northamerica/canada/ontario/niagrafalls,Niagara Falls,Niagara Falls (Ontario),10,83,do,Niagara Helicopters Limited,0.74,candidate,has coordinates; has description; high-value type; has external URL,43.11862,-79.074395,Niagara-on-the-Lake,northamerica/canada/ontario/niagrafalls/niagara_on_the_lake,0.571,15.177,1.589,has_external_url,http://www.niagarahelicopters.com,https://en.wikivoyage.org/wiki/Niagara_Falls_%28Ontario%29,ordinary commercial flightseeing operator
asia/laos/vangvieng,Vang Vieng,Vang Vieng,15,27,do,Organic Farm,0.74,candidate,has coordinates; has description; high-value type; has external URL,18.96129,102.44481,Organic Farm Restaurant,asia/laos/vangvieng/organic_farm_restaurant,0.686,3.999,1.469,has_external_url,http://www.laofarm.org/,https://en.wikivoyage.org/wiki/Vang_Vieng,duplicate or alias of existing Organic Farm Restaurant
europe/netherlands/arnhem,Arnhem,Arnhem,12,78,do,Focus Filmtheater Arnhem,0.74,candidate,has coordinates; has description; high-value type; has external URL,51.98254,5.90451,Korenmarkt,europe/netherlands/arnhem/korenmarkt,0.666,0.334,0.489,has_external_url,http://www.focusarnhem.nl,https://en.wikivoyage.org/wiki/Arnhem,local cinema below POI threshold
europe/poland/katowice,Katowice,Katowice,12,77,do,Rialto,0.74,candidate,has coordinates; has description; high-value type; has external URL,50.2565,19.0207,U Michała,europe/poland/katowice/u_michała,0.675,0.325,0.96,has_external_url,https://www.rialto.katowice.pl/,https://en.wikivoyage.org/wiki/Katowice,local cinema venue below POI threshold
northamerica/unitedstates/newyorkstate/rochester,Rochester,Rochester (New York),13,238,do,Rochester Movies 10,0.74,candidate,has coordinates; has description; high-value type; has external URL,43.1005,-77.6311,Rochester Public Market,northamerica/unitedstates/newyorkstate/rochester/rochester_public_market,0.571,7.785,6.495,has_external_url,https://www.rochestermovies10.com,https://en.wikivoyage.org/wiki/Rochester_%28New_York%29,ordinary cinema
europe/sweden/stockholm,Stockholm,Stockholm,56,118,see,Norway,0.74,candidate,has coordinates; has description; high-value type; has external URL,59.333794,18.107336,Norrmalm,europe/sweden/stockholm/norrmalm,0.571,2.41,2.271,has_external_url,https://www.norway.no/no/sweden/,https://en.wikivoyage.org/wiki/Stockholm,embassy or non-POI row
northamerica/unitedstates/virginia/charlottesville,Charlottesville,Charlottesville,11,94,see,James Monroe's Highland,0.74,candidate,has coordinates; has description; high-value type; has external URL,37.9794,-78.4544,Ash Lawn-Highland,northamerica/unitedstates/virginia/charlottesville/ash_lawn_highland,0.65,2.077,5.883,has_external_url,https://www.highland.org/,https://en.wikivoyage.org/wiki/Charlottesville,duplicate or alias of existing Ash Lawn-Highland
europe/italy/lombardia/mantua,Mantua,Mantua,10,44,see,Casa del Cappellaio,0.74,candidate,has coordinates; has description; high-value type; has external URL,45.158292,10.7936677,Palazzo Ducale,europe/italy/lombardia/mantua/palazzo_ducale,0.647,0.353,9.707,has_external_url,http://www.turismo.mantova.it/index.php/risorse/scheda/id/958,https://en.wikivoyage.org/wiki/Mantua,minor commercial or heritage lead below POI threshold
europe/unitedkingdom/wales/llangollen,Llangollen,Llangollen,5,16,do,Safe & Sound Outdoors,0.74,candidate,has coordinates; has description; high-value type; has external URL,52.96948,-3.16906,Plas Newydd,europe/unitedkingdom/wales/llangollen/plas_newydd,0.649,0.351,0.159,has_external_url,http://www.sasoutdoors.co.uk/,https://en.wikivoyage.org/wiki/Llangollen,ordinary commercial outdoor operator
northamerica/unitedstates/newyorkstate/ithaca_tompkins_c,Ithaca,Ithaca (New York),19,87,see,Ithaca College,0.74,candidate,has coordinates; has description; high-value type; has external URL,42.4218,-76.4947,Ithaca Falls,northamerica/unitedstates/newyorkstate/ithaca_tompkins_c/ithaca_falls,0.692,3.468,2.111,has_external_url,http://www.ithaca.edu,https://en.wikivoyage.org/wiki/Ithaca_%28New_York%29,ordinary educational institution below POI threshold
northamerica/greenland/nanortalik,Nanortalik,Nanortalik,4,10,see,Tasermiut Fjord,0.74,candidate,has coordinates; has description; high-value type; has external URL,60.14189,-45.237749,Nanortalik Church,northamerica/greenland/nanortalik/nanortalik_church,0.691,0.309,0.35,has_external_url,https://tasermiutcamp.gl/,https://en.wikivoyage.org/wiki/Nanortalik,coordinates point to Nanortalik town and lead overlaps existing kayaking fjords POI
northamerica/unitedstates/ohio/cleveland,Cleveland,Cleveland,59,29,see,Cleveland Plain Dealer,0.74,candidate,has coordinates; has description; high-value type; has external URL,41.507083,-81.679778,Cleveland Public Library,northamerica/unitedstates/ohio/cleveland/cleveland_public_library,0.696,1.188,1.422,has_external_url,https://www.cleveland.com/,https://en.wikivoyage.org/wiki/Cleveland,newspaper office not travel POI
