world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url,reject_reason
northamerica/unitedstates/northcarolina/asheville,Asheville,Asheville,20,153,see,First Baptist Church,0.74,candidate,has coordinates; has description; high-value type; strong travel term,35.5992,-82.5478,Thomas Wolfe Memorial,northamerica/unitedstates/northcarolina/asheville/thomas_wolfe_memorial,0.669,0.331,0.508,needs_external_source,,https://en.wikivoyage.org/wiki/Asheville,below threshold for Asheville compared with existing stronger architecture and museum POIs
asia/kazakhstan/shimkent,Shymkent,Shymkent,12,32,see,Park Ken-Baba,0.74,candidate,has coordinates; has description; high-value type; strong travel term,42.31884245,69.60540744,Park named after Abay,asia/kazakhstan/shimkent/abay_park,0.588,0.618,1.48,needs_external_source,,https://en.wikivoyage.org/wiki/Shymkent,weak local park rather than a travel-worthy POI
asia/china/anhui/tongling,Tongling,Tongling,5,24,do,Tongling Water Park,0.74,candidate,has coordinates; has description; high-value type; strong travel term,30.9496,117.8234,Tongling Museum,asia/china/anhui/tongling/tongling_museum,0.588,1.015,1.116,needs_external_source,,https://en.wikivoyage.org/wiki/Tongling,ordinary recreational water park below travel-guide threshold
northamerica/jamaica/kingston,Kingston,Kingston (Jamaica),50,50,see,Arawak Museum,0.74,candidate,has coordinates; has description; high-value type; strong travel term,17.997785,-76.911122,Jamaica Music Museum,northamerica/jamaica/kingston/jamaica_music_museum,0.606,13.782,12.429,needs_external_source,,https://en.wikivoyage.org/wiki/Kingston_%28Jamaica%29,insufficiently corroborated and not clearly distinct among Kingston museum coverage
southamerica/ecuador/banos,Baños,Baños,7,30,see,Cascada de La Virgen,0.74,candidate,has coordinates; has description; high-value type; strong travel term,-1.3985,-78.4175,Basilica de la Virgen del Agua Santa,southamerica/ecuador/banos/basilica,0.55,0.63,18.751,needs_external_source,,https://en.wikivoyage.org/wiki/Ba%C3%B1os,covered by existing Termas de la Virgen and Basilica area coverage rather than a distinct POI
asia/philippines/makati,Makati,Makati,9,59,see,Salcedo Park,0.74,candidate,has coordinates; has description; high-value type; strong travel term,14.56012,121.02293,Salcedo Weekend Market,asia/philippines/makati/salcedo_weekend_market,0.647,,0.418,needs_external_source,,https://en.wikivoyage.org/wiki/Makati,weak local park and effectively covered by existing Salcedo Weekend Market context
europe/belgium/aalst,Aalst,Aalst,11,33,see,Béguinage,0.74,candidate,has coordinates; has description; high-value type; strong travel term,50.935699,4.044732,Aalst Beguinage,europe/belgium/aalst/aalst_beguinage,0.667,0.533,0.484,needs_external_source,,https://en.wikivoyage.org/wiki/Aalst,duplicate/alias of existing Aalst Beguinage POI
northamerica/unitedstates/tennessee/chattanooga,Chattanooga,Chattanooga,20,86,see,Memorial Auditorium,0.74,candidate,has coordinates; has description; high-value type; strong travel term,35.048,-85.3057,MoonPie General Store,northamerica/unitedstates/tennessee/chattanooga/moonpie_general_store,0.614,0.386,0.43,needs_external_source,,https://en.wikivoyage.org/wiki/Chattanooga,ordinary performance venue rather than a durable traveler POI
asia/indonesia/maluku/tidore,Tidore,Tidore,14,11,do,Hot Springs beach,0.74,candidate,has coordinates; has description; high-value type; strong travel term,0.73185,127.45456,Akesahu Hot Springs,asia/indonesia/maluku/tidore/akesahu_hot_springs,0.611,9.711,8.121,needs_external_source,,https://en.wikivoyage.org/wiki/Tidore,duplicate/alias of existing Akesahu Hot Springs POI
europe/russia/suzdal,Suzdal,Suzdal,7,42,see,Church of Nativity of St. John the Baptist,0.74,candidate,has coordinates; has description; high-value type; strong travel term,56.4204,40.442,Cathedral of the Nativity,europe/russia/suzdal/cathedral_of_the_nativity,0.587,0.413,0.432,needs_external_source,,https://en.wikivoyage.org/wiki/Suzdal,below threshold as a separate Suzdal church POI
southamerica/brazil/sao_luis,São Luís,São Luís,72,24,see,Pescador Monument,0.74,candidate,has coordinates; has description; high-value type; strong travel term,-2.48807,-44.29289,Mercado Central,southamerica/brazil/sao_luis/mercado_central,0.562,4.795,4.626,needs_external_source,,https://en.wikivoyage.org/wiki/S%C3%A3o_Lu%C3%ADs,minor local monument below threshold for Sao Luis
europe/portugal/theazores/so_miguel/sete_cidades,Sete Cidades,Sete Cidades,4,8,see,Miradouro da Vista do Rei,0.74,candidate,has coordinates; has description; high-value type; strong travel term,37.8393008,-25.7949583,Vista do Rei,europe/portugal/theazores/so_miguel/sete_cidades/vista_do_rei,0.649,1.511,2.53,needs_external_source,,https://en.wikivoyage.org/wiki/Sete_Cidades,duplicate/alias of existing Vista do Rei POI
asia/india/kerala/thrissur,Thrissur,Thrissur,5,58,see,Appan Thampuran Smarakam,0.74,candidate,has coordinates; has description; high-value type; strong travel term,10.524346,76.18845,Shakthan Thampuran Palace Museum,asia/india/kerala/thrissur/shakthan_thampuran_palace,0.607,2.357,2.876,needs_external_source,,https://en.wikivoyage.org/wiki/Thrissur,below threshold and weaker than existing Thrissur palace/museum coverage
europe/italy/campania/benevento,Benevento,Benevento,6,7,see,Church of Santa Sofia,0.74,candidate,has coordinates; has description; high-value type; strong travel term,41.130539,14.781122,Santa Sofia,europe/italy/campania/benevento/santa_sofia,0.688,0.367,14.469,needs_external_source,,https://en.wikivoyage.org/wiki/Benevento,duplicate/alias of existing Santa Sofia POI
asia/indonesia/sumatra/bukittinggi,Bukittinggi,Bukittinggi,12,9,see,Sianok Canyon (Ngarai Sianok) and the Japanese Caves (Lubang Jepang),0.74,candidate,has coordinates; has description; high-value type; strong travel term,-0.30799,100.36586,Panorama Park,asia/indonesia/sumatra/bukittinggi/panorama_park,0.688,0.312,0.51,needs_external_source,,https://en.wikivoyage.org/wiki/Bukittinggi,covered by existing Panorama Park POI and broader canyon/viewpoint context
northamerica/mexico/puertoescondido,Puerto Escondido,Puerto Escondido,11,40,do,Playa Principal,0.74,candidate,has coordinates; has description; high-value type; strong travel term,15.8597,-97.061,Playa Zicatela,northamerica/mexico/puertoescondido/playa_zicatela,0.69,0.993,1.637,needs_external_source,,https://en.wikivoyage.org/wiki/Puerto_Escondido,below threshold compared with existing stronger Puerto Escondido beaches
asia/japan/kyushu/fukuoka_city,Fukuoka,Fukuoka,10,85,see,Nishi Park,0.74,candidate,has coordinates; has description; high-value type; strong travel term,33.598374,130.374915,Ohori Park,asia/japan/kyushu/fukuoka_city/ohori_park,0.7,1.397,3.047,needs_external_source,,https://en.wikivoyage.org/wiki/Fukuoka,below threshold compared with existing Ohori Park and stronger Fukuoka coverage
europe/macedonia/strumica,Strumica,Strumica,6,34,see,Angelci monastery complex,0.74,candidate,has coordinates; has description; high-value type; strong travel term,41.476389,22.610833,Veljusa Monastery,europe/macedonia/strumica/veljusa_monastery,0.571,2.729,4.71,needs_external_source,,https://en.wikivoyage.org/wiki/Strumica,insufficiently corroborated and below threshold as a separate Strumica POI
europe/macedonia/strumica,Strumica,Strumica,6,34,see,Orta Mosque,0.74,candidate,has coordinates; has description; high-value type; strong travel term,41.435699,22.634764,Goce Delčev Square,europe/macedonia/strumica/goce_delcev_square,0.567,0.433,0.428,needs_external_source,,https://en.wikivoyage.org/wiki/Strumica,below threshold after duplicate check against existing central Strumica sights
asia/china/jiangsu_province/suzhou,Suzhou,Suzhou,17,93,do,Suzhou Amusement Land,0.74,candidate,has coordinates; has description; high-value type; strong travel term,31.2943,120.54263,Suzhou Museum,asia/china/jiangsu_province/suzhou/suzhou_museum,0.706,8.559,7.655,needs_external_source,,https://en.wikivoyage.org/wiki/Suzhou,ordinary commercial amusement park and not strong enough for Suzhou's travel coverage
europe/russia/suzdal,Suzdal,Suzdal,7,42,see,Remains of Sretenskoi Refectory Church,0.74,candidate,has coordinates; has description; high-value type; strong travel term,56.4245,40.4466,Rizopolozhensky Monastery,europe/russia/suzdal/rizopolozhensky_monastery,0.596,0.404,0.584,needs_external_source,,https://en.wikivoyage.org/wiki/Suzdal,minor ruin/sub-feature near existing monastery coverage
europe/greece/philippi,Philippi,Philippi,9,18,see,Roman villa,0.74,candidate,has coordinates; has description; high-value type; strong travel term,41.011207,24.280495,Archaeological Museum of Philippi,europe/greece/philippi/archaeological_museum,0.553,0.447,0.372,needs_external_source,,https://en.wikivoyage.org/wiki/Philippi,vague sub-feature inside the archaeological site rather than a distinct POI
