world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url,reject_reason
europe/netherlands/waddenislands/vlieland_island,Vlieland,Vlieland,10,18,see,Aanloophaven Vlieland,0.66,candidate,has coordinates; high-value type; has external URL,53.2969,5.0892,Oost-Vlieland,europe/netherlands/waddenislands/vlieland_island/oost_vlieland,0.647,1.569,1.569,has_external_url,https://www.waddenhavenvlieland.nl/,https://en.wikivoyage.org/wiki/Vlieland,"marina/harbour service, not a destination POI"
europe/italy/lombardia/mantua,Mantua,Mantua,10,44,see,IAT Mantova,0.66,candidate,has coordinates; high-value type; has external URL,45.1585511,10.7943678,Palazzo Ducale,europe/italy/lombardia/mantua/palazzo_ducale,0.683,0.317,9.758,has_external_url,http://www.turismo.mantova.it,https://en.wikivoyage.org/wiki/Mantua,"tourist information office, not a destination POI"
europe/hungary/kecskemet,Kecskemét,Kecskemét,12,106,see,'Zwack Fruit Brandy Distillery and Exhibition,0.66,candidate,has coordinates; high-value type; has external URL,46.8939,19.6907,Zwack Pálinka Distillery and Visitor Centre,europe/hungary/kecskemet/zwack_palinka,0.667,3.06,1.513,has_external_url,http://www.zwack.hu/hu/zwack-muzeumok/zwack-muzeum-es-latogatokozpont/bemutato/,https://en.wikivoyage.org/wiki/Kecskem%C3%A9t,duplicate or alias of existing Zwack Pálinka Distillery and Visitor Centre POI
northamerica/unitedstates/connecticut/middletown,Middletown,Middletown (Connecticut),9,20,see,Oddfellows Playhouse,0.66,candidate,has coordinates; high-value type; has external URL,41.56203,-72.65294,Samuel Wadsworth Russell House,northamerica/unitedstates/connecticut/middletown/russell_house,0.699,0.301,0.172,has_external_url,https://www.oddfellows.org/,https://en.wikivoyage.org/wiki/Middletown_%28Connecticut%29,local performance venue below travel-worthy threshold
europe/finland/turku,Turku,Turku,5,262,do,Aura Fest,0.66,candidate,has coordinates; high-value type; has external URL,60.442576,22.248648,Aura River,europe/finland/turku/aura_river,0.632,1.197,1.421,has_external_url,http://www.aurafest.fi,https://en.wikivoyage.org/wiki/Turku,"event-only listing, not a standing POI"
northamerica/canada/ontario/kingston,Kingston,Kingston (Ontario),8,106,see,Kingston Marina,0.66,candidate,has coordinates; high-value type; has external URL,44.236,-76.48,Kingston City Hall,northamerica/canada/ontario/kingston/city_hall,0.667,0.676,0.717,has_external_url,http://metalcraftmarine.com/html/marina.html,https://en.wikivoyage.org/wiki/Kingston_%28Ontario%29,"marina/boat service, not a destination POI"
asia/myanmar/yangon,Yangon,Yangon,21,140,see,Central Bank of Myanmar,0.66,candidate,has coordinates; high-value type; has external URL,16.82544,96.16064,National Museum of Myanmar,asia/myanmar/yangon/national_museum,0.653,4.113,3.195,has_external_url,http://www.cbm.gov.mm/,https://en.wikivoyage.org/wiki/Yangon,government/bank building not suitable as a visitor POI
asia/malaysia/kualalumpur,Kuala Lumpur,Kuala Lumpur,102,107,see,Eswatini (Swaziland),0.66,candidate,has coordinates; high-value type; has external URL,3.1599,101.7174,Marini's on 57,asia/malaysia/kualalumpur/marinis57,0.553,0.447,2.729,has_external_url,https://www.swazilandkualalumpur.org/,https://en.wikivoyage.org/wiki/Kuala_Lumpur,"embassy/consular listing, not a travel-worthy POI"
europe/hungary/miskolc,Miskolc,Miskolc,8,82,see,County Hall,0.66,candidate,has coordinates; high-value type; has external URL,48.10431,20.77882,Herman Ottó Museum,europe/hungary/miskolc/otto_herman_museum,0.617,0.383,0.841,has_external_url,http://www.baz.hu/,https://en.wikivoyage.org/wiki/Miskolc,civic office building below POI threshold
europe/germany/berlin,Berlin,Berlin,161,123,see,Bahrain,0.66,candidate,has coordinates; high-value type; has external URL,52.506972,13.351444,Berghain,europe/germany/berlin/berghain,0.667,6.217,3.175,has_external_url,https://www.mofa.gov.bh/Default.aspx?tabid=4355&language=en-US,https://en.wikivoyage.org/wiki/Berlin,"embassy/consular listing, not a travel-worthy POI"
northamerica/unitedstates/indiana/lafayette,Lafayette,Lafayette (Indiana),5,39,do,Tropicanoe Cove,0.66,candidate,has coordinates; high-value type; has external URL,40.4176,-86.8898,Moses Fowler House,northamerica/unitedstates/indiana/lafayette/moses_fowler_house,0.671,0.329,1.232,has_external_url,http://www.lafayette.in.gov/1597/Tropicanoe-Cove,https://en.wikivoyage.org/wiki/Lafayette_%28Indiana%29,local seasonal water park below travel-worthy threshold
northamerica/unitedstates/texas/round_rock,Round Rock,Round Rock,7,9,do,Sam Bass Community Theater,0.66,candidate,has coordinates; high-value type; has external URL,30.5118,-97.6859,Chisholm Trail Crossing Park,northamerica/unitedstates/texas/round_rock/chisholm_trail_crossing_park,0.665,0.335,0.768,has_external_url,https://www.sambasstheatre.org/,https://en.wikivoyage.org/wiki/Round_Rock,local community theatre below POI threshold
europe/norway/rros,Røros,Røros,6,7,see,Olav's mine,0.66,candidate,has coordinates; high-value type; has external URL,62.6309,11.5628,Olavsgruva Copper Mine,europe/norway/rros/olavsgruva,0.606,14.642,8.459,has_external_url,http://rorosmuseet.no/en/olavs-mine,https://en.wikivoyage.org/wiki/R%C3%B8ros,duplicate or alias of existing Olavsgruva Copper Mine POI
europe/sweden/kalmar,Kalmar,Kalmar,5,20,see,Kalmar Turism,0.66,candidate,has coordinates; high-value type; has external URL,56.659742,16.361073,Kalmar Art Museum,europe/sweden/kalmar/kalmar_konstmuseum,0.668,0.332,0.471,has_external_url,https://www.kalmar.com/en,https://en.wikivoyage.org/wiki/Kalmar,"tourist information office, not a destination POI"
northamerica/unitedstates/texas/arlington,Arlington,Arlington (Texas),7,29,do,Arlington Music Hall,0.66,candidate,has coordinates; high-value type; has external URL,32.7385,-97.1072,Arlington Steak House,northamerica/unitedstates/texas/arlington/arlington_steak_house,0.634,2.515,0.323,has_external_url,https://arlingtonmusichall.org/,https://en.wikivoyage.org/wiki/Arlington_%28Texas%29,local entertainment venue below Arlington POI threshold
europe/portugal/odemira,Odemira,Odemira,8,12,see,Posto de Turismo da Zambujeira do Mar,0.66,candidate,has coordinates; high-value type; has external URL,37.5245,-8.7845,Zambujeira do Mar,europe/portugal/odemira/zambujeira_do_mar,0.675,0.325,14.946,has_external_url,https://turismo.cm-odemira.pt,https://en.wikivoyage.org/wiki/Odemira,"tourist information office, not a destination POI"
europe/netherlands/dordrecht,Dordrecht,Dordrecht,14,29,do,Bike Totaal Zwaan Dordrecht,0.66,candidate,has coordinates; high-value type; has external URL,51.807723,4.666647,Dordrechts Museum,europe/netherlands/dordrecht/dordrechts_museum,0.578,0.422,4.528,has_external_url,http://czwaan-nieuw.biketotaal.nl/page/96460:54119,https://en.wikivoyage.org/wiki/Dordrecht,"ordinary bike shop, not a travel POI"
europe/denmark/copenhagen,Copenhagen,Copenhagen,101,98,see,Thailand,0.66,candidate,has coordinates; high-value type; has external URL,55.72568,12.57306,Experimentarium,europe/denmark/copenhagen/experimentarium,0.57,0.43,5.521,has_external_url,http://thaiembassy.dk/,https://en.wikivoyage.org/wiki/Copenhagen,"embassy/consular listing, not a travel-worthy POI"
asia/bangladesh/sylhet,Sylhet,Sylhet,28,13,see,British Consular Services Sylhet,0.66,candidate,has coordinates; high-value type; has external URL,24.89346797613333,91.86379482475857,Museum of Rajas,asia/bangladesh/sylhet/museum_of_rajas,0.612,0.388,0.52,has_external_url,https://www.gov.uk/world/organisations/british-consulate-sylhet/office/british-high-commission-office-sylhet,https://en.wikivoyage.org/wiki/Sylhet,"consular service listing, not a travel POI"
europe/germany/berlin,Berlin,Berlin,161,123,see,Lebanon (Libanon),0.66,candidate,has coordinates; high-value type; has external URL,52.569849,13.411929,Lampion,europe/germany/berlin/lampion,0.571,3.663,5.943,has_external_url,http://www.libanesische-botschaft.de,https://en.wikivoyage.org/wiki/Berlin,"embassy/consular listing, not a travel-worthy POI"
asia/indonesia/java/jakarta,Jakarta,Jakarta,32,83,see,South Africa,0.66,candidate,has coordinates; high-value type; has external URL,-6.21737,106.81293,Absolute Cafe,asia/indonesia/java/jakarta/absolute_cafe,0.56,3.691,4.926,has_external_url,http://www.dirco.gov.za/jakarta/,https://en.wikivoyage.org/wiki/Jakarta,"embassy/consular listing, not a travel-worthy POI"
northamerica/unitedstates/illinois/chicago,Chicago,Chicago,152,132,see,Hungary,0.66,candidate,has coordinates; high-value type; has external URL,41.887722,-87.620306,Chicago Architecture Foundation River Cruise,northamerica/unitedstates/illinois/chicago/river_north_chicago_rivercruise,0.613,0.387,1.39,has_external_url,https://chicago.mfa.gov.hu/eng,https://en.wikivoyage.org/wiki/Chicago,"embassy/consular listing, not a travel-worthy POI"
northamerica/unitedstates/mississippi/biloxi,Biloxi,Biloxi,8,27,do,Harrah's Gulf Coast,0.66,candidate,has coordinates; high-value type; has external URL,30.393015,-88.865866,Beauvoir — Jefferson Davis Home,northamerica/unitedstates/mississippi/biloxi/beauvoir,0.615,0.385,2.414,has_external_url,https://www.caesars.com/harrahs-gulf-coast,https://en.wikivoyage.org/wiki/Biloxi,casino hotel content/commercial gambling venue rejected
