world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url,reject_reason
europe/germany/bavaria/hof,Hof,Hof,11,9,do,Kletterpark Untreusee,0.59,candidate,has description; high-value type; has external URL,,,Theresienstein Park,europe/germany/bavaria/hof/theresienstein_park,0.35,,,missing_coordinates; has_external_url,http://www.kletterpark-untreusee.de/,https://en.wikivoyage.org/wiki/Hof,candidate score 0.59 is below the 6.0 POI threshold; ordinary commercial or service listing
northamerica/unitedstates/michigan/traverse_city,Traverse City,Traverse City,26,76,do,Sunset Watersports,0.59,candidate,has description; high-value type; has external URL,,,Suttons Bay,northamerica/unitedstates/michigan/traverse_city/suttons_bay,0.414,,,missing_coordinates; has_external_url,http://www.sunsetwatersports.com/,https://en.wikivoyage.org/wiki/Traverse_City,candidate score 0.59 is below the 6.0 POI threshold; ordinary commercial or service listing
northamerica/unitedstates/wisconsin/eau_claire,Eau Claire,Eau Claire (Wisconsin),5,87,do,Eau Claire Cavaliers,0.59,candidate,has description; high-value type; has external URL,,,Phoenix Park,northamerica/unitedstates/wisconsin/eau_claire/phoenix_park,0.312,,,missing_coordinates; has_external_url,http://www.eauclairecavaliers.org/,https://en.wikivoyage.org/wiki/Eau_Claire_%28Wisconsin%29,candidate score 0.59 is below the 6.0 POI threshold; weak/local-only candidate for this destination
northamerica/unitedstates/indiana/bloomington,Bloomington,Bloomington (Indiana),13,70,see,Simon Music Center,0.59,candidate,has description; high-value type; has external URL,,,WonderLab Museum of Science,northamerica/unitedstates/indiana/bloomington/wonderlab,0.489,,,missing_coordinates; has_external_url,http://www.music.indiana.edu/departments/academic/music-theory/admissions/music-bldgs-map.shtml,https://en.wikivoyage.org/wiki/Bloomington_%28Indiana%29,candidate score 0.59 is below the 6.0 POI threshold; weak/local-only candidate for this destination
europe/germany/thuringia/naumburg,Naumburg,Naumburg,5,14,do,Weinmeile,0.59,candidate,has description; high-value type; has external URL,,,Stadtkirche St Wenzel,europe/germany/thuringia/naumburg/stadtkirche_st_wenzel,0.333,,,missing_coordinates; has_external_url,http://www.saale-weinmeile.de/,https://en.wikivoyage.org/wiki/Naumburg,candidate score 0.59 is below the 6.0 POI threshold; event-only listing rather than a durable POI
northamerica/unitedstates/arkansas/fortsmith,Fort Smith,Fort Smith,6,28,do,The Steel Horse Rally,0.59,candidate,has description; high-value type; has external URL,,,Miss Laura's Social Club,northamerica/unitedstates/arkansas/fortsmith/miss_lauras,0.341,,,missing_coordinates; has_external_url,https://www.thesteelhorserally.com/,https://en.wikivoyage.org/wiki/Fort_Smith,candidate score 0.59 is below the 6.0 POI threshold; event-only listing rather than a durable POI
northamerica/nicaragua/sanjuandelsur,San Juan del Sur,San Juan del Sur,10,19,do,Chicabrava Surf Camp,0.59,candidate,has description; high-value type; has external URL,,,Big Wave Dave's,northamerica/nicaragua/sanjuandelsur/big_wave_dave,0.343,,,missing_coordinates; has_external_url,http://www.chicabrava.com,https://en.wikivoyage.org/wiki/San_Juan_del_Sur,candidate score 0.59 is below the 6.0 POI threshold; accommodation or lodging-led listing is out of scope
northamerica/unitedstates/oklahoma/norman,Norman,Norman (Oklahoma),11,47,do,Opolis,0.59,candidate,has description; high-value type; has external URL,,,Moore-Lindsay Historical House Museum,northamerica/unitedstates/oklahoma/norman/moore_lindsay_house,0.233,,,missing_coordinates; has_external_url,http://www.opolis.org/,https://en.wikivoyage.org/wiki/Norman_%28Oklahoma%29,candidate score 0.59 is below the 6.0 POI threshold; weak/local-only candidate for this destination
australiaandpacific/australia/queensland/townsville,Townsville,Townsville,7,65,see,Virgin Australia,0.59,candidate,has description; high-value type; has external URL,,,Reef HQ Aquarium,australiaandpacific/australia/queensland/townsville/reef_hq_aquarium,0.375,,,missing_coordinates; has_external_url,http://www.virginaustralia.com/,https://en.wikivoyage.org/wiki/Townsville,candidate score 0.59 is below the 6.0 POI threshold; transport operator rather than an attraction POI
northamerica/unitedstates/oregon/lincolncity,Lincoln City,Lincoln City,5,35,do,Fall Kite Festival,0.59,candidate,has description; high-value type; has external URL,,,D River,northamerica/unitedstates/oregon/lincolncity/d_river,0.24,,,missing_coordinates; has_external_url,https://www.oregoncoast.org/events/annual/fall-kite-festival/,https://en.wikivoyage.org/wiki/Lincoln_City,candidate score 0.59 is below the 6.0 POI threshold; event-only listing rather than a durable POI
europe/unitedkingdom/england/bristol_plymouth_and_the_south_west/bristol,Bristol,Bristol,31,168,do,St Paul's Carnival,0.59,candidate,has description; high-value type; has external URL,,,Bristol Cathedral,europe/unitedkingdom/england/bristol_plymouth_and_the_south_west/bristol/bristol_cathedral,0.514,,,missing_coordinates; has_external_url,http://www.stpaulscarnival.co.uk/,https://en.wikivoyage.org/wiki/Bristol,candidate score 0.59 is below the 6.0 POI threshold; event-only listing rather than a durable POI
