world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url,reject_reason
europe/poland/lodz,Łódź,Łódź,7,114,do,Łódź Design Festival,0.59,candidate,has description; high-value type; has external URL,,,Izrael Poznański Palace,europe/poland/lodz/izreal_poznaski_palace,0.3,,,missing_coordinates; has_external_url,http://www.lodzdesign.com/,https://en.wikivoyage.org/wiki/%C5%81%C3%B3d%C5%BA,candidate score 0.59 is below the 6.0 POI threshold; event-only listing rather than a durable POI
northamerica/unitedstates/vermont/woodstock,Woodstock,Woodstock (Vermont),7,9,do,Saskadena Six Ski Area,0.59,candidate,has description; high-value type; has external URL,,,Woodstock Village Green,northamerica/unitedstates/vermont/woodstock/woodstock_village_green,0.311,,,missing_coordinates; has_external_url,https://www.woodstockinn.com/ski-area/mountain,https://en.wikivoyage.org/wiki/Woodstock_%28Vermont%29,candidate score 0.59 is below the 6.0 POI threshold; weak/local-only candidate for this destination
europe/sweden/bors,Borås,Borås,8,15,see,Nettbuss,0.59,candidate,has description; high-value type; has external URL,,,No Limit Street Art Borås,europe/sweden/bors/no_limit_street_art,0.364,,,missing_coordinates; has_external_url,https://www.nettbuss.se/,https://en.wikivoyage.org/wiki/Bor%C3%A5s,candidate score 0.59 is below the 6.0 POI threshold; transport operator rather than an attraction POI
northamerica/unitedstates/washington/olympicnationalpark,Olympic National Park,Olympic National Park,10,49,do,Humes Ranch Loop,0.59,candidate,has description; high-value type; has external URL,,,Hoh Rain Forest,northamerica/unitedstates/washington/olympicnationalpark/hoh_rain_forest,0.452,,,missing_coordinates; has_external_url,https://www.nps.gov/olym/planyourvisit/humes-ranch-loop.htm,https://en.wikivoyage.org/wiki/Olympic_National_Park,candidate score 0.59 is below the 6.0 POI threshold; weak/local-only candidate for this destination
northamerica/unitedstates/georgia/augusta,Augusta,Augusta (Georgia),9,53,do,Augusta Riverhawks Hockey,0.59,candidate,has description; high-value type; has external URL,,,Augusta Museum of History,northamerica/unitedstates/georgia/augusta/augusta_museum_of_history,0.52,,,missing_coordinates; has_external_url,https://augustariverhawks.pointstreaksites.com/view/augustariverhawks/the-home-team-of-the-csra/,https://en.wikivoyage.org/wiki/Augusta_%28Georgia%29,candidate score 0.59 is below the 6.0 POI threshold; weak/local-only candidate for this destination
europe/romania/bucharest,Bucharest,Bucharest,11,139,do,CinemaPro,0.59,candidate,has description; high-value type; has external URL,,,Cotroceni,europe/romania/bucharest/cotroceni,0.333,,,missing_coordinates; has_external_url,http://www.cinemapro.ro/,https://en.wikivoyage.org/wiki/Bucharest,candidate score 0.59 is below the 6.0 POI threshold; weak/local-only candidate for this destination
northamerica/costarica/tamarindo,Tamarindo,Tamarindo,8,21,do,Languatica,0.59,candidate,has description; high-value type; has external URL,,,Nogui's Cafe,northamerica/costarica/tamarindo/nogui_s_cafe,0.545,,,missing_coordinates; has_external_url,http://www.languatica.com/our-locations/tamarindo-costa-rica/,https://en.wikivoyage.org/wiki/Tamarindo,candidate score 0.59 is below the 6.0 POI threshold; weak/local-only candidate for this destination
europe/germany/rhinelandpalatinate/mainz,Mainz,Mainz,7,69,do,Carnival in Mainz,0.59,candidate,has description; high-value type; has external URL,,,Landesmuseum Mainz,europe/germany/rhinelandpalatinate/mainz/landesmuseum_mainz,0.457,,,missing_coordinates; has_external_url,http://www.mainz.de/WGAPublisher/online/html/default/mkuz-5vpcy6.en.html,https://en.wikivoyage.org/wiki/Mainz,candidate score 0.59 is below the 6.0 POI threshold; event-only listing rather than a durable POI
southamerica/venezuela/caracas,Caracas,Caracas,52,96,see,Trinidad and Tobago,0.59,candidate,has description; high-value type; has external URL,,,Iglesia de San Francisco,southamerica/venezuela/caracas/iglesia_san_francisco,0.45,,,missing_coordinates; has_external_url,https://foreign.gov.tt/missions-consuls/tt-missions-abroad/diplomatic-missions/embassy-caracas-venezuela/,https://en.wikivoyage.org/wiki/Caracas,candidate score 0.59 is below the 6.0 POI threshold; non-POI service or institution rather than a traveler attraction
northamerica/canada/ontario/stcatharines,St. Catharines,St. Catharines,12,62,see,FlixBus,0.59,candidate,has description; high-value type; has external URL,,,Port Dalhousie,northamerica/canada/ontario/stcatharines/port_dalhousie,0.286,,,missing_coordinates; has_external_url,https://www.flixbus.ca/,https://en.wikivoyage.org/wiki/St._Catharines,candidate score 0.59 is below the 6.0 POI threshold; transport operator rather than an attraction POI
europe/unitedkingdom/england/bristol_plymouth_and_the_south_west/swindon,Swindon,Swindon,6,27,do,Shuffle,0.59,candidate,has description; high-value type; has external URL,,,The Beehive,europe/unitedkingdom/england/bristol_plymouth_and_the_south_west/swindon/the_beehive,0.143,,,missing_coordinates; has_external_url,https://www.swindonshuffle.org.uk/,https://en.wikivoyage.org/wiki/Swindon,candidate score 0.59 is below the 6.0 POI threshold; event-only listing rather than a durable POI
europe/norway/oslo,Oslo,Oslo,26,88,do,Inferno,0.59,candidate,has description; high-value type; has external URL,,,Grünerløkka,europe/norway/oslo/grunerlokka,0.333,,,missing_coordinates; has_external_url,https://www.infernofestival.net,https://en.wikivoyage.org/wiki/Oslo,candidate score 0.59 is below the 6.0 POI threshold; event-only listing rather than a durable POI
asia/japan/honshu/osaka,Osaka,Osaka,48,22,see,Subway and bus one-day Passes,0.59,candidate,has description; high-value type; has external URL,,,Osaka Museum of History,asia/japan/honshu/osaka/osaka_museum_history,0.385,,,missing_coordinates; has_external_url,https://osaka-info.jp/information/ticket/travel-passes/index.html,https://en.wikivoyage.org/wiki/Osaka,candidate score 0.59 is below the 6.0 POI threshold; transport operator rather than an attraction POI
