world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url,reject_reason
europe/unitedkingdom/wales/swansea,Swansea,Swansea,33,323,do,South Wales Evening Post Theatre,0.59,candidate,has description; high-value type; strong travel term,,,Swansea Grand Theatre,europe/unitedkingdom/wales/swansea/grand_theatre,0.491,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Swansea,candidate score 0.59 is below the 6.0 POI threshold; missing coordinates and external corroboration in worker CSV
northamerica/unitedstates/southdakota/sturgis,“Sturgis”,Sturgis,5,17,do,Cavalry Days,0.59,candidate,has description; high-value type; strong travel term,,,Fort Meade Cavalry Museum,northamerica/unitedstates/southdakota/sturgis/fort_meade,0.486,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Sturgis,candidate score 0.59 is below the 6.0 POI threshold; missing coordinates and external corroboration in worker CSV
asia/china/heilongjiang/harbin,Harbin,Harbin,7,108,see,Laodaowai,0.59,candidate,has description; high-value type; strong travel term,,,Daoli District,asia/china/heilongjiang/harbin/daoli_district,0.348,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Harbin,candidate score 0.59 is below the 6.0 POI threshold; missing coordinates and external corroboration in worker CSV
africa/tunisia/dougga,Dougga,Dougga,9,14,see,Dar Lacheb.,0.59,candidate,has description; high-value type; strong travel term,,,Arch of Alexander Severus,africa/tunisia/dougga/arch_of_alexander_severus,0.286,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Dougga,candidate score 0.59 is below the 6.0 POI threshold; missing coordinates and external corroboration in worker CSV
northamerica/unitedstates/texas/san_angelo,San Angelo,San Angelo,5,50,see,Old Town – Orient St,0.59,candidate,has description; high-value type; strong travel term,,,Concho River Walk,northamerica/unitedstates/texas/san_angelo/concho_river_walk,0.4,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/San_Angelo,candidate score 0.59 is below the 6.0 POI threshold; missing coordinates and external corroboration in worker CSV
europe/croatia/dubrovnik,Dubrovnik,Dubrovnik,21,80,see,The Ethnographic Museum,0.59,candidate,has description; high-value type; strong travel term,,,Red History Museum,europe/croatia/dubrovnik/red_history_museum,0.541,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Dubrovnik,candidate score 0.59 is below the 6.0 POI threshold; missing coordinates and external corroboration in worker CSV
asia/china/yunnanprovince/lugu_lake,Lugu Lake,Lugu Lake,0,7,do,Gemu Mountain Cable Car,0.59,candidate,has description; high-value type; strong travel term,,,,,0.0,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Lugu_Lake,candidate score 0.59 is below the 6.0 POI threshold; missing coordinates and external corroboration in worker CSV
northamerica/thecaribbean/martinique/fortdefrance,Fort-de-France,Fort-de-France,7,13,see,Cascade Absalon,0.59,candidate,has description; high-value type; strong travel term,,,Cathedral of Saint-Louis,northamerica/thecaribbean/martinique/fortdefrance/cathedral_saint_louis,0.359,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Fort-de-France,candidate score 0.59 is below the 6.0 POI threshold; missing coordinates and external corroboration in worker CSV
europe/france/centre/limousin/limoges,Limoges,Limoges,5,11,see,Châlucet Castle,0.59,candidate,has description; high-value type; strong travel term,,,Rue de la Boucherie,europe/france/centre/limousin/limoges/rue_de_la_boucherie,0.357,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Limoges,candidate score 0.59 is below the 6.0 POI threshold; missing coordinates and external corroboration in worker CSV
southamerica/ecuador/loja,Loja,Loja,7,8,see,Madres Conceptas Museum,0.59,candidate,has description; high-value type; strong travel term,,,Ñaño Casa Museo,southamerica/ecuador/loja/nano_casa_museo,0.514,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Loja,candidate score 0.59 is below the 6.0 POI threshold; missing coordinates and external corroboration in worker CSV
northamerica/unitedstates/oklahoma/norman,Norman,Norman (Oklahoma),11,47,do,The Performing Arts Studio,0.59,candidate,has description; high-value type; strong travel term,,,Oklahoma Memorial Union,northamerica/unitedstates/oklahoma/norman/memorial_union,0.4,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Norman_%28Oklahoma%29,candidate score 0.59 is below the 6.0 POI threshold; missing coordinates and external corroboration in worker CSV
europe/spain/northernspain/astorga,Astorga,Astorga,6,15,see,Church of San Francisco,0.59,candidate,has description; high-value type; strong travel term,,,Cathedral of Astorga,europe/spain/northernspain/astorga/catedral_de_astorga,0.465,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Astorga,candidate score 0.59 is below the 6.0 POI threshold; missing coordinates and external corroboration in worker CSV
europe/portugal/arouca,Arouca,Arouca,10,12,see,Chapel of Santa Casa da Misericórdia,0.59,candidate,has description; high-value type; strong travel term,,,Castro of Monte Valinhas,europe/portugal/arouca/castro_de_monte_valinhas,0.367,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Arouca,candidate score 0.59 is below the 6.0 POI threshold; missing coordinates and external corroboration in worker CSV
southamerica/brazil/tubaro,Tubarão,Tubarão,4,16,see,Municipal Cultural Center,0.59,candidate,has description; high-value type; strong travel term,,,Catedral de Nossa Senhora da Piedade,southamerica/brazil/tubaro/catedral_nossa_senhora_da_piedade,0.345,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Tubar%C3%A3o,candidate score 0.59 is below the 6.0 POI threshold; missing coordinates and external corroboration in worker CSV
europe/portugal/arouca,Arouca,Arouca,10,12,see,Monastery of Arouca,0.59,candidate,has description; high-value type; strong travel term,,,Castro of Monte Valinhas,europe/portugal/arouca/castro_de_monte_valinhas,0.465,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Arouca,candidate score 0.59 is below the 6.0 POI threshold; missing coordinates and external corroboration in worker CSV
europe/azerbaijan/saki,Sheki,Sheki,1,30,see,Cultural and Resting Park of BU M.F. Achundov,0.59,candidate,has description; high-value type; strong travel term,,,Eating Out,europe/azerbaijan/saki/eating_out,0.296,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Sheki,candidate score 0.59 is below the 6.0 POI threshold; missing coordinates and external corroboration in worker CSV
asia/thailand/chantaburi,Chantaburi,Chanthaburi,14,20,see,Old Town at Khai Noen Wong,0.59,candidate,has description; high-value type; strong travel term,,,Wat Phai Lom,asia/thailand/chantaburi/chanta_buri/wat_pak_nam_khaem_nu,0.474,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Chanthaburi,candidate score 0.59 is below the 6.0 POI threshold; missing coordinates and external corroboration in worker CSV
europe/croatia/dubrovnik,Dubrovnik,Dubrovnik,21,80,see,Old Port,0.59,candidate,has description; high-value type; strong travel term,,,Lovrijenac Fortress,europe/croatia/dubrovnik/lovrijenac_fortress,0.37,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Dubrovnik,candidate score 0.59 is below the 6.0 POI threshold; missing coordinates and external corroboration in worker CSV
