world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url,reject_reason
asia/thailand/kanchanaburi,Kanchanaburi,Kanchanaburi,7,41,see,Hellfire Pass,0.59,candidate,has description; high-value type; strong travel term,,,Bridge on the River Kwai,asia/thailand/kanchanaburi/riverkwaibridge,0.242,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Kanchanaburi,candidate score 0.59 is below the 6.0 POI threshold
northamerica/unitedstates/california/centralcoast/oxnard,Oxnard,Oxnard,8,20,do,Multicultural Festival,0.59,candidate,has description; high-value type; strong travel term,,,Channel Islands National Park (Ferry),northamerica/unitedstates/california/centralcoast/oxnard/channel_islands_national_park,0.275,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Oxnard,candidate score 0.59 is below the 6.0 POI threshold
europe/portugal/algarve/carvoeiro,Carvoeiro,Carvoeiro,5,9,see,Shrine of Nossa Senhora da Encarnação,0.59,candidate,has description; high-value type; strong travel term,,,Fort of Our Lady of the Incarnation,europe/portugal/algarve/carvoeiro/fort_carvoeiro,0.507,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Carvoeiro,candidate score 0.59 is below the 6.0 POI threshold
northamerica/unitedstates/pennsylvania/york,York,York (Pennsylvania),5,37,do,Springetsberry Park,0.59,candidate,has description; high-value type; strong travel term,,,York County History Center,northamerica/unitedstates/pennsylvania/york/york_county_history_center,0.356,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/York_%28Pennsylvania%29,candidate score 0.59 is below the 6.0 POI threshold
europe/russia/murmansk,Murmansk,Murmansk,13,21,do,Orthodox Monastery,0.59,candidate,has description; high-value type; strong travel term,,,Cat Semyon Statue,europe/russia/murmansk/cat_semyon_statue,0.457,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Murmansk,candidate score 0.59 is below the 6.0 POI threshold
northamerica/unitedstates/newmexico/cloudcroft,Cloudcroft,Cloudcroft,3,11,do,Zenith Park,0.59,candidate,has description; high-value type; strong travel term,,,The Lodge Resort,northamerica/unitedstates/newmexico/cloudcroft/the_lodge,0.261,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Cloudcroft,candidate score 0.59 is below the 6.0 POI threshold
asia/thailand/songkhla,Songkhla,Songkhla,4,25,see,Institute for Southern Thai Studies,0.59,candidate,has description; high-value type; strong travel term,,,Songkhla National Museum,asia/thailand/songkhla/nationalmuseum,0.305,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Songkhla,candidate score 0.59 is below the 6.0 POI threshold
europe/germany/bavaria/ansbach,Ansbach,Ansbach,6,19,see,Colmberg Castle,0.59,candidate,has description; high-value type; strong travel term,,,Hofgarten,europe/germany/bavaria/ansbach/hofgarten,0.417,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Ansbach,candidate score 0.59 is below the 6.0 POI threshold
northamerica/unitedstates/northdakota/williston,Williston,Williston (North Dakota),8,27,do,Skunk Hollow Shooting Range,0.59,candidate,has description; high-value type; strong travel term,,,Williston Brewing Company,northamerica/unitedstates/northdakota/williston/the_williston_brewing_company,0.385,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Williston_%28North_Dakota%29,candidate score 0.59 is below the 6.0 POI threshold
asia/india/gujarat/surat,Surat,Surat,8,30,see,Sardar Patel Museum,0.59,candidate,has description; high-value type; strong travel term,,,Saraswati Mandir (Narmad House),asia/india/gujarat/surat/saraswati_mandir,0.457,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Surat,candidate score 0.59 is below the 6.0 POI threshold
africa/southafrica/portelizabeth,Port Elizabeth,Port Elizabeth,10,66,do,Surf,0.59,candidate,has description; high-value type; strong travel term,,,South End Museum,africa/southafrica/portelizabeth/south_end_museum,0.2,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Port_Elizabeth,candidate score 0.59 is below the 6.0 POI threshold
northamerica/unitedstates/utah/manti,Manti,Manti,5,8,do,The Arapeen ATV Trail System,0.59,candidate,has description; high-value type; strong travel term,,,Manti Utah Temple,northamerica/unitedstates/utah/manti/manti_utah_temple,0.39,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Manti,candidate score 0.59 is below the 6.0 POI threshold
