world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url,reject_reason
europe/macedonia/ohrid,Ohrid,Ohrid,13,52,do,Labino beach,0.59,candidate,has description; high-value type; strong travel term,,,Plaošnik,europe/macedonia/ohrid/plaosnik,0.4,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Ohrid,candidate score 0.59 is below the 6.0 POI threshold
asia/taiwan/taoyuan,Taoyuan,Taoyuan,9,50,see,Chatian Shan Nature Reserve,0.59,candidate,has description; high-value type; strong travel term,,,Chinese Furniture Museum,asia/taiwan/taoyuan/chinese_furniture_museum,0.549,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Taoyuan,candidate score 0.59 is below the 6.0 POI threshold
europe/ukraine/chernihiv,Chernihiv,Chernihiv,6,39,see,The old Governor Mansion,0.59,candidate,has description; high-value type; strong travel term,,,Black Grave,europe/ukraine/chernihiv/black_grave,0.323,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Chernihiv,candidate score 0.59 is below the 6.0 POI threshold
europe/slovakia/nitra,Nitra,Nitra,6,21,see,The Town House,0.59,candidate,has description; high-value type; strong travel term,,,Ponitrianske Museum,europe/slovakia/nitra/ponitrianske_muzeum,0.414,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Nitra,candidate score 0.59 is below the 6.0 POI threshold
northamerica/thecaribbean/cuba/varadero,Varadero,Varadero,11,9,do,Snorkel in Coral Beach,0.59,candidate,has description; high-value type; strong travel term,,,Santa Elvira Church,northamerica/thecaribbean/cuba/varadero/santa_elvira_church,0.488,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Varadero,candidate score 0.59 is below the 6.0 POI threshold
europe/germany/bavaria/fuerth,Fürth,Fürth,5,33,see,Historic city streets,0.59,candidate,has description; high-value type; strong travel term,,,Jewish Museum Franken,europe/germany/bavaria/fuerth/jewish_museum_franken,0.286,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/F%C3%BCrth,candidate score 0.59 is below the 6.0 POI threshold
europe/denmark/roskilde,Roskilde,Roskilde,20,59,see,Historic granite tiles,0.59,candidate,has description; high-value type; strong travel term,,,St Catherine's Priory,europe/denmark/roskilde/st_catherine_priory,0.372,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Roskilde,candidate score 0.59 is below the 6.0 POI threshold
africa/rwanda/kigali,Kigali,Kigali,17,54,do,Nyandungu Eco-park,0.59,candidate,has description; high-value type; strong travel term,,,Kimironko Market,africa/rwanda/kigali/kimironko_market,0.353,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Kigali,candidate score 0.59 is below the 6.0 POI threshold
asia/palestinianauthority/gazastrip,Gaza Strip,Gaza Strip,11,21,see,Caravanserai of Yūnus al-Dawādār,0.59,candidate,has description; high-value type; strong travel term,,,Qasr al-Basha,asia/palestinianauthority/gazastrip/qasr_al_basha,0.356,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Gaza_Strip,candidate score 0.59 is below the 6.0 POI threshold
northamerica/unitedstates/california/inlandempire/riverside,Riverside,Riverside,7,24,do,Box Springs Mountain Preserve,0.59,candidate,has description; high-value type; strong travel term,,,Downtown Restaurants,northamerica/unitedstates/california/inlandempire/riverside/downtown_restaurants,0.367,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Riverside,candidate score 0.59 is below the 6.0 POI threshold
northamerica/guatemala/flores,Flores,Flores (Guatemala),17,36,do,Swimming,0.59,candidate,has description; high-value type; strong travel term,,,ARCAS Wildlife Rescue,northamerica/guatemala/flores/arcas_wildlife,0.276,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Flores_%28Guatemala%29,candidate score 0.59 is below the 6.0 POI threshold
