world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url,reject_reason
asia/india/tamilnadu/kodaikanal,Kodaikanal,Kodaikanal,12,40,see,Kurinjiandavar Temple,0.59,candidate,has description; high-value type; strong travel term,,,Kodai Lake,asia/india/tamilnadu/kodaikanal/kodai_lake,0.387,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Kodaikanal,candidate score 0.59 is below the 6.0 POI threshold
asia/china/sichuanprovince/kangding,Kangding,Kangding,4,16,see,Mosque,0.59,candidate,has description; high-value type; strong travel term,,,Nanwu Si Monastery,asia/china/sichuanprovince/kangding/nanwu_monastery,0.333,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Kangding,candidate score 0.59 is below the 6.0 POI threshold
europe/belarus/minsk,Minsk,Minsk,27,78,see,Art Palace,0.59,candidate,has description; high-value type; strong travel term,,,Artists Market,europe/belarus/minsk/artistsmarket,0.5,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Minsk,candidate score 0.59 is below the 6.0 POI threshold
africa/equatorialguinea/malabo,Malabo,Malabo,3,12,see,Ilachi Waterfall,0.59,candidate,has description; high-value type; strong travel term,,,Black Beach Prison,africa/equatorialguinea/malabo/black_beach_prison,0.353,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Malabo,candidate score 0.59 is below the 6.0 POI threshold
europe/portugal/arouca,Arouca,Arouca,10,12,do,Cascata da Frecha da Mizarela,0.59,candidate,has description; high-value type; strong travel term,,,Serra da Freita,europe/portugal/arouca/serra_da_freita,0.5,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Arouca,candidate score 0.59 is below the 6.0 POI threshold
southamerica/brazil/joinville,Joinville,Joinville,11,27,see,Zoo and Botanical Gardens,0.59,candidate,has description; high-value type; strong travel term,,,Zoobotânico de Joinville,southamerica/brazil/joinville/zoobotanico,0.478,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Joinville,candidate score 0.59 is below the 6.0 POI threshold
asia/thailand/kohphiphi,Koh Phi Phi,Ko Phi Phi,8,70,see,Ao Ran Ti,0.59,candidate,has description; high-value type; strong travel term,,,Bamboo Island (Ko Pai),asia/thailand/kohphiphi/bamboo_island,0.455,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Ko_Phi_Phi,candidate score 0.59 is below the 6.0 POI threshold
europe/france/alpes/lyon,Lyon,Lyon,21,156,see,Car museum of Rochetaillée,0.59,candidate,has description; high-value type; strong travel term,,,Musée Gallo-Romain de Fourvière,europe/france/alpes/lyon/musee_gallo_romain,0.444,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Lyon,candidate score 0.59 is below the 6.0 POI threshold
europe/greece/mykonos,Mykonos,Mykonos,36,80,see,Tourlos,0.59,candidate,has description; high-value type; strong travel term,,,Delos,europe/greece/mykonos/delos,0.5,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Mykonos,candidate score 0.59 is below the 6.0 POI threshold
northamerica/unitedstates/hawaii/kailua,Kailua-Kona,Kailua-Kona,17,40,see,Hawaii Volcanoes National Park,0.59,candidate,has description; high-value type; strong travel term,,,Kawainui Marsh,northamerica/unitedstates/hawaii/kailua/kawainui_marsh,0.364,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Kailua-Kona,candidate score 0.59 is below the 6.0 POI threshold
asia/malaysia/sibu,Sibu,Sibu,11,15,see,Yu Long Shang Tian En Shi,0.59,candidate,has description; high-value type; strong travel term,,,Lanang Bridge,asia/malaysia/sibu/lanang_bridge,0.421,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Sibu,candidate score 0.59 is below the 6.0 POI threshold
