world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url,reject_reason
europe/austria/klagenfurt,Klagenfurt,Klagenfurt,15,24,see,Lindwurm,0.59,candidate,has description; high-value type; strong travel term,,,Landhaus,europe/austria/klagenfurt/landhaus,0.5,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Klagenfurt,candidate score 0.59 is below the 6.0 POI threshold
asia/india/tamilnadu/coimbatore,Coimbatore,Coimbatore,7,30,see,Anubhavi Subramaniar Temple,0.59,candidate,has description; high-value type; strong travel term,,,Maruthamalai Murugan Temple,asia/india/tamilnadu/coimbatore/maruthamalai_temple,0.519,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Coimbatore,candidate score 0.59 is below the 6.0 POI threshold
europe/estonia/rakvere,Rakvere,Rakvere,7,41,see,Struve Geodetic Arc,0.59,candidate,has description; high-value type; strong travel term,,,Pikk Street,europe/estonia/rakvere/pikk_street,0.4,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Rakvere,candidate score 0.59 is below the 6.0 POI threshold
europe/ukraine/dnepropetrovsk,Dnipro,Dnipro,8,48,see,Temple of Icon of the Divine mother,0.59,candidate,has description; high-value type; strong travel term,,,Preobrazhensky Cathedral,europe/ukraine/dnepropetrovsk/preobrazhensky_cathedral,0.327,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Dnipro,candidate score 0.59 is below the 6.0 POI threshold
northamerica/unitedstates/newhampshire/dover,Dover,Dover (New Hampshire),5,7,do,William Damm Garrison House,0.59,candidate,has description; high-value type; strong travel term,,,Garrison Hill Park and Tower,northamerica/unitedstates/newhampshire/dover/garrison_hill_park,0.436,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Dover_%28New_Hampshire%29,candidate score 0.59 is below the 6.0 POI threshold
africa/morocco/casablanca,Casablanca,Casablanca,11,37,see,Rêve de mon œil,0.59,candidate,has description; high-value type; strong travel term,,,Museum of Moroccan Judaism,africa/morocco/casablanca/museum_of_moroccan_judaism,0.378,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Casablanca,candidate score 0.59 is below the 6.0 POI threshold
europe/italy/campania/sorrento,Sorrento,Sorrento,8,30,see,Valley of the Mills,0.59,candidate,has description; high-value type; strong travel term,,,Vallone dei Mulini,europe/italy/campania/sorrento/vallone_dei_mulini,0.485,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Sorrento,candidate score 0.59 is below the 6.0 POI threshold
asia/china/liaoning/anshan,Anshan,Anshan,4,37,see,Mengtai Park,0.59,candidate,has description; high-value type; strong travel term,,,Angang Steel Works,asia/china/liaoning/anshan/angang_steel_works,0.4,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Anshan,candidate score 0.59 is below the 6.0 POI threshold
europe/france/centre/loirevalley/blois,Blois,Blois,15,6,see,Saint Saturnin's Churchyard,0.59,candidate,has description; high-value type; strong travel term,,,Église Saint-Nicolas,europe/france/centre/loirevalley/blois/eglise_saint_nicolas,0.435,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Blois,candidate score 0.59 is below the 6.0 POI threshold
northamerica/unitedstates/pennsylvania/erie,Erie,Erie,12,36,see,First Presbyterian Church of the Covenant,0.59,candidate,has description; high-value type; strong travel term,,,Erie Land Lighthouse,northamerica/unitedstates/pennsylvania/erie/erie_land_lighthouse,0.281,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Erie,candidate score 0.59 is below the 6.0 POI threshold
northamerica/unitedstates/florida/thepanhandle/apalachicola,Apalachicola,Apalachicola,17,31,see,Battery Park and the City Marina,0.59,candidate,has description; high-value type; strong travel term,,,Apalachicola Maritime Museum,northamerica/unitedstates/florida/thepanhandle/apalachicola/maritime_museum,0.393,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Apalachicola,candidate score 0.59 is below the 6.0 POI threshold
asia/india/karnataka/bijapur,Bijapur,Bijapur (Karnataka),12,33,see,Jahan Begum's Tomb,0.59,candidate,has description; high-value type; strong travel term,,,Jod Gumbaz,asia/india/karnataka/bijapur/jod_gumbaz,0.429,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Bijapur_%28Karnataka%29,candidate score 0.59 is below the 6.0 POI threshold
europe/russia/samara,Samara,Samara,7,48,see,Chapaev Monument,0.59,candidate,has description; high-value type; strong travel term,,,Monument of Glory,europe/russia/samara/monument_of_glory,0.485,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Samara,candidate score 0.59 is below the 6.0 POI threshold
europe/russia/kazan,Kazan,Kazan,45,55,see,Natural History Museum,0.59,candidate,has description; high-value type; strong travel term,,,Soviet Lifestyle Museum,europe/russia/kazan/soviet_lifestyle_museum,0.489,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Kazan,candidate score 0.59 is below the 6.0 POI threshold
europe/georgia/gori,Gori,Gori,3,26,see,Gorijvari,0.59,candidate,has description; high-value type; strong travel term,,,Gori Fortress,europe/georgia/gori/gori_fortress,0.455,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Gori,candidate score 0.59 is below the 6.0 POI threshold
africa/somalia/mogadishu,Mogadishu,Mogadishu,11,28,see,Jaziira Livestock market,0.59,candidate,has description; high-value type; strong travel term,,,Bakaaraha Market,africa/somalia/mogadishu/bakaaraha_market,0.5,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Mogadishu,candidate score 0.59 is below the 6.0 POI threshold
africa/southafrica/capetown,Cape Town,Cape Town,95,187,do,The Amphitheatre in the Kalk Bay mountains,0.59,candidate,has description; high-value type; strong travel term,,,Table Mountain,africa/southafrica/capetown/tablemountain,0.5,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Cape_Town,candidate score 0.59 is below the 6.0 POI threshold
europe/spain/ceuta,Ceuta,Ceuta,11,29,see,Fuerte de Aranguren,0.59,candidate,has description; high-value type; strong travel term,,,Cervecería del Estrecho,europe/spain/ceuta/cervecería_del_estrecho,0.364,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Ceuta,candidate score 0.59 is below the 6.0 POI threshold
europe/greece/thessaloniki,Thessaloniki,Thessaloniki,37,92,see,Bedesten,0.59,candidate,has description; high-value type; strong travel term,,,The Umbrellas,europe/greece/thessaloniki/umbrellas_sculpture,0.353,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Thessaloniki,candidate score 0.59 is below the 6.0 POI threshold
northamerica/unitedstates/oklahoma/shawnee,Shawnee,Shawnee,3,39,do,Briscoe Rotary Boy Scout Park,0.59,candidate,has description; high-value type; strong travel term,,,Mabee-Gerrer Museum of Art,northamerica/unitedstates/oklahoma/shawnee/mabee_gerrer_museum,0.291,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Shawnee,candidate score 0.59 is below the 6.0 POI threshold
asia/iraq/mosul,Mosul,Mosul,11,34,see,Nebi Yunus,0.59,candidate,has description; high-value type; strong travel term,,,Beit al-Tutunji,asia/iraq/mosul/beit_al_tutunji,0.4,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Mosul,candidate score 0.59 is below the 6.0 POI threshold
asia/philippines/negrosisland/silay,Silay,Silay,10,17,see,Mt. Patag,0.59,candidate,has description; high-value type; strong travel term,,,Magikland,asia/philippines/negrosisland/silay/magikland,0.353,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Silay,candidate score 0.59 is below the 6.0 POI threshold
northamerica/mexico/chichenitza,Chichen Itza,Chichen Itza,0,27,see,Interior Temple,0.59,candidate,has description; high-value type; strong travel term,,,,,0.0,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Chichen_Itza,candidate score 0.59 is below the 6.0 POI threshold
europe/faroeislands/torshavn,Tórshavn,Tórshavn,14,17,do,Faroese Music Gallery,0.59,candidate,has description; high-value type; strong travel term,,,National Art Gallery (Listasavn Føroya),europe/faroeislands/torshavn/national_art_gallery,0.488,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/T%C3%B3rshavn,candidate score 0.59 is below the 6.0 POI threshold
europe/germany/lowersaxony/goettingen,Göttingen,Göttingen,16,37,see,St. Michael Kirche,0.59,candidate,has description; high-value type; strong travel term,,,Johanniskirche,europe/germany/lowersaxony/goettingen/johanniskirche,0.516,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/G%C3%B6ttingen,candidate score 0.59 is below the 6.0 POI threshold
europe/italy/puglia/polignano_a_mare,Polignano a Mare,Polignano a Mare,7,20,see,Palazzo dell'Orologio,0.59,candidate,has description; high-value type; strong travel term,,,Grotta Palazzese,europe/italy/puglia/polignano_a_mare/grotta_palazzese,0.378,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Polignano_a_Mare,candidate score 0.59 is below the 6.0 POI threshold
southamerica/brazil/paranagu,Paranaguá,Paranaguá,10,16,see,Mathias Böhn Palace,0.59,candidate,has description; high-value type; strong travel term,,,Danúbio Azul,southamerica/brazil/paranagu/danubio_azul,0.323,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Paranagu%C3%A1,candidate score 0.59 is below the 6.0 POI threshold
northamerica/unitedstates/idaho/sunvalley,Sun Valley,Sun Valley (Idaho),13,34,do,Wagon Days,0.59,candidate,has description; high-value type; strong travel term,,,The Roundhouse,northamerica/unitedstates/idaho/sunvalley/the_roundhouse,0.4,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Sun_Valley_%28Idaho%29,candidate score 0.59 is below the 6.0 POI threshold
asia/kazakhstan/almaty,Almaty,Almaty,20,51,see,Natural History Museum,0.59,candidate,has description; high-value type; strong travel term,,,Central State Museum of Kazakhstan,asia/kazakhstan/almaty/central_state_museum,0.536,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Almaty,candidate score 0.59 is below the 6.0 POI threshold
europe/russia/yaroslavl,Yaroslavl,Yaroslavl,5,7,see,Private Museum: Music and Time,0.59,candidate,has description; high-value type; strong travel term,,,Yaroslavl Art Museum,europe/russia/yaroslavl/yaroslavl_art_museum,0.367,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Yaroslavl,candidate score 0.59 is below the 6.0 POI threshold
europe/spain/catalonia/terrassa,Terrassa,Terrassa,9,9,see,Tower of the Palau,0.59,candidate,has description; high-value type; strong travel term,,,Terrassa Cathedral (Sant Esperit),europe/spain/catalonia/terrassa/terrassa_cathedral,0.375,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Terrassa,candidate score 0.59 is below the 6.0 POI threshold
europe/azerbaijan/saki,Sheki,Sheki,1,30,see,World War II Memorial,0.59,candidate,has description; high-value type; strong travel term,,,Eating Out,europe/azerbaijan/saki/eating_out,0.129,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Sheki,candidate score 0.59 is below the 6.0 POI threshold
asia/china/sichuanprovince/kangding,Kangding,Kangding,4,16,see,Old Town Spring,0.59,candidate,has description; high-value type; strong travel term,,,Nanwu Si Monastery,asia/china/sichuanprovince/kangding/nanwu_monastery,0.303,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Kangding,candidate score 0.59 is below the 6.0 POI threshold
asia/philippines/mindanaoisland/cagayandeoro,Cagayan de Oro,Cagayan de Oro,7,63,see,Monigue Cave,0.59,candidate,has description; high-value type; strong travel term,,,Saint Augustine Metropolitan Cathedral,asia/philippines/mindanaoisland/cagayandeoro/saint_augustine_cathedral,0.32,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Cagayan_de_Oro,candidate score 0.59 is below the 6.0 POI threshold
