world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url,reject_reason
asia/turkey/antalya,Antalya,Antalya,50,44,see,Zeytintaşı Cave,0.56,candidate,has coordinates; high-value type; strong travel term,37.0469,31.1106,Karain Cave,asia/turkey/antalya/karain_cave,0.583,48.987,40.361,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Antalya,candidate score 0.56 is below the 6.0 POI threshold
asia/vietnam/haiphong,Haiphong,Haiphong,15,19,see,Kiep Bac Temple,0.56,candidate,has coordinates; high-value type; strong travel term,21.151056,106.327556,Nghe Temple,asia/vietnam/haiphong/nghe_temple,0.615,49.826,48.669,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Haiphong,candidate score 0.56 is below the 6.0 POI threshold
africa/sierraleone/freetown,Freetown,Freetown,35,49,see,Black Johnson Beach,0.56,candidate,has coordinates; high-value type; strong travel term,8.2731,-13.1677,Lakka Beach,africa/sierraleone/freetown/lakka_beach,0.6,16.892,25.415,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Freetown,candidate score 0.56 is below the 6.0 POI threshold
asia/turkey/kackar/rize,Rize,Rize,5,7,see,Seyh Mosque,0.56,candidate,has coordinates; high-value type; strong travel term,41.0251,40.5164,Ziraat Tea Garden,asia/turkey/kackar/rize/ziraat_tea_garden,0.68,0.32,31.805,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Rize,candidate score 0.56 is below the 6.0 POI threshold
europe/unitedkingdom/scotland/ayr,Ayr,Ayr (Scotland),8,36,see,Loch Doon Castle,0.56,candidate,has coordinates; high-value type; strong travel term,55.226,-4.3849,Culzean Castle,europe/unitedkingdom/scotland/ayr/culzean_castle,0.6,29.231,30.062,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Ayr_%28Scotland%29,candidate score 0.56 is below the 6.0 POI threshold
europe/romania/arad,Arad,Arad (Romania),4,24,see,Șoimoș Fortress,0.56,candidate,has coordinates; high-value type; strong travel term,46.096344,21.683392,Fortress of Arad,europe/romania/arad/fortress_of_arad,0.552,28.331,29.374,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Arad_%28Romania%29,candidate score 0.56 is below the 6.0 POI threshold
europe/spain/palencia,Palencia,Palencia,6,13,see,Church of San Lázaro,0.56,candidate,has coordinates; high-value type; strong travel term,42.0095,-4.5296,Iglesia de San Pablo,europe/spain/palencia/san_pablo_church,0.657,0.343,45.059,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Palencia,candidate score 0.56 is below the 6.0 POI threshold
northamerica/unitedstates/florida/ormond_beach,Ormond Beach,Ormond Beach,5,44,see,Riverbend Community Church,0.55,candidate,high-value type; has external URL; strong travel term,,,Ormond Beach Oceanfront,northamerica/unitedstates/florida/ormond_beach/ormond_beach_strand,0.286,,,missing_coordinates; has_external_url,http://www.riverbendchurch.com/,https://en.wikivoyage.org/wiki/Ormond_Beach,candidate score 0.55 is below the 6.0 POI threshold
europe/luxembourg/echternach,Echternach,Echternach,10,20,see,Museum of rural architecture,0.55,candidate,high-value type; has external URL; strong travel term,,,Musee de l'Abbaye,europe/luxembourg/echternach/musee_de_labbaye,0.429,,,missing_coordinates; has_external_url,http://www.doppeladler.eu,https://en.wikivoyage.org/wiki/Echternach,candidate score 0.55 is below the 6.0 POI threshold
europe/ukraine/kyiv,Kyiv,Kyiv,52,205,see,Krishna's Lucidity 'Big' temple,0.55,candidate,high-value type; has external URL; strong travel term,,,Khreshchatyy Park,europe/ukraine/kyiv/khreshchatyk_park,0.391,,,missing_coordinates; has_external_url,https://krishna.ua,https://en.wikivoyage.org/wiki/Kyiv,candidate score 0.55 is below the 6.0 POI threshold
northamerica/unitedstates/michigan/marquette,Marquette,Marquette (Michigan),7,42,see,Beaumier Heritage Center,0.55,candidate,high-value type; has external URL; strong travel term,,,Marquette Maritime Museum,northamerica/unitedstates/michigan/marquette/marquette_maritime_museum,0.367,,,missing_coordinates; has_external_url,http://www.nmu.edu/beaumierheritagecenter/node/7,https://en.wikivoyage.org/wiki/Marquette_%28Michigan%29,candidate score 0.55 is below the 6.0 POI threshold
