world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url,reject_reason
southamerica/bolivia/cochabamba,Cochabamba,Cochabamba,5,48,do,Jacarandá,0.55,candidate,has description; high-value type,,,Chicharronería Doña Pola,southamerica/bolivia/cochabamba/dona_pola,0.357,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Cochabamba,candidate score 0.55 is below the 6.0 POI threshold
southamerica/brazil/campinas,Campinas,Campinas,8,95,see,Solar do Visconde de Indaiatuba,0.55,candidate,has description; high-value type,,,Estádio Brinco de Ouro da Princesa,southamerica/brazil/campinas/estadio_brinco_de_ouro,0.373,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Campinas,candidate score 0.55 is below the 6.0 POI threshold
southamerica/peru/cajamarca,Cajamarca,Cajamarca,6,12,do,Llacanora,0.55,candidate,has description; high-value type,,,Plaza de Armas,southamerica/peru/cajamarca/plaza_de_armas,0.4,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Cajamarca,candidate score 0.55 is below the 6.0 POI threshold
asia/bangladesh/rajshahi,Rajshahi,Rajshahi,5,23,see,Shrine of Hazrat Shah Makhdum(Rh.),0.55,candidate,has description; high-value type,,,Varendra Research Museum,asia/bangladesh/rajshahi/varendra_research_museum,0.415,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Rajshahi,candidate score 0.55 is below the 6.0 POI threshold
northamerica/mexico/chichenitza,Chichen Itza,Chichen Itza,0,27,see,Great Ballcourt,0.55,candidate,has description; high-value type,,,,,0.0,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Chichen_Itza,candidate score 0.55 is below the 6.0 POI threshold
northamerica/unitedstates/texas/san_angelo,San Angelo,San Angelo,5,50,see,Tom Green County Courthouse,0.55,candidate,has description; high-value type,,,Fort Concho,northamerica/unitedstates/texas/san_angelo/fort_concho,0.474,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/San_Angelo,candidate score 0.55 is below the 6.0 POI threshold
africa/kenya/thecoast/mombasa,Mombasa,Mombasa,20,137,see,Committee for disaster management,0.55,candidate,has description; high-value type,,,Bombolulu Workshops and Cultural Centre,africa/kenya/thecoast/mombasa/bombolulu_workshops,0.389,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Mombasa,candidate score 0.55 is below the 6.0 POI threshold
asia/oman/musandampeninsula/khasab,Khasab,Khasab,4,38,see,Flying to Muscat,0.55,candidate,has description; high-value type,,,Dhow Cruise Through the Khors,asia/oman/musandampeninsula/khasab/dhow_cruise,0.293,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Khasab,candidate score 0.55 is below the 6.0 POI threshold
europe/portugal/lisbon,Lisbon,Lisbon,55,57,see,Palestinian Authority,0.55,candidate,has description; high-value type,,,LX Factory,europe/portugal/lisbon/lx_factory,0.452,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Lisbon,candidate score 0.55 is below the 6.0 POI threshold
asia/india/himachalpradesh/manali,Manali,Manali,10,47,see,Rozy Falls,0.55,candidate,has description; high-value type,,,Solang Valley,asia/india/himachalpradesh/manali/solang_valley,0.435,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Manali,candidate score 0.55 is below the 6.0 POI threshold
australiaandpacific/australia/newsouthwales/byronbay,Byron Bay,Byron Bay,7,35,do,Circus arts,0.55,candidate,has description; high-value type,,,Julian Rocks (Nguthungulli),australiaandpacific/australia/newsouthwales/byronbay/julian_rocks,0.348,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Byron_Bay,candidate score 0.55 is below the 6.0 POI threshold
asia/china/hunan/yueyang,Yueyang,Yueyang,4,21,see,Zhangguying village,0.55,candidate,has description; high-value type,,,Junshan Island,asia/china/hunan/yueyang/junshan_island,0.424,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Yueyang,candidate score 0.55 is below the 6.0 POI threshold
