world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url,reject_reason
northamerica/unitedstates/northcarolina/asheville,Asheville,Asheville,20,153,see,World Coffee Cafe,0.55,candidate,has description; high-value type,,,Grove Arcade,northamerica/unitedstates/northcarolina/asheville/grove_arcade,0.483,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Asheville,candidate score 0.55 is below the 6.0 POI threshold
australiaandpacific/newzealand/kerikeri,Kerikeri,Kerikeri,5,31,see,Steam Driven Sawmill,0.55,candidate,has description; high-value type,,,St James' Church,australiaandpacific/newzealand/kerikeri/st_james_church,0.343,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Kerikeri,candidate score 0.55 is below the 6.0 POI threshold
northamerica/elsalvador/sanmiguel,San Miguel,San Miguel (El Salvador),5,13,do,Kayaking,0.55,candidate,has description; high-value type,,,Catedral de San Miguel,northamerica/elsalvador/sanmiguel/catedral_de_san_miguel,0.296,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/San_Miguel_%28El_Salvador%29,candidate score 0.55 is below the 6.0 POI threshold
europe/germany/saxonyanhalt/wernigerode,Wernigerode,Wernigerode,9,54,do,Armeleuteberg,0.55,candidate,has description; high-value type,,,Kleinstes Haus (Smallest House),europe/germany/saxonyanhalt/wernigerode/kleinste_haus,0.296,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Wernigerode,candidate score 0.55 is below the 6.0 POI threshold
asia/india/kerala/kollam,Kollam,Kollam,7,40,see,Chavara,0.55,candidate,has description; high-value type,,,Chinnakada Clock Tower,asia/india/kerala/kollam/chinnakada_clock_tower,0.345,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Kollam,candidate score 0.55 is below the 6.0 POI threshold
asia/thailand/surat_thani,Surat Thani,Surat Thani,3,147,do,Chak Phra Festival,0.55,candidate,has description; high-value type,,,Chaiya and the Srivijaya Temples,asia/thailand/surat_thani/chaiya_srivijaya_temples,0.435,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Surat_Thani,candidate score 0.55 is below the 6.0 POI threshold
europe/denmark/fredericia,Fredericia,Fredericia,9,20,see,The City Walls,0.55,candidate,has description; high-value type,,,Trinity Church (Trinitatis Kirke),europe/denmark/fredericia/trinity_church,0.333,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Fredericia,candidate score 0.55 is below the 6.0 POI threshold
europe/greece/rhodes/lindos,Lindos,Lindos,10,10,see,Kleoboulous's tomb,0.55,candidate,has description; high-value type,,,St Paul's Bay,europe/greece/rhodes/lindos/st_pauls_bay,0.387,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Lindos,candidate score 0.55 is below the 6.0 POI threshold
southamerica/colombia/villadeleyva,Villa de Leyva,Villa de Leyva,14,26,do,Granja de avestruces,0.55,candidate,has description; high-value type,,,La Gran Mojarra,southamerica/colombia/villadeleyva/gran_mojarra,0.483,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Villa_de_Leyva,candidate score 0.55 is below the 6.0 POI threshold
asia/india/sikkim/gangtok,Gangtok,Gangtok,8,29,see,Guru Lhakhang,0.55,candidate,has description; high-value type,,,Tsuklakhang Royal Chapel,asia/india/sikkim/gangtok/tsuklakhang_palace,0.432,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Gangtok,candidate score 0.55 is below the 6.0 POI threshold
asia/iraq/basra,Basra,Basra,6,29,see,Badr Shakir al-Sayyab Home,0.55,candidate,has description; high-value type,,,Shatt al-Arab Corniche,asia/iraq/basra/shatt_al_arab_corniche,0.542,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Basra,candidate score 0.55 is below the 6.0 POI threshold
northamerica/unitedstates/ohio/kent,Kent,Kent (Ohio),8,75,see,Ravenna,0.55,candidate,has description; high-value type,,,Ray's Place,northamerica/unitedstates/ohio/kent/rays_place,0.333,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Kent_%28Ohio%29,candidate score 0.55 is below the 6.0 POI threshold
africa/morocco/rabat,Rabat,Rabat,16,61,see,Goethe Institut,0.55,candidate,has description; high-value type,,,Restaurant Saadi,africa/morocco/rabat/restaurant_saadi,0.323,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Rabat,candidate score 0.55 is below the 6.0 POI threshold
europe/slovenia/piran,Piran,Piran,14,26,do,Watch the Sunset,0.55,candidate,has description; high-value type,,,Maritime Museum,europe/slovenia/piran/maritime_museum,0.444,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Piran,candidate score 0.55 is below the 6.0 POI threshold
asia/india/maharashtra/ratnagiri,Ratnagiri,Ratnagiri,5,9,see,Bhatyachi Khadi- Khadi,0.55,candidate,has description; high-value type,,,Bhatye Beach,asia/india/maharashtra/ratnagiri/bhatye_beach,0.485,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Ratnagiri,candidate score 0.55 is below the 6.0 POI threshold
australiaandpacific/australia/victoria/melbourne,Melbourne,Melbourne,60,30,see,HiSpeed Internet Kiosks,0.55,candidate,has description; high-value type,,,Supper Inn,australiaandpacific/australia/victoria/melbourne/supper_inn,0.424,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Melbourne,candidate score 0.55 is below the 6.0 POI threshold
asia/china/hainanisland/wenchang,Wenchang,Wenchang,4,11,do,Abalone Farm,0.55,candidate,has description; high-value type,,,Wenchang Confucius Temple,asia/china/hainanisland/wenchang/wenchang_confucius_temple,0.27,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Wenchang,candidate score 0.55 is below the 6.0 POI threshold
europe/unitedkingdom/wales/swansea,Swansea,Swansea,33,323,see,National Cycle Route 43,0.55,candidate,has description; high-value type,,,National Waterfront Museum,europe/unitedkingdom/wales/swansea/national_waterfront_museum,0.49,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Swansea,candidate score 0.55 is below the 6.0 POI threshold
southamerica/paraguay/ciudaddeleste,Ciudad del Este,Ciudad del Este,4,23,see,Special visit to the dam,0.55,candidate,has description; high-value type,,,Itaipú Dam,southamerica/paraguay/ciudaddeleste/itaipu_dam,0.414,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Ciudad_del_Este,candidate score 0.55 is below the 6.0 POI threshold
europe/italy/sicily/pantelleria,Pantelleria,Pantelleria,12,5,see,Sesi,0.55,candidate,has description; high-value type,,,Sesi di Mursia,europe/italy/sicily/pantelleria/sesi_di_mursia,0.444,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Pantelleria,candidate score 0.55 is below the 6.0 POI threshold
asia/china/liaoning/fushun,Fushun,Fushun,6,29,see,Xilutian Mine,0.55,candidate,has description; high-value type,,,Dahuofang Reservoir,asia/china/liaoning/fushun/dahuofang_reservoir,0.312,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Fushun,candidate score 0.55 is below the 6.0 POI threshold
asia/china/sichuanprovince/kangding,Kangding,Kangding,4,16,see,Town Square,0.55,candidate,has description; high-value type,,,Nanwu Si Monastery,asia/china/sichuanprovince/kangding/nanwu_monastery,0.345,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Kangding,candidate score 0.55 is below the 6.0 POI threshold
asia/china/guangxi/yangshuo,Yangshuo,Yangshuo,8,70,do,Bamboo Rafting,0.55,candidate,has description; high-value type,,,Rock Climbing,asia/china/guangxi/yangshuo/rock_climbing,0.37,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Yangshuo,candidate score 0.55 is below the 6.0 POI threshold
northamerica/mexico/guadalajara,Guadalajara,Guadalajara,43,110,do,Christmas,0.55,candidate,has description; high-value type,,,Centro Histórico,northamerica/mexico/guadalajara/centro_historico_neighbourhood,0.4,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Guadalajara,candidate score 0.55 is below the 6.0 POI threshold
europe/spain/spanishcostas/altea,Altea,Altea,8,28,do,Moros i Cristians,0.55,candidate,has description; high-value type,,,Plaza de la Iglesia Terraces,europe/spain/spanishcostas/altea/plaza_iglesia_terraces,0.308,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Altea,candidate score 0.55 is below the 6.0 POI threshold
asia/indonesia/kalimantan/balikpapan,Balikpapan,Balikpapan,4,33,see,Hutan Lindung Sungai Wain,0.55,candidate,has description; high-value type,,,Bukit Bangkirai Rainforest,asia/indonesia/kalimantan/balikpapan/bukit_bangkirai,0.431,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Balikpapan,candidate score 0.55 is below the 6.0 POI threshold
southamerica/bolivia/samaipata,Samaipata,Samaipata,2,11,see,Animal refugio,0.55,candidate,has description; high-value type,,,Amboró National Park,southamerica/bolivia/samaipata/amboro_national_park,0.364,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Samaipata,candidate score 0.55 is below the 6.0 POI threshold
europe/finland/helsinki,Helsinki,Helsinki,56,99,do,Juhannus,0.55,candidate,has description; high-value type,,,Jugendsali,europe/finland/helsinki/jugendsali,0.444,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Helsinki,candidate score 0.55 is below the 6.0 POI threshold
europe/serbia/kosovoprovince/gjakova,Gjakova,Gjakova,5,58,see,Shkodra,0.55,candidate,has description; high-value type,,,Ethnographic Museum,europe/serbia/kosovoprovince/gjakova/ethnographic_museum,0.308,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Gjakova,candidate score 0.55 is below the 6.0 POI threshold
northamerica/unitedstates/oregon/newport,Newport,Newport (Oregon),11,18,see,Wax Works,0.55,candidate,has description; high-value type,,,Yaquina Bay Lighthouse,northamerica/unitedstates/oregon/newport/yaquina_bay_light,0.258,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Newport_%28Oregon%29,candidate score 0.55 is below the 6.0 POI threshold
europe/ukraine/chernihiv,Chernihiv,Chernihiv,6,39,see,House of Lyzohuba (House of Mazepy),0.55,candidate,has description; high-value type,,,Catherine's Church,europe/ukraine/chernihiv/catherines_church,0.343,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Chernihiv,candidate score 0.55 is below the 6.0 POI threshold
northamerica/unitedstates/idaho/sunvalley,Sun Valley,Sun Valley (Idaho),13,34,see,The world's first chairlifts,0.55,candidate,has description; high-value type,,,Bald Mountain,northamerica/unitedstates/idaho/sunvalley/bald_mountain,0.324,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Sun_Valley_%28Idaho%29,candidate score 0.55 is below the 6.0 POI threshold
asia/japan/honshu/osaka,Osaka,Osaka,48,22,see,ICOCA smart card,0.55,candidate,has description; high-value type,,,Nakanoshima Park,asia/japan/honshu/osaka/nakanoshima_park,0.438,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Osaka,candidate score 0.55 is below the 6.0 POI threshold
asia/myanmar/yangon,Yangon,Yangon,21,140,see,Shoes,0.55,candidate,has description; high-value type,,,The Strand Hotel,asia/myanmar/yangon/strand_hotel,0.471,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Yangon,candidate score 0.55 is below the 6.0 POI threshold
africa/ivorycoast/grandbassam,Grand-Bassam,Grand-Bassam,8,18,do,Fête de l`Abissa,0.55,candidate,has description; high-value type,,,Historic Town of Grand-Bassam,africa/ivorycoast/grandbassam/historic_town,0.429,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Grand-Bassam,candidate score 0.55 is below the 6.0 POI threshold
asia/china/xinjiangprovince/cherchen,Cherchen,Cherchen,3,11,see,Tazhong Oil Field,0.55,candidate,has description; high-value type,,,Molcha River Petroglyphs,asia/china/xinjiangprovince/cherchen/molcha_river_petroglyphs,0.293,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Cherchen,candidate score 0.55 is below the 6.0 POI threshold
northamerica/unitedstates/oklahoma/okmulgee,Okmulgee,Okmulgee,5,6,see,Street signs in the Muskogee language,0.55,candidate,has description; high-value type,,,College of the Muscogee Nation,northamerica/unitedstates/oklahoma/okmulgee/college_of_muscogee_nation,0.475,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Okmulgee,candidate score 0.55 is below the 6.0 POI threshold
northamerica/thecaribbean/cuba/varadero,Varadero,Varadero,11,9,do,Seafari Cayo Blanco,0.55,candidate,has description; high-value type,,,Varadero Beach,northamerica/thecaribbean/cuba/varadero/varadero_beach,0.485,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Varadero,candidate score 0.55 is below the 6.0 POI threshold
australiaandpacific/australia/queensland/gladstone,Gladstone,Gladstone (Queensland),3,13,see,Gladstone Power Station,0.55,candidate,has description; high-value type,,,Gladstone Regional Art Gallery and Museum,australiaandpacific/australia/queensland/gladstone/gladstone_art_gallery,0.438,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Gladstone_%28Queensland%29,candidate score 0.55 is below the 6.0 POI threshold
asia/philippines/cavite,Cavite,Cavite,9,6,see,Rare black-sand beaches,0.55,candidate,has description; high-value type,,,Binakayan Battle Site,asia/philippines/cavite/binakayan_battle_site,0.455,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Cavite,candidate score 0.55 is below the 6.0 POI threshold
europe/serbia/kosovoprovince/gjakova,Gjakova,Gjakova,5,58,see,White Drin Canyon,0.55,candidate,has description; high-value type,,,Saint Anthony's Church,europe/serbia/kosovoprovince/gjakova/saint_anthonys_church,0.359,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Gjakova,candidate score 0.55 is below the 6.0 POI threshold
northamerica/unitedstates/texas/southpadreisland,South Padre Island,South Padre Island,0,39,do,The Original Dolphin Watch,0.55,candidate,has description; high-value type,,,,,0.0,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/South_Padre_Island,candidate score 0.55 is below the 6.0 POI threshold
europe/ukraine/kamianetstpodilskyi,Kamianets-Podilskyi,Kamianets-Podilskyi,6,32,see,Osavulovoys House,0.55,candidate,has description; high-value type,,,Polish Gate,europe/ukraine/kamianetstpodilskyi/polish_gate,0.357,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Kamianets-Podilskyi,candidate score 0.55 is below the 6.0 POI threshold
europe/spain/catalonia/olot,Olot,Olot,13,10,see,Bisaroques tower,0.55,candidate,has description; high-value type,,,Croscat Volcano,europe/spain/catalonia/olot/croscat_volcano,0.323,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Olot,candidate score 0.55 is below the 6.0 POI threshold
southamerica/chile/santiago,Santiago,Santiago,50,20,do,Vineyards,0.55,candidate,has description; high-value type,,,Vitacura,southamerica/chile/santiago/vitacura,0.471,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Santiago,candidate score 0.55 is below the 6.0 POI threshold
asia/oman/salalah,Salalah,Salalah,9,48,do,Salalah Tourism Festival,0.55,candidate,has description; high-value type,,,Salalah Museum,asia/oman/salalah/salalah_museum,0.526,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Salalah,candidate score 0.55 is below the 6.0 POI threshold
africa/ethiopia/axum,Axum,Axum,8,13,see,Lioness of Gobodra,0.55,candidate,has description; high-value type,,,Temple of Yeha,africa/ethiopia/axum/yeha_temple,0.375,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Axum,candidate score 0.55 is below the 6.0 POI threshold
asia/india/maharashtra/nashik,Nashik,Nashik,5,73,see,Dharmachakra Jain Mandir,0.55,candidate,has description; high-value type,,,Trimbakeshwar,asia/india/maharashtra/nashik/trimbakeshwar_tri,0.324,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Nashik,candidate score 0.55 is below the 6.0 POI threshold
asia/china/guangxi/xingping,Xingping,Xingping,4,11,see,Bird's View Pavilion,0.55,candidate,has description; high-value type,,,Twenty-Yuan Banknote Viewpoint,asia/china/guangxi/xingping/twenty_yuan_viewpoint,0.36,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Xingping,candidate score 0.55 is below the 6.0 POI threshold
asia/srilanka/arugam_bay,Arugam Bay,Arugam Bay,8,14,do,Surfing,0.55,candidate,has description; high-value type,,,Arugam Point,asia/srilanka/arugam_bay/arugam_point,0.316,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Arugam_Bay,candidate score 0.55 is below the 6.0 POI threshold
