world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url,reject_reason
northamerica/unitedstates/nevada/lasvegas,Las Vegas,Las Vegas,110,27,see,Spring Mountains,0.55,candidate,has description; high-value type,,,Mount Charleston,northamerica/unitedstates/nevada/lasvegas/mt_charleston,0.438,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Las_Vegas,candidate score 0.55 is below the 6.0 POI threshold
asia/india/haryana/kurukshetra,Kurukshetra,Kurukshetra,8,16,see,Chatti Patshahi Gurudwara,0.55,candidate,has description; high-value type,,,Sannihit Sarovar,asia/india/haryana/kurukshetra/sannihit_sarovar,0.39,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Kurukshetra,candidate score 0.55 is below the 6.0 POI threshold
northamerica/mexico/mexicali,Mexicali,Mexicali,10,68,see,Laguna Salada and La Rumorosa,0.55,candidate,has description; high-value type,,,Catedral de Nuestra Señora de Guadalupe,northamerica/mexico/mexicali/catedral_guadalupe,0.339,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Mexicali,candidate score 0.55 is below the 6.0 POI threshold
asia/china/jiangsu_province/suzhou,Suzhou,Suzhou,17,93,see,Wuzhong District,0.55,candidate,has description; high-value type,,,Shantang Street,asia/china/jiangsu_province/suzhou/shantang_street,0.516,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Suzhou,candidate score 0.55 is below the 6.0 POI threshold
northamerica/unitedstates/northcarolina/waynesville,Waynesville,Waynesville (North Carolina),6,14,see,Frank Smathers House,0.55,candidate,has description; high-value type,,,Haywood County Courthouse,northamerica/unitedstates/northcarolina/waynesville/haywood_county_courthouse,0.311,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Waynesville_%28North_Carolina%29,candidate score 0.55 is below the 6.0 POI threshold
europe/portugal/ponte_de_lima,Ponte de Lima,Ponte de Lima,7,17,see,Igreja Matriz,0.55,candidate,has description; high-value type,,,Diogo Bernardes Theatre,europe/portugal/ponte_de_lima/diogo_bernardes_theatre,0.333,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Ponte_de_Lima,candidate score 0.55 is below the 6.0 POI threshold
africa/cameroon/yaound,Yaoundé,Yaoundé,13,116,see,Fondation Ad Lucem,0.55,candidate,has description; high-value type,,,Musée National du Cameroun,africa/cameroon/yaound/musee_national,0.488,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Yaound%C3%A9,candidate score 0.55 is below the 6.0 POI threshold
asia/india/punjab/kapurthala,Kapurthala,Kapurthala,3,6,see,Gurudwara Ber Sahib,0.55,candidate,has description; high-value type,,,Panch Mandir,asia/india/punjab/kapurthala/panch_mandir,0.194,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Kapurthala,candidate score 0.55 is below the 6.0 POI threshold
northamerica/unitedstates/california/burlingame,Burlingame,Burlingame,4,32,see,Live Jazz,0.55,candidate,has description; high-value type,,,Burlingame Avenue,northamerica/unitedstates/california/burlingame/burlingame_avenue,0.385,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Burlingame,candidate score 0.55 is below the 6.0 POI threshold
southamerica/chile/copiapo,Copiapó,Copiapó,16,9,see,Cerro La Cruz,0.55,candidate,has description; high-value type,,,La Terraza,southamerica/chile/copiapo/la_terraza_copiapo,0.471,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Copiap%C3%B3,candidate score 0.55 is below the 6.0 POI threshold
europe/germany/schleswigholstein/kiel,Kiel,Kiel,8,68,see,Antikensammlung,0.55,candidate,has description; high-value type,,,Holtenau Locks,europe/germany/schleswigholstein/kiel/holtenau_locks,0.345,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Kiel,candidate score 0.55 is below the 6.0 POI threshold
