world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url,reject_reason
northamerica/unitedstates/washington/spokane,Spokane,Spokane,11,51,see,Spokane House Interpretive Center,0.55,candidate,has description; high-value type,,,Monroe Street Bridge,northamerica/unitedstates/washington/spokane/monroe_street_bridge,0.415,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Spokane,candidate score 0.55 is below the 6.0 POI threshold
europe/ukraine/ivanofrankivsk,Ivano-Frankivsk,Ivano-Frankivsk,9,103,see,White Building,0.55,candidate,has description; high-value type,,,City Lake (Misky Stavok),europe/ukraine/ivanofrankivsk/city_lake,0.348,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Ivano-Frankivsk,candidate score 0.55 is below the 6.0 POI threshold
northamerica/unitedstates/florida/northeastflorida/staugustine,St. Augustine,St. Augustine,11,75,do,Easter Parade,0.55,candidate,has description; high-value type,,,Anastasia State Park,northamerica/unitedstates/florida/northeastflorida/staugustine/anastasia_state_park,0.485,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/St._Augustine,candidate score 0.55 is below the 6.0 POI threshold
europe/slovenia/novo_mesto,Novo Mesto,Novo Mesto,6,10,see,Zeleznik Joze,0.55,candidate,has description; high-value type,,,Dolenjska Museum,europe/slovenia/novo_mesto/dolenjska_museum,0.345,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Novo_Mesto,candidate score 0.55 is below the 6.0 POI threshold
europe/germany/bavaria/nuremberg,Nuremberg,Nuremberg,26,125,do,Nuremberg Carnival (Fastnachtszug),0.55,candidate,has description; high-value type,,,Schöner Brunnen,europe/germany/bavaria/nuremberg/schoener_brunnen,0.364,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Nuremberg,candidate score 0.55 is below the 6.0 POI threshold
europe/germany/northrhinewestphalia/bonn,Bonn,Bonn,19,96,see,ICE 720 > RB 26,0.55,candidate,has description; high-value type,,,Alter Zoll,europe/germany/northrhinewestphalia/bonn/alterzoll,0.261,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Bonn,candidate score 0.55 is below the 6.0 POI threshold
europe/portugal/ponte_de_lima,Ponte de Lima,Ponte de Lima,7,17,see,Capela do Anjo da Guarda,0.55,candidate,has description; high-value type,,,Bertiandos and São Pedro de Arcos Lagoons,europe/portugal/ponte_de_lima/bertiandos_lagoons,0.452,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Ponte_de_Lima,candidate score 0.55 is below the 6.0 POI threshold
europe/spain/spanishcostas/calpe,Calpe,Calpe,4,30,do,Moros i Cristians,0.55,candidate,has description; high-value type,,,Banos de la Reina,europe/spain/spanishcostas/calpe/banos_de_la_reina,0.429,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Calpe,candidate score 0.55 is below the 6.0 POI threshold
asia/china/guangdong/qingyuan,Qingyuan,Qingyuan,5,20,see,Glass Bridge,0.55,candidate,has description; high-value type,,,Feilai Temple,asia/china/guangdong/qingyuan/feilai_temple,0.32,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Qingyuan,candidate score 0.55 is below the 6.0 POI threshold
europe/bulgaria/varna,Varna,Varna,14,24,see,Dragons in Love fountain,0.55,candidate,has description; high-value type,,,Roman Ruins Under a Cafe Floor,europe/bulgaria/varna/roman_ruins_starbucks,0.423,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Varna,candidate score 0.55 is below the 6.0 POI threshold
africa/cameroon/yaound,Yaoundé,Yaoundé,13,116,see,Institut Pasteur,0.55,candidate,has description; high-value type,,,Benedictine Monastery of Mont Fébé,africa/cameroon/yaound/benedictine_monastery,0.367,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Yaound%C3%A9,candidate score 0.55 is below the 6.0 POI threshold
