world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url,reject_reason
northamerica/unitedstates/california/centralcoast/santabarbara,Santa Barbara,Santa Barbara,28,107,do,Surfing,0.55,candidate,has description; high-value type,,,Cold Spring Tavern,northamerica/unitedstates/california/centralcoast/santabarbara/cold_spring_tavern,0.4,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Santa_Barbara,candidate score 0.55 is below the 6.0 POI threshold
northamerica/unitedstates/california/big_bear_lake,Big Bear Lake,Big Bear Lake,3,19,see,Holcomb Valley,0.55,candidate,has description; high-value type,,,Big Bear Solar Observatory,northamerica/unitedstates/california/big_bear_lake/solar_observatory,0.3,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Big_Bear_Lake,candidate score 0.55 is below the 6.0 POI threshold
asia/china/guangxi/yangshuo,Yangshuo,Yangshuo,8,70,do,Yangshuo Basecamp,0.55,candidate,has description; high-value type,,,Yulong River,asia/china/guangxi/yangshuo/yulong_river,0.345,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Yangshuo,candidate score 0.55 is below the 6.0 POI threshold
asia/philippines/vigan,Vigan,Vigan,7,42,see,Dominion bus lines,0.55,candidate,has description; high-value type,,,Plaza Burgos Stalls,asia/philippines/vigan/plaza_burgos_stalls,0.324,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Vigan,candidate score 0.55 is below the 6.0 POI threshold
southamerica/brazil/olinda,“Olinda”,Olinda,12,21,see,Banco do Brasil,0.55,candidate,has description; high-value type,,,Alto da Sé,southamerica/brazil/olinda/alto_da_se,0.5,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Olinda,candidate score 0.55 is below the 6.0 POI threshold
southamerica/argentina/patagonia/calafate,El Calafate,El Calafate,6,22,do,4x4 excursions,0.55,candidate,has description; high-value type,,,Perito Moreno Glacier,southamerica/argentina/patagonia/calafate/perito_moreno_glacier,0.286,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/El_Calafate,candidate score 0.55 is below the 6.0 POI threshold
northamerica/mexico/campeche,Campeche,Campeche,4,22,see,Puerta del Mar,0.55,candidate,has description; high-value type,,,Fuerte de San Miguel,northamerica/mexico/campeche/fuerte_de_san_miguel,0.519,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Campeche,candidate score 0.55 is below the 6.0 POI threshold
europe/hungary/esztergom,Esztergom,Esztergom,6,86,see,Decorated Baroque houses,0.55,candidate,has description; high-value type,,,Esztergom Basilica,europe/hungary/esztergom/esztergom_basilica,0.333,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Esztergom,candidate score 0.55 is below the 6.0 POI threshold
asia/myanmar/inlelake,Inle Lake,Inle Lake,1,42,see,Internet @ iNet,0.55,candidate,has description; high-value type,,,Shwe Inn Thein,asia/myanmar/inlelake/shwe_inn_thein,0.37,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Inle_Lake,candidate score 0.55 is below the 6.0 POI threshold
northamerica/mexico/puertoescondido,Puerto Escondido,Puerto Escondido,11,40,do,Deep Blue,0.55,candidate,has description; high-value type,,,Playa Bacocho,northamerica/mexico/puertoescondido/playa_bacocho,0.273,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Puerto_Escondido,candidate score 0.55 is below the 6.0 POI threshold
africa/egypt/aswan,Aswan,Aswan,15,35,do,Camel rides,0.55,candidate,has description; high-value type,,,Nubian House Restaurant,africa/egypt/aswan/nubian_house_restaurant,0.353,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Aswan,candidate score 0.55 is below the 6.0 POI threshold
northamerica/unitedstates/ohio/cleveland,Cleveland,Cleveland,59,29,see,Sun Newspapers,0.55,candidate,has description; high-value type,,,Touch Supper Club,northamerica/unitedstates/ohio/cleveland/touch_supper_club,0.387,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Cleveland,candidate score 0.55 is below the 6.0 POI threshold
europe/ireland/dublin,Dublin,Dublin,132,173,see,Russia,0.55,candidate,has description; high-value type,,,Mulligans,europe/ireland/dublin/mulligans,0.4,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Dublin,candidate score 0.55 is below the 6.0 POI threshold
northamerica/unitedstates/vermont/burlington,Burlington,Burlington (Vermont),8,85,see,Waterfront,0.55,candidate,has description; high-value type,,,Burlington Waterfront and Bike Path,northamerica/unitedstates/vermont/burlington/waterfront_park,0.444,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Burlington_%28Vermont%29,candidate score 0.55 is below the 6.0 POI threshold
asia/thailand/pai,Pai,Pai,11,33,do,Tubing,0.55,candidate,has description; high-value type,,,Pai River Rafting,asia/thailand/pai/pai_river_rafting,0.348,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Pai,candidate score 0.55 is below the 6.0 POI threshold
