world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url,reject_reason
northamerica/thecaribbean/martinique/saintpierre,Saint-Pierre,Saint-Pierre (Martinique),12,8,do,TropicaSub,0.55,candidate,has description; high-value type,,,Le Fromager,northamerica/thecaribbean/martinique/saintpierre/le_fromager,0.333,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Saint-Pierre_%28Martinique%29,candidate score 0.55 is below the 6.0 POI threshold
asia/indonesia/pontianak,Pontianak,Pontianak,8,18,see,Radakng House,0.55,candidate,has description; high-value type,,,Jami Mosque (Sultan Syarif Abdurrahman Mosque),asia/indonesia/pontianak/jami_mosque,0.417,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Pontianak,candidate score 0.55 is below the 6.0 POI threshold
northamerica/unitedstates/colorado/vail,Vail,Vail,12,77,do,One Track Mind,0.55,candidate,has description; high-value type,,,Gore Creek Trail,northamerica/unitedstates/colorado/vail/gore_creek_trail,0.467,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Vail,candidate score 0.55 is below the 6.0 POI threshold
europe/spain/spanishcostas/alicante,Alicante,Alicante,8,74,do,Epifanía,0.55,candidate,has description; high-value type,,,Explanada de España,europe/spain/spanishcostas/alicante/explanada_de_espana,0.4,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Alicante,candidate score 0.55 is below the 6.0 POI threshold
europe/germany/badenwrttemberg/stuttgart,Stuttgart,Stuttgart,27,176,do,Schelmenklinge,0.55,candidate,has description; high-value type,,,Porsche Museum,europe/germany/badenwrttemberg/stuttgart/porschemuseum,0.429,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Stuttgart,candidate score 0.55 is below the 6.0 POI threshold
northamerica/unitedstates/vermont/burlington,Burlington,Burlington (Vermont),8,85,do,First Night,0.55,candidate,has description; high-value type,,,Fleming Museum of Art,northamerica/unitedstates/vermont/burlington/fleming_museum,0.312,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Burlington_%28Vermont%29,candidate score 0.55 is below the 6.0 POI threshold
asia/iran/tabriz,Tabriz,Tabriz,25,46,see,Deniz Internet Cafe,0.55,candidate,has description; high-value type,,,Armenian Quarter,asia/iran/tabriz/jolfa_armenian_quarter,0.4,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Tabriz,candidate score 0.55 is below the 6.0 POI threshold
asia/myanmar/bagan,Bagan,Bagan,15,57,see,E-bike,0.55,candidate,has description; high-value type,,,Nyaung-U Market,asia/myanmar/bagan/nyaung_u_market,0.286,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Bagan,candidate score 0.55 is below the 6.0 POI threshold
europe/bulgaria/vratza,Vratsa,Vratsa,2,20,see,Tower of the Meshchii,0.55,candidate,has description; high-value type,,,Eating Out,europe/bulgaria/vratza/eating_out,0.222,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Vratsa,candidate score 0.55 is below the 6.0 POI threshold
asia/china/hubei/huanggang,Huanggang,Huanggang,4,29,see,Xishui County,0.55,candidate,has description; high-value type,,,Tiantangzhai Mountain,asia/china/hubei/huanggang/tiantangzhai,0.471,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Huanggang,candidate score 0.55 is below the 6.0 POI threshold
northamerica/canada/alberta/lake_louise,Lake Louise,Lake Louise,11,22,do,Ice skate,0.55,candidate,has description; high-value type,,,Prairie Birds,northamerica/canada/alberta/prairiebirds,0.364,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Lake_Louise,candidate score 0.55 is below the 6.0 POI threshold
europe/greece/crete/lassithi_plateau,Lassithi plateau,Lasithi Plateau,1,5,do,Spathi,0.55,candidate,has description; high-value type,,,Diktaean Cave,europe/greece/crete/lassithi_plateau/diktaean_cave,0.105,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Lasithi_Plateau,candidate score 0.55 is below the 6.0 POI threshold
africa/cameroon/yaound,Yaoundé,Yaoundé,13,116,do,YAFE,0.55,candidate,has description; high-value type,,,La Fourchette,africa/cameroon/yaound/la_fourchette,0.286,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Yaound%C3%A9,candidate score 0.55 is below the 6.0 POI threshold
africa/kenya/thecoast/mombasa,Mombasa,Mombasa,20,137,do,Marathon and triathlon,0.55,candidate,has description; high-value type,,,Tamarind Restaurant,africa/kenya/thecoast/mombasa/tamarind_restaurant,0.439,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Mombasa,candidate score 0.55 is below the 6.0 POI threshold
europe/belgium/brussels,Brussels,Brussels,14,68,see,Brussels International,0.55,candidate,has description; high-value type,,,Royal Saint-Hubert Galleries,europe/belgium/brussels/galeries_saint_hubert,0.44,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Brussels,candidate score 0.55 is below the 6.0 POI threshold
asia/vietnam/danang,Da Nang,Da Nang,4,80,see,Hoàng Gia,0.55,candidate,has description; high-value type,,,Museum of Cham Sculpture,asia/vietnam/danang/museum_of_cham_sculpture,0.182,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Da_Nang,candidate score 0.55 is below the 6.0 POI threshold
northamerica/unitedstates/connecticut/new_london,New London,New London (Connecticut),6,18,do,Caruso Music,0.55,candidate,has description; high-value type,,,New London Customs House,northamerica/unitedstates/connecticut/new_london/new_london_customhouse,0.389,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/New_London_%28Connecticut%29,candidate score 0.55 is below the 6.0 POI threshold
asia/philippines/samarisland/borongan,Borongan,Borongan,3,22,do,Soccer,0.55,candidate,has description; high-value type,,,Cabong Beach,asia/philippines/samarisland/borongan/cabong_beach,0.222,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Borongan,candidate score 0.55 is below the 6.0 POI threshold
