world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url,reject_reason
northamerica/unitedstates/iowa/desmoines,Des Moines,Des Moines,20,131,do,Des Moines Arts Festival,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Des Moines Art Center,northamerica/unitedstates/iowa/desmoines/des_moines_art_center,0.703,,,missing_coordinates; has_external_url,http://desmoinesartsfestival.org/,https://en.wikivoyage.org/wiki/Des_Moines,candidate score 0.48 is below the 6.0 POI threshold
northamerica/unitedstates/newmexico/santafe,Santa Fe,Santa Fe (New Mexico),34,136,do,Santa Fe International Folk Art Market,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Museum of International Folk Art,northamerica/unitedstates/newmexico/santafe/folk_art_museum,0.714,,,missing_coordinates; has_external_url,http://www.folkartmarket.org,https://en.wikivoyage.org/wiki/Santa_Fe_%28New_Mexico%29,candidate score 0.48 is below the 6.0 POI threshold
asia/india/maharashtra/mumbai,Mumbai,Mumbai,93,62,do,Kala Ghoda Festival,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Kala Ghoda Arts District,asia/india/maharashtra/mumbai/kala_ghoda,0.651,,,missing_coordinates; has_external_url,http://www.kalaghodaassociation.com/,https://en.wikivoyage.org/wiki/Mumbai,candidate score 0.48 is below the 6.0 POI threshold
europe/unitedkingdom/scotland/standrews1,St. Andrews,St Andrews,21,28,see,St Andrews Heritage Museum and Gardens,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,St Andrews Botanic Garden,europe/unitedkingdom/scotland/standrews1/st_andrews_botanic_garden,0.667,,,missing_coordinates; has_external_url,https://standrewsmuseum.com/,https://en.wikivoyage.org/wiki/St_Andrews,candidate score 0.48 is below the 6.0 POI threshold
europe/unitedkingdom/england/birmingham_and_west_midlands/coventry,Coventry,Coventry,16,65,do,Coventry RFC,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Coventry Cathedral,europe/unitedkingdom/england/birmingham_and_west_midlands/coventry/coventry_cathedral,0.667,,,missing_coordinates; has_external_url,https://www.coventryrugby.co.uk/,https://en.wikivoyage.org/wiki/Coventry,candidate score 0.48 is below the 6.0 POI threshold
europe/unitedkingdom/england/bristol_plymouth_and_the_south_west/bristol,Bristol,Bristol,31,168,see,Brandon Hill & The Cabot Tower,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Cabot Tower,europe/unitedkingdom/england/bristol_plymouth_and_the_south_west/bristol/cabottower,0.564,,,missing_coordinates; has_external_url,https://www.bristol.gov.uk/museums-parks-sports-culture/brandon-hill,https://en.wikivoyage.org/wiki/Bristol,candidate score 0.48 is below the 6.0 POI threshold
northamerica/unitedstates/indiana/south_bend,South Bend,South Bend,9,77,do,South Bend Greenhouse,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,South Bend Museum of Art,northamerica/unitedstates/indiana/south_bend/south_bend_museum_of_art,0.622,,,missing_coordinates; has_external_url,https://www.potawatomiconservatories.org/explore,https://en.wikivoyage.org/wiki/South_Bend,candidate score 0.48 is below the 6.0 POI threshold
northamerica/thecaribbean/puertorico/bayamon,Bayamón,Bayamón,11,40,see,Casa Museo Dr. José Celso Barbosa,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,José Celso Barbosa House Museum,northamerica/thecaribbean/puertorico/bayamon/jose_celso_barbosa_house,0.557,,,missing_coordinates; has_external_url,https://www.municipiodebayamon.com/,https://en.wikivoyage.org/wiki/Bayam%C3%B3n,candidate score 0.48 is below the 6.0 POI threshold
europe/ukraine/kyiv,Kyiv,Kyiv,52,205,see,Pechersk Lavra fortification,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Kyiv Pechersk Lavra,europe/ukraine/kyiv/kyiv_pechersk_lavra,0.596,,,missing_coordinates; has_external_url,https://www.encyclopediaofukraine.com/display.asp?AddButton=pages\K\Y\KyivanCaveFortress.htm,https://en.wikivoyage.org/wiki/Kyiv,candidate score 0.48 is below the 6.0 POI threshold
northamerica/unitedstates/florida/ormond_beach,Ormond Beach,Ormond Beach,5,44,see,Ormond Beach Chamber of Commerce,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Ormond Beach Oceanfront,northamerica/unitedstates/florida/ormond_beach/ormond_beach_strand,0.582,,,missing_coordinates; has_external_url,http://www.ormondchamber.com/,https://en.wikivoyage.org/wiki/Ormond_Beach,candidate score 0.48 is below the 6.0 POI threshold
asia/vietnam/hochiminhcity,Ho Chi Minh City,Ho Chi Minh City,56,178,see,Xá Lợi Pagoda,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Giac Lam Pagoda,asia/vietnam/hochiminhcity/giaclampagoda,0.667,,,missing_coordinates; has_external_url,https://chuaxaloi.vn/,https://en.wikivoyage.org/wiki/Ho_Chi_Minh_City,candidate score 0.48 is below the 6.0 POI threshold
