world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url,reject_reason
northamerica/unitedstates/texas/austin,Austin,Austin,45,55,do,Teatro Vivo,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Treaty Oak,northamerica/unitedstates/texas/austin/treaty_oak,0.571,,,missing_coordinates; has_external_url,http://teatrovivo.org,https://en.wikivoyage.org/wiki/Austin,candidate score 0.48 is below the 6.0 POI threshold
northamerica/unitedstates/california/goldcountry/sacramento,Sacramento,Sacramento,60,75,do,Sacramento Gold Rush Days,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Sacramento River Cruise,northamerica/unitedstates/california/goldcountry/sacramento/sacramento_river_cruise,0.625,,,missing_coordinates; has_external_url,https://www.parks.ca.gov/?page_id=24650,https://en.wikivoyage.org/wiki/Sacramento,candidate score 0.48 is below the 6.0 POI threshold
europe/switzerland/solothurn,Solothurn,Solothurn,4,75,do,Solothurner Chästag,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Solothurn Cathedral,europe/switzerland/solothurn/solothurn_cathedral,0.632,,,missing_coordinates; has_external_url,https://www.solothurn-city.ch/en/events/main-events/the-9th-solothurn-cheese-day.5566.html,https://en.wikivoyage.org/wiki/Solothurn,candidate score 0.48 is below the 6.0 POI threshold
northamerica/unitedstates/california/inlandempire/riverside,Riverside,Riverside,7,24,see,March Field Air Museum,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Riverside Art Museum,northamerica/unitedstates/california/inlandempire/riverside/riverside_art_museum,0.667,,,missing_coordinates; has_external_url,https://www.marchfield.org/,https://en.wikivoyage.org/wiki/Riverside,candidate score 0.48 is below the 6.0 POI threshold
europe/sweden/stockholm,Stockholm,Stockholm,56,118,do,Under the bridges of Stockholm,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Museum of Medieval Stockholm,europe/sweden/stockholm/museum_medieval,0.556,,,missing_coordinates; has_external_url,http://www.stromma.se/en/stockholm/sightseeing/sightseeing-by-boat/under-the-bridges-of-stockholm/,https://en.wikivoyage.org/wiki/Stockholm,candidate score 0.48 is below the 6.0 POI threshold
australiaandpacific/australia/westernaustralia/albany,Albany,Albany (Western Australia),15,46,see,The Princess Royal Fortress and National ANZAC Centre,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Princess Royal Fortress,australiaandpacific/australia/westernaustralia/albany/princess_royal_fortress,0.639,,,missing_coordinates; has_external_url,http://www.nationalanzaccentre.com.au/visit/princess-royal-fortress,https://en.wikivoyage.org/wiki/Albany_%28Western_Australia%29,candidate score 0.48 is below the 6.0 POI threshold
europe/serbia/belgrade,Belgrade,Belgrade,16,93,see,Ivo Andric Museum,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Military Museum,europe/serbia/belgrade/moranbong_war_museum,0.562,,,missing_coordinates; has_external_url,http://www.mgb.org.rs/,https://en.wikivoyage.org/wiki/Belgrade,candidate score 0.48 is below the 6.0 POI threshold
asia/china/liaoning/fushun,Fushun,Fushun,6,29,see,Hetuala City or Xing City,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Hetuala Old City (Xingjing),asia/china/liaoning/fushun/hetuala_old_city,0.683,,,missing_coordinates; has_external_url,http://www.lnhtal.com.cn,https://en.wikivoyage.org/wiki/Fushun,candidate score 0.48 is below the 6.0 POI threshold
northamerica/unitedstates/alaska/fairbanks,Fairbanks,Fairbanks,17,56,see,Pioneer Museum,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Pioneer Park,northamerica/unitedstates/alaska/fairbanks/pioneer_park,0.615,,,missing_coordinates; has_external_url,https://pioneersofalaskafairbanks.org/pioneer-museum,https://en.wikivoyage.org/wiki/Fairbanks,candidate score 0.48 is below the 6.0 POI threshold
asia/turkey/amasya,Amasya,Amasya,9,29,see,Miniature Museum,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Amasya Museum,asia/turkey/amasya/amasya_museum,0.552,,,missing_coordinates; has_external_url,http://www.amasya.gov.tr/minyatur-amasya-muzesi,https://en.wikivoyage.org/wiki/Amasya,candidate score 0.48 is below the 6.0 POI threshold
northamerica/unitedstates/michigan/flint,Flint,Flint,14,27,do,Sloan Museum Summer Auto Fair,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Sloan Museum of Discovery,northamerica/unitedstates/michigan/flint/sloan_museum,0.593,,,missing_coordinates; has_external_url,https://sloanautofair.com/,https://en.wikivoyage.org/wiki/Flint,candidate score 0.48 is below the 6.0 POI threshold
