world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url,reject_reason
europe/czechrepublic/prague,Prague,Prague,58,35,do,Prague Steam Boats,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Prague Castle,europe/czechrepublic/prague/prague_castle,0.645,,,missing_coordinates; has_external_url,https://www.praguesteamboats.com,https://en.wikivoyage.org/wiki/Prague,candidate score 0.48 is below the 6.0 POI threshold
europe/netherlands/deventer,Deventer,Deventer,13,32,see,Toy Museum,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Speelgoedmuseum (Toy Museum),europe/netherlands/deventer/speelgoedmuseum,0.56,,,missing_coordinates; has_external_url,https://hetspeelgoedmuseum.nl/en/,https://en.wikivoyage.org/wiki/Deventer,candidate score 0.48 is below the 6.0 POI threshold
africa/southafrica/capetown,Cape Town,Cape Town,95,187,do,Hoerikwaggo Table Mountain Trail,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Table Mountain,africa/southafrica/capetown/tablemountain,0.609,,,missing_coordinates; has_external_url,http://www.sanparks.org/parks/table_mountain/ht/,https://en.wikivoyage.org/wiki/Cape_Town,candidate score 0.48 is below the 6.0 POI threshold
northamerica/thecaribbean/barbados/bridgetown,Bridgetown,Bridgetown,19,19,see,Parliament,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Parliament Buildings,northamerica/thecaribbean/barbados/bridgetown/parliament_buildings,0.667,,,missing_coordinates; has_external_url,https://www.barbadosparliament.com/,https://en.wikivoyage.org/wiki/Bridgetown,candidate score 0.48 is below the 6.0 POI threshold
europe/spain/northernspain/gijon,Gijón,Gijón,10,24,see,Evaristo Valle Museum,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Juan Barjola Museum,europe/spain/northernspain/gijon/juan_barjola_museum,0.55,,,missing_coordinates; has_external_url,https://evaristovalle.com/,https://en.wikivoyage.org/wiki/Gij%C3%B3n,candidate score 0.48 is below the 6.0 POI threshold
northamerica/unitedstates/oklahoma/broken_arrow,Broken Arrow,Broken Arrow,3,22,do,Rooster Days,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,The Rose District,northamerica/unitedstates/oklahoma/broken_arrow/rose_district,0.56,,,missing_coordinates; has_external_url,https://www.roosterdays.com/,https://en.wikivoyage.org/wiki/Broken_Arrow,candidate score 0.48 is below the 6.0 POI threshold
northamerica/unitedstates/pennsylvania/carlisle,Carlisle,Carlisle (Pennsylvania),14,9,do,Carlisle Theatre,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Carlisle Farmers Market,northamerica/unitedstates/pennsylvania/carlisle/carlisle_farmers_market,0.615,,,missing_coordinates; has_external_url,https://carlisletheatre.org/,https://en.wikivoyage.org/wiki/Carlisle_%28Pennsylvania%29,candidate score 0.48 is below the 6.0 POI threshold
northamerica/unitedstates/florida/delray_beach,Delray Beach,Delray Beach,17,40,do,Delray Yacht Cruises,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Delray Wreck (SS Inchulva),northamerica/unitedstates/florida/delray_beach/delray_wreck,0.562,,,missing_coordinates; has_external_url,http://www.delraybeachcruises.com,https://en.wikivoyage.org/wiki/Delray_Beach,candidate score 0.48 is below the 6.0 POI threshold
northamerica/unitedstates/arkansas/fortsmith,Fort Smith,Fort Smith,6,28,do,Fort Smith Fall Festival,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Fort Smith National Historic Site,northamerica/unitedstates/arkansas/fortsmith/fort_smith_national_historic_site,0.561,,,missing_coordinates; has_external_url,https://fortsmith.org/2023-fort-smith-fall-festival,https://en.wikivoyage.org/wiki/Fort_Smith,candidate score 0.48 is below the 6.0 POI threshold
northamerica/unitedstates/oregon/sunriver,Sunriver,Sunriver (Oregon),5,17,see,Sunriver Towncar,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Sunriver Nature Center,northamerica/unitedstates/oregon/sunriver/sunriver_nature_center,0.632,,,missing_coordinates; has_external_url,https://sunrivertowncarandtours.com/,https://en.wikivoyage.org/wiki/Sunriver_%28Oregon%29,candidate score 0.48 is below the 6.0 POI threshold
europe/norway/tromso,Tromsø,Tromsø,8,63,do,Tromsø Villmarkssenter,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Tromsø Cathedral,europe/norway/tromso/tromso_cathedral,0.556,,,missing_coordinates; has_external_url,http://www.villmarkssenter.no,https://en.wikivoyage.org/wiki/Troms%C3%B8,candidate score 0.48 is below the 6.0 POI threshold
