world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url,reject_reason
asia/israel/jerusalem,Jerusalem,Jerusalem,39,15,see,Rockefeller Museum,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Rockefeller Archaeological Museum,asia/israel/jerusalem/rockefeller_museum,0.706,,,missing_coordinates; has_external_url,http://www.imj.org.il/rockefeller/index.html,https://en.wikivoyage.org/wiki/Jerusalem,candidate score 0.48 is below the 6.0 POI threshold
europe/france/midi/cotedazur/nice,Nice,Nice,42,76,do,Opéra Nice Côte d'Azur,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Opéra de Nice,europe/france/midi/cotedazur/nice/nice_opera,0.625,,,missing_coordinates; has_external_url,http://www.opera-nice.org/,https://en.wikivoyage.org/wiki/Nice,candidate score 0.48 is below the 6.0 POI threshold
europe/unitedkingdom/england/bristol_plymouth_and_the_south_west/bristol,Bristol,Bristol,31,168,do,Bristol Improv Theatre,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Bristol Cathedral,europe/unitedkingdom/england/bristol_plymouth_and_the_south_west/bristol/bristol_cathedral,0.615,,,missing_coordinates; has_external_url,https://improvtheatre.co.uk/,https://en.wikivoyage.org/wiki/Bristol,candidate score 0.48 is below the 6.0 POI threshold
northamerica/unitedstates/california/inlandempire/temecula,Temecula,Temecula,17,26,do,The Temecula Rod Run,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Temecula Valley Museum,northamerica/unitedstates/california/inlandempire/temecula/temecula_valley_museum,0.579,,,missing_coordinates; has_external_url,https://temeculaca.gov/991/Temecula-Rod-Run,https://en.wikivoyage.org/wiki/Temecula,candidate score 0.48 is below the 6.0 POI threshold
europe/unitedkingdom/wales/colwyn_bay,Colwyn Bay,Colwyn Bay,9,16,do,Theatre Colwyn,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Old Colwyn,europe/unitedkingdom/wales/colwyn_bay/old_colwyn,0.583,,,missing_coordinates; has_external_url,http://www.theatrcolwyn.co.uk/,https://en.wikivoyage.org/wiki/Colwyn_Bay,candidate score 0.48 is below the 6.0 POI threshold
northamerica/unitedstates/california/sandiego,San Diego,San Diego,58,25,see,Go San Diego Card,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Mission San Diego de Alcalá,northamerica/unitedstates/california/sandiego/mission_san_diego,0.7,,,missing_coordinates; has_external_url,http://www.gosandiegocard.com/,https://en.wikivoyage.org/wiki/San_Diego,candidate score 0.48 is below the 6.0 POI threshold
northamerica/unitedstates/newyorkstate/rochester,Rochester,Rochester (New York),13,238,do,Rochester Pride,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Rochester Public Market,northamerica/unitedstates/newyorkstate/rochester/rochester_public_market,0.684,,,missing_coordinates; has_external_url,https://www.trilliumhealth.org/patient-and-community-services/pride,https://en.wikivoyage.org/wiki/Rochester_%28New_York%29,candidate score 0.48 is below the 6.0 POI threshold
europe/bulgaria/sofia,Sofia,Sofia,32,113,see,Earth and Man National Museum,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,National History Museum,europe/bulgaria/sofia/national_history_museum,0.577,,,missing_coordinates; has_external_url,https://www.earthandman.org/language/en/front/,https://en.wikivoyage.org/wiki/Sofia,candidate score 0.48 is below the 6.0 POI threshold
europe/spain/centralspain/valladolid,Valladolid,Valladolid (Spain),14,24,see,Cervantes Museum,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Casa de Cervantes,europe/spain/centralspain/valladolid/casa_de_cervantes,0.6,,,missing_coordinates; has_external_url,https://www.cultura.gob.es/museocasacervantes/portada.html,https://en.wikivoyage.org/wiki/Valladolid_%28Spain%29,candidate score 0.48 is below the 6.0 POI threshold
europe/poland/torun,Toruń,Toruń,6,59,do,Copernicon,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Copernicus House,europe/poland/torun/copernicus_house,0.692,,,missing_coordinates; has_external_url,https://pl-pl.facebook.com/copernicon.torun/,https://en.wikivoyage.org/wiki/Toru%C5%84,candidate score 0.48 is below the 6.0 POI threshold
northamerica/unitedstates/newyorkstate/adirondacks/plattsburgh,Plattsburgh,Plattsburgh,11,30,see,Hartman Theatre,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Strand Theater,northamerica/unitedstates/newyorkstate/adirondacks/plattsburgh/strand_theater,0.69,,,missing_coordinates; has_external_url,http://web.plattsburgh.edu/academics/theatre/,https://en.wikivoyage.org/wiki/Plattsburgh,candidate score 0.48 is below the 6.0 POI threshold
africa/southafrica/pretoria,Pretoria,Pretoria,12,120,see,Pioneer Museum,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Correctional Services Museum,africa/southafrica/pretoria/correctional_services_museum,0.571,,,missing_coordinates; has_external_url,https://ditsong.org.za,https://en.wikivoyage.org/wiki/Pretoria,candidate score 0.48 is below the 6.0 POI threshold
europe/unitedkingdom/scotland/fraserburgh,Fraserburgh,Fraserburgh,4,14,see,Fraserburgh Heritage Centre,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Fraserburgh Bay Beach,europe/unitedkingdom/scotland/fraserburgh/fraseburgh_bay_bea,0.625,,,missing_coordinates; has_external_url,http://www.fraserburghheritage.com/,https://en.wikivoyage.org/wiki/Fraserburgh,candidate score 0.48 is below the 6.0 POI threshold
northamerica/unitedstates/california/goldcountry/murphys,Murphys,Murphys,5,10,do,Murphys Irish Day,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Murphys Hotel,northamerica/unitedstates/california/goldcountry/murphys/murphys_hotel,0.6,,,missing_coordinates; has_external_url,https://visitmurphys.com/murphys-irish-day/,https://en.wikivoyage.org/wiki/Murphys,candidate score 0.48 is below the 6.0 POI threshold
