world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url,reject_reason
asia/china/beijing,Beijing,Beijing,50,94,see,Argentina,0.47,candidate,high-value type,,,Sanlitun,asia/china/beijing/sanlitun,0.471,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Beijing,candidate score 0.47 is below the 6.0 POI threshold
northamerica/unitedstates/northcarolina/asheville,Asheville,Asheville,20,153,do,Lake Julian,0.47,candidate,high-value type,,,Pack Square,northamerica/unitedstates/northcarolina/asheville/pack_square,0.455,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Asheville,candidate score 0.47 is below the 6.0 POI threshold
asia/philippines/rizal,Rizal,Rizal,10,13,see,Baras,0.47,candidate,high-value type,,,Blanco Family Museum,asia/philippines/rizal/blanco_family_museum,0.32,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Rizal,candidate score 0.47 is below the 6.0 POI threshold
northamerica/unitedstates/georgia/atlanta,Atlanta,Atlanta,42,53,see,Ecuador,0.47,candidate,high-value type,,,CNN Studio Tour,northamerica/unitedstates/georgia/atlanta/cnn_studio_tour,0.455,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Atlanta,candidate score 0.47 is below the 6.0 POI threshold
europe/russia/moscow,Moscow,Moscow,32,143,see,Gabon,0.47,candidate,high-value type,,,Arbat,europe/russia/moscow/arbat,0.4,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Moscow,candidate score 0.47 is below the 6.0 POI threshold
europe/spain/andalucia/sanlcar,Sanlúcar de Barrameda,Sanlúcar de Barrameda,7,15,do,Feria de Andalucia,0.47,candidate,high-value type,,,Castillo de Santiago,europe/spain/andalucia/sanlcar/castillo_de_santiago,0.375,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Sanl%C3%BAcar_de_Barrameda,candidate score 0.47 is below the 6.0 POI threshold
asia/thailand/bangkok,Bangkok,Bangkok,108,116,see,Holy See,0.47,candidate,high-value type,,,Nakhon Kasem (Thieves' Market),asia/thailand/bangkok/nakhon_kasem,0.5,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Bangkok,candidate score 0.47 is below the 6.0 POI threshold
southamerica/brazil/mariana,Mariana,Mariana,3,33,see,Igreja Matriz Nossa Senhora da Glória,0.47,candidate,high-value type,,,Cathedral da Sé (Nossa Senhora da Assunção),southamerica/brazil/mariana/cathedral_da_se,0.353,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Mariana,candidate score 0.47 is below the 6.0 POI threshold
northamerica/unitedstates/georgia/atlanta,Atlanta,Atlanta,42,53,see,El Salvador,0.47,candidate,high-value type,,,Staplehouse,northamerica/unitedstates/georgia/atlanta/staplehouse,0.421,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Atlanta,candidate score 0.47 is below the 6.0 POI threshold
asia/pakistan/karachi,Karachi,Karachi,50,197,see,Tajikistan,0.47,candidate,high-value type,,,Pakistan Railway,asia/pakistan/karachi/pakistan_railway,0.538,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Karachi,candidate score 0.47 is below the 6.0 POI threshold
africa/egypt/cairo,Cairo,Cairo,88,50,see,Ambulance,0.47,candidate,high-value type,,,Zamalek,africa/egypt/cairo/zamalek,0.5,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Cairo,candidate score 0.47 is below the 6.0 POI threshold
